Date,size90sma
2016/01/01,918.289
2016/01/02,920.264
2016/01/03,922.304
2016/01/04,924.529
2016/01/05,931.059
2016/01/06,939.546
2016/01/07,948.105
2016/01/08,951.46
2016/01/09,956.585
2016/01/10,959.432
2016/01/11,962.1
2016/01/12,965.463
2016/01/13,972.12
2016/01/14,974.731
2016/01/15,977.157
2016/01/16,978.882
2016/01/17,979.823
2016/01/18,983.008
2016/01/19,986.704
2016/01/20,988.668
2016/01/21,990.068
2016/01/22,992.921
2016/01/23,994.645
2016/01/24,997.171
2016/01/25,1003
2016/01/26,1008
2016/01/27,1016
2016/01/28,1023
2016/01/29,1029
2016/01/30,1033
2016/01/31,1037
2016/02/01,1040
2016/02/02,1043
2016/02/03,1046
2016/02/04,1049
2016/02/05,1050
2016/02/06,1058
2016/02/07,1060
2016/02/08,1062
2016/02/09,1062
2016/02/10,1065
2016/02/11,1070
2016/02/12,1073
2016/02/13,1077
2016/02/14,1081
2016/02/15,1085
2016/02/16,1089
2016/02/17,1094
2016/02/18,1097
2016/02/19,1101
2016/02/20,1103
2016/02/21,1105
2016/02/22,1108
2016/02/23,1112
2016/02/24,1115
2016/02/25,1119
2016/02/26,1124
2016/02/27,1128
2016/02/28,1131
2016/02/29,1134
2016/03/01,1138
2016/03/02,1143
2016/03/03,1148
2016/03/04,1152
2016/03/05,1157
2016/03/06,1164
2016/03/07,1169
2016/03/08,1174
2016/03/09,1179
2016/03/10,1183
2016/03/11,1186
2016/03/12,1192
2016/03/13,1188
2016/03/14,1184
2016/03/15,1185
2016/03/16,1188
2016/03/17,1192
2016/03/18,1197
2016/03/19,1201
2016/03/20,1204
2016/03/21,1198
2016/03/22,1198
2016/03/23,1200
2016/03/24,1209
2016/03/25,1215
2016/03/26,1215
2016/03/27,1215
2016/03/28,1219
2016/03/29,1217
2016/03/30,1223
2016/03/31,1229
2016/04/01,1235
2016/04/02,1238
2016/04/03,1241
2016/04/04,1242
2016/04/05,1242
2016/04/06,1240
2016/04/07,1243
2016/04/08,1247
2016/04/09,1250
2016/04/10,1252
2016/04/11,1254
2016/04/12,1254
2016/04/13,1259
2016/04/14,1264
2016/04/15,1268
2016/04/16,1272
2016/04/17,1282
2016/04/18,1284
2016/04/19,1288
2016/04/20,1293
2016/04/21,1298
2016/04/22,1303
2016/04/23,1306
2016/04/24,1307
2016/04/25,1309
2016/04/26,1306
2016/04/27,1305
2016/04/28,1306
2016/04/29,1309
2016/04/30,1314
2016/05/01,1320
2016/05/02,1325
2016/05/03,1329
2016/05/04,1334
2016/05/05,1338
2016/05/06,1337
2016/05/07,1341
2016/05/08,1347
2016/05/09,1352
2016/05/10,1356
2016/05/11,1359
2016/05/12,1364
2016/05/13,1369
2016/05/14,1375
2016/05/15,1380
2016/05/16,1384
2016/05/17,1387
2016/05/18,1393
2016/05/19,1398
2016/05/20,1405
2016/05/21,1412
2016/05/22,1416
2016/05/23,1421
2016/05/24,1426
2016/05/25,1432
2016/05/26,1437
2016/05/27,1444
2016/05/28,1459
2016/05/29,1465
2016/05/30,1469
2016/05/31,1473
2016/06/01,1477
2016/06/02,1479
2016/06/03,1480
2016/06/04,1481
2016/06/05,1483
2016/06/06,1485
2016/06/07,1489
2016/06/08,1492
2016/06/09,1495
2016/06/10,1495
2016/06/11,1495
2016/06/12,1495
2016/06/13,1498
2016/06/14,1502
2016/06/15,1503
2016/06/16,1506
2016/06/17,1513
2016/06/18,1519
2016/06/19,1521
2016/06/20,1523
2016/06/21,1524
2016/06/22,1521
2016/06/23,1520
2016/06/24,1521
2016/06/25,1523
2016/06/26,1522
2016/06/27,1522
2016/06/28,1521
2016/06/29,1525
2016/06/30,1535
2016/07/01,1537
2016/07/02,1538
2016/07/03,1537
2016/07/04,1536
2016/07/05,1537
2016/07/06,1537
2016/07/07,1536
2016/07/08,1539
2016/07/09,1540
2016/07/10,1542
2016/07/11,1542
2016/07/12,1543
2016/07/13,1542
2016/07/14,1543
2016/07/15,1546
2016/07/16,1540
2016/07/17,1539
2016/07/18,1540
2016/07/19,1541
2016/07/20,1544
2016/07/21,1546
2016/07/22,1550
2016/07/23,1551
2016/07/24,1556
2016/07/25,1560
2016/07/26,1567
2016/07/27,1570
2016/07/28,1572
2016/07/29,1572
2016/07/30,1570
2016/07/31,1571
2016/08/01,1572
2016/08/02,1574
2016/08/03,1576
2016/08/04,1576
2016/08/05,1578
2016/08/06,1577
2016/08/07,1578
2016/08/08,1578
2016/08/09,1578
2016/08/10,1577
2016/08/11,1577
2016/08/12,1575
2016/08/13,1574
2016/08/14,1573
2016/08/15,1573
2016/08/16,1572
2016/08/17,1571
2016/08/18,1571
2016/08/19,1569
2016/08/20,1569
2016/08/21,1568
2016/08/22,1568
2016/08/23,1572
2016/08/24,1570
2016/08/25,1569
2016/08/26,1560
2016/08/27,1559
2016/08/28,1558
2016/08/29,1558
2016/08/30,1559
2016/08/31,1559
2016/09/01,1561
2016/09/02,1566
