Date,fee_to_reward3rocUSD
2016/01/01,-51.838
2016/01/02,-74.813
2016/01/03,-24.843
2016/01/04,29.131
2016/01/05,201.668
2016/01/06,239.621
2016/01/07,207.783
2016/01/08,-56.484
2016/01/09,-40.467
2016/01/10,-59.657
2016/01/11,2.228
2016/01/12,-29.757
2016/01/13,132.983
2016/01/14,5.248
2016/01/15,-12.762
2016/01/16,-61.755
2016/01/17,-35.675
2016/01/18,34.246
2016/01/19,59.284
2016/01/20,12.079
2016/01/21,-32.957
2016/01/22,-13.433
2016/01/23,-5.698
2016/01/24,11.586
2016/01/25,32.239
2016/01/26,107.947
2016/01/27,148.654
2016/01/28,-0.188
2016/01/29,1.372
2016/01/30,-38.538
2016/01/31,-16.272
2016/02/01,-15.551
2016/02/02,-15.002
2016/02/03,-22.322
2016/02/04,1.072
2016/02/05,24.665
2016/02/06,362.608
2016/02/07,44.214
2016/02/08,-4.526
2016/02/09,-60.942
2016/02/10,24.893
2016/02/11,27.278
2016/02/12,-32.094
2016/02/13,-38.95
2016/02/14,-38.614
2016/02/15,-5.818
2016/02/16,-6.226
2016/02/17,48.649
2016/02/18,-4.595
2016/02/19,9.154
2016/02/20,-35.587
2016/02/21,-6.59
2016/02/22,-12.113
2016/02/23,251.151
2016/02/24,86.293
2016/02/25,-2.371
2016/02/26,-46.438
2016/02/27,-44.305
2016/02/28,-6.536
2016/02/29,-31.313
2016/03/01,17.268
2016/03/02,30.572
2016/03/03,3.64
2016/03/04,2.604
2016/03/05,-10.938
2016/03/06,9.484
2016/03/07,-11.036
2016/03/08,-4.799
2016/03/09,-31.374
2016/03/10,-33.259
2016/03/11,-39.163
2016/03/12,-8.219
2016/03/13,22.421
2016/03/14,43.315
2016/03/15,-16.519
2016/03/16,-19.3
2016/03/17,-7.268
2016/03/18,13.406
2016/03/19,80.124
2016/03/20,15.173
2016/03/21,17.963
2016/03/22,-39.791
2016/03/23,-7.785
2016/03/24,24.239
2016/03/25,53.083
2016/03/26,4.865
2016/03/27,-52.497
2016/03/28,-33.137
2016/03/29,-30.076
2016/03/30,82.237
2016/03/31,-5.271
2016/04/01,-0.325
2016/04/02,-47.506
2016/04/03,-29.163
2016/04/04,2.251
2016/04/05,54.502
2016/04/06,22.652
2016/04/07,-11.369
2016/04/08,-12.555
2016/04/09,-6.605
2016/04/10,-11.032
2016/04/11,-23.147
2016/04/12,12.985
2016/04/13,69.139
2016/04/14,64.598
2016/04/15,0.268
2016/04/16,-47.062
2016/04/17,-6.252
2016/04/18,-13.989
2016/04/19,11.385
2016/04/20,-19.787
2016/04/21,51.969
2016/04/22,7.032
2016/04/23,-17.613
2016/04/24,-25.766
2016/04/25,13.099
2016/04/26,12.448
2016/04/27,-9.729
2016/04/28,-3.321
2016/04/29,6.797
2016/04/30,56.074
2016/05/01,65.236
2016/05/02,15.915
2016/05/03,-16.051
2016/05/04,-26.51
2016/05/05,13.303
2016/05/06,30.762
2016/05/07,-11.831
2016/05/08,-7.035
2016/05/09,-24.838
2016/05/10,14.045
2016/05/11,11.475
2016/05/12,46.233
2016/05/13,52.23
2016/05/14,9.957
2016/05/15,-19
2016/05/16,-34.145
2016/05/17,-20.584
2016/05/18,10.331
2016/05/19,19.281
2016/05/20,34.506
2016/05/21,3.934
2016/05/22,-13.877
2016/05/23,-21.813
2016/05/24,-20.38
2016/05/25,12.446
2016/05/26,19.948
