Date,mediantransactionvalue30stdUSD
2016/01/01,1.24
2016/01/02,1.214
2016/01/03,1.199
2016/01/04,1.179
2016/01/05,1.226
2016/01/06,1.234
2016/01/07,1.24
2016/01/08,1.203
2016/01/09,1.181
2016/01/10,1.174
2016/01/11,1.168
2016/01/12,1.137
2016/01/13,1.137
2016/01/14,1.113
2016/01/15,1.158
2016/01/16,1.173
2016/01/17,1.197
2016/01/18,1.211
2016/01/19,1.211
2016/01/20,1.311
2016/01/21,1.331
2016/01/22,1.295
2016/01/23,1.348
2016/01/24,1.475
2016/01/25,1.526
2016/01/26,1.551
2016/01/27,1.554
2016/01/28,1.602
2016/01/29,1.58
2016/01/30,1.658
2016/01/31,1.724
2016/02/01,1.755
2016/02/02,1.777
2016/02/03,1.825
2016/02/04,1.76
2016/02/05,1.665
2016/02/06,1.665
2016/02/07,1.701
2016/02/08,1.787
2016/02/09,1.924
2016/02/10,2.334
2016/02/11,2.575
2016/02/12,3.017
2016/02/13,3.154
2016/02/14,3.294
2016/02/15,3.453
2016/02/16,3.512
2016/02/17,3.477
2016/02/18,3.37
2016/02/19,3.385
2016/02/20,3.384
2016/02/21,3.341
2016/02/22,3.379
2016/02/23,3.478
2016/02/24,3.528
2016/02/25,3.632
2016/02/26,3.471
2016/02/27,3.498
2016/02/28,3.565
2016/02/29,3.61
2016/03/01,3.675
2016/03/02,3.805
2016/03/03,4.075
2016/03/04,4.273
2016/03/05,5.022
2016/03/06,5.267
2016/03/07,4.993
2016/03/08,4.962
2016/03/09,5.028
2016/03/10,5.433
2016/03/11,5.57
2016/03/12,5.997
2016/03/13,6.522
2016/03/14,6.862
2016/03/15,7
2016/03/16,7.188
2016/03/17,7.14
2016/03/18,6.895
2016/03/19,6.632
2016/03/20,6.368
2016/03/21,6.091
2016/03/22,5.806
2016/03/23,5.55
2016/03/24,5.313
2016/03/25,5.041
2016/03/26,4.801
2016/03/27,4.446
2016/03/28,4.114
2016/03/29,3.823
2016/03/30,3.459
2016/03/31,3.12
2016/04/01,2.912
2016/04/02,2.844
2016/04/03,2.749
2016/04/04,2.689
2016/04/05,2.735
2016/04/06,2.759
2016/04/07,2.747
2016/04/08,2.835
2016/04/09,2.836
2016/04/10,3.033
2016/04/11,3.044
2016/04/12,2.984
2016/04/13,2.911
2016/04/14,2.883
2016/04/15,2.703
2016/04/16,2.731
2016/04/17,2.902
2016/04/18,2.935
2016/04/19,2.969
2016/04/20,3
2016/04/21,3.004
2016/04/22,2.985
2016/04/23,3.012
2016/04/24,3.055
2016/04/25,3.112
2016/04/26,3.17
2016/04/27,3.162
2016/04/28,3.105
2016/04/29,2.993
2016/04/30,2.802
2016/05/01,2.605
2016/05/02,2.4
2016/05/03,2.158
2016/05/04,1.939
2016/05/05,1.828
2016/05/06,1.686
2016/05/07,1.559
2016/05/08,1.501
2016/05/09,1.467
2016/05/10,1.492
2016/05/11,1.542
2016/05/12,1.614
2016/05/13,1.744
