Date,size90roc
2016/09/06,19.86
2016/09/07,14.612
2016/09/08,32.17
2016/09/09,34.155
2016/09/10,3.129
2016/09/11,-8.692
2016/09/12,-7.493
2016/09/13,-1.687
2016/09/14,9.582
2016/09/15,-18.449
2016/09/16,-1.172
2016/09/17,-2.233
2016/09/18,-16.16
2016/09/19,-17.655
2016/09/20,4.65
2016/09/21,5.615
2016/09/22,14.567
2016/09/23,-9.498
2016/09/24,5.057
2016/09/25,-1.636
2016/09/26,4.199
2016/09/27,-7.322
2016/09/28,-34.04
2016/09/29,4.469
2016/09/30,3.921
2016/10/01,28.95
2016/10/02,19.225
2016/10/03,16.889
2016/10/04,55.572
2016/10/05,27.442
2016/10/06,22.628
2016/10/07,190.754
2016/10/08,285.87
2016/10/09,300.004
2016/10/10,712.228
2016/10/11,103.609
2016/10/12,-18.761
2016/10/13,-10.385
2016/10/14,3.769
2016/10/15,-2.174
2016/10/16,-7.189
2016/10/17,-8.327
2016/10/18,1.671
2016/10/19,7.618
2016/10/20,-10.687
2016/10/21,15.253
2016/10/22,-24.488
2016/10/23,-25.658
2016/10/24,-7.947
2016/10/25,-1.783
2016/10/26,-3.732
2016/10/27,-5.008
2016/10/28,0.822
2016/10/29,-7.817
2016/10/30,-8.86
2016/10/31,-8.989
2016/11/01,1.395
2016/11/02,-7.421
2016/11/03,-3.701
2016/11/04,-13.859
2016/11/05,-7.821
2016/11/06,-14.263
2016/11/07,-12.087
2016/11/08,-8.145
2016/11/09,-8.432
2016/11/10,-4.277
2016/11/11,2.187
2016/11/12,1.421
2016/11/13,0.083
2016/11/14,-2.8
2016/11/15,2.943
2016/11/16,-10.92
2016/11/17,-1.008
2016/11/18,4.196
2016/11/19,-7.065
2016/11/20,-3.458
2016/11/21,-24.003
2016/11/22,7.421
2016/11/23,17.239
2016/11/24,-11.573
2016/11/25,11.391
2016/11/26,3.464
2016/11/27,8.32
2016/11/28,7.127
2016/11/29,10.038
2016/11/30,39.537
2016/12/01,-23.918
2016/12/02,-3.408
2016/12/03,-18.308
2016/12/04,-7.183
2016/12/05,-13.405
2016/12/06,-4.567
2016/12/07,-19.848
2016/12/08,-23.618
2016/12/09,-0.413
2016/12/10,-2.23
2016/12/11,6.051
2016/12/12,-1.351
2016/12/13,-12.466
2016/12/14,5.268
2016/12/15,-21.696
2016/12/16,-5.152
2016/12/17,-1.032
2016/12/18,0.322
2016/12/19,-4.328
2016/12/20,-3.876
2016/12/21,-5.7
2016/12/22,37.629
2016/12/23,-0.27
2016/12/24,-1.852
2016/12/25,-14.767
2016/12/26,-22.08
2016/12/27,-0.203
2016/12/28,6.172
2016/12/29,16.832
2016/12/30,-10.342
2016/12/31,-8.45
2017/01/01,-19.113
2017/01/02,-33.458
2017/01/03,-9.695
2017/01/04,-11.411
2017/01/05,-59.323
2017/01/06,-70.668
2017/01/07,-72.37
2017/01/08,-87.762
2017/01/09,-42.246
2017/01/10,35.1
2017/01/11,21.847
2017/01/12,21.165
2017/01/13,39.846
2017/01/14,15.601
2017/01/15,8.783
2017/01/16,-9.838
2017/01/17,0.265
2017/01/18,8.012
2017/01/19,-9.985
2017/01/20,18.546
