Date,transactions3ema
2016/01/01,11036
2016/01/02,10100
2016/01/03,9679
2016/01/04,9576
2016/01/05,13003
2016/01/06,15039
2016/01/07,18557
2016/01/08,14738
2016/01/09,13265
2016/01/10,11793
2016/01/11,11343
2016/01/12,11102
2016/01/13,14384
2016/01/14,12518
2016/01/15,11197
2016/01/16,10930
2016/01/17,10339
2016/01/18,11627
2016/01/19,12524
2016/01/20,11567
2016/01/21,11150
2016/01/22,12499
2016/01/23,11762
2016/01/24,12280
2016/01/25,14701
2016/01/26,15606
2016/01/27,17176
2016/01/28,16971
2016/01/29,16683
2016/01/30,15672
2016/01/31,14919
2016/02/01,14559
2016/02/02,14425
2016/02/03,14349
2016/02/04,14360
2016/02/05,14805
2016/02/06,23111
2016/02/07,18688
2016/02/08,16703
2016/02/09,16110
2016/02/10,16626
2016/02/11,19033
2016/02/12,18571
2016/02/13,18949
2016/02/14,17786
2016/02/15,17473
2016/02/16,17511
2016/02/17,18750
2016/02/18,17860
2016/02/19,18136
2016/02/20,17425
2016/02/21,17272
2016/02/22,17731
2016/02/23,18106
2016/02/24,18823
2016/02/25,19163
2016/02/26,20116
2016/02/27,19548
2016/02/28,19306
2016/02/29,19832
2016/03/01,20805
2016/03/02,22183
2016/03/03,23510
2016/03/04,23899
2016/03/05,25507
2016/03/06,26584
2016/03/07,24927
2016/03/08,24516
2016/03/09,24537
2016/03/10,24675
2016/03/11,23900
2016/03/12,25893
2016/03/13,27010
2016/03/14,27769
2016/03/15,28521
2016/03/16,28059
2016/03/17,30795
2016/03/18,31308
2016/03/19,33043
2016/03/20,32745
2016/03/21,32628
2016/03/22,32759
2016/03/23,32273
2016/03/24,34610
2016/03/25,35686
2016/03/26,36166
2016/03/27,33070
2016/03/28,33341
2016/03/29,33628
2016/03/30,35198
2016/03/31,33728
2016/04/01,33524
2016/04/02,31441
2016/04/03,30515
2016/04/04,32711
2016/04/05,35942
2016/04/06,34010
2016/04/07,32951
2016/04/08,33481
2016/04/09,32702
2016/04/10,32469
2016/04/11,31398
2016/04/12,33036
2016/04/13,34543
2016/04/14,34662
2016/04/15,34811
2016/04/16,32647
2016/04/17,36425
2016/04/18,34969
2016/04/19,33795
2016/04/20,33370
2016/04/21,35275
2016/04/22,33477
2016/04/23,32661
2016/04/24,33353
2016/04/25,34392
2016/04/26,33487
2016/04/27,33667
2016/04/28,34005
2016/04/29,35668
2016/04/30,40719
2016/05/01,40148
2016/05/02,40948
2016/05/03,39385
2016/05/04,38434
2016/05/05,38571
2016/05/06,39921
2016/05/07,37892
2016/05/08,38978
2016/05/09,38769
2016/05/10,39726
2016/05/11,40269
2016/05/12,42635
2016/05/13,45187
2016/05/14,45466
2016/05/15,44270
2016/05/16,40847
2016/05/17,40578
2016/05/18,43305
2016/05/19,43914
2016/05/20,44546
2016/05/21,44083
2016/05/22,41489
2016/05/23,42648
2016/05/24,42779
2016/05/25,44611
2016/05/26,47879
2016/05/27,48443
2016/05/28,59295
2016/05/29,52593
2016/05/30,47760
2016/05/31,46073
2016/06/01,44147
2016/06/02,41906
2016/06/03,40870
2016/06/04,39373
2016/06/05,38634
2016/06/06,38796
2016/06/07,42468
2016/06/08,41451
2016/06/09,40652
2016/06/10,40399
2016/06/11,38650
2016/06/12,40615
2016/06/13,43400
2016/06/14,46868
2016/06/15,45059
2016/06/16,44226
2016/06/17,55392
2016/06/18,59237
2016/06/19,55136
2016/06/20,51127
2016/06/21,49225
2016/06/22,48920
2016/06/23,45414
2016/06/24,45373
2016/06/25,41028
2016/06/26,41321
2016/06/27,40492
2016/06/28,41790
2016/06/29,45844
2016/06/30,54898
2016/07/01,47491
2016/07/02,43374
2016/07/03,41566
2016/07/04,40758
2016/07/05,40014
2016/07/06,38957
2016/07/07,39695
2016/07/08,41100
2016/07/09,40755
2016/07/10,40057
2016/07/11,39319
2016/07/12,40065
2016/07/13,37903
2016/07/14,40356
2016/07/15,40733
2016/07/16,39397
2016/07/17,36656
2016/07/18,37927
2016/07/19,41055
2016/07/20,45843
2016/07/21,45363
2016/07/22,46910
2016/07/23,45958
2016/07/24,52087
2016/07/25,53471
2016/07/26,57701
2016/07/27,55368
2016/07/28,51961
2016/07/29,49602
2016/07/30,45807
2016/07/31,47278
2016/08/01,46628
2016/08/02,47834
2016/08/03,48655
2016/08/04,47708
2016/08/05,45460
2016/08/06,43473
2016/08/07,43214
2016/08/08,43099
2016/08/09,45078
2016/08/10,45684
2016/08/11,46928
2016/08/12,45664
2016/08/13,43376
2016/08/14,41976
2016/08/15,42139
2016/08/16,45544
2016/08/17,45206
2016/08/18,46502
2016/08/19,44725
2016/08/20,43022
2016/08/21,42782
2016/08/22,43516
2016/08/23,45973
2016/08/24,46397
2016/08/25,48133
2016/08/26,47712
2016/08/27,47825
2016/08/28,45216
2016/08/29,45363
2016/08/30,46171
2016/08/31,46009
2016/09/01,46750
2016/09/02,51081
2016/09/03,47937
2016/09/04,48032
2016/09/05,45350
2016/09/06,47226
2016/09/07,47963
2016/09/08,51967
2016/09/09,52942
2016/09/10,47909
2016/09/11,45627
2016/09/12,45375
2016/09/13,43983
2016/09/14,48921
2016/09/15,50771
2016/09/16,54152
2016/09/17,50517
2016/09/18,44205
2016/09/19,42355
2016/09/20,48211
2016/09/21,46380
2016/09/22,49518
2016/09/23,42369
2016/09/24,42893
