Date,sentinusd3smaUSD
2016/01/01,298651
2016/01/02,317633
2016/01/03,314901
2016/01/04,254639
2016/01/05,508038
2016/01/06,471874
2016/01/07,538053
2016/01/08,266007
2016/01/09,255606
2016/01/10,190371
2016/01/11,302884
2016/01/12,616473
2016/01/13,724942
2016/01/14,673945
2016/01/15,676770
2016/01/16,753754
2016/01/17,780182
2016/01/18,1462697
2016/01/19,1794064
2016/01/20,1934448
2016/01/21,1112692
2016/01/22,1010303
2016/01/23,1381301
2016/01/24,2501170
2016/01/25,3675798
2016/01/26,4255863
2016/01/27,3858025
2016/01/28,2982991
2016/01/29,2460564
2016/01/30,2318699
2016/01/31,2425173
2016/02/01,2147825
2016/02/02,1777637
2016/02/03,1408319
2016/02/04,1242678
2016/02/05,1266110
2016/02/06,959751
2016/02/07,1485477
2016/02/08,2525301
2016/02/09,4153577
2016/02/10,6165585
2016/02/11,7597314
2016/02/12,9913984
2016/02/13,9246724
2016/02/14,7790840
2016/02/15,4985517
2016/02/16,4944301
2016/02/17,4473284
2016/02/18,4653301
2016/02/19,3286021
2016/02/20,4020449
2016/02/21,3209545
2016/02/22,3847791
2016/02/23,5019520
2016/02/24,8373425
2016/02/25,8924367
2016/02/26,13995222
2016/02/27,14443083
2016/02/28,14187429
2016/02/29,7703187
2016/03/01,6129405
2016/03/02,14030354
2016/03/03,18975314
2016/03/04,20706499
2016/03/05,21765347
2016/03/06,21271544
2016/03/07,21700753
2016/03/08,17936918
2016/03/09,15925199
2016/03/10,14156774
2016/03/11,10765734
2016/03/12,13374174
2016/03/13,19518156
2016/03/14,23362613
2016/03/15,22281190
2016/03/16,17730232
2016/03/17,17151745
2016/03/18,19678462
2016/03/19,17551627
2016/03/20,12701403
2016/03/21,7947523
2016/03/22,7808447
2016/03/23,8177459
2016/03/24,8539275
2016/03/25,7879990
2016/03/26,6820601
2016/03/27,7375380
2016/03/28,8342359
2016/03/29,12118601
2016/03/30,13312320
2016/03/31,13872120
2016/04/01,10371968
2016/04/02,6436030
2016/04/03,3753650
2016/04/04,3923894
2016/04/05,4949137
2016/04/06,6190863
2016/04/07,7045726
2016/04/08,6394627
2016/04/09,8502439
2016/04/10,9389717
2016/04/11,9341992
2016/04/12,8016976
2016/04/13,7578524
2016/04/14,8451068
2016/04/15,7231554
2016/04/16,5473162
2016/04/17,5379925
2016/04/18,5667095
2016/04/19,5701556
2016/04/20,5090304
2016/04/21,4496535
2016/04/22,5275369
2016/04/23,6049893
2016/04/24,5737844
2016/04/25,5580098
2016/04/26,5711830
2016/04/27,6669349
2016/04/28,6743120
2016/04/29,5417958
2016/04/30,10892537
2016/05/01,14092773
2016/05/02,18704957
2016/05/03,15776446
2016/05/04,14148535
2016/05/05,11541863
2016/05/06,13622050
2016/05/07,14849988
2016/05/08,15739497
2016/05/09,15511558
2016/05/10,17215232
2016/05/11,22664323
2016/05/12,27312433
2016/05/13,49518251
2016/05/14,59758101
2016/05/15,53785110
2016/05/16,30368795
2016/05/17,15443142
2016/05/18,18263287
2016/05/19,25397010
2016/05/20,31039595
2016/05/21,27694965
2016/05/22,18490548
2016/05/23,13545349
2016/05/24,16656426
2016/05/25,20604801
2016/05/26,20051956
2016/05/27,22269255
2016/05/28,23536795
2016/05/29,22262778
2016/05/30,16604774
2016/05/31,12755375
2016/06/01,12360825
2016/06/02,10462021
2016/06/03,8794976
2016/06/04,7262008
2016/06/05,7042782
2016/06/06,6410375
2016/06/07,8979583
2016/06/08,17276648
2016/06/09,17275765
2016/06/10,16786235
2016/06/11,8832093
2016/06/12,11998647
2016/06/13,14337029
2016/06/14,20475418
2016/06/15,20701018
2016/06/16,23785754
2016/06/17,39515049
2016/06/18,55971184
2016/06/19,53719609
2016/06/20,39638865
2016/06/21,24700969
2016/06/22,27093570
2016/06/23,24582867
2016/06/24,22644473
2016/06/25,18825255
2016/06/26,14012939
2016/06/27,11841348
2016/06/28,12705422
2016/06/29,14950949
2016/06/30,15536472
2016/07/01,12210533
2016/07/02,8926267
2016/07/03,7357739
2016/07/04,8382342
2016/07/05,19081087
2016/07/06,20790169
2016/07/07,19590029
2016/07/08,9440107
2016/07/09,7859663
2016/07/10,6962670
2016/07/11,7400754
2016/07/12,8274580
2016/07/13,9147626
2016/07/14,9737193
2016/07/15,22184859
2016/07/16,21971227
2016/07/17,21415436
2016/07/18,16731952
2016/07/19,50289436
2016/07/20,104003873
2016/07/21,100472189
2016/07/22,77497497
2016/07/23,33551620
2016/07/24,83413899
