Date,fee_to_reward90momUSD
2016/01/01,0.023
2016/01/02,0.033
2016/01/03,0.026
2016/01/04,0.036
2016/01/05,0.161
2016/01/06,0.188
2016/01/07,0.188
2016/01/08,0.047
2016/01/09,0.105
2016/01/10,0.055
2016/01/11,0.047
2016/01/12,0.053
2016/01/13,0.146
2016/01/14,0.016
2016/01/15,0.04
2016/01/16,0.034
2016/01/17,0.019
2016/01/18,0.071
2016/01/19,0.095
2016/01/20,0.019
2016/01/21,0.028
2016/01/22,0.077
2016/01/23,0.033
2016/01/24,0.045
2016/01/25,0.085
2016/01/26,0.097
2016/01/27,0.166
2016/01/28,0.105
2016/01/29,0.085
2016/01/30,0.075
2016/01/31,0.09
2016/02/01,0.075
2016/02/02,0.078
2016/02/03,0.061
2016/02/04,0.062
2016/02/05,0.022
2016/02/06,0.351
2016/02/07,0.131
2016/02/08,0.077
2016/02/09,0.098
2016/02/10,0.125
2016/02/11,0.117
2016/02/12,0.059
2016/02/13,0.091
2016/02/14,0.066
2016/02/15,0.081
2016/02/16,0.085
2016/02/17,0.094
2016/02/18,0.062
2016/02/19,0.092
2016/02/20,0.058
2016/02/21,0.054
2016/02/22,0.07
2016/02/23,0.298
2016/02/24,0.155
2016/02/25,0.082
2016/02/26,0.133
2016/02/27,0.073
2016/02/28,0.034
2016/02/29,0.081
2016/03/01,0.081
2016/03/02,0.103
2016/03/03,0.086
2016/03/04,0.079
2016/03/05,0.061
2016/03/06,0.109
2016/03/07,0.079
2016/03/08,0.084
2016/03/09,0.059
2016/03/10,0.015
2016/03/11,-0.01
2016/03/12,0.025
2016/03/13,-0.179
2016/03/14,-0.301
2016/03/15,-0.087
2016/03/16,-0.043
2016/03/17,-0.022
2016/03/18,-0.018
2016/03/19,0.008
2016/03/20,-0.033
2016/03/21,-0.107
2016/03/22,-0.202
2016/03/23,-0.065
2016/03/24,0.029
2016/03/25,0.009
2016/03/26,-0.197
2016/03/27,-0.071
2016/03/28,-0.038
2016/03/29,-0.197
2016/03/30,0.018
2016/03/31,0.02
2016/04/01,0.006
2016/04/02,-0.011
2016/04/03,-0.02
2016/04/04,-0.131
2016/04/05,-0.143
2016/04/06,-0.163
2016/04/07,-0.023
2016/04/08,-0.06
2016/04/09,-0.03
2016/04/10,-0.032
2016/04/11,-0.037
2016/04/12,-0.146
2016/04/13,0.004
2016/04/14,0.013
2016/04/15,-0.011
2016/04/16,-0.009
2016/04/17,-0.022
2016/04/18,-0.071
2016/04/19,-0.01
2016/04/20,-0.003
2016/04/21,-0.021
2016/04/22,-0.002
2016/04/23,-0.024
2016/04/24,-0.082
2016/04/25,-0.064
2016/04/26,-0.142
2016/04/27,-0.088
2016/04/28,-0.069
2016/04/29,-0.057
2016/04/30,-0.029
2016/05/01,-0.002
2016/05/02,-0.026
2016/05/03,-0.016
2016/05/04,-0.033
2016/05/05,-0.042
2016/05/06,-0.347
2016/05/07,-0.096
2016/05/08,-0.042
2016/05/09,-0.097
2016/05/10,-0.128
2016/05/11,-0.068
2016/05/12,-0.002
2016/05/13,0
2016/05/14,0.006
2016/05/15,-0.018
2016/05/16,-0.036
2016/05/17,-0.066
2016/05/18,-0.003
2016/05/19,-0.031
2016/05/20,0.018
2016/05/21,0.009
2016/05/22,-0.029
2016/05/23,-0.253
2016/05/24,-0.101
2016/05/25,-0.016
2016/05/26,-0.075
2016/05/27,0.01
2016/05/28,0.114
2016/05/29,-0.008
2016/05/30,-0.026
2016/05/31,-0.042
2016/06/01,-0.036
2016/06/02,-0.047
2016/06/03,-0.047
2016/06/04,-0.069
2016/06/05,-0.038
2016/06/06,-0.04
2016/06/07,0.106
2016/06/08,0.011
2016/06/09,0.016
2016/06/10,0.001
2016/06/11,-0.009
2016/06/12,-0.014
2016/06/13,0.037
2016/06/14,0.043
2016/06/15,-0.002
2016/06/16,0.04
2016/06/17,0.51
2016/06/18,0.636
2016/06/19,0.058
2016/06/20,0.078
2016/06/21,0.119
2016/06/22,0.028
2016/06/23,-0.025
2016/06/24,0.013
2016/06/25,0.028
2016/06/26,0.001
2016/06/27,0.011
2016/06/28,-0.01
2016/06/29,0.096
2016/06/30,0.193
2016/07/01,0.079
2016/07/02,0.02
2016/07/03,0.018
2016/07/04,-0.006
2016/07/05,0.026
2016/07/06,0.023
2016/07/07,0.005
2016/07/08,0.057
2016/07/09,0.086
2016/07/10,0.026
2016/07/11,0.016
2016/07/12,0
2016/07/13,-0.021
2016/07/14,0.028
2016/07/15,0.036
2016/07/16,-0.018
2016/07/17,-0.001
2016/07/18,0.018
2016/07/19,0.017
2016/07/20,0.136
2016/07/21,0.038
2016/07/22,0.055
2016/07/23,0.03
2016/07/24,0.044
2016/07/25,0.053
2016/07/26,0.082
2016/07/27,0.044
2016/07/28,0.117
2016/07/29,0.041
2016/07/30,-0.023
2016/07/31,0.008
2016/08/01,0.012
2016/08/02,0.021
2016/08/03,0.007
2016/08/04,-0.011
2016/08/05,0.015
2016/08/06,-0.007
2016/08/07,0.003
2016/08/08,0.078
2016/08/09,-0.004
2016/08/10,-0.017
2016/08/11,-0.032
2016/08/12,-0.017
2016/08/13,-0.019
2016/08/14,-0.011
2016/08/15,-0.004
2016/08/16,-0.01
2016/08/17,-0.014
2016/08/18,-0.009
2016/08/19,-0.018
2016/08/20,-0.007
2016/08/21,-0.004
2016/08/22,0.003
2016/08/23,0.119
2016/08/24,-0.018
2016/08/25,-0.016
2016/08/26,-0.124
2016/08/27,-0.032
2016/08/28,-0.019
2016/08/29,-0.007
2016/08/30,0.004
2016/08/31,0.012
2016/09/01,0.021
2016/09/02,0.062
2016/09/03,0.01
2016/09/04,0.072
2016/09/05,-0.118
2016/09/06,0.017
2016/09/07,0.016
2016/09/08,0.034
2016/09/09,0.044
2016/09/10,-0.005
2016/09/11,-0.026
2016/09/12,-0.011
2016/09/13,-0.001
2016/09/14,-0.016
2016/09/15,-0.534
2016/09/16,-0.604
2016/09/17,-0.052
2016/09/18,-0.061
2016/09/19,-0.143
2016/09/20,-0.055
2016/09/21,-0.007
2016/09/22,0.063
2016/09/23,0.049
2016/09/24,0.117
2016/09/25,0.1
2016/09/26,0.24
2016/09/27,0.084
2016/09/28,-0.063
2016/09/29,-0.011
2016/09/30,0.049
2016/10/01,0.153
2016/10/02,0.148
2016/10/03,0.097
2016/10/04,0.166
2016/10/05,0.098
2016/10/06,0.025
2016/10/07,-0.013
2016/10/08,0.062
2016/10/09,0.084
2016/10/10,0.057
2016/10/11,0.041
2016/10/12,0.027
2016/10/13,0.208
2016/10/14,0.145
2016/10/15,0.146
2016/10/16,0.117
2016/10/17,0.122
2016/10/18,0.048
2016/10/19,0.16
2016/10/20,0.037
2016/10/21,0.026
2016/10/22,-0.031
2016/10/23,-0.039
2016/10/24,0.002
2016/10/25,0.019
2016/10/26,-0.082
2016/10/27,-0.036
2016/10/28,0.02
2016/10/29,0.01
2016/10/30,-0.002
2016/10/31,-0.004
2016/11/01,0.03
2016/11/02,-0.005
2016/11/03,0.003
2016/11/04,-0.012
2016/11/05,-0.008
2016/11/06,-0.092
2016/11/07,-0.009
2016/11/08,-0.007
2016/11/09,0.012
2016/11/10,0.019
2016/11/11,0.055
2016/11/12,0.02
2016/11/13,0.02
2016/11/14,0.022
2016/11/15,0.027
2016/11/16,0.001
2016/11/17,0.005
2016/11/18,0.021
2016/11/19,-0.002
2016/11/20,0.008
2016/11/21,-0.109
2016/11/22,0.028
2016/11/23,0.141
2016/11/24,0.076
2016/11/25,0.083
2016/11/26,0.135
2016/11/27,0.23
2016/11/28,0.24
2016/11/29,0.201
2016/11/30,0.01
2016/12/01,-0.053
2016/12/02,0.002
2016/12/03,-0.072
2016/12/04,-0.005
2016/12/05,-0.005
2016/12/06,0.002
2016/12/07,-0.018
2016/12/08,-0.018
2016/12/09,0.013
2016/12/10,0.003
2016/12/11,0.007
2016/12/12,0.004
2016/12/13,-0.014
2016/12/14,-0.003
2016/12/15,-0.035
2016/12/16,-0.013
2016/12/17,0.003
2016/12/18,0.008
2016/12/19,0.015
2016/12/20,0.042
2016/12/21,-0.017
2016/12/22,-0.015
2016/12/23,-0.108
2016/12/24,-0.104
2016/12/25,-0.264
2016/12/26,-0.186
2016/12/27,-0.09
2016/12/28,-0.027
2016/12/29,0
2016/12/30,-0.111
2016/12/31,-0.14
2017/01/01,-0.112
2017/01/02,-0.168
2017/01/03,-0.055
2017/01/04,-0.025
2017/01/05,-0.026
2017/01/06,-0.049
2017/01/07,-0.079
2017/01/08,-0.056
2017/01/09,-0.006
2017/01/10,-0.006
2017/01/11,-0.19
2017/01/12,-0.104
2017/01/13,-0.097
2017/01/14,-0.105
2017/01/15,-0.119
2017/01/16,-0.177
2017/01/17,-0.139
2017/01/18,-0.047
2017/01/19,-0.031
2017/01/20,0.02
2017/01/21,0.013
2017/01/22,-0.036
2017/01/23,-0.024
2017/01/24,0.021
2017/01/25,0.014
2017/01/26,-0.001
2017/01/27,0.009
2017/01/28,0.01
2017/01/29,-0.006
2017/01/30,-0.031
2017/01/31,0.008
2017/02/01,0.026
2017/02/02,0.042
2017/02/03,0.03
2017/02/04,0.03
2017/02/05,0.023
2017/02/06,0.016
2017/02/07,0.032
2017/02/08,0.024
2017/02/09,-0.006
2017/02/10,0.049
2017/02/11,0.017
2017/02/12,0.008
2017/02/13,0.073
2017/02/14,0.046
2017/02/15,0.104
2017/02/16,0.02
2017/02/17,0.037
2017/02/18,0.042
2017/02/19,0.006
2017/02/20,0.008
2017/02/21,-0.07
2017/02/22,-0.012
2017/02/23,-0.034
2017/02/24,-0.084
2017/02/25,-0.182
2017/02/26,-0.218
2017/02/27,-0.152
2017/02/28,0.048
2017/03/01,0.08
2017/03/02,0.083
2017/03/03,0.066
2017/03/04,0.051
2017/03/05,0.037
2017/03/06,0.024
2017/03/07,0.03
2017/03/08,0.017
2017/03/09,0.061
2017/03/10,0.079
2017/03/11,0.037
2017/03/12,0.056
2017/03/13,0.139
2017/03/14,0.125
2017/03/15,0.092
2017/03/16,0.169
2017/03/17,0.158
2017/03/18,0.102
2017/03/19,0.067
2017/03/20,0.041
2017/03/21,0.035
2017/03/22,0.064
2017/03/23,0.098
2017/03/24,0.134
2017/03/25,0.108
2017/03/26,0.11
2017/03/27,0.131
2017/03/28,0.107
2017/03/29,0.092
2017/03/30,0.087
2017/03/31,0.152
2017/04/01,0.103
2017/04/02,0.125
2017/04/03,0.109
2017/04/04,0.084
2017/04/05,0.106
2017/04/06,0.135
2017/04/07,0.134
2017/04/08,0.064
2017/04/09,0.073
2017/04/10,0.084
2017/04/11,0.082
2017/04/12,0.145
2017/04/13,0.088
2017/04/14,0.108
2017/04/15,0.095
2017/04/16,0.075
2017/04/17,0.069
2017/04/18,0.13
2017/04/19,0.163
2017/04/20,0.125
2017/04/21,0.199
2017/04/22,0.133
2017/04/23,0.1
2017/04/24,0.111
2017/04/25,0.131
2017/04/26,0.137
2017/04/27,0.178
2017/04/28,0.156
2017/04/29,0.138
2017/04/30,0.162
2017/05/01,0.25
2017/05/02,0.251
2017/05/03,0.144
2017/05/04,0.2
2017/05/05,0.175
2017/05/06,0.168
2017/05/07,0.233
2017/05/08,0.174
2017/05/09,0.214
2017/05/10,0.218
2017/05/11,0.215
2017/05/12,0.235
2017/05/13,0.231
2017/05/14,0.179
2017/05/15,0.295
2017/05/16,0.262
2017/05/17,0.622
2017/05/18,0.419
2017/05/19,0.454
2017/05/20,0.414
2017/05/21,0.414
2017/05/22,0.443
2017/05/23,0.695
2017/05/24,0.779
2017/05/25,0.602
