Date,difficulty14rsi
2016/09/10,63.667
2016/09/11,67.294
2016/09/12,67.41
2016/09/13,68.486
2016/09/14,70.658
2016/09/15,71.986
2016/09/16,69.2
2016/09/17,75.275
2016/09/18,60.478
2016/09/19,37.39
2016/09/20,58.886
2016/09/21,62.586
2016/09/22,52.074
2016/09/23,53.778
2016/09/24,55.719
2016/09/25,57.294
2016/09/26,57.251
2016/09/27,50.727
2016/09/28,62.343
2016/09/29,64.477
2016/09/30,63.829
2016/10/01,53.378
2016/10/02,52.98
2016/10/03,59.084
2016/10/04,63.618
2016/10/05,55.92
2016/10/06,58.761
2016/10/07,44.525
2016/10/08,50.389
2016/10/09,57.152
2016/10/10,58.189
2016/10/11,60.464
2016/10/12,54.997
2016/10/13,53.163
2016/10/14,60.292
2016/10/15,62.467
2016/10/16,62.164
2016/10/17,58.925
2016/10/18,59.509
2016/10/19,58.841
2016/10/20,59.242
2016/10/21,66.306
2016/10/22,67.375
2016/10/23,65.393
2016/10/24,64.48
2016/10/25,66.771
2016/10/26,66.86
2016/10/27,66.651
2016/10/28,61.793
2016/10/29,42.663
2016/10/30,36.37
2016/10/31,41.998
2016/11/01,36.534
2016/11/02,31.893
2016/11/03,30.352
2016/11/04,28.347
2016/11/05,26.545
2016/11/06,25.964
2016/11/07,33.935
2016/11/08,42.276
2016/11/09,43.374
2016/11/10,39.469
2016/11/11,38.257
2016/11/12,38.182
2016/11/13,42.563
2016/11/14,45.971
2016/11/15,47.428
2016/11/16,45.945
2016/11/17,44.671
2016/11/18,44.584
2016/11/19,50.752
2016/11/20,56.759
2016/11/21,61.59
2016/11/22,57.758
2016/11/23,52.078
2016/11/24,45.511
2016/11/25,43.821
2016/11/26,46.853
2016/11/27,43.911
2016/11/28,46.128
2016/11/29,47.557
2016/11/30,47.857
2016/12/01,49.032
2016/12/02,50.159
2016/12/03,53.613
2016/12/04,55.201
2016/12/05,52.382
2016/12/06,49.252
2016/12/07,52.371
2016/12/08,55.656
2016/12/09,58.914
2016/12/10,60.734
2016/12/11,62.768
2016/12/12,59.28
2016/12/13,60.813
2016/12/14,59.828
2016/12/15,60.896
2016/12/16,62.887
2016/12/17,63.383
2016/12/18,67.224
2016/12/19,68.484
2016/12/20,70.218
2016/12/21,69.204
2016/12/22,65.221
2016/12/23,52.018
2016/12/24,44.127
2016/12/25,47.131
2016/12/26,52.799
2016/12/27,50.366
2016/12/28,48.152
2016/12/29,46.667
2016/12/30,47.549
2016/12/31,51.172
2017/01/01,49.1
2017/01/02,50.377
2017/01/03,50.288
2017/01/04,61.252
2017/01/05,64.691
2017/01/06,66.686
2017/01/07,68.46
2017/01/08,69.638
2017/01/09,72.53
2017/01/10,73.794
2017/01/11,74.152
2017/01/12,75.016
2017/01/13,76.351
2017/01/14,77.443
2017/01/15,78.479
2017/01/16,78.936
2017/01/17,77.791
2017/01/18,71.575
2017/01/19,77.265
2017/01/20,76.219
2017/01/21,77.712
2017/01/22,78.158
2017/01/23,80.31
2017/01/24,76.013
2017/01/25,76.166
2017/01/26,77.976
2017/01/27,79.08
2017/01/28,74.825
2017/01/29,71.395
2017/01/30,71.831
2017/01/31,74.41
2017/02/01,69.823
2017/02/02,73.324
2017/02/03,67.642
2017/02/04,68.223
2017/02/05,75.731
2017/02/06,76.877
2017/02/07,77.067
2017/02/08,77.996
2017/02/09,78.958
2017/02/10,82.146
2017/02/11,82.414
2017/02/12,83.874
2017/02/13,84.713
2017/02/14,86.465
2017/02/15,84.822
2017/02/16,85.14
2017/02/17,87.449
2017/02/18,88.469
2017/02/19,89.623
2017/02/20,89.051
2017/02/21,90.602
2017/02/22,90.73
2017/02/23,87.336
2017/02/24,87.647
2017/02/25,89.256
2017/02/26,91.298
2017/02/27,92.456
2017/02/28,93.5
2017/03/01,86.893
2017/03/02,86.966
2017/03/03,90.101
2017/03/04,85.583
2017/03/05,87.851
2017/03/06,88.725
2017/03/07,87.508
2017/03/08,89.21
2017/03/09,90.248
2017/03/10,87.677
2017/03/11,88.498
2017/03/12,89.393
2017/03/13,90.183
2017/03/14,89.065
2017/03/15,90.466
2017/03/16,90.966
2017/03/17,92.646
2017/03/18,93.537
2017/03/19,79.039
2017/03/20,82.702
2017/03/21,82.786
2017/03/22,83.563
2017/03/23,86.577
2017/03/24,86.611
2017/03/25,86.674
2017/03/26,89.297
2017/03/27,91.248
2017/03/28,87.782
2017/03/29,88.544
2017/03/30,89.377
2017/03/31,89.995
2017/04/01,88.089
2017/04/02,88.79
2017/04/03,66.03
2017/04/04,72.856
2017/04/05,74.939
2017/04/06,75.763
2017/04/07,76.108
2017/04/08,77.175
2017/04/09,77.433
2017/04/10,78.492
2017/04/11,80.294
2017/04/12,80.158
2017/04/13,71.727
2017/04/14,78.41
2017/04/15,78.677
2017/04/16,78.74
2017/04/17,79.774
2017/04/18,82.07
2017/04/19,83.729
2017/04/20,77.584
2017/04/21,79.865
2017/04/22,81.706
2017/04/23,82.081
2017/04/24,77.914
2017/04/25,79.011
2017/04/26,82.265
2017/04/27,83.501
2017/04/28,86.643
2017/04/29,88.726
2017/04/30,79.314
2017/05/01,80.169
2017/05/02,79.213
2017/05/03,80.325
2017/05/04,77.15
2017/05/05,80.734
2017/05/06,80.198
2017/05/07,81.294
2017/05/08,81.354
2017/05/09,84.109
2017/05/10,82.008
2017/05/11,83.331
2017/05/12,85.401
2017/05/13,84.542
2017/05/14,88.759
2017/05/15,89.814
2017/05/16,90.14
2017/05/17,81.793
2017/05/18,82.992
2017/05/19,85.735
2017/05/20,86.809
2017/05/21,88.188
2017/05/22,89.398
2017/05/23,78.778
2017/05/24,80.553
2017/05/25,79.667
2017/05/26,78.806
2017/05/27,81.832
2017/05/28,78.866
2017/05/29,82.042
2017/05/30,85.312
2017/05/31,86.012
2017/06/01,89.448
2017/06/02,90.288
2017/06/03,90.364
2017/06/04,91.612
2017/06/05,91.717
2017/06/06,92.5
2017/06/07,93.274
2017/06/08,93.605
2017/06/09,93.199
2017/06/10,94.115
2017/06/11,94.813
2017/06/12,91.132
2017/06/13,92.062
2017/06/14,92.879
2017/06/15,93.466
2017/06/16,93.791
2017/06/17,94.588
2017/06/18,94.833
2017/06/19,94.995
2017/06/20,96.514
2017/06/21,96.897
2017/06/22,96.104
2017/06/23,96.263
2017/06/24,96.387
2017/06/25,96.655
2017/06/26,96.948
2017/06/27,97.043
2017/06/28,97.314
2017/06/29,97.475
2017/06/30,97.588
2017/07/01,97.823
2017/07/02,97.924
2017/07/03,98.034
2017/07/04,98.173
2017/07/05,95.977
2017/07/06,96.275
2017/07/07,96.295
2017/07/08,96.651
2017/07/09,96.923
2017/07/10,98.227
2017/07/11,98.32
2017/07/12,89.131
2017/07/13,89.921
2017/07/14,82.469
2017/07/15,83.905
2017/07/16,85.688
2017/07/17,75.779
2017/07/18,76.48
2017/07/19,77.95
2017/07/20,80.404
2017/07/21,82.305
2017/07/22,75.984
2017/07/23,78.439
2017/07/24,75.605
2017/07/25,77.42
2017/07/26,77.634
2017/07/27,75.213
2017/07/28,76.091
2017/07/29,76.039
2017/07/30,78.353
2017/07/31,82.681
2017/08/01,89.054
2017/08/02,89.014
2017/08/03,79.483
2017/08/04,80.989
2017/08/05,80.083
2017/08/06,80.701
2017/08/07,81.674
2017/08/08,82.414
2017/08/09,83.517
2017/08/10,81.07
2017/08/11,78.856
2017/08/12,81.684
2017/08/13,81.309
2017/08/14,83.193
2017/08/15,83.453
2017/08/16,78.504
2017/08/17,80.029
2017/08/18,80.45
2017/08/19,83.192
2017/08/20,82.387
2017/08/21,80.458
2017/08/22,81.648
2017/08/23,83.779
2017/08/24,79.935
2017/08/25,90.377
2017/08/26,91.072
2017/08/27,88.07
2017/08/28,81.268
2017/08/29,83.36
2017/08/30,84.091
2017/08/31,81.856
2017/09/01,82.437
2017/09/02,82.075
2017/09/03,82.747
2017/09/04,81.65
2017/09/05,79.337
2017/09/06,79.413
2017/09/07,80.464
2017/09/08,84.396
2017/09/09,79.149
2017/09/10,73.911
2017/09/11,75.193
2017/09/12,78.332
2017/09/13,70.478
2017/09/14,70.157
2017/09/15,72.867
2017/09/16,70.374
2017/09/17,72.919
2017/09/18,66.959
2017/09/19,68.986
2017/09/20,68.998
2017/09/21,70.743
2017/09/22,87.401
2017/09/23,87.72
2017/09/24,86.14
2017/09/25,82.636
2017/09/26,79.966
2017/09/27,80.732
2017/09/28,78.499
2017/09/29,68.928
2017/09/30,66.212
2017/10/01,70.202
2017/10/02,69.769
2017/10/03,67.531
2017/10/04,70.183
2017/10/05,73.154
2017/10/06,67.522
2017/10/07,62.456
2017/10/08,65.405
2017/10/09,66.166
2017/10/10,64.439
2017/10/11,68.669
2017/10/12,60.727
2017/10/13,66.532
2017/10/14,57.813
2017/10/15,60.034
2017/10/16,25.819
2017/10/17,20.014
2017/10/18,19.836
2017/10/19,21.798
2017/10/20,21.651
2017/10/21,22.696
2017/10/22,23.128
2017/10/23,22.76
2017/10/24,24.958
2017/10/25,24.723
2017/10/26,23.829
2017/10/27,10.899
2017/10/28,10.899
2017/10/29,10.899
