Date,transactions90std
2016/01/01,7291
2016/01/02,7280
2016/01/03,7263
2016/01/04,7250
2016/01/05,7419
2016/01/06,7606
2016/01/07,8074
2016/01/08,8064
2016/01/09,8056
2016/01/10,8039
2016/01/11,8030
2016/01/12,8019
2016/01/13,8182
2016/01/14,8166
2016/01/15,8142
2016/01/16,8119
2016/01/17,8094
2016/01/18,8084
2016/01/19,8086
2016/01/20,8047
2016/01/21,8024
2016/01/22,8031
2016/01/23,7986
2016/01/24,7959
2016/01/25,8061
2016/01/26,8144
2016/01/27,8316
2016/01/28,8403
2016/01/29,8467
2016/01/30,8471
2016/01/31,8455
2016/02/01,8453
2016/02/02,8443
2016/02/03,8439
2016/02/04,8440
2016/02/05,8485
2016/02/06,9486
2016/02/07,9472
2016/02/08,9471
2016/02/09,9503
2016/02/10,9564
2016/02/11,9747
2016/02/12,9785
2016/02/13,9854
2016/02/14,9850
2016/02/15,9847
2016/02/16,9852
2016/02/17,9951
2016/02/18,9907
2016/02/19,9903
2016/02/20,9863
2016/02/21,9853
2016/02/22,9835
2016/02/23,9816
2016/02/24,9823
2016/02/25,9802
2016/02/26,9825
2016/02/27,9781
2016/02/28,9788
2016/02/29,9763
2016/03/01,9763
2016/03/02,9835
2016/03/03,9944
2016/03/04,10008
2016/03/05,10262
2016/03/06,10462
2016/03/07,10438
2016/03/08,10441
2016/03/09,10463
2016/03/10,10503
2016/03/11,10478
2016/03/12,10598
2016/03/13,10879
2016/03/14,11127
2016/03/15,11358
2016/03/16,11477
2016/03/17,11862
2016/03/18,12126
2016/03/19,12544
2016/03/20,12853
2016/03/21,13193
2016/03/22,13517
2016/03/23,13771
2016/03/24,14173
2016/03/25,14561
2016/03/26,15010
2016/03/27,15105
2016/03/28,15296
2016/03/29,15579
2016/03/30,15846
2016/03/31,15846
2016/04/01,15896
2016/04/02,15814
2016/04/03,15732
2016/04/04,15964
2016/04/05,16372
2016/04/06,16520
2016/04/07,16499
2016/04/08,16552
2016/04/09,16487
2016/04/10,16433
2016/04/11,16321
2016/04/12,16471
2016/04/13,16484
2016/04/14,16410
2016/04/15,16351
2016/04/16,16133
2016/04/17,16307
2016/04/18,16251
2016/04/19,16063
2016/04/20,15869
2016/04/21,15888
2016/04/22,15649
2016/04/23,15466
2016/04/24,15451
2016/04/25,15445
2016/04/26,15421
2016/04/27,15365
2016/04/28,15299
2016/04/29,15242
2016/04/30,15499
2016/05/01,15456
2016/05/02,15475
2016/05/03,15339
2016/05/04,15178
2016/05/05,15068
2016/05/06,15287
2016/05/07,15042
2016/05/08,14907
2016/05/09,14739
2016/05/10,14682
2016/05/11,14750
2016/05/12,14858
2016/05/13,15112
2016/05/14,15141
2016/05/15,15062
2016/05/16,14831
2016/05/17,14740
2016/05/18,14705
2016/05/19,14647
2016/05/20,14511
2016/05/21,14311
2016/05/22,14016
2016/05/23,13840
2016/05/24,13660
2016/05/25,13580
2016/05/26,13766
2016/05/27,13714
2016/05/28,15223
2016/05/29,15052
2016/05/30,14843
2016/05/31,14722
2016/06/01,14586
2016/06/02,14382
2016/06/03,14264
2016/06/04,14143
2016/06/05,13858
2016/06/06,13600
2016/06/07,13477
2016/06/08,13235
2016/06/09,12894
2016/06/10,12740
2016/06/11,12579
2016/06/12,12463
2016/06/13,12444
2016/06/14,12501
2016/06/15,12499
2016/06/16,12459
2016/06/17,13738
2016/06/18,14566
2016/06/19,14698
2016/06/20,14715
2016/06/21,14705
2016/06/22,14805
2016/06/23,14794
2016/06/24,14818
2016/06/25,14679
2016/06/26,14615
2016/06/27,14553
2016/06/28,14543
2016/06/29,14572
2016/06/30,15286
2016/07/01,15088
2016/07/02,14895
2016/07/03,14838
2016/07/04,14834
2016/07/05,14712
2016/07/06,14594
2016/07/07,14511
2016/07/08,14370
2016/07/09,14235
2016/07/10,14039
2016/07/11,13975
2016/07/12,13923
2016/07/13,13902
2016/07/14,13825
2016/07/15,13610
2016/07/16,13631
2016/07/17,13620
2016/07/18,13486
2016/07/19,13349
2016/07/20,13418
2016/07/21,13232
2016/07/22,13091
2016/07/23,12967
2016/07/24,13261
2016/07/25,13295
2016/07/26,13697
2016/07/27,13690
2016/07/28,13652
2016/07/29,13664
2016/07/30,13638
2016/07/31,13664
2016/08/01,13603
2016/08/02,13563
2016/08/03,13551
2016/08/04,13542
2016/08/05,13420
2016/08/06,13401
2016/08/07,13344
2016/08/08,13322
2016/08/09,13305
2016/08/10,13308
2016/08/11,13313
2016/08/12,13312
2016/08/13,13330
2016/08/14,13269
2016/08/15,13245
2016/08/16,13271
2016/08/17,13271
2016/08/18,13285
2016/08/19,13288
2016/08/20,13249
2016/08/21,13257
2016/08/22,13251
2016/08/23,13267
2016/08/24,13208
2016/08/25,13222
2016/08/26,12103
2016/08/27,12120
2016/08/28,12122
2016/08/29,12123
2016/08/30,12121
2016/08/31,12076
2016/09/01,12042
2016/09/02,12149
2016/09/03,12054
2016/09/04,11997
2016/09/05,12008
2016/09/06,11992
2016/09/07,11956
2016/09/08,12105
2016/09/09,12087
2016/09/10,12084
2016/09/11,12095
2016/09/12,12056
2016/09/13,12063
2016/09/14,12173
2016/09/15,11446
2016/09/16,11125
2016/09/17,11069
2016/09/18,11179
2016/09/19,11219
2016/09/20,11347
2016/09/21,11324
2016/09/22,11424
2016/09/23,11479
2016/09/24,11458
2016/09/25,11481
2016/09/26,11477
2016/09/27,11443
2016/09/28,10767
2016/09/29,10760
2016/09/30,10868
2016/10/01,10929
2016/10/02,10933
2016/10/03,10861
2016/10/04,10982
2016/10/05,10957
2016/10/06,11098
2016/10/07,11048
2016/10/08,11097
2016/10/09,10999
2016/10/10,10949
2016/10/11,10786
2016/10/12,11274
2016/10/13,11587
2016/10/14,11501
2016/10/15,11512
2016/10/16,11651
2016/10/17,11755
2016/10/18,11782
2016/10/19,11876
2016/10/20,11868
2016/10/21,12143
2016/10/22,11958
2016/10/23,11973
2016/10/24,11544
2016/10/25,11434
2016/10/26,11410
2016/10/27,11401
2016/10/28,11407
2016/10/29,11425
2016/10/30,11479
2016/10/31,11444
2016/11/01,11436
2016/11/02,11431
2016/11/03,11438
2016/11/04,11699
2016/11/05,11784
2016/11/06,11971
2016/11/07,11969
2016/11/08,11977
2016/11/09,11976
2016/11/10,12006
2016/11/11,12006
2016/11/12,12003
2016/11/13,11996
2016/11/14,11955
