Date,fee_to_reward30momUSD
2016/01/01,0.016
2016/01/02,0.032
2016/01/03,0.023
2016/01/04,0.028
2016/01/05,0.144
2016/01/06,0.196
2016/01/07,0.198
2016/01/08,0.056
2016/01/09,0.098
2016/01/10,0.033
2016/01/11,0.01
2016/01/12,0.032
2016/01/13,-0.053
2016/01/14,-0.307
2016/01/15,-0.078
2016/01/16,-0.034
2016/01/17,-0.055
2016/01/18,0.009
2016/01/19,0.007
2016/01/20,-0.073
2016/01/21,-0.132
2016/01/22,-0.168
2016/01/23,-0.101
2016/01/24,-0.012
2016/01/25,0.037
2016/01/26,-0.166
2016/01/27,0.08
2016/01/28,0.03
2016/01/29,-0.133
2016/01/30,0.039
2016/01/31,0.068
2016/02/01,0.049
2016/02/02,0.042
2016/02/03,0.023
2016/02/04,-0.088
2016/02/05,-0.094
2016/02/06,0.224
2016/02/07,0.081
2016/02/08,-0.007
2016/02/09,0.084
2016/02/10,0.121
2016/02/11,0.07
2016/02/12,-0.097
2016/02/13,0.033
2016/02/14,0.018
2016/02/15,0.031
2016/02/16,0.06
2016/02/17,0.039
2016/02/18,-0.024
2016/02/19,0.063
2016/02/20,0.022
2016/02/21,-0.013
2016/02/22,0.051
2016/02/23,0.259
2016/02/24,0.037
2016/02/25,-0.022
2016/02/26,-0.026
2016/02/27,-0.046
2016/02/28,-0.032
2016/02/29,-0.003
2016/03/01,-0.003
2016/03/02,0.022
2016/03/03,0.021
2016/03/04,0.028
2016/03/05,0.006
2016/03/06,0.006
2016/03/07,-0.343
2016/03/08,-0.052
2016/03/09,-0.032
2016/03/10,-0.103
2016/03/11,-0.141
2016/03/12,-0.076
2016/03/13,-0.029
2016/03/14,-0.027
2016/03/15,-0.027
2016/03/16,-0.039
2016/03/17,-0.026
2016/03/18,-0.066
2016/03/19,0.025
2016/03/20,-0.023
2016/03/21,0.003
2016/03/22,-0.021
2016/03/23,-0.016
2016/03/24,-0.218
2016/03/25,-0.066
2016/03/26,-0.008
2016/03/27,-0.124
2016/03/28,-0.023
2016/03/29,-0.032
2016/03/30,-0.018
2016/03/31,-0.045
2016/04/01,-0.065
2016/04/02,-0.074
2016/04/03,-0.071
2016/04/04,-0.048
2016/04/05,-0.055
2016/04/06,-0.045
2016/04/07,-0.051
2016/04/08,-0.021
2016/04/09,-0.012
2016/04/10,-0.012
2016/04/11,-0.031
2016/04/12,-0.02
2016/04/13,-0.002
2016/04/14,0.022
2016/04/15,-0.002
2016/04/16,-0.042
2016/04/17,0.006
2016/04/18,-0.072
2016/04/19,-0.05
2016/04/20,-0.028
2016/04/21,0.013
2016/04/22,-0.038
2016/04/23,-0.065
2016/04/24,-0.054
2016/04/25,-0.034
2016/04/26,0.008
2016/04/27,-0.02
2016/04/28,-0.005
2016/04/29,-0.036
2016/04/30,0.02
2016/05/01,0.041
2016/05/02,0.027
2016/05/03,0.027
2016/05/04,0.009
2016/05/05,0.007
2016/05/06,0.04
2016/05/07,0.008
2016/05/08,0.011
2016/05/09,0.018
2016/05/10,0.025
2016/05/11,0.039
2016/05/12,0.047
2016/05/13,0.029
2016/05/14,0.011
2016/05/15,0.024
2016/05/16,0.032
2016/05/17,-0.005
2016/05/18,0.044
2016/05/19,0.042
2016/05/20,0.043
2016/05/21,0.016
2016/05/22,0.024
2016/05/23,0.03
2016/05/24,0.018
2016/05/25,0.026
2016/05/26,0.041
2016/05/27,0.052
2016/05/28,0.151
2016/05/29,0.046
2016/05/30,-0.001
2016/05/31,-0.018
2016/06/01,0.011
2016/06/02,-0.003
2016/06/03,-0.008
2016/06/04,-0.021
2016/06/05,-0.033
2016/06/06,0.004
2016/06/07,0.116
2016/06/08,0.005
2016/06/09,0.003
2016/06/10,-0.007
2016/06/11,-0.036
2016/06/12,-0.041
2016/06/13,0.004
2016/06/14,0.021
2016/06/15,0.008
2016/06/16,0.039
2016/06/17,0.538
2016/06/18,0.644
2016/06/19,0.043
2016/06/20,0.049
2016/06/21,0.133
2016/06/22,0.063
2016/06/23,0.011
2016/06/24,0.021
2016/06/25,-0.021
2016/06/26,-0.031
2016/06/27,-0.136
2016/06/28,-0.021
2016/06/29,0.076
2016/06/30,0.17
2016/07/01,0.04
2016/07/02,-0.004
2016/07/03,0.017
2016/07/04,0.007
2016/07/05,0.019
2016/07/06,0.011
2016/07/07,-0.123
2016/07/08,0.034
2016/07/09,0.057
2016/07/10,-0.006
2016/07/11,0.005
2016/07/12,0.012
2016/07/13,-0.037
2016/07/14,-0.017
2016/07/15,-0.004
2016/07/16,-0.052
2016/07/17,-0.582
2016/07/18,-0.669
2016/07/19,-0.069
2016/07/20,0.071
2016/07/21,-0.119
2016/07/22,-0.038
2016/07/23,0.001
2016/07/24,-0.004
2016/07/25,0.033
2016/07/26,0.061
2016/07/27,0.029
2016/07/28,0.092
2016/07/29,-0.034
2016/07/30,-0.174
2016/07/31,-0.044
2016/08/01,0.019
2016/08/02,0.012
2016/08/03,0.02
2016/08/04,0.003
2016/08/05,-0.001
2016/08/06,-0.001
