Date,sentbyaddress7trx
2016/01/01,0.61
2016/01/02,0.637
2016/01/03,0.66
2016/01/04,0.676
2016/01/05,0.679
2016/01/06,0.711
2016/01/07,0.789
2016/01/08,0.778
2016/01/09,0.756
2016/01/10,0.878
2016/01/11,1.052
2016/01/12,1.321
2016/01/13,1.343
2016/01/14,1.196
2016/01/15,1.209
2016/01/16,0.875
2016/01/17,0.34
2016/01/18,0.012
2016/01/19,-0.287
2016/01/20,-0.08
2016/01/21,-0.136
2016/01/22,-0.244
2016/01/23,-0.098
2016/01/24,0.348
2016/01/25,0.947
2016/01/26,1.601
2016/01/27,1.891
2016/01/28,1.957
2016/01/29,1.828
2016/01/30,1.587
2016/01/31,1.406
2016/02/01,1.225
2016/02/02,1.011
2016/02/03,0.816
2016/02/04,0.618
2016/02/05,0.484
2016/02/06,0.314
2016/02/07,0.302
2016/02/08,0.49
2016/02/09,0.846
2016/02/10,1.801
2016/02/11,2.884
2016/02/12,3.681
2016/02/13,3.96
2016/02/14,3.621
2016/02/15,3.123
2016/02/16,2.59
2016/02/17,2.06
2016/02/18,1.605
2016/02/19,1.185
2016/02/20,0.753
2016/02/21,0.927
2016/02/22,1.05
2016/02/23,1.087
2016/02/24,1.007
2016/02/25,1.099
2016/02/26,1.065
2016/02/27,1.009
2016/02/28,1.12
2016/02/29,1.59
2016/03/01,2.254
2016/03/02,2.917
2016/03/03,3.553
2016/03/04,3.988
2016/03/05,4.598
2016/03/06,4.857
2016/03/07,4.451
2016/03/08,4.158
2016/03/09,3.703
2016/03/10,3.401
2016/03/11,3.043
2016/03/12,2.647
2016/03/13,2.231
2016/03/14,1.844
2016/03/15,1.444
2016/03/16,0.978
2016/03/17,0.697
2016/03/18,0.636
2016/03/19,0.371
2016/03/20,0.099
2016/03/21,0.03
2016/03/22,-0.131
2016/03/23,-0.275
2016/03/24,-0.433
2016/03/25,-0.621
2016/03/26,-0.844
2016/03/27,-0.847
2016/03/28,-0.711
2016/03/29,-0.108
2016/03/30,0.633
2016/03/31,0.881
2016/04/01,0.786
2016/04/02,0.471
2016/04/03,0.096
2016/04/04,-0.047
2016/04/05,-0.057
2016/04/06,-0.02
2016/04/07,-0.011
2016/04/08,-0.066
2016/04/09,-0.044
2016/04/10,0.154
2016/04/11,0.194
2016/04/12,0.242
2016/04/13,0.401
2016/04/14,0.451
2016/04/15,0.305
2016/04/16,0.067
2016/04/17,0.011
2016/04/18,0.023
2016/04/19,0.018
2016/04/20,0.045
2016/04/21,0.065
2016/04/22,0.112
2016/04/23,0.106
2016/04/24,0.122
2016/04/25,0.221
2016/04/26,0.367
2016/04/27,0.49
2016/04/28,0.504
2016/04/29,1.222
2016/04/30,2.247
2016/05/01,2.825
2016/05/02,3.362
2016/05/03,3.507
2016/05/04,3.277
2016/05/05,2.908
2016/05/06,2.503
2016/05/07,2.033
2016/05/08,1.696
2016/05/09,1.517
2016/05/10,1.433
2016/05/11,1.649
2016/05/12,1.954
2016/05/13,2.556
2016/05/14,2.834
2016/05/15,2.601
2016/05/16,2.12
2016/05/17,1.719
2016/05/18,1.511
2016/05/19,1.441
2016/05/20,1.299
2016/05/21,0.965
2016/05/22,0.435
2016/05/23,0.308
2016/05/24,0.279
2016/05/25,0.248
2016/05/26,1.566
2016/05/27,2.179
2016/05/28,3.4
2016/05/29,3.266
2016/05/30,2.555
2016/05/31,1.789
2016/06/01,0.979
2016/06/02,0.183
2016/06/03,-0.482
2016/06/04,-1.095
2016/06/05,-1.587
2016/06/06,-1.854
2016/06/07,-1.912
2016/06/08,-1.846
2016/06/09,-1.78
2016/06/10,-1.661
2016/06/11,-1.671
2016/06/12,-1.497
2016/06/13,-0.903
2016/06/14,-0.162
2016/06/15,0.277
2016/06/16,0.656
