Date,transactionvalue30trxUSD
2016/01/01,-1.986
2016/01/02,-1.981
2016/01/03,-1.967
2016/01/04,-1.957
2016/01/05,-1.927
2016/01/06,-1.904
2016/01/07,-1.885
2016/01/08,-1.869
2016/01/09,-1.856
2016/01/10,-1.846
2016/01/11,-1.82
2016/01/12,-1.748
2016/01/13,-1.681
2016/01/14,-1.614
2016/01/15,-1.498
2016/01/16,-1.37
2016/01/17,-1.246
2016/01/18,-1.001
2016/01/19,-0.731
2016/01/20,-0.472
2016/01/21,-0.233
2016/01/22,0.004
2016/01/23,0.286
2016/01/24,0.688
2016/01/25,1.156
2016/01/26,1.625
2016/01/27,2.036
2016/01/28,2.377
2016/01/29,2.65
2016/01/30,2.882
2016/01/31,3.082
2016/02/01,3.201
2016/02/02,3.255
2016/02/03,3.263
2016/02/04,3.211
2016/02/05,3.133
2016/02/06,3
2016/02/07,2.897
2016/02/08,2.876
2016/02/09,2.932
2016/02/10,3.096
2016/02/11,3.302
2016/02/12,3.63
2016/02/13,3.9
2016/02/14,4.091
2016/02/15,4.202
2016/02/16,4.289
2016/02/17,4.286
2016/02/18,4.251
2016/02/19,4.148
2016/02/20,4.052
2016/02/21,3.908
2016/02/22,3.758
2016/02/23,3.668
2016/02/24,3.653
2016/02/25,3.615
2016/02/26,3.746
2016/02/27,3.896
2016/02/28,3.957
2016/02/29,3.942
2016/03/01,3.904
2016/03/02,3.997
2016/03/03,4.098
2016/03/04,4.16
2016/03/05,4.287
2016/03/06,4.366
2016/03/07,4.405
2016/03/08,4.438
2016/03/09,4.41
2016/03/10,4.325
2016/03/11,4.206
2016/03/12,4.093
2016/03/13,4.021
2016/03/14,3.949
2016/03/15,3.852
2016/03/16,3.735
2016/03/17,3.612
2016/03/18,3.499
2016/03/19,3.346
2016/03/20,3.16
2016/03/21,2.965
2016/03/22,2.76
2016/03/23,2.55
2016/03/24,2.345
2016/03/25,2.136
2016/03/26,1.923
2016/03/27,1.734
