Date,confirmationtime3roc
2016/01/01,1.965
2016/01/02,-1.315
2016/01/03,-1.831
2016/01/04,-4.141
2016/01/05,-0.605
2016/01/06,0.864
2016/01/07,2.309
2016/01/08,-0.966
2016/01/09,-0.177
2016/01/10,-2.199
2016/01/11,1.351
2016/01/12,3.428
2016/01/13,1.819
2016/01/14,0.334
2016/01/15,-3.029
2016/01/16,-0.872
2016/01/17,1.072
2016/01/18,0.237
2016/01/19,1.488
2016/01/20,-0.04
2016/01/21,2.196
2016/01/22,-0.699
2016/01/23,2.232
2016/01/24,-3.967
2016/01/25,2.581
2016/01/26,-4.348
2016/01/27,3.713
2016/01/28,-3.518
2016/01/29,3.433
2016/01/30,-0.678
2016/01/31,3.838
2016/02/01,-0.678
2016/02/02,1.251
2016/02/03,-6.29
2016/02/04,-0.928
2016/02/05,-1.803
2016/02/06,4.251
2016/02/07,-0.491
2016/02/08,-0.493
2016/02/09,-1.345
2016/02/10,2.54
2016/02/11,1.036
2016/02/12,0.437
2016/02/13,-2.592
2016/02/14,0.581
2016/02/15,1.166
2016/02/16,1.353
2016/02/17,2.738
2016/02/18,-0.48
2016/02/19,-0.159
2016/02/20,-3.841
2016/02/21,-1.108
2016/02/22,-1.372
2016/02/23,1.65
2016/02/24,0.517
2016/02/25,-0.488
2016/02/26,-1.701
2016/02/27,0.741
2016/02/28,1.969
2016/02/29,4.876
2016/03/01,-1.188
2016/03/02,-1.121
2016/03/03,-3.869
2016/03/04,1.161
2016/03/05,-1.012
2016/03/06,2.181
2016/03/07,-0.637
2016/03/08,2.412
2016/03/09,-1.644
2016/03/10,-3.272
2016/03/11,-0.948
2016/03/12,-0.677
2016/03/13,0.193
2016/03/14,-0.842
2016/03/15,-15.989
2016/03/16,-13.925
2016/03/17,-16.014
2016/03/18,0.285
2016/03/19,-0.937
2016/03/20,0.913
2016/03/21,-0.534
2016/03/22,0.181
2016/03/23,0.887
2016/03/24,-1.754
2016/03/25,0.082
2016/03/26,-1.985
2016/03/27,0.91
2016/03/28,1.117
2016/03/29,1.414
2016/03/30,-0.017
2016/03/31,-0.365
2016/04/01,-1.168
2016/04/02,1.87
2016/04/03,-0.232
2016/04/04,-0.082
2016/04/05,-1.608
2016/04/06,0.516
2016/04/07,2.234
2016/04/08,-1.131
2016/04/09,1.197
2016/04/10,-1.847
2016/04/11,2.779
2016/04/12,-1.363
2016/04/13,0.831
2016/04/14,-1.395
2016/04/15,-0.726
2016/04/16,-0.066
2016/04/17,0.1
2016/04/18,0.066
2016/04/19,0.838
2016/04/20,-0.579
2016/04/21,1.085
2016/04/22,-1.028
2016/04/23,-0.017
2016/04/24,0.15
2016/04/25,-1.196
2016/04/26,1.663
2016/04/27,-1.336
2016/04/28,1.227
2016/04/29,-1.294
2016/04/30,0.066
2016/05/01,1.481
2016/05/02,-0.822
2016/05/03,0.066
2016/05/04,-0.635
2016/05/05,0.712
2016/05/06,0.531
2016/05/07,-0.134
