Date,sentinusd14momUSD
2016/10/09,-753768
2016/10/10,11822349
2016/10/11,12663824
2016/10/12,-2002681
2016/10/13,-15561166
2016/10/14,19411226
2016/10/15,2944798
2016/10/16,-4617112
2016/10/17,13741981
2016/10/18,26261105
2016/10/19,-740793
2016/10/20,-3220530
2016/10/21,-4400605
2016/10/22,-6848135
2016/10/23,-26364226
2016/10/24,-22765522
2016/10/25,-14711188
2016/10/26,-20346315
2016/10/27,-1604336
2016/10/28,-14104047
2016/10/29,6140438
2016/10/30,6736020
2016/10/31,-7986904
2016/11/01,-4799435
2016/11/02,33881910
2016/11/03,99708441
2016/11/04,5652119
2016/11/05,3502623
2016/11/06,465163
2016/11/07,-807361
2016/11/08,-5416336
2016/11/09,10856098
2016/11/10,220567
2016/11/11,21786620
2016/11/12,-7328890
2016/11/13,-13075973
2016/11/14,-8491260
2016/11/15,-20448705
2016/11/16,-35904161
2016/11/17,-76455636
2016/11/18,-2664677
2016/11/19,-1280075
2016/11/20,464155
2016/11/21,-650735
2016/11/22,18247140
2016/11/23,2341289
2016/11/24,-2821498
2016/11/25,-24862383
2016/11/26,-5999110
2016/11/27,-6286670
2016/11/28,1654503
2016/11/29,419258
2016/11/30,-1006993
2016/12/01,-23242240
2016/12/02,15890527
2016/12/03,29699953
2016/12/04,6842182
2016/12/05,19998250
2016/12/06,17168682
2016/12/07,-4998599
2016/12/08,13268745
2016/12/09,6845235
2016/12/10,5129365
2016/12/11,9448635
2016/12/12,1857709
2016/12/13,-1540198
2016/12/14,-1160201
2016/12/15,8091950
2016/12/16,-15263336
2016/12/17,-14284295
2016/12/18,3944287
2016/12/19,-15660001
2016/12/20,-32146536
2016/12/21,-2855891
2016/12/22,4116121
2016/12/23,24712202
2016/12/24,5337287
2016/12/25,-8288916
2016/12/26,-2868295
2016/12/27,864844
2016/12/28,12028299
2016/12/29,20290132
2016/12/30,15908185
2016/12/31,27161861
2017/01/01,-1929799
2017/01/02,12714827
2017/01/03,34062924
2017/01/04,66041939
2017/01/05,59360626
2017/01/06,28430643
2017/01/07,26006283
2017/01/08,17364359
2017/01/09,40017533
2017/01/10,37582771
2017/01/11,25481995
2017/01/12,6086165
2017/01/13,-3085813
2017/01/14,-41839375
2017/01/15,-9281229
2017/01/16,-15650182
2017/01/17,-29112003
2017/01/18,-73218878
2017/01/19,-74449891
2017/01/20,-45872425
2017/01/21,-32905662
2017/01/22,-14431565
2017/01/23,-36575413
2017/01/24,-39361717
2017/01/25,-36391101
2017/01/26,-32029880
2017/01/27,-13198617
2017/01/28,-2718311
2017/01/29,3404064
2017/01/30,-440220
2017/01/31,-2036796
2017/02/01,4605414
2017/02/02,2808847
2017/02/03,-10783203
2017/02/04,9708326
2017/02/05,-2225036
2017/02/06,5966938
2017/02/07,6131127
2017/02/08,3588195
2017/02/09,3602223
2017/02/10,7370292
2017/02/11,4241802
2017/02/12,4587660
2017/02/13,6295800
2017/02/14,29280389
2017/02/15,40177796
2017/02/16,17298176
2017/02/17,15308523
2017/02/18,10446459
2017/02/19,21532451
2017/02/20,15766940
2017/02/21,33155550
2017/02/22,20546546
2017/02/23,18315229
2017/02/24,48613887
2017/02/25,31938101
2017/02/26,39132537
2017/02/27,120300107
2017/02/28,134600062
2017/03/01,133750826
2017/03/02,282776637
2017/03/03,292053065
2017/03/04,176989417
2017/03/05,142637213
2017/03/06,267265675
2017/03/07,150583048
2017/03/08,167524656
2017/03/09,223624647
2017/03/10,178722948
2017/03/11,272244517
2017/03/12,484912684
2017/03/13,377665600
2017/03/14,46333947
2017/03/15,50005737
2017/03/16,960690561
2017/03/17,414188113
2017/03/18,712698917
2017/03/19,33346561
2017/03/20,-12057455
2017/03/21,365814436
2017/03/22,270358647
2017/03/23,226893431
2017/03/24,490624484
2017/03/25,297443447
2017/03/26,-52725607
2017/03/27,44744862
2017/03/28,325266878
2017/03/29,456163155
2017/03/30,-362433552
2017/03/31,-2021354
2017/04/01,-435081505
2017/04/02,550338438
2017/04/03,489983355
2017/04/04,-196752977
2017/04/05,87569157
2017/04/06,281393217
2017/04/07,-514970841
2017/04/08,-311234712
2017/04/09,-187955087
2017/04/10,-183099696
2017/04/11,-174938384
2017/04/12,-342093509
2017/04/13,-625994770
2017/04/14,-393788339
2017/04/15,-314085131
2017/04/16,-668816371
2017/04/17,-660605742
2017/04/18,54643689
2017/04/19,-71007386
2017/04/20,-225612971
2017/04/21,161502828
2017/04/22,38614127
2017/04/23,44615842
2017/04/24,56301884
2017/04/25,19998226
2017/04/26,229078115
2017/04/27,594403482
2017/04/28,620108885
2017/04/29,811644856
2017/04/30,1078322377
2017/05/01,1811542331
2017/05/02,1134801983
2017/05/03,1257326770
2017/05/04,1409041951
2017/05/05,1764577077
2017/05/06,1067641195
2017/05/07,1499257226
2017/05/08,1293364030
2017/05/09,1237578471
2017/05/10,1039670420
2017/05/11,1106317661
2017/05/12,631232403
2017/05/13,166344171
2017/05/14,-63222293
2017/05/15,-405959026
2017/05/16,361380114
2017/05/17,-522545732
2017/05/18,-1076841743
2017/05/19,-469844025
2017/05/20,-203488550
2017/05/21,-129244165
2017/05/22,2557943756
2017/05/23,1011282244
2017/05/24,1296070275
2017/05/25,848108759
2017/05/26,1327151730
2017/05/27,646026371
2017/05/28,557820765
2017/05/29,323061094
2017/05/30,566675903
2017/05/31,3989140170
2017/06/01,2846296715
2017/06/02,1952319510
2017/06/03,2210083714
2017/06/04,1581715706
2017/06/05,-79366730
2017/06/06,2568380959
2017/06/07,1741238778
2017/06/08,1135532331
2017/06/09,1348531652
2017/06/10,1556683432
2017/06/11,2469893634
2017/06/12,7777812779
2017/06/13,5755373164
2017/06/14,-246044394
2017/06/15,3043808170
2017/06/16,2734771275
2017/06/17,259546803
2017/06/18,147962623
2017/06/19,-230336063
2017/06/20,16613008
2017/06/21,-2735822349
2017/06/22,-1237795464
2017/06/23,-939596882
2017/06/24,276068373
2017/06/25,-2923020689
2017/06/26,-6862488788
2017/06/27,-5385010772
2017/06/28,-1914612522
2017/06/29,-3344579853
2017/06/30,-3456489348
2017/07/01,-1250473578
2017/07/02,-1552541506
2017/07/03,2902340115
2017/07/04,335759309
2017/07/05,-66615260
2017/07/06,-519074863
2017/07/07,-1013189997
2017/07/08,-1820971342
2017/07/09,-370933511
2017/07/10,-341853912
2017/07/11,-337045562
2017/07/12,-435615286
2017/07/13,1119062898
2017/07/14,2021968346
2017/07/15,2098018287
2017/07/16,2110195030
2017/07/17,-2943326882
2017/07/18,-238420159
2017/07/19,3308471102
2017/07/20,2252868500
2017/07/21,2368447731
2017/07/22,-783471772
2017/07/23,742980130
2017/07/24,2298826523
2017/07/25,2363779081
2017/07/26,1181668399
2017/07/27,-277026857
2017/07/28,-109516744
2017/07/29,-361923862
2017/07/30,-1175601229
2017/07/31,-2212293254
2017/08/01,-3254713814
2017/08/02,-3179043356
2017/08/03,-2781389785
2017/08/04,-2945438624
2017/08/05,1146230869
2017/08/06,680584989
2017/08/07,-2113386570
2017/08/08,-1806892026
2017/08/09,-475844535
2017/08/10,2724907592
2017/08/11,9190189988
2017/08/12,4520506709
2017/08/13,6164705755
2017/08/14,5554154852
2017/08/15,3505653822
2017/08/16,2543530168
2017/08/17,2924592402
2017/08/18,2952779729
2017/08/19,1263703686
2017/08/20,697665862
2017/08/21,1369328892
2017/08/22,470409360
2017/08/23,838080071
2017/08/24,-3170675205
2017/08/25,-10579767718
2017/08/26,-6911515123
2017/08/27,-2395944291
2017/08/28,2387925976
2017/08/29,2014328359
2017/08/30,9032496830
2017/08/31,1772615720
2017/09/01,1397057903
2017/09/02,1506552027
2017/09/03,751795963
2017/09/04,1178034267
2017/09/05,1235222782
2017/09/06,1228474516
2017/09/07,-6841284
2017/09/08,806909666
2017/09/09,4205838804
2017/09/10,-1584616262
2017/09/11,-5217560803
2017/09/12,-3006212281
2017/09/13,-10886453300
2017/09/14,-2590759231
2017/09/15,-1884560471
2017/09/16,-2373408186
2017/09/17,-705548085
2017/09/18,154903481
2017/09/19,-544114190
2017/09/20,-2645924992
2017/09/21,-1248831658
2017/09/22,-2036371996
2017/09/23,-3923993462
2017/09/24,-3142262688
2017/09/25,-2030404833
2017/09/26,-2091368920
2017/09/27,5406731
2017/09/28,-866922611
2017/09/29,-1812809569
2017/09/30,-641819456
2017/10/01,-1657915595
2017/10/02,-3200671240
2017/10/03,2361037689
2017/10/04,1632032970
2017/10/05,194650580
2017/10/06,619111270
2017/10/07,260961450
2017/10/08,779105998
2017/10/09,697129496
2017/10/10,814526554
2017/10/11,278815355
2017/10/12,397971601
2017/10/13,2137203853
2017/10/14,1495207761
2017/10/15,1709701456
2017/10/16,411671567
2017/10/17,-2996922280
2017/10/18,68488520
2017/10/19,1072824370
2017/10/20,661873731
2017/10/21,795981671
2017/10/22,94467943
2017/10/23,543460128
2017/10/24,499208027
2017/10/25,49159137
2017/10/26,-435330133
2017/10/27,-4530241048
2017/10/28,-3419598852
2017/10/29,-3055493285
2017/10/30,-2516576337
2017/10/31,-3600633954
2017/11/01,-282688821
2017/11/02,646695227
2017/11/03,234046006
2017/11/04,-576466627
2017/11/05,-374384472
2017/11/06,-776017970
2017/11/07,-1445487401
2017/11/08,400880799
2017/11/09,2979997449
2017/11/10,4203768023
2017/11/11,3848174318
2017/11/12,5317641357
2017/11/13,3533165411
2017/11/14,3578973247
2017/11/15,1423837328
2017/11/16,561686289
2017/11/17,1411585103
2017/11/18,1741404599
2017/11/19,2131938037
2017/11/20,3187656717
2017/11/21,3621414678
2017/11/22,2698371826
2017/11/23,564999728
2017/11/24,1727365355
2017/11/25,3698921238
2017/11/26,1855332851
2017/11/27,5854764096
