Date,price7wmaUSD
2016/09/10,11.584
2016/09/11,11.654
2016/09/12,11.692
2016/09/13,11.781
2016/09/14,11.839
2016/09/15,11.904
2016/09/16,11.998
2016/09/17,12.171
2016/09/18,12.35
2016/09/19,12.525
2016/09/20,12.858
2016/09/21,13.161
2016/09/22,13.229
2016/09/23,13.301
2016/09/24,13.265
2016/09/25,13.204
2016/09/26,13.115
2016/09/27,13.061
2016/09/28,13.083
2016/09/29,13.093
2016/09/30,13.111
2016/10/01,13.123
2016/10/02,13.145
2016/10/03,13.178
2016/10/04,13.229
2016/10/05,13.228
2016/10/06,13.147
2016/10/07,13.027
2016/10/08,12.819
2016/10/09,12.626
2016/10/10,12.371
2016/10/11,12.196
2016/10/12,12.044
2016/10/13,11.968
2016/10/14,11.928
2016/10/15,11.896
2016/10/16,11.899
2016/10/17,11.901
2016/10/18,12.039
2016/10/19,12.108
2016/10/20,12.118
2016/10/21,12.118
2016/10/22,12.113
2016/10/23,12.084
2016/10/24,12.042
2016/10/25,11.892
2016/10/26,11.772
2016/10/27,11.654
2016/10/28,11.52
2016/10/29,11.266
2016/10/30,11.059
2016/10/31,11.025
2016/11/01,10.904
2016/11/02,10.864
2016/11/03,10.853
2016/11/04,10.873
2016/11/05,10.927
2016/11/06,10.95
2016/11/07,10.934
2016/11/08,10.915
2016/11/09,10.832
2016/11/10,10.75
2016/11/11,10.639
2016/11/12,10.477
2016/11/13,10.34
2016/11/14,10.221
2016/11/15,10.143
2016/11/16,10.116
2016/11/17,10.061
2016/11/18,9.953
2016/11/19,9.855
2016/11/20,9.763
2016/11/21,9.688
2016/11/22,9.707
2016/11/23,9.717
2016/11/24,9.657
2016/11/25,9.587
2016/11/26,9.517
2016/11/27,9.392
2016/11/28,9.214
2016/11/29,8.918
2016/11/30,8.731
2016/12/01,8.602
2016/12/02,8.389
2016/12/03,8.207
2016/12/04,8.025
2016/12/05,7.783
2016/12/06,7.499
2016/12/07,7.493
2016/12/08,7.693
2016/12/09,7.861
2016/12/10,7.997
2016/12/11,8.092
2016/12/12,8.207
2016/12/13,8.295
2016/12/14,8.318
2016/12/15,8.224
2016/12/16,8.114
2016/12/17,7.976
2016/12/18,7.908
2016/12/19,7.828
2016/12/20,7.742
2016/12/21,7.714
2016/12/22,7.676
2016/12/23,7.582
2016/12/24,7.484
2016/12/25,7.389
2016/12/26,7.32
2016/12/27,7.257
2016/12/28,7.215
2016/12/29,7.421
2016/12/30,7.641
2016/12/31,7.772
2017/01/01,7.935
2017/01/02,8.048
2017/01/03,8.284
2017/01/04,8.868
2017/01/05,9.346
2017/01/06,9.62
2017/01/07,9.774
2017/01/08,9.915
2017/01/09,10.104
2017/01/10,10.206
2017/01/11,10.161
2017/01/12,9.997
2017/01/13,9.889
2017/01/14,9.801
2017/01/15,9.75
2017/01/16,9.677
2017/01/17,9.726
2017/01/18,9.84
2017/01/19,9.963
2017/01/20,10.13
2017/01/21,10.313
2017/01/22,10.473
2017/01/23,10.575
2017/01/24,10.615
2017/01/25,10.602
2017/01/26,10.584
2017/01/27,10.545
2017/01/28,10.513
2017/01/29,10.482
2017/01/30,10.467
2017/01/31,10.486
2017/02/01,10.522
2017/02/02,10.552
2017/02/03,10.604
2017/02/04,10.768
2017/02/05,10.896
2017/02/06,11.006
2017/02/07,11.127
2017/02/08,11.207
2017/02/09,11.206
2017/02/10,11.167
2017/02/11,11.191
2017/02/12,11.214
2017/02/13,11.217
2017/02/14,11.475
2017/02/15,11.834
2017/02/16,12.122
2017/02/17,12.352
2017/02/18,12.52
2017/02/19,12.642
2017/02/20,12.707
2017/02/21,12.683
2017/02/22,12.665
2017/02/23,12.681
2017/02/24,12.764
2017/02/25,12.91
2017/02/26,13.136
2017/02/27,13.56
2017/02/28,14.17
2017/03/01,14.722
2017/03/02,15.703
2017/03/03,16.906
2017/03/04,17.79
2017/03/05,18.314
2017/03/06,18.819
2017/03/07,19.059
2017/03/08,18.876
2017/03/09,18.459
2017/03/10,18.294
2017/03/11,18.589
2017/03/12,19.497
2017/03/13,21.5
2017/03/14,23.54
2017/03/15,25.702
2017/03/16,29.951
2017/03/17,34.781
2017/03/18,36.902
2017/03/19,38.435
2017/03/20,40.34
2017/03/21,41.547
2017/03/22,41.821
2017/03/23,41.802
2017/03/24,42.845
2017/03/25,44.984
2017/03/26,46.69
2017/03/27,48.013
2017/03/28,48.92
2017/03/29,50.177
2017/03/30,51.181
2017/03/31,51.144
2017/04/01,50.97
2017/04/02,50.698
2017/04/03,49.398
2017/04/04,47.752
2017/04/05,46.929
2017/04/06,45.908
2017/04/07,44.887
2017/04/08,44.494
2017/04/09,44.129
2017/04/10,43.877
2017/04/11,43.816
2017/04/12,43.847
2017/04/13,45.035
2017/04/14,45.928
2017/04/15,46.633
2017/04/16,47.354
2017/04/17,47.833
2017/04/18,48.436
2017/04/19,49.07
2017/04/20,49.125
2017/04/21,49.254
2017/04/22,49.22
2017/04/23,49.138
2017/04/24,49.381
2017/04/25,49.558
2017/04/26,50.171
2017/04/27,52.144
2017/04/28,55.982
2017/04/29,60.134
2017/04/30,64.086
2017/05/01,68.865
2017/05/02,72.079
2017/05/03,74.501
2017/05/04,77.918
2017/05/05,82.163
2017/05/06,85.118
2017/05/07,87.794
2017/05/08,88.707
2017/05/09,88.064
2017/05/10,87.989
2017/05/11,87.602
2017/05/12,87.406
2017/05/13,86.779
2017/05/14,86.895
2017/05/15,87.613
2017/05/16,87.928
2017/05/17,87.488
2017/05/18,88.647
2017/05/19,94.426
2017/05/20,102.657
2017/05/21,111.663
2017/05/22,126.537
2017/05/23,138.905
2017/05/24,154.395
2017/05/25,168.114
2017/05/26,173.994
2017/05/27,170.43
2017/05/28,170.704
2017/05/29,172
2017/05/30,180.45
2017/05/31,192.068
2017/06/01,201.767
2017/06/02,209.972
2017/06/03,216.16
2017/06/04,224.154
2017/06/05,231.45
2017/06/06,238.92
2017/06/07,245.481
2017/06/08,249.858
2017/06/09,255.687
2017/06/10,268.07
2017/06/11,287.803
2017/06/12,311.032
2017/06/13,334.285
2017/06/14,349.986
2017/06/15,349.784
2017/06/16,352.795
2017/06/17,355.255
2017/06/18,356.824
2017/06/19,356.282
2017/06/20,356.785
2017/06/21,351.168
2017/06/22,344.732
2017/06/23,339.348
2017/06/24,332.816
2017/06/25,321.873
2017/06/26,304.151
2017/06/27,285.898
2017/06/28,282.972
2017/06/29,285.785
2017/06/30,285.71
2017/07/01,280.96
2017/07/02,277.75
2017/07/03,278.528
2017/07/04,278.101
2017/07/05,273.304
2017/07/06,270.019
2017/07/07,265.347
2017/07/08,258.731
2017/07/09,253.73
2017/07/10,245.264
2017/07/11,231.02
2017/07/12,221.552
2017/07/13,215.596
2017/07/14,208.505
2017/07/15,200.432
2017/07/16,187.414
2017/07/17,181.262
2017/07/18,184.417
2017/07/19,192.52
2017/07/20,198.897
2017/07/21,206.536
2017/07/22,213.395
2017/07/23,219.739
2017/07/24,223.162
2017/07/25,220.91
2017/07/26,215.707
2017/07/27,211.675
2017/07/28,206.934
2017/07/29,200.767
2017/07/30,198.596
2017/07/31,196.885
2017/08/01,201.362
2017/08/02,206.76
2017/08/03,211.633
2017/08/04,215.992
2017/08/05,223.093
2017/08/06,234.116
2017/08/07,244.216
2017/08/08,255.522
2017/08/09,269.108
2017/08/10,280.464
2017/08/11,289.037
2017/08/12,297.821
2017/08/13,299.529
2017/08/14,301.209
2017/08/15,298.585
2017/08/16,297.026
2017/08/17,298.266
2017/08/18,298.322
2017/08/19,296.485
2017/08/20,295.685
2017/08/21,301.664
2017/08/22,305.055
2017/08/23,309.331
2017/08/24,313.277
2017/08/25,319.151
2017/08/26,323.476
2017/08/27,328.119
2017/08/28,332.959
2017/08/29,341.38
2017/08/30,352.753
2017/08/31,363.331
2017/09/01,373.296
2017/09/02,373.137
2017/09/03,369.44
2017/09/04,356.892
2017/09/05,341.601
2017/09/06,336
2017/09/07,331.962
2017/09/08,326.858
2017/09/09,319.887
2017/09/10,312.803
2017/09/11,308.505
2017/09/12,306.294
2017/09/13,297.383
2017/09/14,285.012
2017/09/15,271.187
2017/09/16,265.284
2017/09/17,259.852
2017/09/18,264.784
2017/09/19,269.794
2017/09/20,275.147
2017/09/21,277.678
2017/09/22,275.886
2017/09/23,276.316
2017/09/24,278.678
2017/09/25,281.384
2017/09/26,284.242
2017/09/27,288.058
2017/09/28,293.403
2017/09/29,294.854
2017/09/30,297.3
2017/10/01,298.622
2017/10/02,299.217
2017/10/03,298.023
2017/10/04,296.77
2017/10/05,295.611
2017/10/06,296.633
2017/10/07,299.55
2017/10/08,302.864
2017/10/09,303.326
2017/10/10,303.063
2017/10/11,302.968
2017/10/12,303.69
2017/10/13,308.544
2017/10/14,317.033
2017/10/15,322.041
2017/10/16,328.196
2017/10/17,329.227
2017/10/18,324.301
2017/10/19,320.514
2017/10/20,315.838
2017/10/21,309.623
2017/10/22,304.509
2017/10/23,298.073
2017/10/24,298.108
2017/10/25,296.947
2017/10/26,296.316
2017/10/27,295.961
2017/10/28,295.594
2017/10/29,297.193
2017/10/30,299.837
2017/10/31,301.822
2017/11/01,301.666
2017/11/02,297.845
2017/11/03,297.021
2017/11/04,297.282
2017/11/05,296.939
2017/11/06,296.855
2017/11/07,296.48
2017/11/08,297.769
2017/11/09,303.276
2017/11/10,305.715
2017/11/11,306.718
2017/11/12,307.933
2017/11/13,310.214
2017/11/14,315.081
2017/11/15,320.756
2017/11/16,323.529
2017/11/17,326.564
2017/11/18,329.603
2017/11/19,336.803
2017/11/20,343.92
2017/11/21,350.441
2017/11/22,356.015
2017/11/23,368.429
2017/11/24,386.337
2017/11/25,410.029
2017/11/26,426.703
2017/11/27,443.876
2017/11/28,455.816
2017/11/29,464.18
2017/11/30,459.596
