Date,hashrate90var
2016/01/01,4.3691869552651E+21
2016/01/02,4.2713251485383E+21
2016/01/03,4.2211726883778E+21
2016/01/04,4.1200109512131E+21
2016/01/05,4.0178003733748E+21
2016/01/06,3.9332186845585E+21
2016/01/07,3.7842992869652E+21
2016/01/08,3.6432803747416E+21
2016/01/09,3.5519349033082E+21
2016/01/10,3.4483998384604E+21
2016/01/11,3.3946596473438E+21
2016/01/12,3.3010928309036E+21
2016/01/13,3.1390820536214E+21
2016/01/14,2.9110563722611E+21
2016/01/15,2.772371160723E+21
2016/01/16,2.6019709615577E+21
2016/01/17,2.407486643515E+21
2016/01/18,2.2331219756995E+21
2016/01/19,2.0330755046349E+21
2016/01/20,1.759727220565E+21
2016/01/21,1.6037952063657E+21
2016/01/22,1.5406042186551E+21
2016/01/23,1.5003916428428E+21
2016/01/24,1.5063374837761E+21
2016/01/25,1.4958876716598E+21
2016/01/26,1.6071745155525E+21
2016/01/27,1.7397143733825E+21
2016/01/28,1.8703400008881E+21
2016/01/29,2.066095802262E+21
2016/01/30,2.2559917971908E+21
2016/01/31,2.3637404346271E+21
2016/02/01,2.5364719986953E+21
2016/02/02,2.6485796246107E+21
2016/02/03,2.8725476430124E+21
2016/02/04,3.0801393598384E+21
2016/02/05,3.2722914238071E+21
2016/02/06,3.4103559599664E+21
2016/02/07,3.592091536978E+21
2016/02/08,3.8764441048453E+21
2016/02/09,4.0719480623164E+21
2016/02/10,4.3287111761148E+21
2016/02/11,4.696393319247E+21
2016/02/12,4.9574257245682E+21
2016/02/13,5.3943560856018E+21
2016/02/14,5.8563833675979E+21
2016/02/15,6.3917773299018E+21
2016/02/16,6.8973158676036E+21
2016/02/17,7.3026421303957E+21
2016/02/18,7.4982830289029E+21
2016/02/19,7.8751301876597E+21
2016/02/20,8.2535618180006E+21
2016/02/21,8.6655590787918E+21
2016/02/22,9.2322106456444E+21
2016/02/23,9.7492453150025E+21
2016/02/24,1.0217152324973E+22
2016/02/25,1.076252567527E+22
2016/02/26,1.1436945837892E+22
2016/02/27,1.2171350704695E+22
2016/02/28,1.2996052513478E+22
2016/02/29,1.3624026068464E+22
2016/03/01,1.4207380480845E+22
2016/03/02,1.5062358453441E+22
2016/03/03,1.5959593840701E+22
2016/03/04,1.704729404166E+22
2016/03/05,1.8370741905875E+22
2016/03/06,1.9661941217439E+22
2016/03/07,2.0907536815499E+22
2016/03/08,2.2284538486285E+22
2016/03/09,2.3805087478696E+22
2016/03/10,2.5685226393654E+22
2016/03/11,2.7763428144163E+22
2016/03/12,3.0566528589962E+22
2016/03/13,3.4124455670286E+22
2016/03/14,3.7062898696512E+22
2016/03/15,4.038119099645E+22
2016/03/16,4.3982535786556E+22
2016/03/17,4.8061494497042E+22
2016/03/18,5.1766516267555E+22
2016/03/19,5.6140474170093E+22
2016/03/20,6.0779884932298E+22
2016/03/21,6.5056821610769E+22
2016/03/22,6.9634566567923E+22
2016/03/23,7.285217641947E+22
2016/03/24,7.7533930149281E+22
2016/03/25,8.3025933283594E+22
2016/03/26,8.9143285455542E+22
2016/03/27,9.5342799704351E+22
2016/03/28,1.0064977418883E+23
2016/03/29,1.0669209628215E+23
2016/03/30,1.1322254503013E+23
2016/03/31,1.2034846837822E+23
2016/04/01,1.2751107060423E+23
2016/04/02,1.3325959699586E+23
2016/04/03,1.404759988353E+23
2016/04/04,1.4904820088598E+23
2016/04/05,1.5738763945776E+23
2016/04/06,1.6451850084628E+23
2016/04/07,1.6988221834706E+23
2016/04/08,1.7800100130484E+23
2016/04/09,1.8520548654372E+23
2016/04/10,1.9379954518731E+23
2016/04/11,2.0025183936354E+23
2016/04/12,2.0527391839015E+23
2016/04/13,2.1200495495869E+23
2016/04/14,2.1862922257602E+23
2016/04/15,2.2653897599319E+23
2016/04/16,2.3442111361438E+23
2016/04/17,2.4087518583161E+23
2016/04/18,2.4942413998082E+23
2016/04/19,2.5732949616901E+23
2016/04/20,2.6557209358217E+23
2016/04/21,2.7394130510936E+23
2016/04/22,2.8002724577126E+23
2016/04/23,2.8817979266826E+23
2016/04/24,2.9454501587449E+23
2016/04/25,3.0359393888969E+23
2016/04/26,3.1016150005914E+23
2016/04/27,3.1621618257819E+23
2016/04/28,3.2305909073159E+23
2016/04/29,3.3024045018398E+23
2016/04/30,3.385905862533E+23
2016/05/01,3.4608075075978E+23
2016/05/02,3.5026546556655E+23
2016/05/03,3.5762442152501E+23
2016/05/04,3.6335814732784E+23
2016/05/05,3.6852161114524E+23
2016/05/06,3.7261295450168E+23
2016/05/07,3.7592905178901E+23
2016/05/08,3.8008273357786E+23
2016/05/09,3.8341971739218E+23
2016/05/10,3.8757974719303E+23
2016/05/11,3.8912885301505E+23
2016/05/12,3.9066311632574E+23
2016/05/13,3.9625941727189E+23
2016/05/14,3.9992189382865E+23
2016/05/15,4.0347562854855E+23
2016/05/16,4.0577971491903E+23
2016/05/17,4.0657555778953E+23
2016/05/18,4.0862471139488E+23
2016/05/19,4.1219082443604E+23
2016/05/20,4.1628033775847E+23
2016/05/21,4.1996904311235E+23
2016/05/22,4.2301932940838E+23
2016/05/23,4.253575899337E+23
2016/05/24,4.2768517533692E+23
2016/05/25,4.2972597687645E+23
2016/05/26,4.3203317857273E+23
2016/05/27,4.3379536320794E+23
2016/05/28,4.3678184176629E+23
2016/05/29,4.3825144213138E+23
