Date,difficulty3roc
2016/09/05,-3.52
2016/09/06,-0.514
2016/09/07,4.15
2016/09/08,1.22
2016/09/09,0.161
2016/09/10,1.639
2016/09/11,3.929
2016/09/12,4.332
2016/09/13,2.76
2016/09/14,1.923
2016/09/15,2.655
2016/09/16,1.383
2016/09/17,3.962
2016/09/18,-1.22
2016/09/19,-13.414
2016/09/20,-0.879
2016/09/21,7.899
2016/09/22,13.391
2016/09/23,-2.793
2016/09/24,-4.771
2016/09/25,5.811
2016/09/26,3.817
2016/09/27,-3.624
2016/09/28,7.832
2016/09/29,10.959
2016/09/30,16.501
2016/10/01,-6.235
2016/10/02,-9.205
2016/10/03,-2.115
2016/10/04,13.38
2016/10/05,6.309
2016/10/06,2.772
2016/10/07,-19.194
2016/10/08,-5.68
2016/10/09,1.347
2016/10/10,23.629
2016/10/11,17.681
2016/10/12,-0.935
2016/10/13,-4.893
2016/10/14,2.57
2016/10/15,13.425
2016/10/16,15.779
2016/10/17,0.181
2016/10/18,-2.643
2016/10/19,-2.953
2016/10/20,0.724
2016/10/21,9.926
2016/10/22,12.382
2016/10/23,10.252
2016/10/24,-0.455
2016/10/25,0.843
2016/10/26,2.387
2016/10/27,2.918
2016/10/28,-2.803
2016/10/29,-18.846
2016/10/30,-27.03
2016/10/31,-19.729
2016/11/01,-13.742
2016/11/02,-15.256
2016/11/03,-24.674
2016/11/04,-22.074
2016/11/05,-18.1
2016/11/06,-16.041
2016/11/07,2.519
2016/11/08,26.902
2016/11/09,32.633
2016/11/10,6.711
2016/11/11,-9.935
2016/11/12,-11.731
2016/11/13,3.389
2016/11/14,12.425
2016/11/15,15.124
2016/11/16,5.092
2016/11/17,-2.318
2016/11/18,-4.556
2016/11/19,5.896
2016/11/20,17.744
2016/11/21,27.11
2016/11/22,12.688
2016/11/23,-3.505
2016/11/24,-19.347
2016/11/25,-18.613
2016/11/26,-8.694
2016/11/27,-3.798
2016/11/28,2.52
2016/11/29,-0.01
2016/11/30,5.739
2016/12/01,3.933
2016/12/02,3.268
2016/12/03,7.171
2016/12/04,7.627
2016/12/05,3.277
2016/12/06,-4.102
2016/12/07,-2.682
2016/12/08,3.762
2016/12/09,11.337
2016/12/10,9.97
2016/12/11,8.601
2016/12/12,2.015
2016/12/13,1.53
2016/12/14,-1.519
2016/12/15,2.047
2016/12/16,2.327
2016/12/17,3.497
2016/12/18,6.332
2016/12/19,5.662
2016/12/20,7.067
2016/12/21,2.679
2016/12/22,-0.394
2016/12/23,-9.217
2016/12/24,-14.63
2016/12/25,-11.069
2016/12/26,0.441
2016/12/27,5.225
2016/12/28,0.93
2016/12/29,-4.884
2016/12/30,-2.41
2016/12/31,2.001
2017/01/01,1.78
2017/01/02,2.018
2017/01/03,-0.652
2017/01/04,9.291
2017/01/05,11.794
2017/01/06,14.019
2017/01/07,7.017
2017/01/08,4.926
2017/01/09,6.038
2017/01/10,5.647
2017/01/11,4.826
2017/01/12,2.664
2017/01/13,2.668
2017/01/14,3.453
2017/01/15,3.666
2017/01/16,2.741
2017/01/17,1.268
2017/01/18,-1.533
2017/01/19,2.929
2017/01/20,2.928
2017/01/21,6.179
2017/01/22,1.518
2017/01/23,3.979
2017/01/24,1.409
2017/01/25,1.113
2017/01/26,0.49
2017/01/27,2.568
2017/01/28,1.433
2017/01/29,-0.875
2017/01/30,-1.545
2017/01/31,1.021
2017/02/01,0.794
2017/02/02,2.635
2017/02/03,-0.369
2017/02/04,0.994
2017/02/05,3.752
2017/02/06,6.154
2017/02/07,5.985
2017/02/08,1.759
2017/02/09,1.576
2017/02/10,4.198
2017/02/11,3.733
2017/02/12,4.415
2017/02/13,2.493
2017/02/14,4.207
2017/02/15,2.476
2017/02/16,1.938
2017/02/17,2.54
2017/02/18,4.185
2017/02/19,5.558
2017/02/20,2.858
2017/02/21,3.873
2017/02/22,2.412
2017/02/23,1.958
2017/02/24,0
2017/02/25,1.703
2017/02/26,5.46
2017/02/27,7.5
2017/02/28,8.123
2017/03/01,3.532
2017/03/02,1.318
2017/03/03,3.68
2017/03/04,3.988
2017/03/05,7.337
2017/03/06,3.836
2017/03/07,4.56
2017/03/08,4.02
2017/03/09,4.525
2017/03/10,4.227
2017/03/11,2.699
2017/03/12,2.215
2017/03/13,4.214
2017/03/14,2.68
2017/03/15,3.593
2017/03/16,3.118
2017/03/17,7.209
2017/03/18,7.315
2017/03/19,2.697
2017/03/20,3.422
2017/03/21,1.028
2017/03/22,5.64
2017/03/23,5.752
2017/03/24,5.695
2017/03/25,4.747
2017/03/26,4.882
2017/03/27,9.79
2017/03/28,8.685
2017/03/29,5.337
2017/03/30,2.299
2017/03/31,4.613
2017/04/01,2.605
2017/04/02,2.133
2017/04/03,-5.98
2017/04/04,0.644
2017/04/05,1.753
2017/04/06,10.117
2017/04/07,3.735
2017/04/08,2.52
2017/04/09,1.832
2017/04/10,2.564
2017/04/11,3.387
2017/04/12,3.068
2017/04/13,-0.456
2017/04/14,4.037
