Date,transactionfees7trxUSD
2016/01/01,-1.311
2016/01/02,-1.802
2016/01/03,-2.169
2016/01/04,-2.335
2016/01/05,-1.546
2016/01/06,-0.283
2016/01/07,0.492
2016/01/08,0.57
2016/01/09,1.025
2016/01/10,1.089
2016/01/11,0.795
2016/01/12,0.566
2016/01/13,1.003
2016/01/14,1.065
2016/01/15,0.972
2016/01/16,0.664
2016/01/17,0.048
2016/01/18,0.076
2016/01/19,0.498
2016/01/20,0.457
2016/01/21,0.363
2016/01/22,0.544
2016/01/23,0.445
2016/01/24,0.887
2016/01/25,2.216
2016/01/26,3.881
2016/01/27,5.908
2016/01/28,6.893
2016/01/29,6.911
2016/01/30,6.577
2016/01/31,5.891
2016/02/01,4.874
2016/02/02,3.683
2016/02/03,2.621
2016/02/04,2.093
2016/02/05,2.04
2016/02/06,6.142
2016/02/07,7.928
2016/02/08,7.654
2016/02/09,7.425
2016/02/10,7.936
2016/02/11,7.388
2016/02/12,6.457
2016/02/13,5.174
2016/02/14,3.721
2016/02/15,2.697
2016/02/16,1.866
2016/02/17,1.08
2016/02/18,0.181
2016/02/19,-0.284
2016/02/20,-0.816
2016/02/21,-1.262
2016/02/22,-1.266
2016/02/23,2.338
2016/02/24,4.458
2016/02/25,4.553
2016/02/26,4.45
2016/02/27,3.441
2016/02/28,2.323
2016/02/29,1.386
2016/03/01,0.666
2016/03/02,0.507
2016/03/03,0.583
2016/03/04,0.706
2016/03/05,0.947
2016/03/06,1.34
2016/03/07,1.486
2016/03/08,1.454
2016/03/09,1.069
2016/03/10,0.378
2016/03/11,-0.373
2016/03/12,-0.781
2016/03/13,-0.744
2016/03/14,-0.502
2016/03/15,-0.545
2016/03/16,-0.564
2016/03/17,-0.625
2016/03/18,-0.969
2016/03/19,-0.757
2016/03/20,-0.615
2016/03/21,-0.556
2016/03/22,-0.767
2016/03/23,-0.653
2016/03/24,-0.325
2016/03/25,-0.076
2016/03/26,-0.102
2016/03/27,-0.72
2016/03/28,-1.225
2016/03/29,-1.682
2016/03/30,-1.49
2016/03/31,-1.428
2016/04/01,-1.512
2016/04/02,-1.837
2016/04/03,-2.215
2016/04/04,-2.378
2016/04/05,-2.425
2016/04/06,-2.491
2016/04/07,-2.558
2016/04/08,-2.527
2016/04/09,-2.651
2016/04/10,-2.948
2016/04/11,-3.253
2016/04/12,-3.494
2016/04/13,-3.257
2016/04/14,-2.673
2016/04/15,-2.402
2016/04/16,-2.477
2016/04/17,-2.169
2016/04/18,-2.04
2016/04/19,-2.016
2016/04/20,-1.8
2016/04/21,-1.333
2016/04/22,-1.221
2016/04/23,-1.338
2016/04/24,-1.397
2016/04/25,-1.442
2016/04/26,-1.554
2016/04/27,-1.731
2016/04/28,-1.811
2016/04/29,-1.869
2016/04/30,-1.576
2016/05/01,-0.503
2016/05/02,0.253
2016/05/03,0.895
2016/05/04,1.396
2016/05/05,1.926
2016/05/06,2.488
2016/05/07,2.392
2016/05/08,2.118
2016/05/09,1.721
2016/05/10,1.293
2016/05/11,1.184
2016/05/12,1.523
2016/05/13,2.126
2016/05/14,2.295
2016/05/15,2.098
2016/05/16,1.838
2016/05/17,1.686
2016/05/18,1.919
2016/05/19,2.327
2016/05/20,3.034
2016/05/21,3.476
2016/05/22,3.511
2016/05/23,3.143
2016/05/24,2.481
2016/05/25,1.796
2016/05/26,1.172
2016/05/27,0.677
2016/05/28,1.041
2016/05/29,1.185
2016/05/30,1.034
2016/05/31,0.784
2016/06/01,0.678
2016/06/02,0.434
2016/06/03,0.104
2016/06/04,-0.19
2016/06/05,-0.444
2016/06/06,-0.546
2016/06/07,1.3
2016/06/08,1.939
2016/06/09,1.97
2016/06/10,1.672
2016/06/11,1.279
2016/06/12,0.872
2016/06/13,0.993
2016/06/14,1.383
2016/06/15,1.646
2016/06/16,2.561
2016/06/17,9.323
2016/06/18,15.382
2016/06/19,13.631
2016/06/20,9.933
2016/06/21,7.138
2016/06/22,4.562
2016/06/23,2.061
2016/06/24,0.131
2016/06/25,-1.397
2016/06/26,-2.685
2016/06/27,-3.655
2016/06/28,-4.334
2016/06/29,-4.403
2016/06/30,-3.818
2016/07/01,-3.248
2016/07/02,-3.343
2016/07/03,-3.535
2016/07/04,-3.866
2016/07/05,-4.157
2016/07/06,-4.327
2016/07/07,-4.577
2016/07/08,-4.414
2016/07/09,-3.532
2016/07/10,-3.133
2016/07/11,-2.957
2016/07/12,-2.788
2016/07/13,-2.787
2016/07/14,-2.656
2016/07/15,-2.438
2016/07/16,-2.348
2016/07/17,-2.441
2016/07/18,-2.426
2016/07/19,-2.327
2016/07/20,-0.277
2016/07/21,0.787
2016/07/22,1.392
2016/07/23,1.709
2016/07/24,1.474
2016/07/25,1.205
2016/07/26,0.922
2016/07/27,0.612
2016/07/28,1.597
2016/07/29,2.171
2016/07/30,1.917
2016/07/31,1.122
2016/08/01,0.243
2016/08/02,-0.634
2016/08/03,-1.479
2016/08/04,-2.02
2016/08/05,-2.329
2016/08/06,-2.583
2016/08/07,-2.698
2016/08/08,-1.536
2016/08/09,-0.972
2016/08/10,-0.574
2016/08/11,-0.463
2016/08/12,-0.461
2016/08/13,-0.664
2016/08/14,-0.968
2016/08/15,-1.197
2016/08/16,-1.359
2016/08/17,-1.463
2016/08/18,-1.282
2016/08/19,-1.124
2016/08/20,-1.046
2016/08/21,-0.918
2016/08/22,-0.77
2016/08/23,1.171
2016/08/24,1.637
2016/08/25,1.423
2016/08/26,1.002
2016/08/27,0.388
2016/08/28,-0.219
2016/08/29,-0.65
2016/08/30,-0.83
2016/08/31,-0.904
2016/09/01,-0.77
2016/09/02,-0.215
2016/09/03,-0.08
2016/09/04,0.794
2016/09/05,1.008
2016/09/06,0.9
2016/09/07,0.716
2016/09/08,0.576
2016/09/09,0.568
2016/09/10,0.323
2016/09/11,0.082
2016/09/12,0.127
2016/09/13,0.173
2016/09/14,0.112
2016/09/15,0.057
2016/09/16,0.328
2016/09/17,0.601
2016/09/18,0.912
2016/09/19,0.949
2016/09/20,0.763
2016/09/21,0.692
2016/09/22,1.818
2016/09/23,3.68
2016/09/24,5.828
2016/09/25,7.614
2016/09/26,10.356
2016/09/27,11.326
2016/09/28,10.325
2016/09/29,7.87
2016/09/30,5.522
2016/10/01,4.332
2016/10/02,3.67
2016/10/03,2.868
2016/10/04,2.267
2016/10/05,1.822
2016/10/06,1.252
2016/10/07,0.541
