Date,sentbyaddress90roc
2016/01/01,72.584
2016/01/02,85.665
2016/01/03,85.763
2016/01/04,79.603
2016/01/05,85.131
2016/01/06,93.873
2016/01/07,99.078
2016/01/08,107.566
2016/01/09,100.476
2016/01/10,121.394
2016/01/11,121.395
2016/01/12,108.996
2016/01/13,102.283
2016/01/14,95.805
2016/01/15,126.99
2016/01/16,88.875
2016/01/17,70.19
2016/01/18,98.925
2016/01/19,77.205
2016/01/20,139.812
2016/01/21,61.442
2016/01/22,84.005
2016/01/23,104.575
2016/01/24,113.982
2016/01/25,93.565
2016/01/26,101.371
2016/01/27,63.909
2016/01/28,58.935
2016/01/29,65.385
2016/01/30,72.169
2016/01/31,57.658
2016/02/01,65.172
2016/02/02,62.047
2016/02/03,57.376
2016/02/04,60.435
2016/02/05,73.98
2016/02/06,64.057
2016/02/07,59.613
2016/02/08,82.52
2016/02/09,96.746
2016/02/10,168.724
2016/02/11,183.92
2016/02/12,166.452
2016/02/13,151.928
2016/02/14,108.569
2016/02/15,111.715
2016/02/16,110.813
2016/02/17,110.781
2016/02/18,155.243
2016/02/19,141.841
2016/02/20,145.959
2016/02/21,204.837
2016/02/22,169.21
2016/02/23,165.984
2016/02/24,153.158
2016/02/25,218.738
2016/02/26,185.864
2016/02/27,184.601
2016/02/28,238.668
2016/02/29,308.859
2016/03/01,360.768
2016/03/02,349.4
2016/03/03,399.275
2016/03/04,387.525
2016/03/05,338.204
2016/03/06,315.581
2016/03/07,300.893
2016/03/08,385.276
2016/03/09,351.693
2016/03/10,381.393
2016/03/11,243.311
2016/03/12,297.05
2016/03/13,233.091
2016/03/14,239.206
2016/03/15,225.134
2016/03/16,172.129
2016/03/17,239.013
2016/03/18,249.804
2016/03/19,197.189
2016/03/20,191.146
2016/03/21,222.152
2016/03/22,201.071
2016/03/23,207.708
2016/03/24,209.972
2016/03/25,185.19
2016/03/26,183.322
2016/03/27,189.122
2016/03/28,206.487
2016/03/29,310.143
2016/03/30,257.418
2016/03/31,216.146
2016/04/01,184.558
2016/04/02,169.098
2016/04/03,164.886
2016/04/04,202.514
2016/04/05,196.78
2016/04/06,185.822
2016/04/07,192.102
2016/04/08,176.128
2016/04/09,168.404
2016/04/10,188.094
2016/04/11,139.189
