Date,activeaddresses14ema
2016/01/01,3373
2016/01/02,3390
2016/01/03,3414
2016/01/04,3448
2016/01/05,3476
2016/01/06,3524
2016/01/07,3595
2016/01/08,3633
2016/01/09,3658
2016/01/10,3708
2016/01/11,3784
2016/01/12,3862
2016/01/13,3890
2016/01/14,3900
2016/01/15,3967
2016/01/16,3956
2016/01/17,3928
2016/01/18,3982
2016/01/19,3996
2016/01/20,4092
2016/01/21,4102
2016/01/22,4134
2016/01/23,4226
2016/01/24,4366
2016/01/25,4539
2016/01/26,4741
2016/01/27,4853
2016/01/28,5019
2016/01/29,5138
2016/01/30,5244
2016/01/31,5355
2016/02/01,5416
2016/02/02,5461
2016/02/03,5521
2016/02/04,5535
2016/02/05,5647
2016/02/06,5619
2016/02/07,5627
2016/02/08,5702
2016/02/09,5816
2016/02/10,6109
2016/02/11,6647
2016/02/12,6906
2016/02/13,7077
2016/02/14,7115
2016/02/15,7186
2016/02/16,7248
2016/02/17,7327
2016/02/18,7363
2016/02/19,7406
2016/02/20,7383
2016/02/21,7498
2016/02/22,7593
2016/02/23,7683
2016/02/24,7750
2016/02/25,7902
2016/02/26,7931
2016/02/27,7968
2016/02/28,8073
2016/02/29,8239
2016/03/01,8497
2016/03/02,8852
2016/03/03,9253
2016/03/04,9577
2016/03/05,10102
2016/03/06,10490
2016/03/07,10522
2016/03/08,10781
2016/03/09,10954
2016/03/10,11252
2016/03/11,11392
2016/03/12,11691
2016/03/13,11923
2016/03/14,12208
2016/03/15,12428
2016/03/16,12587
2016/03/17,12768
2016/03/18,13097
2016/03/19,13182
2016/03/20,13283
2016/03/21,13358
2016/03/22,13416
2016/03/23,13580
2016/03/24,13627
2016/03/25,13705
2016/03/26,13710
2016/03/27,13860
2016/03/28,14014
2016/03/29,14375
2016/03/30,14811
2016/03/31,14917
2016/04/01,14951
2016/04/02,14944
2016/04/03,14999
2016/04/04,15154
2016/04/05,15368
2016/04/06,15417
2016/04/07,15617
2016/04/08,15566
2016/04/09,15689
2016/04/10,15867
2016/04/11,15916
2016/04/12,16039
2016/04/13,16235
2016/04/14,16328
2016/04/15,16330
2016/04/16,16333
2016/04/17,16444
2016/04/18,16545
2016/04/19,16617
2016/04/20,16731
2016/04/21,16808
2016/04/22,16845
2016/04/23,16859
2016/04/24,16958
2016/04/25,17032
2016/04/26,17122
2016/04/27,17205
2016/04/28,17214
2016/04/29,17569
2016/04/30,18687
2016/05/01,18930
2016/05/02,19576
2016/05/03,19717
2016/05/04,19762
2016/05/05,19846
2016/05/06,19900
2016/05/07,19872
2016/05/08,20112
2016/05/09,20406
2016/05/10,20542
2016/05/11,20973
2016/05/12,21374
2016/05/13,22023
2016/05/14,22262
2016/05/15,22324
2016/05/16,22179
2016/05/17,22334
2016/05/18,22861
2016/05/19,23168
2016/05/20,23266
2016/05/21,23228
2016/05/22,22947
2016/05/23,23275
2016/05/24,23377
2016/05/25,23536
2016/05/26,24558
2016/05/27,25050
2016/05/28,26851
2016/05/29,26671
2016/05/30,26294
2016/05/31,26108
2016/06/01,25773
2016/06/02,25436
2016/06/03,25105
2016/06/04,24710
2016/06/05,24389
2016/06/06,24260
2016/06/07,24141
2016/06/08,24105
2016/06/09,23974
2016/06/10,23943
2016/06/11,23405
2016/06/12,23577
2016/06/13,24220
2016/06/14,24806
2016/06/15,24920
2016/06/16,24841
2016/06/17,26190
2016/06/18,27053
2016/06/19,27308
2016/06/20,27313
2016/06/21,27329
2016/06/22,27680
2016/06/23,27400
2016/06/24,27174
2016/06/25,26669
2016/06/26,26718
2016/06/27,26414
2016/06/28,26467
2016/06/29,26349
2016/06/30,26189
2016/07/01,25978
2016/07/02,25850
2016/07/03,25687
2016/07/04,25702
2016/07/05,25694
2016/07/06,25604
2016/07/07,25543
2016/07/08,25574
2016/07/09,25481
2016/07/10,25404
2016/07/11,25310
2016/07/12,25333
2016/07/13,24953
2016/07/14,25079
2016/07/15,25109
2016/07/16,25012
2016/07/17,24480
2016/07/18,24337
2016/07/19,25148
2016/07/20,25933
2016/07/21,26286
2016/07/22,26955
2016/07/23,27180
2016/07/24,28370
2016/07/25,28989
2016/07/26,30619
2016/07/27,31557
2016/07/28,31804
2016/07/29,31564
2016/07/30,31006
2016/07/31,30754
2016/08/01,30561
2016/08/02,30270
2016/08/03,30192
2016/08/04,30091
2016/08/05,29730
2016/08/06,29257
2016/08/07,28918
2016/08/08,28698
2016/08/09,28890
2016/08/10,28762
2016/08/11,29011
2016/08/12,28702
2016/08/13,28318
2016/08/14,28039
2016/08/15,27913
2016/08/16,28178
2016/08/17,28025
2016/08/18,27850
2016/08/19,27756
2016/08/20,27656
2016/08/21,27598
2016/08/22,27461
2016/08/23,27684
2016/08/24,27595
2016/08/25,27815
