Date,fee_to_reward14emaUSD
2016/01/01,0.147
2016/01/02,0.136
2016/01/03,0.127
2016/01/04,0.12
2016/01/05,0.132
2016/01/06,0.145
2016/01/07,0.156
2016/01/08,0.148
2016/01/09,0.146
2016/01/10,0.139
2016/01/11,0.133
2016/01/12,0.128
2016/01/13,0.14
2016/01/14,0.134
2016/01/15,0.127
2016/01/16,0.122
2016/01/17,0.114
2016/01/18,0.114
2016/01/19,0.116
2016/01/20,0.11
2016/01/21,0.105
2016/01/22,0.107
2016/01/23,0.101
2016/01/24,0.099
2016/01/25,0.106
2016/01/26,0.11
2016/01/27,0.123
2016/01/28,0.127
2016/01/29,0.129
2016/01/30,0.129
2016/01/31,0.128
2016/02/01,0.127
2016/02/02,0.125
2016/02/03,0.121
2016/02/04,0.121
2016/02/05,0.123
2016/02/06,0.167
2016/02/07,0.168
2016/02/08,0.163
2016/02/09,0.165
2016/02/10,0.171
2016/02/11,0.17
2016/02/12,0.164
2016/02/13,0.159
2016/02/14,0.152
2016/02/15,0.147
2016/02/16,0.143
2016/02/17,0.144
2016/02/18,0.14
2016/02/19,0.139
2016/02/20,0.133
2016/02/21,0.129
2016/02/22,0.127
2016/02/23,0.156
2016/02/24,0.161
2016/02/25,0.154
2016/02/26,0.158
2016/02/27,0.151
2016/02/28,0.145
2016/02/29,0.143
2016/03/01,0.14
2016/03/02,0.14
2016/03/03,0.139
2016/03/04,0.137
2016/03/05,0.135
2016/03/06,0.136
2016/03/07,0.133
2016/03/08,0.131
2016/03/09,0.127
2016/03/10,0.12
2016/03/11,0.114
2016/03/12,0.11
2016/03/13,0.108
2016/03/14,0.107
2016/03/15,0.103
2016/03/16,0.099
2016/03/17,0.099
2016/03/18,0.097
2016/03/19,0.102
2016/03/20,0.103
2016/03/21,0.103
2016/03/22,0.1
2016/03/23,0.1
2016/03/24,0.103
2016/03/25,0.106
2016/03/26,0.106
2016/03/27,0.1
2016/03/28,0.097
2016/03/29,0.094
2016/03/30,0.096
2016/03/31,0.094
2016/04/01,0.091
2016/04/02,0.087
2016/04/03,0.082
2016/04/04,0.082
