Date,activeaddresses7std
2016/01/01,270.487
2016/01/02,269.311
2016/01/03,226.215
2016/01/04,253.304
2016/01/05,264.424
2016/01/06,245.84
2016/01/07,394.826
2016/01/08,362.104
2016/01/09,307.556
2016/01/10,294.024
2016/01/11,373.69
2016/01/12,400.093
2016/01/13,363.345
2016/01/14,371.345
2016/01/15,402.924
2016/01/16,376.6
2016/01/17,467.34
2016/01/18,481.187
2016/01/19,432.505
2016/01/20,625.997
2016/01/21,605.347
2016/01/22,595.419
2016/01/23,683.523
2016/01/24,785.448
2016/01/25,1083
2016/01/26,1280
2016/01/27,1312
2016/01/28,1191
2016/01/29,846.798
2016/01/30,546.008
2016/01/31,381.129
2016/02/01,338.897
2016/02/02,337.356
2016/02/03,234.656
2016/02/04,269.371
2016/02/05,452.098
2016/02/06,565.184
2016/02/07,544.456
2016/02/08,610.344
2016/02/09,773.253
2016/02/10,1621
2016/02/11,3051
2016/02/12,3217
2016/02/13,2903
2016/02/14,2463
2016/02/15,2079
2016/02/16,1736
2016/02/17,1752
2016/02/18,776.521
2016/02/19,474.362
2016/02/20,384.305
2016/02/21,561.711
2016/02/22,661.389
2016/02/23,727.914
2016/02/24,760.423
2016/02/25,960.498
2016/02/26,898.12
2016/02/27,487.435
2016/02/28,576.513
2016/02/29,851.526
2016/03/01,1382
2016/03/02,2035
2016/03/03,2700
2016/03/04,2694
2016/03/05,3028
2016/03/06,2740
2016/03/07,2219
2016/03/08,1845
2016/03/09,1696
2016/03/10,1798
2016/03/11,1712
2016/03/12,1757
2016/03/13,1849
2016/03/14,1386
2016/03/15,1412
2016/03/16,1067
2016/03/17,1094
2016/03/18,1110
2016/03/19,1096
2016/03/20,1002
2016/03/21,1013
2016/03/22,1021
2016/03/23,1046
2016/03/24,1048
2016/03/25,592.214
2016/03/26,589.506
2016/03/27,813.114
2016/03/28,966.621
2016/03/29,1845
2016/03/30,2744
2016/03/31,2559
2016/04/01,2389
2016/04/02,1997
2016/04/03,1899
2016/04/04,1804
2016/04/05,1813
2016/04/06,1164
2016/04/07,1451
2016/04/08,1434
2016/04/09,1240
2016/04/10,1224
2016/04/11,1219
2016/04/12,1236
2016/04/13,1346
2016/04/14,1348
2016/04/15,823.319
2016/04/16,854.602
2016/04/17,885.407
2016/04/18,809.393
2016/04/19,816.015
2016/04/20,802.023
2016/04/21,843.835
2016/04/22,657.638
2016/04/23,314.282
2016/04/24,428.944
2016/04/25,464.615
2016/04/26,511.136
2016/04/27,571.382
2016/04/28,575.542
2016/04/29,1764
2016/04/30,5826
2016/05/01,5755
2016/05/02,6167
2016/05/03,5762
2016/05/04,5261
2016/05/05,4316
2016/05/06,4237
2016/05/07,2532
2016/05/08,2596
2016/05/09,1738
2016/05/10,1803
2016/05/11,2595
2016/05/12,3013
2016/05/13,3944
2016/05/14,3093
2016/05/15,2850
2016/05/16,3179
2016/05/17,2787
2016/05/18,3376
2016/05/19,3483
2016/05/20,3023
2016/05/21,3073
2016/05/22,3525
2016/05/23,3237
2016/05/24,3189
2016/05/25,2715
2016/05/26,5836
2016/05/27,6255
2016/05/28,10744
2016/05/29,9614
2016/05/30,9933
2016/05/31,9754
2016/06/01,9978
2016/06/02,10063
2016/06/03,10319
2016/06/04,2125
2016/06/05,1756
2016/06/06,1704
2016/06/07,1052
2016/06/08,1155
2016/06/09,1146
2016/06/10,1245
2016/06/11,2555
2016/06/12,2815
2016/06/13,4639
2016/06/14,5656
2016/06/15,5659
2016/06/16,5506
2016/06/17,8672
2016/06/18,7524
2016/06/19,6863
2016/06/20,6962
2016/06/21,7041
2016/06/22,6585
2016/06/23,6074
2016/06/24,4658
2016/06/25,4111
2016/06/26,3769
2016/06/27,3999
2016/06/28,3914
2016/06/29,2358
2016/06/30,2369
2016/07/01,2424
2016/07/02,1908
2016/07/03,1519
2016/07/04,1436
2016/07/05,899.086
2016/07/06,848.958
2016/07/07,848.744
2016/07/08,836.949
2016/07/09,866.997
2016/07/10,765.79
2016/07/11,752.447
2016/07/12,698.742
2016/07/13,1992
2016/07/14,2138
2016/07/15,2048
2016/07/16,2068
2016/07/17,3302
2016/07/18,3310
2016/07/19,5595
2016/07/20,6738
2016/07/21,6990
2016/07/22,7719
2016/07/23,7411
2016/07/24,7070
2016/07/25,4856
2016/07/26,8357
2016/07/27,8811
2016/07/28,7768
2016/07/29,8117
2016/07/30,8650
2016/07/31,9101
2016/08/01,9485
2016/08/02,6635
2016/08/03,3498
2016/08/04,1650
2016/08/05,1791
2016/08/06,2384
2016/08/07,2611
2016/08/08,2482
2016/08/09,2951
2016/08/10,2658
2016/08/11,3149
2016/08/12,3265
2016/08/13,3382
2016/08/14,3494
2016/08/15,3511
2016/08/16,3421
2016/08/17,3453
2016/08/18,2450
2016/08/19,2431
2016/08/20,2197
2016/08/21,2022
2016/08/22,2105
2016/08/23,1588
2016/08/24,1589
2016/08/25,2024
2016/08/26,1993
2016/08/27,1919
2016/08/28,1887
2016/08/29,1668
2016/08/30,1464
2016/08/31,1745
2016/09/01,2121
2016/09/02,2098
2016/09/03,2137
2016/09/04,2134
2016/09/05,2297
2016/09/06,2208
2016/09/07,2406
2016/09/08,2645
2016/09/09,2396
2016/09/10,2455
2016/09/11,2433
2016/09/12,2431
2016/09/13,2434
2016/09/14,2098
2016/09/15,907.752
2016/09/16,1297
2016/09/17,1014
2016/09/18,1774
2016/09/19,1823
2016/09/20,5541
2016/09/21,5457
2016/09/22,6614
2016/09/23,6984
2016/09/24,7153
2016/09/25,7350
2016/09/26,7578
2016/09/27,2983
2016/09/28,1095
2016/09/29,857.961
2016/09/30,858.192
2016/10/01,1210
2016/10/02,2109
2016/10/03,1934
2016/10/04,4162
2016/10/05,4840
2016/10/06,5208
2016/10/07,5425
2016/10/08,5199
2016/10/09,5154
2016/10/10,6048
2016/10/11,5155
2016/10/12,8418
2016/10/13,12153
2016/10/14,11778
2016/10/15,12038
2016/10/16,10691
2016/10/17,8602
2016/10/18,10449
2016/10/19,9853
2016/10/20,8398
2016/10/21,11729
2016/10/22,9936
2016/10/23,9086
2016/10/24,8792
2016/10/25,8623
2016/10/26,6602
2016/10/27,6556
2016/10/28,1146
2016/10/29,1676
2016/10/30,3193
2016/10/31,4051
2016/11/01,4243
2016/11/02,4464
2016/11/03,4465
2016/11/04,6911
2016/11/05,6977
2016/11/06,7280
2016/11/07,6479
2016/11/08,5903
2016/11/09,4949
2016/11/10,4339
2016/11/11,2939
2016/11/12,2947
2016/11/13,2133
2016/11/14,2331
2016/11/15,2336
2016/11/16,2399
2016/11/17,2352
2016/11/18,2089
2016/11/19,2174
2016/11/20,1303
2016/11/21,1203
2016/11/22,9904
2016/11/23,17722
2016/11/24,18099
2016/11/25,18063
2016/11/26,18778
2016/11/27,19207
2016/11/28,19263
2016/11/29,18620
2016/11/30,9047
2016/12/01,9026
2016/12/02,2289
2016/12/03,2179
2016/12/04,2055
2016/12/05,2042
2016/12/06,2974
2016/12/07,3248
2016/12/08,3019
2016/12/09,3013
2016/12/10,3097
2016/12/11,3118
2016/12/12,3130
2016/12/13,1477
2016/12/14,1679
2016/12/15,2211
2016/12/16,2224
2016/12/17,2119
2016/12/18,2751
2016/12/19,3028
2016/12/20,3040
2016/12/21,3090
2016/12/22,5937
2016/12/23,5890
2016/12/24,5830
2016/12/25,5913
2016/12/26,6642
2016/12/27,6814
2016/12/28,6816
2016/12/29,2900
2016/12/30,2071
2016/12/31,2415
2017/01/01,2393
2017/01/02,1974
2017/01/03,1827
2017/01/04,4155
2017/01/05,5422
2017/01/06,5493
2017/01/07,5451
2017/01/08,4528
2017/01/09,4004
2017/01/10,3394
2017/01/11,2964
2017/01/12,1877
2017/01/13,1774
2017/01/14,2291
2017/01/15,2402
2017/01/16,2222
2017/01/17,2356
2017/01/18,2282
2017/01/19,2079
2017/01/20,2302
2017/01/21,1866
2017/01/22,1496
2017/01/23,1352
2017/01/24,1348
2017/01/25,1461
2017/01/26,1551
2017/01/27,1195
2017/01/28,1363
2017/01/29,1600
2017/01/30,1601
2017/01/31,843.292
2017/02/01,1044
2017/02/02,1278
2017/02/03,1276
2017/02/04,1515
2017/02/05,1457
2017/02/06,1458
2017/02/07,1186
2017/02/08,1188
2017/02/09,1174
2017/02/10,1002
2017/02/11,1526
2017/02/12,1498
2017/02/13,2893
2017/02/14,3606
2017/02/15,4100
2017/02/16,3989
2017/02/17,3953
2017/02/18,2796
2017/02/19,1811
2017/02/20,1777
2017/02/21,1640
2017/02/22,1266
2017/02/23,1356
2017/02/24,2302
2017/02/25,2295
2017/02/26,1938
2017/02/27,2558
2017/02/28,5289
2017/03/01,6547
2017/03/02,10876
2017/03/03,11270
2017/03/04,10007
2017/03/05,8227
2017/03/06,6648
2017/03/07,7129
2017/03/08,7459
2017/03/09,4170
2017/03/10,3276
2017/03/11,3880
2017/03/12,5294
2017/03/13,13191
2017/03/14,12974
2017/03/15,12235
2017/03/16,20498
2017/03/17,22312
2017/03/18,19138
2017/03/19,16683
2017/03/20,17152
2017/03/21,16295
2017/03/22,16741
2017/03/23,13506
2017/03/24,6665
2017/03/25,5321
2017/03/26,5978
2017/03/27,6066
2017/03/28,6051
2017/03/29,5750
2017/03/30,8816
2017/03/31,14277
2017/04/01,14886
2017/04/02,13596
2017/04/03,15042
2017/04/04,14068
2017/04/05,13422
2017/04/06,13853
2017/04/07,12225
2017/04/08,13739
2017/04/09,16350
2017/04/10,13347
2017/04/11,13421
2017/04/12,12905
2017/04/13,6095
2017/04/14,6075
2017/04/15,5611
2017/04/16,6724
2017/04/17,7190
2017/04/18,7824
2017/04/19,8281
2017/04/20,9432
2017/04/21,9446
2017/04/22,9642
2017/04/23,7848
2017/04/24,6981
2017/04/25,6875
2017/04/26,9017
2017/04/27,16818
2017/04/28,17313
2017/04/29,15266
2017/04/30,12794
2017/05/01,13936
2017/05/02,10753
2017/05/03,9560
2017/05/04,12640
2017/05/05,13847
2017/05/06,12162
2017/05/07,10849
2017/05/08,14329
2017/05/09,14563
2017/05/10,11152
2017/05/11,11559
2017/05/12,11991
2017/05/13,12750
2017/05/14,13640
2017/05/15,11815
2017/05/16,11814
2017/05/17,11782
2017/05/18,16863
2017/05/19,29461
2017/05/20,25924
2017/05/21,23412
2017/05/22,29253
2017/05/23,34159
2017/05/24,30827
2017/05/25,30582
2017/05/26,30746
2017/05/27,23322
2017/05/28,22199
2017/05/29,23302
2017/05/30,21130
2017/05/31,21615
2017/06/01,29682
2017/06/02,29976
2017/06/03,27267
2017/06/04,21345
2017/06/05,16717
2017/06/06,18030
2017/06/07,18641
2017/06/08,15889
2017/06/09,18925
2017/06/10,20766
2017/06/11,27723
2017/06/12,54364
2017/06/13,62129
2017/06/14,58487
2017/06/15,47384
2017/06/16,39678
2017/06/17,33733
2017/06/18,33174
2017/06/19,25625
2017/06/20,21641
2017/06/21,26426
2017/06/22,33459
2017/06/23,35962
2017/06/24,32691
2017/06/25,37748
2017/06/26,53588
2017/06/27,53847
2017/06/28,47345
2017/06/29,46465
2017/06/30,45887
2017/07/01,47121
2017/07/02,42354
2017/07/03,19158
2017/07/04,20667
2017/07/05,20449
2017/07/06,20850
2017/07/07,25266
2017/07/08,29620
2017/07/09,37575
2017/07/10,37299
2017/07/11,37316
2017/07/12,37564
2017/07/13,39610
2017/07/14,35480
2017/07/15,36310
2017/07/16,32725
2017/07/17,25939
2017/07/18,19551
2017/07/19,16223
2017/07/20,16630
2017/07/21,16602
2017/07/22,25112
2017/07/23,27366
2017/07/24,27132
2017/07/25,26652
2017/07/26,26675
2017/07/27,25280
2017/07/28,25319
2017/07/29,25932
2017/07/30,19586
2017/07/31,27697
2017/08/01,27850
2017/08/02,27467
2017/08/03,27489
2017/08/04,29438
2017/08/05,25578
2017/08/06,22059
2017/08/07,22199
2017/08/08,36084
2017/08/09,34634
2017/08/10,40362
2017/08/11,45511
2017/08/12,41172
2017/08/13,30533
2017/08/14,46535
2017/08/15,54787
2017/08/16,49731
2017/08/17,53090
2017/08/18,57252
2017/08/19,49740
2017/08/20,55851
2017/08/21,54657
2017/08/22,57231
2017/08/23,55251
2017/08/24,51191
2017/08/25,32143
2017/08/26,43133
2017/08/27,43721
2017/08/28,38727
2017/08/29,47157
2017/08/30,53190
2017/08/31,61472
2017/09/01,63394
2017/09/02,51920
2017/09/03,51945
2017/09/04,62731
2017/09/05,67711
2017/09/06,76487
2017/09/07,76279
2017/09/08,76812
2017/09/09,70665
2017/09/10,64386
2017/09/11,62978
2017/09/12,60820
2017/09/13,47959
2017/09/14,46993
2017/09/15,58680
2017/09/16,60820
2017/09/17,69416
2017/09/18,68945
2017/09/19,66747
2017/09/20,69505
2017/09/21,69507
2017/09/22,46871
2017/09/23,53462
2017/09/24,55459
2017/09/25,40585
2017/09/26,32131
2017/09/27,25452
2017/09/28,27586
2017/09/29,30660
2017/09/30,23868
2017/10/01,26168
2017/10/02,26190
2017/10/03,26383
2017/10/04,27154
2017/10/05,24757
2017/10/06,18565
2017/10/07,19775
2017/10/08,14849
2017/10/09,14475
2017/10/10,28725
2017/10/11,32458
2017/10/12,35867
2017/10/13,48091
2017/10/14,41009
2017/10/15,35772
2017/10/16,33139
2017/10/17,43159
2017/10/18,43330
2017/10/19,43289
2017/10/20,41140
2017/10/21,39613
2017/10/22,34335
2017/10/23,22026
2017/10/24,19456
2017/10/25,20994
2017/10/26,16834
2017/10/27,17392
2017/10/28,172011
