Date,transactionvalue3varUSD
2016/01/01,192.741
2016/01/02,28.675
2016/01/03,34.252
2016/01/04,91.752
2016/01/05,348.079
2016/01/06,473.03
2016/01/07,473.378
2016/01/08,1.45
2016/01/09,1.755
2016/01/10,3.121
2016/01/11,229.766
2016/01/12,1457
2016/01/13,1146
2016/01/14,1292
2016/01/15,1713
2016/01/16,1180
2016/01/17,918.723
2016/01/18,8307
2016/01/19,6924
2016/01/20,4960
2016/01/21,587.763
2016/01/22,155.913
2016/01/23,2165
2016/01/24,8327
2016/01/25,3597
2016/01/26,1560
2016/01/27,2887
2016/01/28,1472
2016/01/29,105.277
2016/01/30,288.151
2016/01/31,490.403
2016/02/01,1583
2016/02/02,1766
2016/02/03,24.206
2016/02/04,423.749
2016/02/05,414.314
2016/02/06,982.642
2016/02/07,3777
2016/02/08,14229
2016/02/09,6162
2016/02/10,6066
2016/02/11,3299
2016/02/12,13071
2016/02/13,22741
2016/02/14,33377
2016/02/15,1708
2016/02/16,2835
2016/02/17,7188
2016/02/18,7084
2016/02/19,3962
2016/02/20,6939
2016/02/21,8417
2016/02/22,6235
2016/02/23,21954
2016/02/24,26675
2016/02/25,17797
2016/02/26,120543
2016/02/27,118528
2016/02/28,128112
2016/02/29,48986
2016/03/01,5945
2016/03/02,187376
2016/03/03,110964
2016/03/04,71939
2016/03/05,62109
2016/03/06,71693
2016/03/07,61108
2016/03/08,9154
2016/03/09,22980
2016/03/10,38857
2016/03/11,1139
2016/03/12,17853
2016/03/13,52115
2016/03/14,17036
2016/03/15,33410
2016/03/16,11043
2016/03/17,800.78
2016/03/18,8535
2016/03/19,46667
2016/03/20,67389
2016/03/21,2639
2016/03/22,2640
2016/03/23,1324
2016/03/24,1114
2016/03/25,2937
2016/03/26,6633
2016/03/27,19065
2016/03/28,17031
2016/03/29,6155
2016/03/30,6834
2016/03/31,2799
2016/04/01,15889
2016/04/02,7819
2016/04/03,707.705
2016/04/04,790.742
2016/04/05,1798
2016/04/06,551.479
2016/04/07,441.113
2016/04/08,965.318
2016/04/09,9473
2016/04/10,9444
2016/04/11,8221
2016/04/12,3333
2016/04/13,1163
2016/04/14,84.186
2016/04/15,2093
2016/04/16,2224
2016/04/17,899.694
2016/04/18,942.923
2016/04/19,1076
2016/04/20,830.335
2016/04/21,954.755
2016/04/22,1297
2016/04/23,3626
2016/04/24,4592
2016/04/25,4577
2016/04/26,4957
2016/04/27,2066
2016/04/28,1783
2016/04/29,572.952
2016/04/30,26631
2016/05/01,24016
2016/05/02,1671
2016/05/03,1121
2016/05/04,4273
2016/05/05,1531
2016/05/06,9254
2016/05/07,7264
2016/05/08,3784
2016/05/09,4679
2016/05/10,5434
2016/05/11,12809
2016/05/12,14548
2016/05/13,254293
2016/05/14,189392
2016/05/15,362235
2016/05/16,194060
2016/05/17,734.069
2016/05/18,2955
2016/05/19,35405
2016/05/20,17435
2016/05/21,49954
2016/05/22,43976
2016/05/23,4240
2016/05/24,14186
2016/05/25,2939
2016/05/26,8526
2016/05/27,14185
2016/05/28,16402
2016/05/29,20476
2016/05/30,1526
2016/05/31,297.523
2016/06/01,382.662
2016/06/02,2950
2016/06/03,1206
2016/06/04,433.041
2016/06/05,521.247
2016/06/06,5.624
2016/06/07,4161
2016/06/08,66012
2016/06/09,66652
2016/06/10,66022
2016/06/11,3992
2016/06/12,5661
2016/06/13,9638
2016/06/14,2965
2016/06/15,2603
2016/06/16,12750
2016/06/17,84406
2016/06/18,37207
2016/06/19,91138
2016/06/20,65144
2016/06/21,9662
2016/06/22,7149
2016/06/23,3903
2016/06/24,12541
2016/06/25,7540
2016/06/26,12823
2016/06/27,15960
2016/06/28,14563
2016/06/29,10442
2016/06/30,15506
2016/07/01,3358
2016/07/02,2577
2016/07/03,2851
2016/07/04,8098
2016/07/05,118653
2016/07/06,91771
2016/07/07,105670
2016/07/08,2713
2016/07/09,1437
2016/07/10,88.032
2016/07/11,615.534
2016/07/12,332.487
2016/07/13,630.126
2016/07/14,467.847
2016/07/15,169266
2016/07/16,175642
2016/07/17,172949
2016/07/18,74470
2016/07/19,896382
2016/07/20,1098715
2016/07/21,1441493
2016/07/22,1626557
2016/07/23,28468
2016/07/24,980372
2016/07/25,789134
2016/07/26,654367
2016/07/27,649723
2016/07/28,894047
2016/07/29,402900
2016/07/30,129827
2016/07/31,47075
2016/08/01,36319
2016/08/02,247596
2016/08/03,92111
2016/08/04,278962
2016/08/05,131183
2016/08/06,60222
2016/08/07,70746
2016/08/08,1110
2016/08/09,13691
2016/08/10,91065
2016/08/11,39917
2016/08/12,72164
2016/08/13,30486
2016/08/14,4317
2016/08/15,6008
2016/08/16,10214
2016/08/17,8723
2016/08/18,8640
2016/08/19,6360
2016/08/20,5217
2016/08/21,81409
2016/08/22,45752
2016/08/23,38870
2016/08/24,104455
2016/08/25,143290
2016/08/26,13623
2016/08/27,14126
2016/08/28,13655
2016/08/29,1013
2016/08/30,1384
2016/08/31,1324
2016/09/01,17078
2016/09/02,9402
2016/09/03,5440
2016/09/04,412.21
2016/09/05,3494
2016/09/06,4013
2016/09/07,58.872
2016/09/08,1914
2016/09/09,4436
2016/09/10,4846
2016/09/11,1161
2016/09/12,691.821
2016/09/13,253.265
2016/09/14,1892
2016/09/15,3091
2016/09/16,23996
2016/09/17,21414
2016/09/18,19008
2016/09/19,17683
2016/09/20,69772
2016/09/21,159144
2016/09/22,103216
2016/09/23,103831
2016/09/24,26027
2016/09/25,36551
2016/09/26,39050
2016/09/27,49516
2016/09/28,37678
2016/09/29,39274
2016/09/30,35740
2016/10/01,41457
2016/10/02,11290
2016/10/03,17276
2016/10/04,19505
2016/10/05,5811
2016/10/06,5825
2016/10/07,693.791
2016/10/08,905.635
2016/10/09,38386
2016/10/10,28525
2016/10/11,450.311
2016/10/12,29023
2016/10/13,72489
2016/10/14,72560
2016/10/15,28214
2016/10/16,19472
2016/10/17,5148
2016/10/18,3755
2016/10/19,21132
2016/10/20,41715
2016/10/21,7446
2016/10/22,886.106
2016/10/23,158.373
2016/10/24,36.334
2016/10/25,3202
2016/10/26,2567
2016/10/27,196.026
2016/10/28,7163
2016/10/29,11729
2016/10/30,9746
2016/10/31,20186
2016/11/01,25003
2016/11/02,99664
2016/11/03,682209
2016/11/04,813220
2016/11/05,1112399
2016/11/06,9699
2016/11/07,1724
2016/11/08,25.838
2016/11/09,29023
2016/11/10,22811
2016/11/11,79294
2016/11/12,98359
2016/11/13,94717
2016/11/14,7057
2016/11/15,4929
2016/11/16,3632
2016/11/17,64957
2016/11/18,63720
2016/11/19,70185
2016/11/20,1541
2016/11/21,909.023
2016/11/22,24267
2016/11/23,18832
2016/11/24,11503
2016/11/25,4581
2016/11/26,1227
2016/11/27,1931
2016/11/28,55.603
2016/11/29,1603
2016/11/30,2211
2016/12/01,106.279
2016/12/02,33389
2016/12/03,78078
2016/12/04,58282
2016/12/05,58281
2016/12/06,52350
2016/12/07,31635
2016/12/08,35287
2016/12/09,1202
2016/12/10,12332
2016/12/11,8134
2016/12/12,5443
2016/12/13,7931
2016/12/14,301.028
2016/12/15,6433
2016/12/16,5518
2016/12/17,21018
2016/12/18,20480
2016/12/19,22845
2016/12/20,11234
2016/12/21,1414
2016/12/22,8321
2016/12/23,95615
2016/12/24,73913
2016/12/25,119418
2016/12/26,15254
2016/12/27,726.76
2016/12/28,17393
2016/12/29,52439
2016/12/30,17133
2016/12/31,68934
2017/01/01,128828
2017/01/02,130367
2017/01/03,59135
2017/01/04,180903
2017/01/05,107389
2017/01/06,1491
2017/01/07,113562
2017/01/08,210561
2017/01/09,36750
2017/01/10,37102
2017/01/11,217.188
2017/01/12,5351
2017/01/13,53698
2017/01/14,69339
2017/01/15,20365
2017/01/16,1018
2017/01/17,7357
2017/01/18,5057
2017/01/19,3259
2017/01/20,36400
2017/01/21,32963
2017/01/22,34070
2017/01/23,144.314
2017/01/24,559.205
2017/01/25,442.253
2017/01/26,935.432
2017/01/27,105.021
2017/01/28,2036
2017/01/29,1555
2017/01/30,988.718
2017/01/31,3780
2017/02/01,4707
2017/02/02,18.171
2017/02/03,2698
2017/02/04,3585
2017/02/05,13449
2017/02/06,11157
2017/02/07,3747
2017/02/08,675.079
2017/02/09,353.025
2017/02/10,1118
2017/02/11,2526
2017/02/12,2458
2017/02/13,1059
2017/02/14,47923
2017/02/15,91821
2017/02/16,22180
2017/02/17,24931
2017/02/18,637.591
2017/02/19,552.364
2017/02/20,12.521
2017/02/21,8460
2017/02/22,6668
2017/02/23,3778
2017/02/24,66580
2017/02/25,54281
2017/02/26,31641
2017/02/27,601524
2017/02/28,685339
2017/03/01,60816
2017/03/02,432532
2017/03/03,637629
2017/03/04,392215
2017/03/05,744558
2017/03/06,893832
2017/03/07,1019095
2017/03/08,781738
2017/03/09,115061
2017/03/10,21624
2017/03/11,219663
2017/03/12,3332312
2017/03/13,1728553
2017/03/14,4586728
2017/03/15,2491437
2017/03/16,16719361
2017/03/17,12527689
2017/03/18,3820343
2017/03/19,10214190
2017/03/20,11832300
2017/03/21,3241307
2017/03/22,1789307
2017/03/23,132029
2017/03/24,1345252
2017/03/25,1060620
2017/03/26,872164
2017/03/27,361986
2017/03/28,67211
2017/03/29,416029
2017/03/30,1529120
2017/03/31,1063741
2017/04/01,2068483
2017/04/02,1030498
2017/04/03,1080428
2017/04/04,3417848
2017/04/05,2064759
2017/04/06,2397114
2017/04/07,5649205
2017/04/08,5573488
2017/04/09,645464
2017/04/10,172541
2017/04/11,201467
2017/04/12,70118
2017/04/13,403410
2017/04/14,187457
2017/04/15,636258
2017/04/16,1538701
2017/04/17,188354
2017/04/18,2980128
2017/04/19,3251890
2017/04/20,259529
2017/04/21,437669
2017/04/22,606976
2017/04/23,13009
2017/04/24,150818
2017/04/25,228304
2017/04/26,837170
2017/04/27,2922843
2017/04/28,1215625
2017/04/29,969278
2017/04/30,1679002
2017/05/01,7529621
2017/05/02,4136204
2017/05/03,2741120
2017/05/04,2640753
2017/05/05,1373077
2017/05/06,4153116
2017/05/07,4128122
2017/05/08,1424469
2017/05/09,1639428
2017/05/10,18259
2017/05/11,1231899
2017/05/12,1006346
2017/05/13,5364958
2017/05/14,3180809
2017/05/15,400357
2017/05/16,5615020
2017/05/17,10040955
2017/05/18,18752057
2017/05/19,2747568
2017/05/20,2871562
2017/05/21,836872
2017/05/22,44224626
2017/05/23,30638187
2017/05/24,20152423
2017/05/25,439717
2017/05/26,625963
2017/05/27,4671601
2017/05/28,7905346
2017/05/29,306606
2017/05/30,767490
2017/05/31,32826744
2017/06/01,22078779
2017/06/02,7214697
2017/06/03,139296
2017/06/04,234060
2017/06/05,2522915
2017/06/06,9896889
2017/06/07,3084827
2017/06/08,4165734
2017/06/09,1210643
2017/06/10,5343049
2017/06/11,2843411
2017/06/12,60168056
2017/06/13,45267681
2017/06/14,30310906
2017/06/15,15639070
2017/06/16,7781842
2017/06/17,24864616
2017/06/18,27505661
2017/06/19,346378
2017/06/20,2025641
2017/06/21,11637582
2017/06/22,13672521
2017/06/23,2037288
2017/06/24,3945297
2017/06/25,15367027
2017/06/26,14562418
2017/06/27,6172522
2017/06/28,1387658
2017/06/29,682596
2017/06/30,618491
2017/07/01,1380857
2017/07/02,2611589
2017/07/03,44088168
2017/07/04,42985184
2017/07/05,47774887
2017/07/06,32901413
2017/07/07,498846
2017/07/08,270061
2017/07/09,3346640
2017/07/10,3501187
2017/07/11,4766971
2017/07/12,251510
2017/07/13,16006339
2017/07/14,20428557
2017/07/15,1119956
2017/07/16,2857434
2017/07/17,2818458
2017/07/18,3071301
2017/07/19,2869555
2017/07/20,562115
2017/07/21,877753
2017/07/22,44599259
2017/07/23,47759949
2017/07/24,34409519
2017/07/25,38049353
2017/07/26,1653016
2017/07/27,1586473
2017/07/28,1138850
2017/07/29,714299
2017/07/30,9918175
2017/07/31,32932036
2017/08/01,7836868
2017/08/02,1168631
2017/08/03,935388
2017/08/04,619716
2017/08/05,427199
2017/08/06,608124
2017/08/07,168026
2017/08/08,215936
2017/08/09,1304688
2017/08/10,22596484
2017/08/11,130765732
2017/08/12,62034162
2017/08/13,37692305
2017/08/14,16653749
2017/08/15,31761208
2017/08/16,7835697
2017/08/17,1549117
2017/08/18,21763
2017/08/19,561012
2017/08/20,389716
2017/08/21,172674
2017/08/22,56493
2017/08/23,337984
2017/08/24,354992
2017/08/25,350233
2017/08/26,4701697
2017/08/27,37802170
2017/08/28,75894395
2017/08/29,10410087
2017/08/30,35766656
2017/08/31,57801120
2017/09/01,70537956
2017/09/02,495305
2017/09/03,2040741
2017/09/04,1983260
2017/09/05,382611
2017/09/06,155936
2017/09/07,1191928
2017/09/08,995835
2017/09/09,10212814
2017/09/10,8956268
2017/09/11,2466373
2017/09/12,3096098
2017/09/13,4472256
2017/09/14,2773574
2017/09/15,1348087
2017/09/16,1875521
2017/09/17,2232273
2017/09/18,10065680
2017/09/19,3011579
2017/09/20,6605315
2017/09/21,4113479
2017/09/22,27733
2017/09/23,9847
2017/09/24,416693
2017/09/25,338269
2017/09/26,427494
2017/09/27,111102
2017/09/28,95964
2017/09/29,472495
2017/09/30,970288
2017/10/01,1165919
2017/10/02,868222
2017/10/03,46275722
2017/10/04,29352942
2017/10/05,21581726
2017/10/06,6614052
2017/10/07,158430
2017/10/08,191442
2017/10/09,402191
2017/10/10,69318
2017/10/11,170174
2017/10/12,128578
2017/10/13,2161470
2017/10/14,1328081
2017/10/15,1202129
2017/10/16,3094235
2017/10/17,1709875
2017/10/18,1897565
2017/10/19,964837
2017/10/20,1583431
2017/10/21,340049
2017/10/22,33603
2017/10/23,406135
2017/10/24,486269
2017/10/25,339779
2017/10/26,437989
2017/10/27,9009824
2017/10/28,8511673
2017/10/29,0
2017/10/30,0
2017/10/31,0
2017/11/01,14094568
2017/11/02,14872119
2017/11/03,100545
2017/11/04,704004
2017/11/05,644056
2017/11/06,109252
2017/11/07,87466
2017/11/08,759938
2017/11/09,10108396
2017/11/10,5063752
2017/11/11,2166914
2017/11/12,1756444
2017/11/13,3065311
2017/11/14,4526589
2017/11/15,1519616
2017/11/16,1703113
2017/11/17,10558
2017/11/18,172217
2017/11/19,104023
2017/11/20,872465
2017/11/21,679605
2017/11/22,14306
2017/11/23,112469
2017/11/24,125186
2017/11/25,813288
2017/11/26,940870
2017/11/27,976514
2017/11/28,3579257
2017/11/29,2936581
2017/11/30,1088909
2017/12/01,3276121
2017/12/02,661313
2017/12/03,861008
2017/12/04,1588762
2017/12/05,12250452
2017/12/06,9331793
2017/12/07,311650
2017/12/08,1163682
2017/12/09,1163990
2017/12/10,304050
2017/12/11,100455
2017/12/12,4556946
2017/12/13,4321196
2017/12/14,315004
2017/12/15,529219
2017/12/16,1283478
2017/12/17,220650
2017/12/18,6805
2017/12/19,853229
2017/12/20,2742884
2017/12/21,744077
2017/12/22,472293
2017/12/23,994463
2017/12/24,960196
2017/12/25,434370
2017/12/26,832437
2017/12/27,1142176
2017/12/28,324366
2017/12/29,447137
2017/12/30,89217
2017/12/31,2193735
2018/01/01,2366893
2018/01/02,2651167
2018/01/03,2507621
2018/01/04,3743509
2018/01/05,4015207
2018/01/06,679282
2018/01/07,1293065
2018/01/08,1393811
2018/01/09,2938661
2018/01/10,4752692
2018/01/11,2759205
2018/01/12,5368747
2018/01/13,5012928
2018/01/14,78429257
2018/01/15,81448576
2018/01/16,70386708
2018/01/17,427259
2018/01/18,567045
2018/01/19,1707122
2018/01/20,1886178
2018/01/21,239538
2018/01/22,334446
2018/01/23,361559
2018/01/24,34105
2018/01/25,3211515
2018/01/26,5219731
2018/01/27,4841268
2018/01/28,1140854
2018/01/29,591520
2018/01/30,136894
2018/01/31,54287
2018/02/01,437334
2018/02/02,384926
2018/02/03,1745191
2018/02/04,3981578
2018/02/05,412800
2018/02/06,187687
2018/02/07,44934
2018/02/08,1360845
2018/02/09,1047615
2018/02/10,429058
2018/02/11,490709
2018/02/12,484483
2018/02/13,1766032
2018/02/14,1059052
2018/02/15,385182
2018/02/16,147142
2018/02/17,311590
2018/02/18,68074
2018/02/19,141428
2018/02/20,101752
2018/02/21,17651
2018/02/22,580809
2018/02/23,1124385
2018/02/24,1619697
2018/02/25,338635
2018/02/26,188862
2018/02/27,144094
2018/02/28,201368
2018/03/01,12221
2018/03/02,22007
2018/03/03,114271
2018/03/04,41918
2018/03/05,42566
2018/03/06,122895
2018/03/07,38845
2018/03/08,41090
2018/03/09,6162
2018/03/10,49273
2018/03/11,81216
2018/03/12,17467
2018/03/13,390853
2018/03/14,227979
2018/03/15,183890
2018/03/16,65988
2018/03/17,51138
2018/03/18,170418
2018/03/19,140738
2018/03/20,52506
2018/03/21,19061
2018/03/22,6864
2018/03/23,6276
2018/03/24,44839
2018/03/25,67156
2018/03/26,65671
2018/03/27,164349
2018/03/28,33862
2018/03/29,3445
2018/03/30,48423
2018/03/31,105823
2018/04/01,48813
2018/04/02,3723
2018/04/03,4141
2018/04/04,2152
2018/04/05,21318
2018/04/06,14067
2018/04/07,2615
2018/04/08,6558
2018/04/09,26739
2018/04/10,7288
2018/04/11,4064
2018/04/12,61763
2018/04/13,52275
2018/04/14,112801
2018/04/15,99317
2018/04/16,13753
2018/04/17,1724
2018/04/18,14164
2018/04/19,14456
2018/04/20,18660
2018/04/21,16880
2018/04/22,40363
2018/04/23,365788
2018/04/24,398892
2018/04/25,31238
2018/04/26,79479
2018/04/27,29689
2018/04/28,13378
2018/04/29,20369
2018/04/30,12669
2018/05/01,14013
2018/05/02,67415
2018/05/03,106509
2018/05/04,39387
2018/05/05,91418
2018/05/06,14949
2018/05/07,229407
2018/05/08,202021
2018/05/09,150928
2018/05/10,1414
2018/05/11,2858
2018/05/12,58227
2018/05/13,100381
2018/05/14,126421
2018/05/15,142925
2018/05/16,44103
2018/05/17,34048
2018/05/18,1785
2018/05/19,35075
2018/05/20,21077
2018/05/21,36458
2018/05/22,75372
2018/05/23,54049
2018/05/24,40189
2018/05/25,80063
2018/05/26,41538
2018/05/27,32128
2018/05/28,77243
2018/05/29,12168
2018/05/30,10350
2018/05/31,942.265
