Date,fee_to_reward30smaUSD
2016/01/01,0.128
2016/01/02,0.129
2016/01/03,0.129
2016/01/04,0.13
2016/01/05,0.135
2016/01/06,0.142
2016/01/07,0.148
2016/01/08,0.15
2016/01/09,0.153
2016/01/10,0.154
2016/01/11,0.155
2016/01/12,0.156
2016/01/13,0.154
2016/01/14,0.144
2016/01/15,0.141
2016/01/16,0.14
2016/01/17,0.138
2016/01/18,0.139
2016/01/19,0.139
2016/01/20,0.136
2016/01/21,0.132
2016/01/22,0.126
2016/01/23,0.123
2016/01/24,0.123
2016/01/25,0.124
2016/01/26,0.118
2016/01/27,0.121
2016/01/28,0.122
2016/01/29,0.117
2016/01/30,0.119
2016/01/31,0.121
2016/02/01,0.123
2016/02/02,0.124
2016/02/03,0.125
2016/02/04,0.122
2016/02/05,0.119
2016/02/06,0.126
2016/02/07,0.129
2016/02/08,0.129
2016/02/09,0.132
2016/02/10,0.136
2016/02/11,0.138
2016/02/12,0.135
2016/02/13,0.136
2016/02/14,0.136
2016/02/15,0.137
2016/02/16,0.139
2016/02/17,0.141
2016/02/18,0.14
2016/02/19,0.142
2016/02/20,0.143
2016/02/21,0.142
2016/02/22,0.144
2016/02/23,0.153
2016/02/24,0.154
2016/02/25,0.153
2016/02/26,0.152
2016/02/27,0.151
2016/02/28,0.15
2016/02/29,0.15
2016/03/01,0.149
2016/03/02,0.15
2016/03/03,0.151
2016/03/04,0.152
2016/03/05,0.152
2016/03/06,0.152
2016/03/07,0.141
2016/03/08,0.139
2016/03/09,0.138
2016/03/10,0.135
2016/03/11,0.13
2016/03/12,0.127
2016/03/13,0.126
2016/03/14,0.125
2016/03/15,0.125
2016/03/16,0.123
2016/03/17,0.122
2016/03/18,0.12
2016/03/19,0.121
2016/03/20,0.12
2016/03/21,0.12
2016/03/22,0.12
2016/03/23,0.119
2016/03/24,0.112
2016/03/25,0.11
2016/03/26,0.109
2016/03/27,0.105
2016/03/28,0.105
2016/03/29,0.103
2016/03/30,0.103
2016/03/31,0.101
2016/04/01,0.099
2016/04/02,0.097
2016/04/03,0.094
2016/04/04,0.093
2016/04/05,0.091
2016/04/06,0.089
2016/04/07,0.088
2016/04/08,0.087
2016/04/09,0.087
2016/04/10,0.086
2016/04/11,0.085
2016/04/12,0.084
2016/04/13,0.084
2016/04/14,0.085
2016/04/15,0.085
2016/04/16,0.084
2016/04/17,0.084
2016/04/18,0.081
2016/04/19,0.08
2016/04/20,0.079
2016/04/21,0.079
2016/04/22,0.078
2016/04/23,0.076
2016/04/24,0.074
2016/04/25,0.073
2016/04/26,0.073
2016/04/27,0.073
2016/04/28,0.072
2016/04/29,0.071
2016/04/30,0.072
2016/05/01,0.073
2016/05/02,0.074
2016/05/03,0.075
2016/05/04,0.075
