Date,mediantransactionvalue3varUSD
2016/01/01,0.452
2016/01/02,0.015
2016/01/03,0.01
2016/01/04,0.002
2016/01/05,0.364
2016/01/06,0.34
2016/01/07,0
2016/01/08,0.264
2016/01/09,0.266
2016/01/10,0.008
2016/01/11,0.006
2016/01/12,0.015
2016/01/13,0.426
2016/01/14,0.435
2016/01/15,0.532
2016/01/16,0.038
2016/01/17,0.003
2016/01/18,0.002
2016/01/19,0.157
2016/01/20,0.414
2016/01/21,0.49
2016/01/22,0.096
2016/01/23,0.126
2016/01/24,0.263
2016/01/25,0.042
2016/01/26,0.047
2016/01/27,0.701
2016/01/28,0.751
2016/01/29,0.692
2016/01/30,0.024
2016/01/31,0.012
2016/02/01,0.029
2016/02/02,0.032
2016/02/03,0.038
2016/02/04,0.04
2016/02/05,0.003
2016/02/06,1.714
2016/02/07,1.939
2016/02/08,2.651
2016/02/09,0.179
2016/02/10,0.923
2016/02/11,0.548
2016/02/12,0.789
2016/02/13,0.881
2016/02/14,0.757
2016/02/15,0.056
2016/02/16,0.081
2016/02/17,0.578
2016/02/18,0.244
2016/02/19,0.064
2016/02/20,0.032
2016/02/21,0.011
2016/02/22,0.097
2016/02/23,0.257
2016/02/24,0.102
2016/02/25,0.061
2016/02/26,0.073
2016/02/27,0.071
2016/02/28,0.203
2016/02/29,0.064
2016/03/01,0.05
2016/03/02,0.483
2016/03/03,1.093
2016/03/04,0.386
2016/03/05,2.838
2016/03/06,2.263
2016/03/07,1.076
2016/03/08,0.376
2016/03/09,0.198
2016/03/10,2.328
2016/03/11,1.489
2016/03/12,1.737
2016/03/13,2.668
2016/03/14,0.094
2016/03/15,0.465
2016/03/16,0.287
2016/03/17,0.642
2016/03/18,1.917
2016/03/19,0.64
2016/03/20,0.068
2016/03/21,0.149
2016/03/22,0.351
2016/03/23,0.124
2016/03/24,0.109
2016/03/25,0.414
2016/03/26,0.113
2016/03/27,0.046
2016/03/28,0.07
2016/03/29,0.091
2016/03/30,0.078
2016/03/31,0.011
2016/04/01,0.017
2016/04/02,0.02
2016/04/03,0.001
2016/04/04,0.024
2016/04/05,0.239
2016/04/06,0.122
2016/04/07,0.013
2016/04/08,0.137
2016/04/09,0.106
2016/04/10,0.247
2016/04/11,0.259
2016/04/12,0.154
2016/04/13,0.151
2016/04/14,0.081
2016/04/15,0.087
2016/04/16,0.002
2016/04/17,0.093
2016/04/18,0.353
2016/04/19,0.455
2016/04/20,0.05
2016/04/21,0.085
2016/04/22,0.054
2016/04/23,0.021
2016/04/24,0.003
2016/04/25,0.026
2016/04/26,0.111
2016/04/27,0.032
2016/04/28,0.016
2016/04/29,0.01
2016/04/30,0.122
2016/05/01,0.269
2016/05/02,0.352
2016/05/03,0.205
2016/05/04,0.005
2016/05/05,0.007
2016/05/06,0.001
2016/05/07,0.009
2016/05/08,0.021
2016/05/09,0.004
2016/05/10,0.003
2016/05/11,0.018
2016/05/12,0.106
2016/05/13,0.219
2016/05/14,0.077
2016/05/15,0.086
2016/05/16,0.031
2016/05/17,0.538
2016/05/18,1.083
2016/05/19,0.754
2016/05/20,0.311
2016/05/21,0.126
2016/05/22,0.126
2016/05/23,0.086
2016/05/24,0.225
2016/05/25,0.611
2016/05/26,8.874
2016/05/27,6.634
2016/05/28,17.968
2016/05/29,18.098
2016/05/30,21.51
2016/05/31,7.385
2016/06/01,0.346
2016/06/02,0.1
2016/06/03,0.009
2016/06/04,3.747
2016/06/05,3.652
2016/06/06,3.822
2016/06/07,9.647
2016/06/08,10.808
2016/06/09,11.584
2016/06/10,0.287
2016/06/11,0.199
2016/06/12,1.189
2016/06/13,4.672
2016/06/14,6.632
2016/06/15,0.559
2016/06/16,1.132
2016/06/17,41.985
2016/06/18,38.528
2016/06/19,3.411
2016/06/20,0.593
2016/06/21,2.263
2016/06/22,5.879
2016/06/23,0.829
2016/06/24,9.58
2016/06/25,9.552
2016/06/26,9.921
2016/06/27,8.199
2016/06/28,6.893
2016/06/29,20.338
2016/06/30,25.74
2016/07/01,21.421
2016/07/02,26.002
2016/07/03,0.012
2016/07/04,0.038
2016/07/05,0.356
2016/07/06,0.229
2016/07/07,0.052
2016/07/08,1.054
2016/07/09,1.222
2016/07/10,1.562
2016/07/11,0.017
2016/07/12,0.13
2016/07/13,0.062
2016/07/14,2.822
2016/07/15,4.83
2016/07/16,5.619
2016/07/17,4.612
2016/07/18,4.004
2016/07/19,0.024
2016/07/20,17.12
2016/07/21,14.766
2016/07/22,19.892
2016/07/23,3.139
2016/07/24,0.002
2016/07/25,0.007
2016/07/26,0.044
2016/07/27,0.115
2016/07/28,0.042
2016/07/29,0.646
2016/07/30,0.562
2016/07/31,0.243
2016/08/01,0.088
2016/08/02,0.559
2016/08/03,11.204
2016/08/04,9.689
2016/08/05,10.538
2016/08/06,0.011
2016/08/07,0.011
2016/08/08,0.012
2016/08/09,0.121
2016/08/10,0.115
2016/08/11,0.81
2016/08/12,2.61
2016/08/13,1.142
2016/08/14,3.924
2016/08/15,2.577
2016/08/16,8.345
2016/08/17,4.652
2016/08/18,0.153
2016/08/19,0.462
2016/08/20,1.338
2016/08/21,0.317
2016/08/22,0.279
2016/08/23,0.945
2016/08/24,0.772
2016/08/25,0.437
2016/08/26,0.121
2016/08/27,0.091
2016/08/28,6.459
2016/08/29,7.346
2016/08/30,7.329
2016/08/31,3.095
2016/09/01,9.34
2016/09/02,15.413
2016/09/03,15.649
2016/09/04,5.923
2016/09/05,4.448
2016/09/06,7.631
2016/09/07,12.718
2016/09/08,0.738
2016/09/09,0.024
2016/09/10,7.388
2016/09/11,14.781
2016/09/12,3.714
2016/09/13,4.558
2016/09/14,14.008
