Date,sentbyaddress14sma
2016/01/01,1531
2016/01/02,1537
2016/01/03,1546
2016/01/04,1550
2016/01/05,1554
2016/01/06,1567
2016/01/07,1584
2016/01/08,1599
2016/01/09,1612
2016/01/10,1640
2016/01/11,1659
2016/01/12,1690
2016/01/13,1712
2016/01/14,1713
2016/01/15,1744
2016/01/16,1738
2016/01/17,1725
2016/01/18,1728
2016/01/19,1722
2016/01/20,1747
2016/01/21,1734
2016/01/22,1731
2016/01/23,1745
2016/01/24,1764
2016/01/25,1789
2016/01/26,1815
2016/01/27,1837
2016/01/28,1862
2016/01/29,1866
2016/01/30,1898
2016/01/31,1946
2016/02/01,1974
2016/02/02,2007
2016/02/03,2007
2016/02/04,2039
2016/02/05,2071
2016/02/06,2076
2016/02/07,2078
2016/02/08,2084
2016/02/09,2094
2016/02/10,2178
2016/02/11,2271
2016/02/12,2363
2016/02/13,2440
2016/02/14,2479
2016/02/15,2529
2016/02/16,2582
2016/02/17,2630
2016/02/18,2683
2016/02/19,2726
2016/02/20,2767
2016/02/21,2862
2016/02/22,2913
2016/02/23,2949
2016/02/24,2922
2016/02/25,2914
2016/02/26,2892
2016/02/27,2892
2016/02/28,2946
2016/02/29,3035
2016/03/01,3147
2016/03/02,3276
2016/03/03,3425
2016/03/04,3582
2016/03/05,3813
2016/03/06,3948
2016/03/07,4052
2016/03/08,4222
2016/03/09,4369
2016/03/10,4524
2016/03/11,4681
2016/03/12,4827
2016/03/13,4943
2016/03/14,5017
2016/03/15,5055
2016/03/16,5059
2016/03/17,5073
2016/03/18,5110
2016/03/19,5016
2016/03/20,4959
2016/03/21,5002
2016/03/22,4940
2016/03/23,4915
2016/03/24,4843
2016/03/25,4778
2016/03/26,4705
2016/03/27,4680
2016/03/28,4660
2016/03/29,4743
2016/03/30,4855
2016/03/31,4844
2016/04/01,4790
2016/04/02,4784
2016/04/03,4766
2016/04/04,4755
2016/04/05,4789
2016/04/06,4814
2016/04/07,4840
2016/04/08,4866
2016/04/09,4927
2016/04/10,4978
2016/04/11,4979
2016/04/12,4909
2016/04/13,4858
2016/04/14,4870
2016/04/15,4870
2016/04/16,4881
2016/04/17,4937
2016/04/18,4944
2016/04/19,4939
2016/04/20,4945
2016/04/21,4957
2016/04/22,4988
2016/04/23,4985
2016/04/24,4961
2016/04/25,4998
2016/04/26,5024
2016/04/27,5020
2016/04/28,5027
2016/04/29,5239
2016/04/30,5496
2016/05/01,5632
2016/05/02,5847
2016/05/03,6020
2016/05/04,6152
2016/05/05,6294
2016/05/06,6428
2016/05/07,6553
2016/05/08,6699
2016/05/09,6852
2016/05/10,7005
2016/05/11,7245
2016/05/12,7513
2016/05/13,7718
2016/05/14,7796
2016/05/15,7861
2016/05/16,7835
2016/05/17,7904
2016/05/18,8050
