Date,difficulty7rsi
2016/01/01,52.168
2016/01/02,30.086
2016/01/03,41.915
2016/01/04,43.389
2016/01/05,41.78
2016/01/06,50.603
2016/01/07,38.286
2016/01/08,45.059
2016/01/09,53.476
2016/01/10,47.255
2016/01/11,68.871
2016/01/12,70.635
2016/01/13,49.223
2016/01/14,58.347
2016/01/15,65.783
2016/01/16,70.62
2016/01/17,63.769
2016/01/18,72.659
2016/01/19,74.275
2016/01/20,67.427
2016/01/21,71.9
2016/01/22,77.683
2016/01/23,80.248
2016/01/24,81.403
2016/01/25,84.234
2016/01/26,87.419
2016/01/27,89.301
2016/01/28,68.195
2016/01/29,75.951
2016/01/30,75.601
2016/01/31,66.491
2016/02/01,71.431
2016/02/02,60.081
2016/02/03,64.966
2016/02/04,70.809
2016/02/05,72.126
2016/02/06,57.185
2016/02/07,62.556
2016/02/08,73.066
2016/02/09,61.038
2016/02/10,69.32
2016/02/11,74.44
2016/02/12,59.239
2016/02/13,68.506
2016/02/14,73.638
2016/02/15,77.655
2016/02/16,71.638
2016/02/17,72.002
2016/02/18,54.761
2016/02/19,63.601
2016/02/20,66.268
2016/02/21,68.652
2016/02/22,75.299
2016/02/23,79.143
2016/02/24,73.107
2016/02/25,71.143
2016/02/26,77.804
2016/02/27,82.819
2016/02/28,84.21
2016/02/29,85.766
2016/03/01,67.08
2016/03/02,74.326
2016/03/03,80.12
2016/03/04,83.896
2016/03/05,85.821
2016/03/06,89.612
2016/03/07,84.231
2016/03/08,86.032
2016/03/09,87.879
2016/03/10,88.538
2016/03/11,91.23
2016/03/12,93.711
2016/03/13,94.614
2016/03/14,91.993
2016/03/15,46.972
2016/03/16,49.356
2016/03/17,52.518
2016/03/18,55.749
2016/03/19,60.012
2016/03/20,67.93
2016/03/21,64.92
2016/03/22,68.104
2016/03/23,53.048
2016/03/24,64.778
2016/03/25,72.936
2016/03/26,76.196
2016/03/27,79.225
2016/03/28,75.086
2016/03/29,79.536
2016/03/30,81.162
2016/03/31,85.731
