Date,mediantransactionvalue3wmaUSD
2016/01/01,1.194
2016/01/02,1.4
2016/01/03,1.367
2016/01/04,1.283
2016/01/05,0.632
2016/01/06,0.206
2016/01/07,0
2016/01/08,0.544
2016/01/09,0.912
2016/01/10,1.187
2016/01/11,1.22
2016/01/12,1.373
2016/01/13,0.705
2016/01/14,0.883
2016/01/15,1.284
2016/01/16,1.587
2016/01/17,1.625
2016/01/18,1.561
2016/01/19,1.135
2016/01/20,1.644
2016/01/21,1.935
2016/01/22,1.865
2016/01/23,2.086
2016/01/24,2.465
2016/01/25,2.487
2016/01/26,2.605
2016/01/27,1.693
2016/01/28,1.963
2016/01/29,2.268
2016/01/30,2.718
2016/01/31,2.803
2016/02/01,2.659
2016/02/02,2.507
2016/02/03,2.648
2016/02/04,2.767
2016/02/05,2.781
2016/02/06,1.38
2016/02/07,2.023
2016/02/08,2.897
2016/02/09,3.842
2016/02/10,4.974
2016/02/11,5.385
2016/02/12,6.552
2016/02/13,6.223
2016/02/14,5.979
2016/02/15,5.92
2016/02/16,5.743
2016/02/17,5.013
2016/02/18,4.65
2016/02/19,4.72
2016/02/20,4.913
2016/02/21,5.084
2016/02/22,5.43
2016/02/23,5.988
2016/02/24,6.298
2016/02/25,6.672
2016/02/26,6.543
2016/02/27,6.685
2016/02/28,7.05
2016/02/29,7.262
2016/03/01,7.578
2016/03/02,8.3
2016/03/03,9.476
2016/03/04,10.023
2016/03/05,12.024
2016/03/06,12.257
2016/03/07,11.987
2016/03/08,11.013
2016/03/09,11.051
2016/03/10,12.532
2016/03/11,12.347
2016/03/12,13.492
2016/03/13,14.462
2016/03/14,15.093
2016/03/15,14.48
2016/03/16,14.363
2016/03/17,13.413
2016/03/18,12.167
2016/03/19,11.147
2016/03/20,10.67
2016/03/21,10.984
2016/03/22,11.522
2016/03/23,12.006
2016/03/24,11.799
2016/03/25,11.196
2016/03/26,10.878
2016/03/27,10.98
2016/03/28,11.268
2016/03/29,11.648
2016/03/30,11.955
2016/03/31,12.102
2016/04/01,12
2016/04/02,11.885
2016/04/03,11.859
2016/04/04,11.694
2016/04/05,11.181
2016/04/06,10.934
2016/04/07,10.714
2016/04/08,10.344
2016/04/09,10.023
2016/04/10,9.387
2016/04/11,8.946
2016/04/12,8.36
2016/04/13,8.002
2016/04/14,8.16
2016/04/15,8.303
2016/04/16,8.431
2016/04/17,8.1
2016/04/18,8.614
2016/04/19,8.959
2016/04/20,8.963
2016/04/21,8.675
2016/04/22,8.361
2016/04/23,8.211
2016/04/24,8.215
2016/04/25,8.059
2016/04/26,7.734
2016/04/27,7.676
2016/04/28,7.598
2016/04/29,7.573
2016/04/30,7.907
2016/05/01,8.414
2016/05/02,9.169
2016/05/03,9.603
2016/05/04,9.698
2016/05/05,9.651
2016/05/06,9.657
2016/05/07,9.565
2016/05/08,9.441
2016/05/09,9.436
2016/05/10,9.427
2016/05/11,9.583
2016/05/12,9.914
2016/05/13,10.458
2016/05/14,10.529
2016/05/15,10.362
2016/05/16,10.417
2016/05/17,11.167
2016/05/18,12.297
2016/05/19,13.362
2016/05/20,14.101
2016/05/21,13.972
2016/05/22,14.005
2016/05/23,14.132
2016/05/24,13.737
2016/05/25,13.003
2016/05/26,9.612
2016/05/27,9.982
2016/05/28,5.456
2016/05/29,5.817
2016/05/30,8.764
2016/05/31,11.922
2016/06/01,13.411
2016/06/02,13.741
2016/06/03,13.754
2016/06/04,11.68
2016/06/05,12.356
2016/06/06,13.106
2016/06/07,10.503
2016/06/08,11.938
2016/06/09,13.209
2016/06/10,13.845
2016/06/11,13.746
2016/06/12,12.479
2016/06/13,14.371
2016/06/14,15.875
2016/06/15,17.564
2016/06/16,18.688
2016/06/17,12.168
2016/06/18,8.95
2016/06/19,8.362
2016/06/20,8.708
2016/06/21,10.364
2016/06/22,12.463
2016/06/23,13.226
2016/06/24,10.256
2016/06/25,11.624
2016/06/26,9.881
2016/06/27,11.938
2016/06/28,12.491
2016/06/29,8.64
2016/06/30,4.115
2016/07/01,7.133
2016/07/02,10.246
2016/07/03,11.948
2016/07/04,11.718
2016/07/05,11.051
2016/07/06,10.7
2016/07/07,10.294
2016/07/08,9.205
2016/07/09,9.813
2016/07/10,10.398
2016/07/11,10.702
2016/07/12,10.322
2016/07/13,10.315
2016/07/14,8.487
2016/07/15,9.912
2016/07/16,8.609
2016/07/17,9.984
2016/07/18,10.606
2016/07/19,11.476
2016/07/20,7.12
2016/07/21,7.719
2016/07/22,10.433
2016/07/23,12.892
2016/07/24,13.537
2016/07/25,13.465
2016/07/26,13.24
2016/07/27,12.854
2016/07/28,12.724
2016/07/29,11.808
2016/07/30,11.51
2016/07/31,11.726
2016/08/01,11.751
2016/08/02,11.062
2016/08/03,7.353
2016/08/04,8.402
2016/08/05,9.698
2016/08/06,10.781
2016/08/07,10.837
2016/08/08,10.891
2016/08/09,11.297
2016/08/10,11.178
2016/08/11,10.335
2016/08/12,8.497
2016/08/13,7.681
2016/08/14,9.401
2016/08/15,9.854
2016/08/16,7.399
2016/08/17,5.893
2016/08/18,5.247
2016/08/19,6.093
2016/08/20,7.206
2016/08/21,7.797
2016/08/22,7.44
2016/08/23,6.392
2016/08/24,5.386
2016/08/25,4.479
2016/08/26,4.302
2016/08/27,4.446
2016/08/28,7.239
2016/08/29,5.965
2016/08/30,5.244
2016/08/31,6.121
2016/09/01,9.468
2016/09/02,6.623
2016/09/03,7.115
2016/09/04,5.996
2016/09/05,8.555
2016/09/06,6.576
2016/09/07,4.318
2016/09/08,2.776
2016/09/09,2.529
2016/09/10,5.466
