Date,price3momUSD
2016/01/01,0.106
2016/01/02,0.067
2016/01/03,0.026
2016/01/04,0.013
2016/01/05,0.009
2016/01/06,-0.006
2016/01/07,0.022
2016/01/08,0.016
2016/01/09,0.088
2016/01/10,0.089
2016/01/11,0.064
2016/01/12,0.114
2016/01/13,0.046
2016/01/14,0.086
2016/01/15,0.065
2016/01/16,0.112
2016/01/17,0.096
2016/01/18,0.18
2016/01/19,0.131
2016/01/20,0.23
2016/01/21,0.105
2016/01/22,0.146
2016/01/23,0.277
2016/01/24,0.616
2016/01/25,0.781
2016/01/26,0.841
2016/01/27,0.259
2016/01/28,0.19
2016/01/29,-0.075
2016/01/30,0.12
2016/01/31,-0.102
2016/02/01,-0.285
2016/02/02,-0.284
2016/02/03,0.041
2016/02/04,0.313
2016/02/05,0.288
2016/02/06,0.081
2016/02/07,0.16
2016/02/08,0.58
2016/02/09,0.984
2016/02/10,1.668
2016/02/11,1.831
2016/02/12,2.415
2016/02/13,0.627
2016/02/14,-0.04
2016/02/15,-0.44
2016/02/16,-0.125
2016/02/17,-0.799
2016/02/18,-1.434
2016/02/19,-0.367
2016/02/20,0.343
2016/02/21,0.396
2016/02/22,0.645
2016/02/23,1.241
2016/02/24,1.382
2016/02/25,1.132
2016/02/26,0.306
2016/02/27,0.41
2016/02/28,0.17
2016/02/29,0.432
2016/03/01,0.526
2016/03/02,1.537
2016/03/03,2.826
2016/03/04,2.51
2016/03/05,3.158
2016/03/06,1.864
2016/03/07,1.072
2016/03/08,-1.54
2016/03/09,-0.542
2016/03/10,1.302
2016/03/11,1.498
2016/03/12,2.339
2016/03/13,2.693
2016/03/14,2.359
2016/03/15,-0.2
2016/03/16,-1.093
2016/03/17,-1.854
2016/03/18,-2.499
2016/03/19,-2.665
2016/03/20,-1.373
2016/03/21,0.769
2016/03/22,1.035
2016/03/23,1.618
2016/03/24,0.416
2016/03/25,-0.821
2016/03/26,-1.011
2016/03/27,-0.709
2016/03/28,0.408
2016/03/29,0.72
2016/03/30,1.115
2016/03/31,0.564
2016/04/01,0.052
2016/04/02,-0.343
2016/04/03,-0.263
2016/04/04,-0.334
2016/04/05,-0.741
2016/04/06,-0.904
2016/04/07,-0.893
2016/04/08,-0.839
2016/04/09,-0.98
2016/04/10,-1.76
2016/04/11,-1.396
2016/04/12,-1.737
2016/04/13,-0.833
2016/04/14,-0.105
2016/04/15,0.449
2016/04/16,0.49
2016/04/17,0.87
2016/04/18,0.741
2016/04/19,0.757
2016/04/20,-0.661
2016/04/21,-0.6
2016/04/22,-1.043
2016/04/23,-0.582
2016/04/24,-0.284
2016/04/25,-0.199
2016/04/26,-0.688
2016/04/27,-0.578
2016/04/28,-0.373
2016/04/29,0.143
2016/04/30,0.659
2016/05/01,1.291
2016/05/02,2.117
2016/05/03,1.37
2016/05/04,0.831
2016/05/05,-0.023
2016/05/06,0.051
2016/05/07,-0.221
2016/05/08,-0.267
2016/05/09,-0.25
2016/05/10,0.006
2016/05/11,0.398
2016/05/12,0.698
2016/05/13,1.24
2016/05/14,0.509
2016/05/15,0.007
2016/05/16,-0.075
2016/05/17,1.528
2016/05/18,2.842
2016/05/19,3.43
2016/05/20,2.615
2016/05/21,0.642
2016/05/22,0.127
2016/05/23,-0.278
2016/05/24,-0.616
2016/05/25,-1.648
2016/05/26,-1.623
2016/05/27,-1.694
2016/05/28,-1.062
2016/05/29,-0.376
2016/05/30,1.135
2016/05/31,1.924
2016/06/01,1.824
2016/06/02,1.375
2016/06/03,0.374
2016/06/04,-0.255
2016/06/05,-0.094
2016/06/06,0.203
2016/06/07,0.402
2016/06/08,0.744
2016/06/09,0.533
2016/06/10,0.022
2016/06/11,-0.667
2016/06/12,0.303
2016/06/13,2.538
2016/06/14,4.358
2016/06/15,3.644
2016/06/16,2.873
2016/06/17,-0.836
2016/06/18,-5.452
2016/06/19,-7.288
2016/06/20,-5.609
2016/06/21,-0.908
2016/06/22,2.011
2016/06/23,1.287
2016/06/24,1.891
2016/06/25,-0.02
2016/06/26,0.915
2016/06/27,0.007
2016/06/28,-1.08
2016/06/29,-1.769
2016/06/30,-1.426
2016/07/01,-0.959
2016/07/02,-0.158
2016/07/03,-0.574
2016/07/04,-0.591
2016/07/05,-1.532
2016/07/06,-1.288
2016/07/07,-1.494
2016/07/08,-0.029
2016/07/09,0.376
2016/07/10,0.812
2016/07/11,0.124
2016/07/12,-0.434
2016/07/13,-0.424
2016/07/14,0.501
2016/07/15,1.377
2016/07/16,1.321
2016/07/17,0.214
2016/07/18,-0.564
2016/07/19,-0.485
2016/07/20,0.816
2016/07/21,1.066
2016/07/22,2.202
2016/07/23,2.334
2016/07/24,0.979
2016/07/25,-0.152
2016/07/26,-1.587
2016/07/27,-0.736
2016/07/28,-0.593
2016/07/29,-0.15
2016/07/30,0.011
2016/07/31,-0.567
2016/08/01,-1.105
2016/08/02,-2.452
2016/08/03,-2.567
2016/08/04,-0.87
2016/08/05,0.741
2016/08/06,1.109
2016/08/07,0.197
2016/08/08,0.019
2016/08/09,0.97
2016/08/10,1.272
2016/08/11,0.891
2016/08/12,0.138
2016/08/13,-0.509
2016/08/14,-0.393
2016/08/15,-0.637
2016/08/16,-0.528
2016/08/17,-0.474
2016/08/18,-0.297
2016/08/19,-0.393
2016/08/20,0.112
2016/08/21,0.214
2016/08/22,0.453
2016/08/23,-0.025
2016/08/24,-0.035
2016/08/25,-0.02
2016/08/26,0.242
2016/08/27,0.17
2016/08/28,-0.135
2016/08/29,-0.344
2016/08/30,-0.102
2016/08/31,0.298
2016/09/01,1.2
2016/09/02,0.944
2016/09/03,0.564
2016/09/04,-0.494
2016/09/05,-0.366
2016/09/06,-0.333
2016/09/07,-0.079
2016/09/08,-0.24
2016/09/09,-0.035
2016/09/10,0.087
2016/09/11,0.426
2016/09/12,0.243
2016/09/13,0.32
2016/09/14,0.053
2016/09/15,0.23
2016/09/16,0.212
2016/09/17,0.683
2016/09/18,0.767
2016/09/19,0.678
2016/09/20,1.066
2016/09/21,1.021
2016/09/22,0.238
2016/09/23,-0.378
2016/09/24,-0.775
2016/09/25,-0.139
2016/09/26,-0.403
2016/09/27,0.021
2016/09/28,0.271
2016/09/29,0.229
2016/09/30,0.12
2016/10/01,-0.136
2016/10/02,0.045
2016/10/03,0.08
2016/10/04,0.244
2016/10/05,0.028
2016/10/06,-0.369
2016/10/07,-0.678
2016/10/08,-0.94
2016/10/09,-0.676
2016/10/10,-0.871
2016/10/11,-0.334
2016/10/12,-0.382
2016/10/13,0.108
2016/10/14,0
2016/10/15,0.037
2016/10/16,0.013
2016/10/17,-0.032
2016/10/18,0.595
2016/10/19,0.311
2016/10/20,0.18
2016/10/21,-0.393
2016/10/22,-0.196
2016/10/23,-0.092
2016/10/24,-0.112
2016/10/25,-0.536
2016/10/26,-0.482
2016/10/27,-0.54
2016/10/28,-0.274
2016/10/29,-0.857
2016/10/30,-0.768
2016/10/31,-0.106
2016/11/01,0.024
2016/11/02,0.24
2016/11/03,-0.239
2016/11/04,0.283
2016/11/05,0.17
2016/11/06,0.081
2016/11/07,-0.079
2016/11/08,-0.223
2016/11/09,-0.387
2016/11/10,-0.321
2016/11/11,-0.438
2016/11/12,-0.487
2016/11/13,-0.487
2016/11/14,-0.375
2016/11/15,-0.055
2016/11/16,0.079
2016/11/17,-0.043
2016/11/18,-0.376
2016/11/19,-0.538
2016/11/20,-0.404
2016/11/21,-0.113
2016/11/22,0.267
2016/11/23,0.247
2016/11/24,-0.081
2016/11/25,-0.501
2016/11/26,-0.48
2016/11/27,-0.411
2016/11/28,-0.586
2016/11/29,-1.122
2016/11/30,-0.668
2016/12/01,-0.353
2016/12/02,-0.258
2016/12/03,-0.533
2016/12/04,-0.776
2016/12/05,-0.728
2016/12/06,-1.043
2016/12/07,0.082
2016/12/08,1.253
2016/12/09,1.523
2016/12/10,0.537
2016/12/11,-0.302
2016/12/12,-0.025
2016/12/13,0.1
2016/12/14,0.164
2016/12/15,-0.37
2016/12/16,-0.564
2016/12/17,-0.71
2016/12/18,-0.137
2016/12/19,-0.099
2016/12/20,-0.024
2016/12/21,-0.091
2016/12/22,-0.113
2016/12/23,-0.278
2016/12/24,-0.488
2016/12/25,-0.408
2016/12/26,-0.114
2016/12/27,-0.077
2016/12/28,-0.01
2016/12/29,0.886
2016/12/30,1.065
2016/12/31,0.813
2017/01/01,0.138
2017/01/02,-0.043
2017/01/03,0.816
2017/01/04,2.206
2017/01/05,2.297
2017/01/06,1.196
2017/01/07,-0.663
2017/01/08,-0.494
2017/01/09,0.417
2017/01/10,0.621
2017/01/11,0.05
2017/01/12,-0.92
2017/01/13,-0.815
2017/01/14,-0.428
2017/01/15,0.225
2017/01/16,0.023
2017/01/17,0.368
2017/01/18,0.449
2017/01/19,0.627
2017/01/20,0.536
2017/01/21,0.533
2017/01/22,0.539
2017/01/23,0.181
2017/01/24,-0.114
2017/01/25,-0.293
2017/01/26,-0.197
2017/01/27,-0.146
2017/01/28,-0.004
2017/01/29,-0.056
2017/01/30,0.009
2017/01/31,0.085
2017/02/01,0.184
2017/02/02,0.161
2017/02/03,0.168
2017/02/04,0.59
2017/02/05,0.556
2017/02/06,0.48
2017/02/07,0.144
2017/02/08,0.135
2017/02/09,-0.124
2017/02/10,-0.359
2017/02/11,-0.024
2017/02/12,0.214
2017/02/13,0.233
2017/02/14,0.969
2017/02/15,1.491
2017/02/16,1.482
2017/02/17,0.461
2017/02/18,-0.077
2017/02/19,0.021
2017/02/20,-0.007
2017/02/21,-0.146
2017/02/22,-0.099
2017/02/23,0.036
2017/02/24,0.457
2017/02/25,0.678
2017/02/26,0.979
2017/02/27,1.633
2017/02/28,2.364
2017/03/01,2.166
2017/03/02,3.416
2017/03/03,4.043
2017/03/04,3.508
