Date,activeaddresses3mom
2016/01/01,-24
2016/01/02,195
2016/01/03,-130
2016/01/04,229
2016/01/05,157
2016/01/06,265
2016/01/07,395
2016/01/08,220
2016/01/09,-12
2016/01/10,-26
2016/01/11,397
2016/01/12,547
2016/01/13,39
2016/01/14,-310
2016/01/15,29
2016/01/16,-189
2016/01/17,-219
2016/01/18,-65
2016/01/19,204
2016/01/20,970
2016/01/21,-166
2016/01/22,252
2016/01/23,108
2016/01/24,1110
2016/01/25,1319
2016/01/26,1233
2016/01/27,306
2016/01/28,435
2016/01/29,-146
2016/01/30,348
2016/01/31,-15
2016/02/01,-102
2016/02/02,-178
2016/02/03,-169
2016/02/04,-182
2016/02/05,621
2016/02/06,-470
2016/02/07,47
2016/02/08,-183
2016/02/09,1117
2016/02/10,2341
2016/02/11,3952
2016/02/12,2035
2016/02/13,174
2016/02/14,-2786
2016/02/15,-945
2016/02/16,-538
2016/02/17,488
2016/02/18,-54
2016/02/19,32
2016/02/20,-609
2016/02/21,653
2016/02/22,529
2016/02/23,1027
2016/02/24,-59
2016/02/25,679
2016/02/26,-147
2016/02/27,21
2016/02/28,-133
2016/02/29,1204
2016/03/01,1959
2016/03/02,2406
2016/03/03,2536
2016/03/04,1520
2016/03/05,2349
2016/03/06,1158
2016/03/07,-964
2016/03/08,-1042
2016/03/09,-939
2016/03/10,2462
2016/03/11,-167
2016/03/12,1563
2016/03/13,240
2016/03/14,1756
2016/03/15,226
2016/03/16,193
2016/03/17,-116
2016/03/18,1374
2016/03/19,111
2016/03/20,-6
2016/03/21,-1392
2016/03/22,62
2016/03/23,710
2016/03/24,84
2016/03/25,424
2016/03/26,-908
2016/03/27,904
2016/03/28,801
2016/03/29,2984
2016/03/30,2812
2016/03/31,585
2016/04/01,-1554
2016/04/02,-2745
2016/04/03,-242
2016/04/04,987
2016/04/05,1859
2016/04/06,375
2016/04/07,763
2016/04/08,-1526
2016/04/09,753
2016/04/10,103
2016/04/11,1003
2016/04/12,351
