Date,sentbyaddress90sma
2016/01/01,1174
2016/01/02,1183
2016/01/03,1191
2016/01/04,1199
2016/01/05,1207
2016/01/06,1216
2016/01/07,1226
2016/01/08,1235
2016/01/09,1245
2016/01/10,1256
2016/01/11,1267
2016/01/12,1279
2016/01/13,1289
2016/01/14,1298
2016/01/15,1311
2016/01/16,1319
2016/01/17,1325
2016/01/18,1334
2016/01/19,1342
2016/01/20,1355
2016/01/21,1362
2016/01/22,1370
2016/01/23,1380
2016/01/24,1393
2016/01/25,1405
2016/01/26,1418
2016/01/27,1427
2016/01/28,1436
2016/01/29,1445
2016/01/30,1454
2016/01/31,1462
2016/02/01,1471
2016/02/02,1480
2016/02/03,1488
2016/02/04,1496
2016/02/05,1506
2016/02/06,1515
2016/02/07,1523
2016/02/08,1535
2016/02/09,1549
2016/02/10,1571
2016/02/11,1596
2016/02/12,1619
2016/02/13,1639
2016/02/14,1655
2016/02/15,1671
2016/02/16,1687
2016/02/17,1703
2016/02/18,1721
2016/02/19,1738
2016/02/20,1755
2016/02/21,1781
2016/02/22,1802
2016/02/23,1823
2016/02/24,1842
2016/02/25,1867
2016/02/26,1889
2016/02/27,1911
2016/02/28,1938
2016/02/29,1971
2016/03/01,2009
2016/03/02,2048
2016/03/03,2091
2016/03/04,2133
2016/03/05,2183
2016/03/06,2228
2016/03/07,2265
2016/03/08,2313
2016/03/09,2356
2016/03/10,2404
2016/03/11,2444
2016/03/12,2487
2016/03/13,2526
2016/03/14,2566
2016/03/15,2603
2016/03/16,2635
2016/03/17,2674
2016/03/18,2717
2016/03/19,2750
2016/03/20,2783
2016/03/21,2822
2016/03/22,2855
2016/03/23,2890
2016/03/24,2923
2016/03/25,2954
2016/03/26,2983
2016/03/27,3017
2016/03/28,3053
2016/03/29,3104
2016/03/30,3153
2016/03/31,3190
2016/04/01,3223
2016/04/02,3253
2016/04/03,3283
2016/04/04,3320
2016/04/05,3356
2016/04/06,3392
2016/04/07,3427
2016/04/08,3460
2016/04/09,3495
2016/04/10,3534
2016/04/11,3565
2016/04/12,3601
2016/04/13,3642
2016/04/14,3676
2016/04/15,3710
2016/04/16,3744
2016/04/17,3782
2016/04/18,3821
2016/04/19,3853
2016/04/20,3892
2016/04/21,3929
2016/04/22,3965
2016/04/23,3996
2016/04/24,4027
2016/04/25,4060
2016/04/26,4097
2016/04/27,4133
2016/04/28,4168
2016/04/29,4230
2016/04/30,4296
2016/05/01,4351
2016/05/02,4418
2016/05/03,4477
2016/05/04,4532
2016/05/05,4586
2016/05/06,4642
2016/05/07,4692
2016/05/08,4745
2016/05/09,4800
2016/05/10,4848
2016/05/11,4907
2016/05/12,4969
2016/05/13,5051
2016/05/14,5123
2016/05/15,5181
2016/05/16,5235
2016/05/17,5298
2016/05/18,5366
2016/05/19,5439
2016/05/20,5507
2016/05/21,5554
2016/05/22,5597
2016/05/23,5665
2016/05/24,5728
2016/05/25,5785
2016/05/26,5924
2016/05/27,6003
2016/05/28,6142
2016/05/29,6195
2016/05/30,6242
2016/05/31,6292
