Date,median_transaction_fee14trxUSD
2016/01/01,1.25
2016/01/02,0.953
2016/01/03,0.641
2016/01/04,0.334
2016/01/05,0.359
2016/01/06,0.573
2016/01/07,0.903
2016/01/08,0.989
2016/01/09,0.958
2016/01/10,0.824
2016/01/11,0.625
2016/01/12,0.412
2016/01/13,0.508
2016/01/14,0.483
2016/01/15,0.396
2016/01/16,0.273
2016/01/17,0.132
2016/01/18,0.056
2016/01/19,0.018
2016/01/20,-0.022
2016/01/21,-0.052
2016/01/22,-0.028
2016/01/23,0.017
2016/01/24,0.135
2016/01/25,0.356
2016/01/26,0.678
2016/01/27,1.046
2016/01/28,1.428
2016/01/29,1.732
2016/01/30,1.954
2016/01/31,2.085
2016/02/01,2.122
2016/02/02,2.094
2016/02/03,2.048
2016/02/04,2.001
2016/02/05,1.948
2016/02/06,2.466
2016/02/07,2.735
2016/02/08,2.874
2016/02/09,2.959
2016/02/10,3.092
2016/02/11,3.293
2016/02/12,3.605
2016/02/13,3.843
2016/02/14,3.993
2016/02/15,4.115
2016/02/16,4.136
2016/02/17,4.042
2016/02/18,3.84
2016/02/19,3.616
2016/02/20,3.376
2016/02/21,3.132
2016/02/22,2.943
2016/02/23,2.855
2016/02/24,2.802
2016/02/25,2.794
2016/02/26,2.782
2016/02/27,2.773
2016/02/28,2.77
2016/02/29,2.758
2016/03/01,2.75
2016/03/02,2.806
2016/03/03,2.953
2016/03/04,3.13
2016/03/05,3.396
2016/03/06,3.675
2016/03/07,3.883
2016/03/08,3.98
2016/03/09,4.032
2016/03/10,3.779
2016/03/11,3.352
2016/03/12,2.874
2016/03/13,2.412
2016/03/14,1.968
2016/03/15,1.542
2016/03/16,1.155
2016/03/17,0.784
2016/03/18,0.421
2016/03/19,0.083
2016/03/20,-0.229
2016/03/21,-0.5
2016/03/22,-0.724
2016/03/23,-0.902
2016/03/24,-1.048
2016/03/25,-1.175
2016/03/26,-1.272
2016/03/27,-1.355
2016/03/28,-1.413
2016/03/29,-1.446
2016/03/30,-1.452
2016/03/31,-1.439
2016/04/01,-1.412
2016/04/02,-1.378
2016/04/03,-1.335
2016/04/04,-1.291
2016/04/05,-1.245
2016/04/06,-1.209
2016/04/07,-1.182
2016/04/08,-1.17
2016/04/09,-1.171
2016/04/10,-1.197
2016/04/11,-1.24
2016/04/12,-1.301
2016/04/13,-1.371
2016/04/14,-1.433
2016/04/15,-1.484
2016/04/16,-1.525
2016/04/17,-1.535
2016/04/18,-1.524
2016/04/19,-1.498
2016/04/20,-1.468
2016/04/21,-1.438
2016/04/22,-1.415
2016/04/23,-1.396
2016/04/24,-1.375
2016/04/25,-1.358
2016/04/26,-1.354
2016/04/27,-1.349
2016/04/28,-1.347
2016/04/29,-1.342
2016/04/30,-1.314
2016/05/01,-1.258
2016/05/02,-1.161
2016/05/03,-1.036
2016/05/04,-0.897
2016/05/05,-0.753
2016/05/06,-0.606
2016/05/07,-0.474
2016/05/08,-0.356
2016/05/09,-0.249
2016/05/10,-0.157
2016/05/11,-0.069
2016/05/12,0.023
2016/05/13,0.126
2016/05/14,0.22
2016/05/15,0.301
2016/05/16,0.378
2016/05/17,0.48
2016/05/18,0.624
2016/05/19,0.809
2016/05/20,1.019
2016/05/21,1.209
2016/05/22,1.383
2016/05/23,1.532
2016/05/24,1.624
2016/05/25,1.656
2016/05/26,1.646
2016/05/27,1.577
2016/05/28,1.518
2016/05/29,1.437
2016/05/30,1.35
2016/05/31,1.28
2016/06/01,1.233
2016/06/02,1.199
2016/06/03,1.167
2016/06/04,1.135
2016/06/05,1.103
2016/06/06,1.073
2016/06/07,1.056
2016/06/08,1.044
2016/06/09,1.031
2016/06/10,1.009
2016/06/11,0.975
2016/06/12,0.949
2016/06/13,0.963
2016/06/14,1.029
2016/06/15,1.124
2016/06/16,1.248
2016/06/17,1.391
2016/06/18,1.443
2016/06/19,1.378
2016/06/20,1.234
2016/06/21,1.069
2016/06/22,0.915
2016/06/23,0.755
2016/06/24,0.611
2016/06/25,0.489
2016/06/26,0.381
2016/06/27,0.286
2016/06/28,0.19
2016/06/29,0.093
2016/06/30,0.073
2016/07/01,0.019
2016/07/02,-0.056
2016/07/03,-0.144
2016/07/04,-0.24
2016/07/05,-0.356
2016/07/06,-0.476
2016/07/07,-0.602
2016/07/08,-0.718
2016/07/09,-0.814
2016/07/10,-0.892
2016/07/11,-0.959
2016/07/12,-1.013
2016/07/13,-1.058
2016/07/14,-1.08
2016/07/15,-1.069
2016/07/16,-1.037
2016/07/17,-0.999
2016/07/18,-0.955
2016/07/19,-0.908
2016/07/20,-0.826
2016/07/21,-0.734
2016/07/22,-0.617
2016/07/23,-0.47
2016/07/24,-0.327
2016/07/25,-0.195
2016/07/26,-0.087
2016/07/27,0.005
2016/07/28,0.093
2016/07/29,0.156
2016/07/30,0.198
2016/07/31,0.215
2016/08/01,0.202
2016/08/02,0.144
2016/08/03,0.057
2016/08/04,-0.033
2016/08/05,-0.116
2016/08/06,-0.195
2016/08/07,-0.263
2016/08/08,-0.319
2016/08/09,-0.351
2016/08/10,-0.354
2016/08/11,-0.344
2016/08/12,-0.325
2016/08/13,-0.304
2016/08/14,-0.285
2016/08/15,-0.275
2016/08/16,-0.269
2016/08/17,-0.271
2016/08/18,-0.269
2016/08/19,-0.276
2016/08/20,-0.282
2016/08/21,-0.284
2016/08/22,-0.282
2016/08/23,-0.252
2016/08/24,-0.233
2016/08/25,-0.218
2016/08/26,-0.204
2016/08/27,-0.192
2016/08/28,-0.185
2016/08/29,-0.178
2016/08/30,-0.173
2016/08/31,-0.164
2016/09/01,-0.135
2016/09/02,-0.075
2016/09/03,-0.022
2016/09/04,0.057
2016/09/05,0.11
2016/09/06,0.142
2016/09/07,0.179
2016/09/08,0.215
2016/09/09,0.244
2016/09/10,0.254
2016/09/11,0.253
2016/09/12,0.248
2016/09/13,0.239
2016/09/14,0.244
2016/09/15,0.259
2016/09/16,0.283
2016/09/17,0.302
2016/09/18,0.319
2016/09/19,0.336
2016/09/20,0.367
2016/09/21,0.406
2016/09/22,0.466
2016/09/23,0.731
2016/09/24,1.075
2016/09/25,1.563
2016/09/26,2.133
2016/09/27,2.636
2016/09/28,2.939
2016/09/29,3.063
2016/09/30,3.06
2016/10/01,3.053
2016/10/02,3.014
2016/10/03,2.915
2016/10/04,2.872
2016/10/05,2.682
2016/10/06,2.402
2016/10/07,2.065
2016/10/08,1.702
2016/10/09,1.356
2016/10/10,1.022
2016/10/11,0.713
2016/10/12,0.439
2016/10/13,0.941
2016/10/14,1.405
2016/10/15,2.026
2016/10/16,2.525
2016/10/17,2.875
2016/10/18,3.069
2016/10/19,2.984
2016/10/20,2.693
2016/10/21,2.293
2016/10/22,1.847
2016/10/23,1.386
2016/10/24,0.943
2016/10/25,0.526
2016/10/26,0.143
2016/10/27,-0.204
2016/10/28,-0.514
2016/10/29,-0.795
2016/10/30,-1.056
2016/10/31,-1.275
2016/11/01,-1.461
2016/11/02,-1.628
2016/11/03,-1.771
2016/11/04,-1.897
2016/11/05,-1.993
2016/11/06,-2.07
2016/11/07,-2.127
2016/11/08,-2.163
2016/11/09,-2.191
2016/11/10,-2.197
2016/11/11,-2.192
2016/11/12,-2.175
2016/11/13,-2.143
2016/11/14,-2.095
2016/11/15,-2.041
2016/11/16,-1.979
2016/11/17,-1.916
2016/11/18,-1.856
2016/11/19,-1.796
2016/11/20,-1.742
2016/11/21,-1.679
2016/11/22,-1.629
2016/11/23,-1.574
2016/11/24,-1.482
2016/11/25,-1.434
2016/11/26,-1.376
2016/11/27,-1.309
2016/11/28,-1.232
2016/11/29,-1.172
2016/11/30,-1.149
2016/12/01,-1.151
2016/12/02,-1.166
2016/12/03,-1.201
2016/12/04,-1.25
