Date,hashrate90roc
2016/01/01,34.559
2016/01/02,42.295
2016/01/03,41.299
2016/01/04,46.895
2016/01/05,49.564
2016/01/06,47.17
2016/01/07,44.221
2016/01/08,52.713
2016/01/09,44.429
2016/01/10,39.273
2016/01/11,41.143
2016/01/12,37.272
2016/01/13,42.274
2016/01/14,59.58
2016/01/15,52.036
2016/01/16,58.397
2016/01/17,57.465
2016/01/18,64.577
2016/01/19,62.912
2016/01/20,72.404
2016/01/21,53.424
2016/01/22,52.393
2016/01/23,46.551
2016/01/24,62.929
2016/01/25,47.453
2016/01/26,58.292
2016/01/27,45.17
2016/01/28,34.439
2016/01/29,30.744
2016/01/30,28.428
2016/01/31,30.793
2016/02/01,41.449
2016/02/02,27.573
2016/02/03,42.398
2016/02/04,41.267
2016/02/05,46.135
2016/02/06,35.223
2016/02/07,39.633
2016/02/08,43.134
2016/02/09,37.383
2016/02/10,38.8
2016/02/11,41.488
2016/02/12,34.776
2016/02/13,39.199
2016/02/14,43.233
2016/02/15,48.358
2016/02/16,43.411
2016/02/17,39.319
2016/02/18,58.813
2016/02/19,65.565
2016/02/20,66.645
2016/02/21,65.767
2016/02/22,73.592
2016/02/23,80.681
2016/02/24,79.796
2016/02/25,73.625
2016/02/26,76.782
2016/02/27,79.234
2016/02/28,81.755
2016/02/29,72.259
2016/03/01,86.914
2016/03/02,86.223
2016/03/03,94.095
2016/03/04,91.988
2016/03/05,111.224
2016/03/06,114.348
2016/03/07,123.065
2016/03/08,114.482
2016/03/09,114.125
2016/03/10,118.509
2016/03/11,122.48
2016/03/12,118.34
2016/03/13,138.542
2016/03/14,122.716
2016/03/15,142.563
2016/03/16,138.678
2016/03/17,147.956
2016/03/18,146.856
2016/03/19,166.308
2016/03/20,173.088
2016/03/21,152.968
2016/03/22,165.177
2016/03/23,157.523
2016/03/24,179.159
2016/03/25,197.382
2016/03/26,197.133
2016/03/27,201.166
2016/03/28,196.599
2016/03/29,212.559
2016/03/30,215.479
2016/03/31,236.267
2016/04/01,238.946
2016/04/02,216.964
2016/04/03,237.313
2016/04/04,247.847
2016/04/05,247.421
2016/04/06,260.01
2016/04/07,229.163
2016/04/08,257.658
2016/04/09,264.384
2016/04/10,262.681
2016/04/11,264.369
2016/04/12,263.855
2016/04/13,266.125
2016/04/14,259.766
2016/04/15,269.66
2016/04/16,278.496
2016/04/17,254.908
2016/04/18,280.386
2016/04/19,278.11
2016/04/20,288.566
2016/04/21,274.883
2016/04/22,264.498
2016/04/23,255.708
2016/04/24,265.346
2016/04/25,256.228
2016/04/26,250.788
2016/04/27,259.277
2016/04/28,257.875
2016/04/29,265.652
2016/04/30,292.96
2016/05/01,270.968
2016/05/02,275.438
2016/05/03,268.89
2016/05/04,265.925
2016/05/05,264.832
2016/05/06,279.305
2016/05/07,267.325
2016/05/08,258.966
2016/05/09,274.603
2016/05/10,273.051
2016/05/11,244.675
2016/05/12,266.313
2016/05/13,267.344
2016/05/14,257.105
2016/05/15,250.89
2016/05/16,252.264
2016/05/17,260.637
2016/05/18,285.227
2016/05/19,272.308
2016/05/20,277.332
2016/05/21,276.27
2016/05/22,259.164
2016/05/23,258.787
2016/05/24,265.886
2016/05/25,265.279
2016/05/26,258.566
2016/05/27,254.045
2016/05/28,255.202
2016/05/29,269.732
2016/05/30,262.695
2016/05/31,243.57
2016/06/01,231.127
2016/06/02,229.681
2016/06/03,231.374
2016/06/04,227.651
2016/06/05,217.585
2016/06/06,224.636
2016/06/07,220.591
2016/06/08,209.348
2016/06/09,215.888
2016/06/10,181.611
2016/06/11,175.413
2016/06/12,187.276
2016/06/13,186.778
2016/06/14,183.566
2016/06/15,171.588
2016/06/16,174.352
2016/06/17,171.66
2016/06/18,159.291
2016/06/19,169.677
2016/06/20,160.056
2016/06/21,170.295
2016/06/22,160.029
2016/06/23,153.688
2016/06/24,146.05
2016/06/25,141.873
2016/06/26,154.351
2016/06/27,149.289
2016/06/28,146.23
2016/06/29,132.62
2016/06/30,131.205
2016/07/01,145.187
2016/07/02,132.565
2016/07/03,127.505
2016/07/04,125.849
2016/07/05,128.776
2016/07/06,139.258
2016/07/07,119.015
2016/07/08,121.695
2016/07/09,113.827
2016/07/10,122.451
2016/07/11,130.767
2016/07/12,119.691
2016/07/13,121.398
2016/07/14,110.702
2016/07/15,104.638
2016/07/16,110.915
2016/07/17,99.806
2016/07/18,105.492
2016/07/19,98.877
2016/07/20,93.325
2016/07/21,107.353
2016/07/22,91.582
2016/07/23,102.47
2016/07/24,87.58
2016/07/25,86.991
2016/07/26,76.983
2016/07/27,65.761
2016/07/28,73.011
2016/07/29,62.819
2016/07/30,61.049
2016/07/31,69.194
2016/08/01,56.916
2016/08/02,47.08
2016/08/03,41.823
2016/08/04,53.833
2016/08/05,58.283
2016/08/06,51.145
2016/08/07,54.884
2016/08/08,54.435
2016/08/09,68.956
2016/08/10,68.232
2016/08/11,61.354
2016/08/12,63.555
2016/08/13,60.621
2016/08/14,61.406
2016/08/15,62.435
2016/08/16,59.79
2016/08/17,56.022
2016/08/18,56.196
2016/08/19,53.319
2016/08/20,58.521
2016/08/21,59.429
2016/08/22,57.894
2016/08/23,59.275
2016/08/24,57.17
2016/08/25,59.881
2016/08/26,61.147
2016/08/27,59.994
2016/08/28,58.43
2016/08/29,58.36
2016/08/30,61.059
2016/08/31,60.864
2016/09/01,54.236
2016/09/02,57.181
2016/09/03,52.251
2016/09/04,43.143
2016/09/05,47.627
2016/09/06,45.653
2016/09/07,42.646
2016/09/08,50.008
2016/09/09,45.271
2016/09/10,45.559
2016/09/11,45.733
2016/09/12,43.963
2016/09/13,44.39
2016/09/14,49.334
2016/09/15,43.609
2016/09/16,46.277
2016/09/17,48.043
2016/09/18,32.117
2016/09/19,37.27
2016/09/20,46.852
2016/09/21,48.2
2016/09/22,35.594
2016/09/23,50.251
2016/09/24,46.367
2016/09/25,49.119
2016/09/26,39.011
2016/09/27,50.256
2016/09/28,50.86
2016/09/29,50.727
2016/09/30,46.279
2016/10/01,48.025
2016/10/02,52.549
2016/10/03,49.404
2016/10/04,52.579
2016/10/05,52.241
2016/10/06,52.641
2016/10/07,47.371
2016/10/08,52.549
2016/10/09,52.926
2016/10/10,53.918
2016/10/11,53.552
2016/10/12,49.778
2016/10/13,57.979
2016/10/14,63.143
2016/10/15,64.255
2016/10/16,63.934
2016/10/17,57.804
2016/10/18,66.975
2016/10/19,60.489
2016/10/20,72.325
2016/10/21,67.896
2016/10/22,72.707
2016/10/23,73.64
2016/10/24,85.953
2016/10/25,96.679
2016/10/26,86.651
2016/10/27,87.42
2016/10/28,83.519
