Date,price30stdUSD
2016/01/01,0.126
2016/01/02,0.125
2016/01/03,0.125
2016/01/04,0.126
2016/01/05,0.127
2016/01/06,0.123
2016/01/07,0.118
2016/01/08,0.111
2016/01/09,0.112
2016/01/10,0.12
2016/01/11,0.126
2016/01/12,0.15
2016/01/13,0.162
2016/01/14,0.174
2016/01/15,0.2
2016/01/16,0.222
2016/01/17,0.24
2016/01/18,0.283
2016/01/19,0.31
2016/01/20,0.345
2016/01/21,0.382
2016/01/22,0.409
2016/01/23,0.465
2016/01/24,0.585
2016/01/25,0.705
2016/01/26,0.849
2016/01/27,0.929
2016/01/28,1.004
2016/01/29,1.068
2016/01/30,1.123
2016/01/31,1.153
2016/02/01,1.161
2016/02/02,1.165
2016/02/03,1.177
2016/02/04,1.19
2016/02/05,1.194
2016/02/06,1.189
2016/02/07,1.19
2016/02/08,1.232
2016/02/09,1.312
2016/02/10,1.513
2016/02/11,1.778
2016/02/12,2.164
2016/02/13,2.3
2016/02/14,2.398
2016/02/15,2.542
2016/02/16,2.578
2016/02/17,2.55
2016/02/18,2.501
2016/02/19,2.474
2016/02/20,2.432
2016/02/21,2.373
2016/02/22,2.372
2016/02/23,2.44
2016/02/24,2.511
2016/02/25,2.631
2016/02/26,2.68
2016/02/27,2.737
2016/02/28,2.794
2016/02/29,2.825
2016/03/01,2.851
2016/03/02,2.981
2016/03/03,3.256
2016/03/04,3.47
2016/03/05,3.943
2016/03/06,4.283
2016/03/07,4.414
2016/03/08,4.421
2016/03/09,4.528
2016/03/10,4.75
2016/03/11,4.911
2016/03/12,5.289
2016/03/13,5.84
2016/03/14,6.135
2016/03/15,6.28
2016/03/16,6.468
2016/03/17,6.44
2016/03/18,6.248
2016/03/19,6.027
2016/03/20,5.807
2016/03/21,5.568
2016/03/22,5.307
2016/03/23,5.095
2016/03/24,4.882
2016/03/25,4.629
2016/03/26,4.397
2016/03/27,4.088
2016/03/28,3.771
2016/03/29,3.439
2016/03/30,3.036
2016/03/31,2.597
2016/04/01,2.31
2016/04/02,2.18
2016/04/03,2.032
2016/04/04,2.03
2016/04/05,2.044
2016/04/06,2.027
2016/04/07,1.95
2016/04/08,2.008
2016/04/09,2.113
2016/04/10,2.335
2016/04/11,2.468
2016/04/12,2.452
2016/04/13,2.522
2016/04/14,2.555
2016/04/15,2.491
2016/04/16,2.571
2016/04/17,2.6
2016/04/18,2.636
2016/04/19,2.672
2016/04/20,2.719
2016/04/21,2.727
2016/04/22,2.736
2016/04/23,2.761
2016/04/24,2.794
2016/04/25,2.843
2016/04/26,2.928
2016/04/27,2.934
2016/04/28,2.899
2016/04/29,2.804
2016/04/30,2.636
2016/05/01,2.448
2016/05/02,2.271
2016/05/03,2.067
2016/05/04,1.869
2016/05/05,1.743
