Date,confirmationtime7rsi
2016/10/16,48.487
2016/10/17,55.09
2016/10/18,44.192
2016/10/19,63.128
2016/10/20,39.849
2016/10/21,47.979
2016/10/22,50.258
2016/10/23,52.379
2016/10/24,48.754
2016/10/25,50.785
2016/10/26,46.827
2016/10/27,51.856
2016/10/28,56.581
2016/10/29,69.969
2016/10/30,46.594
2016/10/31,45.21
2016/11/01,57.049
2016/11/02,51.154
2016/11/03,51.256
2016/11/04,53.864
2016/11/05,47.927
2016/11/06,44.415
2016/11/07,32.533
2016/11/08,42.988
2016/11/09,55.815
2016/11/10,53.236
2016/11/11,51.537
2016/11/12,45.526
2016/11/13,39.125
2016/11/14,48.899
2016/11/15,52.979
2016/11/16,49.991
2016/11/17,61.698
2016/11/18,37.982
2016/11/19,45.659
2016/11/20,44.3
2016/11/21,50.642
2016/11/22,58.781
2016/11/23,62.955
2016/11/24,56.861
2016/11/25,44.564
2016/11/26,54.586
2016/11/27,54.111
2016/11/28,47.543
2016/11/29,51.351
2016/11/30,46.09
2016/12/01,46.437
2016/12/02,44.923
2016/12/03,38.182
2016/12/04,54.884
2016/12/05,52.855
2016/12/06,45.12
2016/12/07,46.81
2016/12/08,41.941
2016/12/09,50.617
2016/12/10,47.815
2016/12/11,45.154
2016/12/12,57.253
2016/12/13,48.297
2016/12/14,47.103
2016/12/15,57.015
2016/12/16,47.317
2016/12/17,42.71
2016/12/18,45.708
2016/12/19,54.685
2016/12/20,49.176
2016/12/21,49.022
2016/12/22,64.261
2016/12/23,64.483
2016/12/24,54.348
2016/12/25,38.419
2016/12/26,47.397
2016/12/27,55.933
2016/12/28,48.146
2016/12/29,44.92
2016/12/30,47.893
2016/12/31,57.823
2017/01/01,42.15
2017/01/02,49.277
2017/01/03,52.29
2017/01/04,39.761
2017/01/05,46.722
2017/01/06,56.541
2017/01/07,44.914
2017/01/08,49.066
2017/01/09,48.067
2017/01/10,55.055
2017/01/11,52.353
2017/01/12,50.819
2017/01/13,42.773
2017/01/14,49.968
2017/01/15,46.79
2017/01/16,53.176
2017/01/17,61.465
2017/01/18,48.795
2017/01/19,36.251
2017/01/20,61.119
2017/01/21,51.048
2017/01/22,48.93
2017/01/23,51.049
2017/01/24,52.542
2017/01/25,56.377
2017/01/26,45.243
2017/01/27,58.291
2017/01/28,47.524
2017/01/29,59.187
2017/01/30,44.315
2017/01/31,52.188
2017/02/01,53.116
2017/02/02,48.498
2017/02/03,55.318
2017/02/04,44.709
2017/02/05,44.847
2017/02/06,48.89
2017/02/07,56.201
2017/02/08,46.036
2017/02/09,51.628
2017/02/10,49.875
2017/02/11,50.233
2017/02/12,46.203
2017/02/13,44.055
2017/02/14,54.633
2017/02/15,41.743
2017/02/16,49.499
2017/02/17,56.839
2017/02/18,59.112
2017/02/19,54.012
2017/02/20,54.917
2017/02/21,45.339
2017/02/22,62.703
2017/02/23,51.134
2017/02/24,52.719
2017/02/25,46.571
2017/02/26,37.562
2017/02/27,57.228
2017/02/28,39.973
2017/03/01,58.391
2017/03/02,46.738
2017/03/03,52.586
2017/03/04,54.823
2017/03/05,44.638
2017/03/06,55.237
2017/03/07,55.106
2017/03/08,49.922
2017/03/09,60.14
2017/03/10,56.436
2017/03/11,49.168
2017/03/12,59.361
2017/03/13,44.336
2017/03/14,53.28
2017/03/15,50.271
2017/03/16,49.749
2017/03/17,42.597
2017/03/18,50.714
2017/03/19,56.189
2017/03/20,41.251
2017/03/21,54.497
2017/03/22,48.473
2017/03/23,58.426
2017/03/24,58.527
2017/03/25,51.439
2017/03/26,48.796
2017/03/27,53.366
2017/03/28,60.151
2017/03/29,46.383
2017/03/30,56.631
2017/03/31,48.201
2017/04/01,54.069
2017/04/02,62.959
2017/04/03,45.886
2017/04/04,51.257
2017/04/05,45.245
2017/04/06,56.919
2017/04/07,49.241
2017/04/08,50.413
2017/04/09,64.166
2017/04/10,67.233
2017/04/11,54.62
2017/04/12,61.139
2017/04/13,58.456
2017/04/14,45.32
2017/04/15,62.334
2017/04/16,52.158
2017/04/17,48.43
2017/04/18,48.43
2017/04/19,61.67
2017/04/20,47.605
2017/04/21,46.001
2017/04/22,54.239
2017/04/23,47.19
2017/04/24,59.529
2017/04/25,44.637
2017/04/26,61.489
2017/04/27,61.053
2017/04/28,56.012
2017/04/29,60.889
2017/04/30,58.523
2017/05/01,60.478
2017/05/02,60.928
2017/05/03,56.449
2017/05/04,56.449
2017/05/05,51.986
2017/05/06,51.441
2017/05/07,44.277
2017/05/08,57.752
2017/05/09,51.718
2017/05/10,55.757
2017/05/11,45.76
2017/05/12,48.532
2017/05/13,63.786
2017/05/14,78.815
2017/05/15,78.871
2017/05/16,67.35
2017/05/17,76.802
2017/05/18,56.882
2017/05/19,60.164
2017/05/20,52.263
2017/05/21,57.464
2017/05/22,53.402
2017/05/23,58.792
2017/05/24,57.515
2017/05/25,51.384
2017/05/26,47.257
2017/05/27,55.484
2017/05/28,52.922
2017/05/29,35.935
2017/05/30,35.728
2017/05/31,59.496
2017/06/01,70.375
2017/06/02,79.755
2017/06/03,64.643
2017/06/04,67.356
2017/06/05,57.297
2017/06/06,60.443
2017/06/07,56.748
2017/06/08,59.54
2017/06/09,58.798
2017/06/10,44.044
2017/06/11,53.834
2017/06/12,54.817
2017/06/13,50.011
2017/06/14,47.276
2017/06/15,45.405
2017/06/16,40.935
2017/06/17,51.276
2017/06/18,41.246
2017/06/19,43.678
2017/06/20,77.214
2017/06/21,80.009
2017/06/22,72.919
2017/06/23,75.854
2017/06/24,68.04
2017/06/25,69.02
2017/06/26,62.359
2017/06/27,56.567
2017/06/28,61.238
2017/06/29,50.78
2017/06/30,49.457
2017/07/01,53.696
2017/07/02,49.233
2017/07/03,46.046
2017/07/04,41.552
2017/07/05,58.628
2017/07/06,47.86
2017/07/07,42.321
2017/07/08,41.878
2017/07/09,40.721
2017/07/10,83.305
2017/07/11,85.352
2017/07/12,85.663
2017/07/13,85.088
2017/07/14,85.468
2017/07/15,66.028
2017/07/16,68.321
2017/07/17,76.303
2017/07/18,61.816
2017/07/19,51.552
2017/07/20,52.082
2017/07/21,61.105
2017/07/22,48.469
2017/07/23,47.315
2017/07/24,56.095
2017/07/25,44.684
2017/07/26,48.864
2017/07/27,50.696
2017/07/28,48.923
2017/07/29,44.005
2017/07/30,41.219
2017/07/31,63.661
2017/08/01,84.523
2017/08/02,85.566
2017/08/03,87.201
2017/08/04,77.545
2017/08/05,77.81
2017/08/06,77.912
2017/08/07,66.988
2017/08/08,67.074
2017/08/09,63.265
2017/08/10,71.361
2017/08/11,57.872
2017/08/12,56.586
2017/08/13,53.975
2017/08/14,53.028
2017/08/15,53.22
2017/08/16,45.869
2017/08/17,50.967
2017/08/18,52.864
2017/08/19,37.323
2017/08/20,49.871
2017/08/21,37.63
2017/08/22,47.022
2017/08/23,42.213
2017/08/24,48.551
2017/08/25,87.1
2017/08/26,88.179
2017/08/27,85.868
2017/08/28,87.634
2017/08/29,72.948
2017/08/30,73.475
2017/08/31,76.618
2017/09/01,68.732
2017/09/02,65.517
2017/09/03,65.703
2017/09/04,66.957
2017/09/05,60.153
2017/09/06,66.301
2017/09/07,58.344
2017/09/08,50.021
2017/09/09,55.144
2017/09/10,52.498
2017/09/11,56.79
2017/09/12,45.932
2017/09/13,58.042
2017/09/14,46.584
2017/09/15,43.915
2017/09/16,45.413
2017/09/17,41.544
2017/09/18,56.718
2017/09/19,43.807
2017/09/20,49.077
2017/09/21,41.767
2017/09/22,85.38
2017/09/23,87.823
2017/09/24,80.431
2017/09/25,83.536
2017/09/26,75.967
2017/09/27,73.986
2017/09/28,76.469
2017/09/29,77.891
2017/09/30,75.705
2017/10/01,71.102
2017/10/02,72.851
2017/10/03,68.046
2017/10/04,62.589
2017/10/05,50.432
2017/10/06,63.787
2017/10/07,63.787
2017/10/08,57.019
2017/10/09,56.351
2017/10/10,49.074
2017/10/11,49.074
2017/10/12,53.052
2017/10/13,55.114
2017/10/14,56.24
2017/10/15,44.117
2017/10/16,5.631
2017/10/17,3.879
2017/10/18,3.764
2017/10/19,3.75
2017/10/20,3.837
2017/10/21,4.039
2017/10/22,3.977
2017/10/23,4.842
