Date,transactionvalue90smaUSD
2016/01/01,44.885
2016/01/02,44.874
2016/01/03,45.119
2016/01/04,44.752
2016/01/05,45.13
2016/01/06,44.993
2016/01/07,44.927
2016/01/08,44.985
2016/01/09,45.019
2016/01/10,44.894
2016/01/11,45.027
2016/01/12,45.3
2016/01/13,44.864
2016/01/14,44.937
2016/01/15,46.035
2016/01/16,46.607
2016/01/17,46.696
2016/01/18,49.004
2016/01/19,49.858
2016/01/20,50.255
2016/01/21,50.356
2016/01/22,51.38
2016/01/23,53.078
2016/01/24,55.795
2016/01/25,56.461
2016/01/26,57.67
2016/01/27,58.616
2016/01/28,58.214
2016/01/29,59.29
2016/01/30,60.959
2016/01/31,62.378
2016/02/01,62.533
2016/02/02,62.423
2016/02/03,63.12
2016/02/04,62.579
2016/02/05,63.248
2016/02/06,62.689
2016/02/07,63.156
2016/02/08,65.414
2016/02/09,69.054
2016/02/10,74.253
2016/02/11,78.272
2016/02/12,85.504
2016/02/13,88.965
2016/02/14,91.38
2016/02/15,92.266
2016/02/16,95.976
2016/02/17,97.358
2016/02/18,100.019
2016/02/19,101.153
2016/02/20,104.282
2016/02/21,104.773
2016/02/22,106.728
2016/02/23,111.764
2016/02/24,117.404
2016/02/25,119.704
2016/02/26,132.195
2016/02/27,139.835
2016/02/28,142.509
2016/02/29,144.684
2016/03/01,148.746
2016/03/02,162.006
2016/03/03,170.464
2016/03/04,176.666
2016/03/05,189.488
2016/03/06,196.117
2016/03/07,203.178
2016/03/08,212.37
2016/03/09,217.484
2016/03/10,221.576
2016/03/11,225.956
2016/03/12,233.34
2016/03/13,244.342
2016/03/14,252.614
2016/03/15,257.288
2016/03/16,262.737
2016/03/17,269.17
2016/03/18,277.319
2016/03/19,279.78
2016/03/20,281.532
2016/03/21,284.763
2016/03/22,287.388
2016/03/23,289.672
2016/03/24,292.872
2016/03/25,294.548
2016/03/26,295.61
2016/03/27,299.917
2016/03/28,302.612
2016/03/29,307.409
2016/03/30,311.878
2016/03/31,315.068
2016/04/01,316.246
2016/04/02,317.44
2016/04/03,318.207
2016/04/04,319.1
2016/04/05,321.029
2016/04/06,323.013
2016/04/07,325.434
2016/04/08,326.997
2016/04/09,331.204
2016/04/10,334.17
2016/04/11,334.916
2016/04/12,337.366
2016/04/13,339.703
2016/04/14,340.908
2016/04/15,341.735
2016/04/16,342.52
2016/04/17,341.857
2016/04/18,342.366
2016/04/19,342.702
2016/04/20,343.874
2016/04/21,343.951
2016/04/22,344.057
2016/04/23,343.316
2016/04/24,341.125
2016/04/25,340.355
2016/04/26,341.526
2016/04/27,341.956
2016/04/28,342.357
2016/04/29,341.815
2016/04/30,345.194
2016/05/01,348.468
2016/05/02,352.281
2016/05/03,355.098
2016/05/04,357.562
2016/05/05,359.53
2016/05/06,364.658
2016/05/07,367.171
2016/05/08,367.384
2016/05/09,368.98
2016/05/10,368.77
2016/05/11,372.223
2016/05/12,372.769
2016/05/13,389.057
2016/05/14,400.691
2016/05/15,402.008
2016/05/16,402.652
2016/05/17,405.21
2016/05/18,407.935
2016/05/19,415.842
2016/05/20,420.302
2016/05/21,422.391
2016/05/22,422.563
2016/05/23,421.732
2016/05/24,420.744
2016/05/25,422.539
2016/05/26,413.334
2016/05/27,412.126
2016/05/28,413.173
2016/05/29,413.615
2016/05/30,412.388
2016/05/31,402.232
2016/06/01,396.431
2016/06/02,391.963
2016/06/03,381.274
2016/06/04,375.935
2016/06/05,370.471
2016/06/06,362.866
2016/06/07,360.871
2016/06/08,364.961
2016/06/09,361.798
2016/06/10,357.426
2016/06/11,348.395
2016/06/12,344.05
2016/06/13,342.513
2016/06/14,342.244
2016/06/15,339.86
2016/06/16,338.85
2016/06/17,348.342
2016/06/18,358.053
2016/06/19,359.518
2016/06/20,364.055
2016/06/21,366.7
2016/06/22,370.12
2016/06/23,374.439
2016/06/24,377.157
2016/06/25,377.906
2016/06/26,377.285
2016/06/27,374.924
2016/06/28,375.315
2016/06/29,375.109
2016/06/30,375.504
2016/07/01,376.764
2016/07/02,377.392
2016/07/03,377.519
2016/07/04,379.179
2016/07/05,387.671
2016/07/06,388.343
2016/07/07,389.289
2016/07/08,386.799
2016/07/09,385.073
2016/07/10,385.171
2016/07/11,384.871
2016/07/12,384.618
2016/07/13,385.148
2016/07/14,386.25
2016/07/15,397.496
2016/07/16,398.07
2016/07/17,398.973
2016/07/18,406.899
2016/07/19,432.572
2016/07/20,468.628
2016/07/21,471.911
2016/07/22,478.466
2016/07/23,486.825
2016/07/24,517.795
2016/07/25,541.357
2016/07/26,587.279
2016/07/27,618.421
2016/07/28,639.317
2016/07/29,649.815
2016/07/30,658.09
2016/07/31,663.24
2016/08/01,674.476
2016/08/02,694.832
2016/08/03,710.66
2016/08/04,714.695
2016/08/05,722.096
2016/08/06,723.621
2016/08/07,724.027
2016/08/08,724.783
2016/08/09,725.461
2016/08/10,731.385
2016/08/11,722.026
2016/08/12,714.167
2016/08/13,716.555
2016/08/14,716.958
2016/08/15,716.884
2016/08/16,713.543
2016/08/17,709.094
2016/08/18,704.113
2016/08/19,703.503
2016/08/20,705.426
2016/08/21,711.246
2016/08/22,711.594
2016/08/23,717.882
2016/08/24,717.043
2016/08/25,712.64
2016/08/26,713.866
2016/08/27,713.437
2016/08/28,712.566
2016/08/29,712.367
2016/08/30,711.743
2016/08/31,712.812
2016/09/01,716.07
2016/09/02,718.454
2016/09/03,720.316
2016/09/04,722.417
2016/09/05,721.512
2016/09/06,715.487
2016/09/07,715.965
2016/09/08,715.932
2016/09/09,715.394
2016/09/10,713.206
2016/09/11,711.067
2016/09/12,708.092
2016/09/13,706.766
2016/09/14,701.233
2016/09/15,690.631
2016/09/16,684.325
2016/09/17,681.906
2016/09/18,680.55
2016/09/19,678.79
2016/09/20,682.466
2016/09/21,690.262
2016/09/22,691.674
2016/09/23,694.868
2016/09/24,697.017
2016/09/25,703.756
2016/09/26,703.276
2016/09/27,703.353
2016/09/28,710.062
2016/09/29,714.794
2016/09/30,716.95
2016/10/01,717.509
2016/10/02,718.908
2016/10/03,710.141
2016/10/04,708.691
2016/10/05,709.629
2016/10/06,711.367
2016/10/07,712.604
2016/10/08,714.371
2016/10/09,719.899
2016/10/10,724.973
2016/10/11,729.345
2016/10/12,738.182
2016/10/13,729.821
2016/10/14,735.452
2016/10/15,737.17
2016/10/16,734.049
2016/10/17,712.781
2016/10/18,683.16
2016/10/19,681.514
2016/10/20,674.372
2016/10/21,666.449
2016/10/22,635.517
2016/10/23,610.682
2016/10/24,564.456
2016/10/25,534.416
2016/10/26,514.807
2016/10/27,501.526
2016/10/28,493.57
2016/10/29,489.055
2016/10/30,481.105
2016/10/31,461.053
2016/11/01,449.188
2016/11/02,451.786
2016/11/03,468.458
2016/11/04,467.745
2016/11/05,464.64
2016/11/06,460.443
2016/11/07,453.563
2016/11/08,441.426
2016/11/09,436.707
2016/11/10,432.906
2016/11/11,437.188
2016/11/12,435.552
2016/11/13,434.593
2016/11/14,433.587
2016/11/15,431.337
2016/11/16,431.266
2016/11/17,437.15
2016/11/18,435.184
2016/11/19,427.239
2016/11/20,422.568
2016/11/21,412.832
2016/11/22,415.508
2016/11/23,417.339
2016/11/24,414.538
2016/11/25,414.758
2016/11/26,414.156
2016/11/27,412.58
2016/11/28,411.933
2016/11/29,411.486
2016/11/30,408.673
2016/12/01,407.058
2016/12/02,410.397
2016/12/03,416.602
2016/12/04,417.757
2016/12/05,422.253
2016/12/06,429.774
2016/12/07,431.36
2016/12/08,435.666
2016/12/09,439.297
2016/12/10,439.926
2016/12/11,441.744
2016/12/12,441.29
2016/12/13,441.744
2016/12/14,442.249
2016/12/15,440.965
2016/12/16,441.378
2016/12/17,442.183
2016/12/18,444.05
2016/12/19,436.283
2016/12/20,425.02
2016/12/21,423.308
2016/12/22,419.823
2016/12/23,426.825
2016/12/24,422.564
2016/12/25,420.097
2016/12/26,418.515
2016/12/27,412.59
2016/12/28,410.304
2016/12/29,415.45
2016/12/30,419.919
2016/12/31,428.472
2017/01/01,430.883
2017/01/02,435.594
2017/01/03,442.747
2017/01/04,457.13
2017/01/05,473.088
2017/01/06,488.117
2017/01/07,491.1
2017/01/08,490.045
2017/01/09,493.686
2017/01/10,493.188
2017/01/11,500.376
2017/01/12,501.562
2017/01/13,502.25
2017/01/14,498.569
2017/01/15,493.725
2017/01/16,487.986
2017/01/17,487.933
2017/01/18,487.882
2017/01/19,489.057
2017/01/20,494.163
2017/01/21,495.132
2017/01/22,495.959
2017/01/23,495.263
2017/01/24,494.469
2017/01/25,494.208
2017/01/26,492.233
2017/01/27,489.259
2017/01/28,483.53
2017/01/29,482.493
2017/01/30,477.286
2017/01/31,468.753
2017/02/01,443.653
2017/02/02,442.496
2017/02/03,444.248
2017/02/04,447.276
2017/02/05,447.416
2017/02/06,449.078
2017/02/07,446.267
2017/02/08,446.224
2017/02/09,439.083
2017/02/10,439.517
2017/02/11,438.787
2017/02/12,440.787
2017/02/13,440.934
2017/02/14,446.162
2017/02/15,448.205
2017/02/16,452.342
2017/02/17,457.4
2017/02/18,462.598
2017/02/19,467.834
2017/02/20,469.439
2017/02/21,474.366
2017/02/22,479.48
2017/02/23,484.489
2017/02/24,496.405
2017/02/25,503.653
2017/02/26,513.392
2017/02/27,539.095
2017/02/28,568.965
2017/03/01,601.174
2017/03/02,643.3
2017/03/03,689.254
2017/03/04,724.819
2017/03/05,751.398
2017/03/06,799.701
2017/03/07,829.859
2017/03/08,864.341
2017/03/09,903.078
2017/03/10,941.746
2017/03/11,991.193
2017/03/12,1078
2017/03/13,1146
2017/03/14,1176
2017/03/15,1204
2017/03/16,1330
2017/03/17,1400
2017/03/18,1509
2017/03/19,1533
2017/03/20,1570
2017/03/21,1641
2017/03/22,1703
2017/03/23,1756
2017/03/24,1845
2017/03/25,1923
2017/03/26,1989
2017/03/27,2051
2017/03/28,2118
2017/03/29,2192
2017/03/30,2291
2017/03/31,2356
2017/04/01,2419
2017/04/02,2507
2017/04/03,2582
2017/04/04,2612
2017/04/05,2664
2017/04/06,2734
2017/04/07,2750
2017/04/08,2790
2017/04/09,2823
2017/04/10,2867
2017/04/11,2910
2017/04/12,2949
2017/04/13,2982
2017/04/14,3026
2017/04/15,3050
2017/04/16,3062
2017/04/17,3076
2017/04/18,3130
2017/04/19,3191
2017/04/20,3254
2017/04/21,3304
2017/04/22,3353
2017/04/23,3399
2017/04/24,3457
2017/04/25,3502
2017/04/26,3571
2017/04/27,3662
2017/04/28,3761
2017/04/29,3878
2017/04/30,4013
2017/05/01,4200
2017/05/02,4353
2017/05/03,4549
2017/05/04,4733
2017/05/05,4948
2017/05/06,5111
2017/05/07,5299
2017/05/08,5459
2017/05/09,5616
2017/05/10,5777
2017/05/11,5962
2017/05/12,6124
2017/05/13,6247
2017/05/14,6365
2017/05/15,6495
2017/05/16,6667
2017/05/17,6757
2017/05/18,6820
2017/05/19,6929
2017/05/20,7024
2017/05/21,7144
2017/05/22,7405
2017/05/23,7554
2017/05/24,7720
2017/05/25,7878
2017/05/26,8060
2017/05/27,8182
2017/05/28,8273
2017/05/29,8370
2017/05/30,8477
2017/05/31,8699
2017/06/01,8850
2017/06/02,9018
2017/06/03,9200
2017/06/04,9345
2017/06/05,9555
2017/06/06,9803
2017/06/07,10009
2017/06/08,10202
2017/06/09,10368
2017/06/10,10453
2017/06/11,10574
2017/06/12,10907
2017/06/13,11201
2017/06/14,11293
2017/06/15,11503
2017/06/16,11674
2017/06/17,11816
2017/06/18,11932
2017/06/19,12012
2017/06/20,12134
2017/06/21,12165
2017/06/22,12178
2017/06/23,12232
2017/06/24,12325
2017/06/25,12318
2017/06/26,12342
2017/06/27,12385
2017/06/28,12403
2017/06/29,12468
2017/06/30,12529
2017/07/01,12546
2017/07/02,12545
2017/07/03,12750
2017/07/04,12899
2017/07/05,12885
2017/07/06,12954
2017/07/07,12995
2017/07/08,13031
2017/07/09,13017
2017/07/10,13052
2017/07/11,13099
2017/07/12,13164
2017/07/13,13310
2017/07/14,13504
2017/07/15,13707
2017/07/16,13868
2017/07/17,13987
2017/07/18,14142
2017/07/19,14284
2017/07/20,14430
2017/07/21,14603
2017/07/22,14609
2017/07/23,14617
2017/07/24,14769
2017/07/25,14921
2017/07/26,15016
2017/07/27,15125
2017/07/28,15223
2017/07/29,15320
2017/07/30,15281
2017/07/31,15200
2017/08/01,15106
2017/08/02,15013
2017/08/03,14872
2017/08/04,14783
2017/08/05,14683
2017/08/06,14615
2017/08/07,14558
2017/08/08,14501
2017/08/09,14444
2017/08/10,14508
2017/08/11,14819
2017/08/12,14983
2017/08/13,15145
2017/08/14,15159
2017/08/15,15212
2017/08/16,15263
2017/08/17,15267
2017/08/18,15282
2017/08/19,15257
2017/08/20,15093
2017/08/21,15048
2017/08/22,14983
2017/08/23,14934
2017/08/24,14863
2017/08/25,14838
2017/08/26,14783
2017/08/27,14880
2017/08/28,15033
2017/08/29,14976
2017/08/30,15145
2017/08/31,15122
2017/09/01,15080
2017/09/02,15042
2017/09/03,14933
2017/09/04,14773
2017/09/05,14643
2017/09/06,14529
2017/09/07,14403
2017/09/08,14330
2017/09/09,14312
2017/09/10,14119
2017/09/11,13927
2017/09/12,13832
2017/09/13,13626
2017/09/14,13452
2017/09/15,13389
2017/09/16,13310
2017/09/17,13271
2017/09/18,13245
2017/09/19,13288
2017/09/20,13275
2017/09/21,13230
2017/09/22,13160
2017/09/23,13189
2017/09/24,13166
2017/09/25,13128
2017/09/26,13095
2017/09/27,13047
2017/09/28,13018
2017/09/29,12988
2017/09/30,12976
2017/10/01,12775
2017/10/02,12632
2017/10/03,12780
2017/10/04,12843
2017/10/05,12853
2017/10/06,12870
2017/10/07,12917
2017/10/08,12927
2017/10/09,12937
2017/10/10,12939
2017/10/11,12841
2017/10/12,12723
2017/10/13,12640
2017/10/14,12576
2017/10/15,12503
2017/10/16,12353
2017/10/17,12220
2017/10/18,12126
2017/10/19,11989
2017/10/20,12004
2017/10/21,12011
2017/10/22,11882
2017/10/23,11745
2017/10/24,11642
2017/10/25,11505
2017/10/26,11356
2017/10/27,11124
2017/10/28,10972
2017/10/29,10895
2017/10/30,10790
2017/10/31,10695
2017/11/01,10704
2017/11/02,10722
2017/11/03,10714
2017/11/04,10690
2017/11/05,10650
2017/11/06,10606
2017/11/07,10530
2017/11/08,10379
2017/11/09,10082
2017/11/10,9899
2017/11/11,9708
2017/11/12,9647
2017/11/13,9586
2017/11/14,9548
2017/11/15,9543
2017/11/16,9539
2017/11/17,9550
2017/11/18,9547
2017/11/19,9542
2017/11/20,9561
2017/11/21,9565
2017/11/22,9569
2017/11/23,9594
2017/11/24,9655
2017/11/25,9578
2017/11/26,9430
2017/11/27,9388
2017/11/28,9210
2017/11/29,9243
2017/11/30,9260
2017/12/01,9263
