Date,difficulty14roc
2016/01/01,-2.645
2016/01/02,-6.551
2016/01/03,-2.664
2016/01/04,-2.099
2016/01/05,-4.97
2016/01/06,-1.28
2016/01/07,-4.183
2016/01/08,-2.851
2016/01/09,-0.27
2016/01/10,-2.934
2016/01/11,3.473
2016/01/12,3.306
2016/01/13,0.072
2016/01/14,2.255
2016/01/15,5.25
2016/01/16,12.947
2016/01/17,9.09
2016/01/18,13.436
2016/01/19,14.842
2016/01/20,11.768
2016/01/21,16.911
2016/01/22,19.207
2016/01/23,19.278
2016/01/24,21.55
2016/01/25,17.013
2016/01/26,19.357
2016/01/27,27.54
2016/01/28,19.615
2016/01/29,20.975
2016/01/30,18.188
2016/01/31,17.952
2016/02/01,15.481
2016/02/02,11.904
2016/02/03,15.331
2016/02/04,15.787
2016/02/05,12.924
2016/02/06,8.036
2016/02/07,9.05
2016/02/08,11.711
2016/02/09,5.98
2016/02/10,7.756
2016/02/11,14.787
2016/02/12,6.155
2016/02/13,11.23
2016/02/14,16.838
2016/02/15,17.928
2016/02/16,18.944
2016/02/17,17.175
2016/02/18,9.613
2016/02/19,13.2
2016/02/20,17.92
2016/02/21,17.271
2016/02/22,16.392
2016/02/23,22.572
2016/02/24,16.846
2016/02/25,13.174
2016/02/26,21.608
2016/02/27,20.397
2016/02/28,17.927
2016/02/29,16.014
2016/03/01,13.84
2016/03/02,17.827
2016/03/03,28.046
2016/03/04,27.582
2016/03/05,28.554
2016/03/06,33.825
2016/03/07,27.791
2016/03/08,26.904
2016/03/09,31.147
2016/03/10,32.655
2016/03/11,32.974
2016/03/12,34.947
2016/03/13,36.726
2016/03/14,34.338
2016/03/15,21.579
2016/03/16,18.598
2016/03/17,15.642
2016/03/18,13.378
2016/03/19,13.225
2016/03/20,12
2016/03/21,12.259
2016/03/22,11.867
2016/03/23,5.033
2016/03/24,9.968
2016/03/25,11.72
2016/03/26,8.951
2016/03/27,9.069
2016/03/28,8.485
2016/03/29,28.121
2016/03/30,28.376
2016/03/31,32.433
2016/04/01,29.774
2016/04/02,26.099
2016/04/03,25.085
2016/04/04,31.021
2016/04/05,31.369
2016/04/06,36.775
2016/04/07,24.439
2016/04/08,25.241
2016/04/09,25.354
2016/04/10,23.237
2016/04/11,24.091
2016/04/12,15.909
2016/04/13,19.37
2016/04/14,15.303
2016/04/15,19.19
2016/04/16,22.795
2016/04/17,16.158
2016/04/18,16.945
2016/04/19,16.82
2016/04/20,17.489
2016/04/21,25.29
2016/04/22,13.774
2016/04/23,14.997
2016/04/24,12.997
2016/04/25,16.703
2016/04/26,20.685
2016/04/27,14.095
2016/04/28,16.26
2016/04/29,15.383
2016/04/30,16.717
2016/05/01,22.192
2016/05/02,9.338
2016/05/03,13.76
2016/05/04,13.298
2016/05/05,9.72
2016/05/06,14.594
2016/05/07,10.419
2016/05/08,12.611
2016/05/09,10.654
2016/05/10,13.367
2016/05/11,12.085
2016/05/12,8.071
2016/05/13,12.718
2016/05/14,9.306
2016/05/15,7.628
2016/05/16,15.786
2016/05/17,6.737
2016/05/18,10.931
2016/05/19,16.665
2016/05/20,17.509
2016/05/21,19.273
2016/05/22,16.236
2016/05/23,15.623
2016/05/24,15.129
2016/05/25,17.727
2016/05/26,21.214
2016/05/27,13.385
2016/05/28,15.898
2016/05/29,17.523
2016/05/30,16.095
2016/05/31,19.535
2016/06/01,10.816
2016/06/02,8.567
2016/06/03,12.346
2016/06/04,10.687
2016/06/05,12.037
2016/06/06,12.263
2016/06/07,12.414
2016/06/08,11.788
2016/06/09,14.797
2016/06/10,12.266
2016/06/11,9.633
2016/06/12,8.596
2016/06/13,13.26
