Date,difficulty
2018/03/09,3155883958898884
2018/03/10,3166734686927870
2018/03/11,3.1488913504238E+15
2018/03/12,3.1909813375944E+15
2018/03/13,3176688766423823
2018/03/14,3.1356980173432E+15
2018/03/15,3160924654163131
2018/03/16,3.2734117608646E+15
2018/03/17,3.2615622778773E+15
2018/03/18,3265556211482404
2018/03/19,3.2872436749466E+15
2018/03/20,3281437349558869
2018/03/21,3261279286429783
2018/03/22,3225445238424118
2018/03/23,3.2843453123535E+15
2018/03/24,3218749003895188
2018/03/25,3.2645684152501E+15
2018/03/26,3333441475494625
2018/03/27,3274585882463590
2018/03/28,3.2583028937062E+15
2018/03/29,3.1834915065042E+15
2018/03/30,3.2119512946375E+15
2018/03/31,3.1890756188735E+15
2018/04/01,3.2396182330473E+15
2018/04/02,3.1978789275868E+15
2018/04/03,3130318842246530
2018/04/04,3.1769818027878E+15
2018/04/05,3.151225900265E+15
2018/04/06,3256199538233078
2018/04/07,3235885305959205
2018/04/08,3.1913731303822E+15
2018/04/09,3.0889642603134E+15
2018/04/10,3135858403362697
2018/04/11,3146614700508011
2018/04/12,3131513601624278
2018/04/13,3.0859862531511E+15
2018/04/14,3.1323149975004E+15
2018/04/15,3137466930260492
2018/04/16,3113712319018335
2018/04/17,3.1327956352998E+15
2018/04/18,3.0781585781766E+15
2018/04/19,3.0983609074757E+15
2018/04/20,3.07011167324E+15
2018/04/21,3.1682460214784E+15
2018/04/22,3.1467362933675E+15
2018/04/23,3181240721748997
2018/04/24,3132065745809743
2018/04/25,3129306090801151
2018/04/26,3.2131811061853E+15
2018/04/27,3152285278420487
2018/04/28,3128856393102740
2018/04/29,3.1908297010047E+15
2018/04/30,3196315559599619
2018/05/01,3113972523544065
2018/05/02,3111333123485250
2018/05/03,3.1645944574011E+15
2018/05/04,3.2027944456678E+15
2018/05/05,3.2421958150312E+15
2018/05/06,3.2719822027622E+15
2018/05/07,3.3277802460206E+15
2018/05/08,3.3435685653095E+15
2018/05/09,3268429357612428
2018/05/10,3279763711930116
2018/05/11,3.2852119129817E+15
2018/05/12,3.3670820764772E+15
2018/05/13,3.3970101869749E+15
2018/05/14,3.3221582328359E+15
2018/05/15,3262634125326329
2018/05/16,3286345183564998
2018/05/17,3.280925637938E+15
2018/05/18,3236627209022472
2018/05/19,3.2502117288184E+15
2018/05/20,3.307964523985E+15
2018/05/21,3341722032929884
2018/05/22,3.3232814140371E+15
2018/05/23,3.2521725264703E+15
2018/05/24,3.2236100663189E+15
2018/05/25,3.2029916697295E+15
2018/05/26,3.2531277756716E+15
2018/05/27,3.215113696439E+15
2018/05/28,3.2323920357928E+15
2018/05/29,3218952939947267
2018/05/30,3.1772581435731E+15
2018/05/31,3.2493031020081E+15
2018/06/01,3.1516541306116E+15
2018/06/02,3.1941289185178E+15
2018/06/03,3.2025929011025E+15
2018/06/04,3159146670306134
2018/06/05,3232844547073692
2018/06/06,3.1633929407889E+15
2018/06/07,3161717646135360
2018/06/08,3196858025453876
2018/06/09,3.3034972837042E+15
2018/06/10,3.252140929108E+15
2018/06/11,3.235937527065E+15
2018/06/12,3.3330426096581E+15
2018/06/13,3.26956308246E+15
2018/06/14,3.2769123982608E+15
2018/06/15,3257052453297907
2018/06/16,3293273003282129
2018/06/17,3295288498614167
2018/06/18,3397011425173851
2018/06/19,3.4350295128251E+15
2018/06/20,3375738358063861
2018/06/21,3.4565400692795E+15
2018/06/22,3428843483299105
2018/06/23,3.3944688645356E+15
2018/06/24,3.4548604823731E+15
2018/06/25,3396680512660090
2018/06/26,3362826853782784
2018/06/27,3486660895037215
2018/06/28,3406501442167828
2018/06/29,3378949753377580
2018/06/30,3.4700853895545E+15
2018/07/01,3361516796005590
2018/07/02,3.3921109323889E+15
2018/07/03,3455917200717657
2018/07/04,3.4367892821526E+15
2018/07/05,3.5604065487074E+15
2018/07/06,3511897316857444
2018/07/07,3.525426804281E+15
2018/07/08,3452745477425563
2018/07/09,3.5311741987502E+15
2018/07/10,3499090624103494
2018/07/11,3.3570716243563E+15
2018/07/12,3441982928860222
2018/07/13,3446238480969901
2018/07/14,3424541366446869
2018/07/15,3422096291570314
2018/07/16,3.445540792752E+15
2018/07/17,3.4508887199461E+15
2018/07/18,3.4783782780558E+15
2018/07/19,3.4338154064169E+15
2018/07/20,3.4278933934774E+15
2018/07/21,3236425269177567
2018/07/22,3345711445336238
2018/07/23,3.5159781715223E+15
2018/07/24,3425927488918798
2018/07/25,3475587900712853
2018/07/26,3529121429746141
2018/07/27,3.5031204699182E+15
2018/07/28,3544915982253264
2018/07/29,3.5574751785097E+15
2018/07/30,3562924043688797
2018/07/31,3529739146569543
2018/08/01,3.5152777768736E+15
2018/08/02,3.5540808763095E+15
2018/08/03,3.47733497614E+15
2018/08/04,3565682378545688
2018/08/05,3.567618848573E+15
2018/08/06,3595327310955996
2018/08/07,3566361553129408
2018/08/08,3.5912008438026E+15
2018/08/09,3606036188514829
2018/08/10,3.5823810340026E+15
2018/08/11,3553788514168699
2018/08/12,3.4909409248746E+15
2018/08/13,3.5004127167211E+15
2018/08/14,3545297260993193
2018/08/15,3.5069070550997E+15
2018/08/16,3.4366752357037E+15
2018/08/17,3.4830343912225E+15
2018/08/18,3.44165145052E+15
2018/08/19,3468867131969882
2018/08/20,3.4947431238316E+15
2018/08/21,3.5160864072125E+15
2018/08/22,3593973103111186
2018/08/23,3.451970551527E+15
2018/08/24,3431231393128216
2018/08/25,3500504985177645
2018/08/26,3569733749332629
2018/08/27,3495414147380466
2018/08/28,3491155016920248
2018/08/29,3456093007050616
2018/08/30,3.432294223013E+15
2018/08/31,3.465883560589E+15
2018/09/01,3.4272187793521E+15
2018/09/02,3385920740765809
2018/09/03,3.4065373990084E+15
2018/09/04,3394753992666521
2018/09/05,3435482454953360
2018/09/06,3399787826872014
2018/09/07,3399656455552748
2018/09/08,3375919593398578
2018/09/09,3209593043515458
2018/09/10,3.2209749920071E+15
2018/09/11,3197340149390744
2018/09/12,3133091795265986
2018/09/13,3.049946197635E+15
2018/09/14,3142743480649868
2018/09/15,3.1466849140599E+15
2018/09/16,3129494677715775
2018/09/17,3140086572915643
2018/09/18,3178891797124400
2018/09/19,3170660093786085
2018/09/20,3176542287149020
2018/09/21,3112105439760298
2018/09/22,3.2780898296255E+15
2018/09/23,3.2489822933097E+15
2018/09/24,3.2646819852208E+15
2018/09/25,3.2225553562254E+15
2018/09/26,3.283669089025E+15
2018/09/27,3276765282396290
2018/09/28,3285646811252732
2018/09/29,3.2657627139947E+15
2018/09/30,3.2601607513416E+15
2018/10/01,3240652601422794
2018/10/02,3.2119250787356E+15
2018/10/03,3.2260851864234E+15
2018/10/04,3.2617534589266E+15
2018/10/05,3277001275785446
2018/10/06,3252608506128733
2018/10/07,3.2752891145655E+15
2018/10/08,3311602077646795
2018/10/09,3.289361288764E+15
2018/10/10,3294910495257800
2018/10/11,3.2196992843763E+15
2018/10/12,3.2372085721716E+15
2018/10/13,3196433112526611
2018/10/14,3220776039519707
2018/10/15,3215462336329751
2018/10/16,3205593853397788
2018/10/17,3.1898486818619E+15
2018/10/18,3237578316538163
2018/10/19,3.2136053127162E+15
2018/10/20,3157205682243966
2018/10/21,3128314975529842
2018/10/22,3.1146185821781E+15
2018/10/23,3.0998706964596E+15
2018/10/24,3.1473345687419E+15
2018/10/25,3.122245255375E+15
2018/10/26,3.0647926862841E+15
2018/10/27,3127761285103648
2018/10/28,3096523016005620
2018/10/29,3.0518384618504E+15
2018/10/30,3099489581851619
2018/10/31,3.1084310348171E+15
2018/11/01,3.0615980247247E+15
2018/11/02,3.0045020361472E+15
2018/11/03,3.0008195947389E+15
2018/11/04,3.0334950715355E+15
2018/11/05,2989387615286568
2018/11/06,3013425086775902
2018/11/07,3.0027383856829E+15
2018/11/08,3062212840481325
2018/11/09,3.0031364971031E+15
2018/11/10,2.9993008851926E+15
2018/11/11,3.0823951168714E+15
2018/11/12,3007847392320443
2018/11/13,3032519178181897
2018/11/14,3062799395857059
2018/11/15,3069794606956747
2018/11/16,3.0890232341738E+15
2018/11/17,3.0139729590922E+15
2018/11/18,2991785921061280
2018/11/19,2996308598761106
2018/11/20,2.9253346007177E+15
2018/11/21,2.7897028822903E+15
2018/11/22,2.7567272188076E+15
2018/11/23,2.7645895154245E+15
2018/11/24,2.7570415238612E+15
2018/11/25,2707010252063751
2018/11/26,2694695626556127
2018/11/27,2.5162741933033E+15
2018/11/28,2.3997856356676E+15
2018/11/29,2419083794819300
2018/11/30,2425633227354397
2018/12/01,2512715173157626
2018/12/02,2.4254430867254E+15
2018/12/03,2421792604186906
2018/12/04,2.4668169202146E+15
2018/12/05,2.3991040100826E+15
2018/12/06,2443511423464527
2018/12/07,2360514415848520
2018/12/08,2.3091508510569E+15
2018/12/09,2.2890425911137E+15
2018/12/10,2359598295442062
2018/12/11,2350544392253284
2018/12/12,2258098227396557
2018/12/13,2.2190369988263E+15
2018/12/14,2216544178961867
2018/12/15,2.2223015236509E+15
2018/12/16,2.2226166422032E+15
2018/12/17,2.2414156414339E+15
2018/12/18,2.2199534186507E+15
2018/12/19,2.2545036112439E+15
2018/12/20,2.2413468790223E+15
2018/12/21,2.2633650043454E+15
2018/12/22,2267410862086375
2018/12/23,2300951669671214
2018/12/24,2386131983288240
2018/12/25,2.456450188201E+15
