Date,hashrate7sma
2016/01/01,537929750245
2016/01/02,537742817168
2016/01/03,537657087043
2016/01/04,537104565736
2016/01/05,538057149540
2016/01/06,540576297777
2016/01/07,538218227841
2016/01/08,541733641903
2016/01/09,545105547088
2016/01/10,544120693695
2016/01/11,547030233217
2016/01/12,545920461274
2016/01/13,542831645052
2016/01/14,546764829145
2016/01/15,549115039067
2016/01/16,552319122304
2016/01/17,556658414227
2016/01/18,560921541179
2016/01/19,567176880921
2016/01/20,575400477848
2016/01/21,579741502931
2016/01/22,585958506352
2016/01/23,590918305348
2016/01/24,602680770718
2016/01/25,607412592875
2016/01/26,620013361538
2016/01/27,630794932940
2016/01/28,640528309183
2016/01/29,649011295252
2016/01/30,657580921597
2016/01/31,657013760037
2016/02/01,664816377477
2016/02/02,661323315742
2016/02/03,666066118825
2016/02/04,672059578360
2016/02/05,676139037605
2016/02/06,676958619680
2016/02/07,683623149503
2016/02/08,689929737392
2016/02/09,697173226486
2016/02/10,700210459736
2016/02/11,707827701680
2016/02/12,711009630248
2016/02/13,724069916076
2016/02/14,735778237537
2016/02/15,745967659720
2016/02/16,758867841569
2016/02/17,766299507934
2016/02/18,766785014569
2016/02/19,777344181261
2016/02/20,782250612969
2016/02/21,787043195280
2016/02/22,794176019716
2016/02/23,802726191200
2016/02/24,813656008265
2016/02/25,828645828709
2016/02/26,841055516058
2016/02/27,854849492176
2016/02/28,870130331764
2016/02/29,876033568636
2016/03/01,883329570083
2016/03/02,896550456545
2016/03/03,911036005968
2016/03/04,925488870964
2016/03/05,944517612873
2016/03/06,961792026820
2016/03/07,984845598661
2016/03/08,1007655277032
2016/03/09,1027915484524
2016/03/10,1051784550139
2016/03/11,1075983908683
2016/03/12,1102504677434
2016/03/13,1138839369786
2016/03/14,1167299181420
2016/03/15,1200906161680
2016/03/16,1235374519924
2016/03/17,1270341682803
2016/03/18,1299288034670
2016/03/19,1328429117041
2016/03/20,1351320842841
2016/03/21,1377403603870
2016/03/22,1401828017818
2016/03/23,1411407968330
2016/03/24,1430845445758
2016/03/25,1462186179044
2016/03/26,1490899734578
2016/03/27,1518116090499
2016/03/28,1543687280358
2016/03/29,1572876936230
2016/03/30,1619004388756
2016/03/31,1656696811182
2016/04/01,1687495554288
2016/04/02,1702676600065
2016/04/03,1728964206954
2016/04/04,1771972958419
2016/04/05,1807347175082
2016/04/06,1833383469231
2016/04/07,1839615400231
2016/04/08,1865791232572
2016/04/09,1899111191167
2016/04/10,1929279554107
2016/04/11,1938190694837
2016/04/12,1939915774285
2016/04/13,1958913148730
2016/04/14,1991443987043
2016/04/15,2012746745576
2016/04/16,2040016081046
2016/04/17,2048909787315
2016/04/18,2085084882184
2016/04/19,2126983745769
2016/04/20,2161603978223
2016/04/21,2197158156547
2016/04/22,2211002269105
2016/04/23,2234341344311
2016/04/24,2260448467170
2016/04/25,2285151296903
2016/04/26,2300015690310
2016/04/27,2310544521882
2016/04/28,2326066009803
2016/04/29,2358404850249
2016/04/30,2390802059124
2016/05/01,2424764424660
