Date,transactionvalue14varUSD
2016/11/11,366252
2016/11/12,371905
2016/11/13,377998
2016/11/14,387447
2016/11/15,394365
2016/11/16,375392
2016/11/17,55921
2016/11/18,56491
2016/11/19,57140
2016/11/20,57635
2016/11/21,58099
2016/11/22,57327
2016/11/23,54972
2016/11/24,55719
2016/11/25,27027
2016/11/26,28077
2016/11/27,29232
2016/11/28,28788
2016/11/29,28785
2016/11/30,28799
2016/12/01,8275
2016/12/02,19050
2016/12/03,47410
2016/12/04,45347
2016/12/05,48874
2016/12/06,67040
2016/12/07,67314
2016/12/08,66080
2016/12/09,64318
2016/12/10,60435
2016/12/11,53876
2016/12/12,50548
2016/12/13,51335
2016/12/14,53700
2016/12/15,50670
2016/12/16,51416
2016/12/17,36536
2016/12/18,35947
2016/12/19,34932
2016/12/20,17838
2016/12/21,17162
2016/12/22,15455
2016/12/23,46240
2016/12/24,45934
2016/12/25,48037
2016/12/26,49392
2016/12/27,48722
2016/12/28,46620
2016/12/29,57311
2016/12/30,56896
2016/12/31,97096
2017/01/01,97827
2017/01/02,93212
2017/01/03,99998
2017/01/04,165943
2017/01/05,233415
2017/01/06,289256
2017/01/07,281788
2017/01/08,257446
2017/01/09,221351
2017/01/10,185606
2017/01/11,166793
2017/01/12,165267
2017/01/13,174456
2017/01/14,210536
2017/01/15,234307
2017/01/16,265603
2017/01/17,284959
2017/01/18,260997
2017/01/19,201242
2017/01/20,115127
2017/01/21,106630
2017/01/22,111173
2017/01/23,94189
2017/01/24,72308
2017/01/25,39311
2017/01/26,16097
2017/01/27,12748
2017/01/28,13441
2017/01/29,12706
2017/01/30,12815
2017/01/31,12550
2017/02/01,12618
2017/02/02,12758
2017/02/03,4744
2017/02/04,7328
2017/02/05,7647
2017/02/06,7827
2017/02/07,7171
2017/02/08,6961
2017/02/09,6975
2017/02/10,7108
2017/02/11,5810
2017/02/12,5364
2017/02/13,4217
2017/02/14,16585
2017/02/15,43263
2017/02/16,46097
2017/02/17,50701
2017/02/18,53162
2017/02/19,50008
2017/02/20,49923
2017/02/21,53155
2017/02/22,49113
2017/02/23,45544
2017/02/24,67938
2017/02/25,55429
2017/02/26,50326
2017/02/27,238921
2017/02/28,509702
2017/03/01,793161
2017/03/02,1429278
2017/03/03,2192255
2017/03/04,2261698
2017/03/05,2168328
2017/03/06,2552732
2017/03/07,2350594
2017/03/08,2086043
2017/03/09,1774659
2017/03/10,1516080
2017/03/11,1154678
2017/03/12,1857246
2017/03/13,1947607
2017/03/14,1956504
2017/03/15,1996540
2017/03/16,5478146
2017/03/17,5764636
2017/03/18,7343172
2017/03/19,7573026
2017/03/20,7803337
2017/03/21,7548699
2017/03/22,7269939
2017/03/23,7038870
2017/03/24,7071750
2017/03/25,6995513
2017/03/26,6773044
2017/03/27,6780424
2017/03/28,5944933
2017/03/29,5021702
2017/03/30,3866548
2017/03/31,3879204
2017/04/01,2896142
2017/04/02,1951132
2017/04/03,1195312
2017/04/04,1720928
2017/04/05,1678450
2017/04/06,1661984
2017/04/07,2936274
2017/04/08,3302642
2017/04/09,3700555
2017/04/10,3812797
2017/04/11,3912358
2017/04/12,3947383
2017/04/13,3281500
2017/04/14,3137638
2017/04/15,3648144
2017/04/16,3487524
2017/04/17,3104613
2017/04/18,3175793
2017/04/19,2974805
2017/04/20,2182633
2017/04/21,2036806
2017/04/22,2056696
2017/04/23,2062768
2017/04/24,2118115
2017/04/25,2073642
2017/04/26,2446671
2017/04/27,3501108
2017/04/28,4788454
2017/04/29,6306247
2017/04/30,7531186
2017/05/01,13040418
2017/05/02,15359314
2017/05/03,21070439
2017/05/04,24522260
2017/05/05,28744645
2017/05/06,26595522
2017/05/07,24463389
2017/05/08,20724280
2017/05/09,14655957
2017/05/10,10463423
2017/05/11,7930230
2017/05/12,5194214
2017/05/13,4824786
2017/05/14,5588615
2017/05/15,5910991
2017/05/16,5954597
2017/05/17,8048474
2017/05/18,11938307
2017/05/19,9812029
2017/05/20,10584400
2017/05/21,9091160
2017/05/22,18418145
2017/05/23,18359813
2017/05/24,18602580
2017/05/25,17934577
2017/05/26,18931924
2017/05/27,18789449
2017/05/28,18852631
2017/05/29,18974581
2017/05/30,18098833
2017/05/31,25072568
2017/06/01,21724511
2017/06/02,20971002
2017/06/03,18796013
2017/06/04,17275865
2017/06/05,15190533
2017/06/06,20501685
2017/06/07,21915834
2017/06/08,22139068
2017/06/09,22197675
2017/06/10,19713108
2017/06/11,15092051
2017/06/12,22142661
2017/06/13,21822357
2017/06/14,21567876
2017/06/15,22045967
2017/06/16,21888764
2017/06/17,24985802
2017/06/18,28636550
2017/06/19,32937414
2017/06/20,32370768
2017/06/21,41501520
2017/06/22,47978453
2017/06/23,50951286
2017/06/24,51515925
2017/06/25,62842137
2017/06/26,48237586
2017/06/27,34450700
2017/06/28,32697856
2017/06/29,21469539
