Date,hashrate3roc
2016/01/01,-2.972
2016/01/02,-1.215
2016/01/03,0.39
2016/01/04,2.891
2016/01/05,3.94
2016/01/06,1.348
2016/01/07,-2.784
2016/01/08,0.333
2016/01/09,-0.095
2016/01/10,2.229
2016/01/11,1.992
2016/01/12,-1.915
2016/01/13,-1.373
2016/01/14,-1.408
2016/01/15,4.814
2016/01/16,8.204
2016/01/17,2.631
2016/01/18,4.295
2016/01/19,1.88
2016/01/20,3.485
2016/01/21,-1.245
2016/01/22,4.407
2016/01/23,3.516
2016/01/24,11.388
2016/01/25,2.287
2016/01/26,10.559
2016/01/27,1.988
2016/01/28,4.427
2016/01/29,-0.453
2016/01/30,0.783
2016/01/31,-0.856
2016/02/01,1.373
2016/02/02,-3.014
2016/02/03,7.748
2016/02/04,2.206
2016/02/05,7.703
2016/02/06,-3.196
2016/02/07,-0.128
2016/02/08,3.549
2016/02/09,3.678
2016/02/10,3.565
2016/02/11,3.34
2016/02/12,3.079
2016/02/13,6.67
2016/02/14,3.712
2016/02/15,10.244
2016/02/16,3.093
2016/02/17,-0.673
2016/02/18,-5.507
2016/02/19,0.651
2016/02/20,3.924
2016/02/21,7.71
2016/02/22,6.273
2016/02/23,6.147
2016/02/24,4.666
2016/02/25,1.33
2016/02/26,3.786
2016/02/27,5.937
2016/02/28,7.003
2016/02/29,0.489
2016/03/01,0.414
2016/03/02,2.546
2016/03/03,8.049
2016/03/04,9.134
2016/03/05,9.681
2016/03/06,8.301
2016/03/07,6.565
2016/03/08,2.93
2016/03/09,4.265
2016/03/10,7.354
2016/03/11,8.676
2016/03/12,12.465
2016/03/13,14.828
2016/03/14,8.188
2016/03/15,6.562
2016/03/16,2.413
2016/03/17,9.832
2016/03/18,4.582
2016/03/19,7.37
2016/03/20,6.003
2016/03/21,5.484
2016/03/22,3.294
2016/03/23,-4.274
2016/03/24,5.321
2016/03/25,7.349
2016/03/26,16.655
2016/03/27,9.078
2016/03/28,2.154
2016/03/29,3.091
2016/03/30,4.285
2016/03/31,10.005
2016/04/01,7.125
2016/04/02,0.862
2016/04/03,3.211
2016/04/04,6.67
2016/04/05,11.086
2016/04/06,3.757
2016/04/07,-5.056
2016/04/08,2.849
2016/04/09,3.471
2016/04/10,12.378
2016/04/11,-0.075
2016/04/12,-1.516
2016/04/13,-0.471
2016/04/14,3.49
2016/04/15,9.93
2016/04/16,6.099
2016/04/17,2.887
2016/04/18,4.836
2016/04/19,3.379
2016/04/20,8.121
2016/04/21,2.897
2016/04/22,-0.211
2016/04/23,1.969
2016/04/24,-0.316
2016/04/25,8.05
2016/04/26,0.578
2016/04/27,2.692
2016/04/28,0.008
2016/04/29,5.053
2016/04/30,8.439
2016/05/01,5.082
2016/05/02,-0.418
2016/05/03,1.148
2016/05/04,0.817
2016/05/05,4.66
2016/05/06,-0.462
2016/05/07,0.255
2016/05/08,1.884
2016/05/09,2.393
2016/05/10,5.179
2016/05/11,-0.774
2016/05/12,0.798
2016/05/13,5.038
2016/05/14,7.453
2016/05/15,5.602
2016/05/16,-1.14
2016/05/17,0.309
2016/05/18,3.74
2016/05/19,6.379
2016/05/20,8.735
2016/05/21,5.206
2016/05/22,2.521
2016/05/23,0.93
2016/05/24,1.777
2016/05/25,3.055
2016/05/26,3.722
2016/05/27,2.509
2016/05/28,4.051
2016/05/29,3.619
2016/05/30,2.867
2016/05/31,-0.811
2016/06/01,-3.233
2016/06/02,-0.8
2016/06/03,5.788
2016/06/04,7.164
2016/06/05,2.655
2016/06/06,0.837
2016/06/07,2.019
2016/06/08,4.569
2016/06/09,5.747
2016/06/10,-1.209
2016/06/11,2.231
2016/06/12,-1.611
2016/06/13,8.518
2016/06/14,5.445
2016/06/15,3.835
2016/06/16,0.051
2016/06/17,2.862
2016/06/18,1.203
2016/06/19,3.686
2016/06/20,-1.118
2016/06/21,-0.211
2016/06/22,1.553
2016/06/23,4.721
2016/06/24,6.191
2016/06/25,1.462
2016/06/26,2.421
2016/06/27,4.448
2016/06/28,6.164
2016/06/29,0.607
2016/06/30,-0.646
2016/07/01,0.435
2016/07/02,3.187
2016/07/03,4.963
2016/07/04,2.325
2016/07/05,2.066
2016/07/06,-0.152
2016/07/07,-0.263
2016/07/08,0.268
2016/07/09,0.433
2016/07/10,1.493
2016/07/11,2.514
2016/07/12,2.258
2016/07/13,3
2016/07/14,0.372
2016/07/15,-1.171
2016/07/16,-1.985
2016/07/17,-0.585
2016/07/18,3.811
2016/07/19,1.95
2016/07/20,-0.441
2016/07/21,0.693
2016/07/22,-1.772
2016/07/23,4.4
2016/07/24,-2.253
2016/07/25,-1.833
2016/07/26,-10.235
2016/07/27,-11.625
2016/07/28,-2.8
2016/07/29,-0.239
2016/07/30,2.095
2016/07/31,-2.615
2016/08/01,-2.519
2016/08/02,-7.928
2016/08/03,-12.272
2016/08/04,-2.418
2016/08/05,7.891
2016/08/06,8.581
2016/08/07,3.092
2016/08/08,2.622
2016/08/09,10.918
2016/08/10,9.484
2016/08/11,9.744
2016/08/12,4.017
2016/08/13,0.824
2016/08/14,-1.108
2016/08/15,-0.377
2016/08/16,3.203
2016/08/17,2.831
2016/08/18,4.559
2016/08/19,0.945
2016/08/20,4.163
2016/08/21,3.019
2016/08/22,4.814
2016/08/23,3.545
2016/08/24,2.252
2016/08/25,3.799
2016/08/26,5.274
2016/08/27,5.481
2016/08/28,1.933
2016/08/29,-2.527
2016/08/30,-2.589
2016/08/31,0.725
2016/09/01,3.033
2016/09/02,4.583
2016/09/03,-2.842
2016/09/04,-6.416
2016/09/05,-4.182
2016/09/06,0.038
2016/09/07,5.381
2016/09/08,0.385
2016/09/09,1.963
2016/09/10,0.398
2016/09/11,5.425
2016/09/12,4.496
2016/09/13,3.001
2016/09/14,2.523
2016/09/15,2.61
2016/09/16,2.526
2016/09/17,2.79
2016/09/18,-9.031
2016/09/19,-6.356
2016/09/20,0.736
2016/09/21,17.469
2016/09/22,4.895
2016/09/23,3.81
2016/09/24,1.154
2016/09/25,14.867
2016/09/26,-1.778
2016/09/27,3.28
2016/09/28,0.513
2016/09/29,8.899
2016/09/30,0.456
2016/10/01,2.991
2016/10/02,3.562
2016/10/03,4.246
2016/10/04,2.92
2016/10/05,-0.465
2016/10/06,2.44
2016/10/07,-2.995
2016/10/08,1.698
2016/10/09,2.706
2016/10/10,6.801
2016/10/11,3.678
2016/10/12,-1.695
2016/10/13,1.436
2016/10/14,4.137
2016/10/15,9.024
2016/10/16,7.724
2016/10/17,-1.386
2016/10/18,1.208
2016/10/19,-1.423
2016/10/20,7.268
2016/10/21,4.976
2016/10/22,5.188
2016/10/23,-1.084
2016/10/24,-0.581
2016/10/25,0.642
2016/10/26,4.482
2016/10/27,0.548
2016/10/28,-4.736
2016/10/29,-24.856
2016/10/30,-25.63
2016/10/31,-17.15
2016/11/01,-11.287
2016/11/02,-17.742
2016/11/03,-26.61
2016/11/04,-20.898
2016/11/05,-17.229
2016/11/06,-14.523
2016/11/07,10.477
2016/11/08,30.555
2016/11/09,29.192
2016/11/10,-0.084
2016/11/11,-12.786
2016/11/12,-8.884
2016/11/13,7.398
2016/11/14,14.571
2016/11/15,13.15
2016/11/16,2.3
2016/11/17,-5.555
2016/11/18,0.728
2016/11/19,8.526
2016/11/20,23.792
2016/11/21,21.785
2016/11/22,8.654
2016/11/23,-1.464
2016/11/24,-16.34
2016/11/25,-11.029
2016/11/26,-9.141
2016/11/27,1.086
2016/11/28,4.625
2016/11/29,1.679
