Date,sentbyaddress30mom
2016/01/01,598
2016/01/02,619
2016/01/03,653
2016/01/04,635
2016/01/05,317
2016/01/06,387
2016/01/07,608
2016/01/08,539
2016/01/09,591
2016/01/10,708
2016/01/11,363
2016/01/12,710
2016/01/13,261
2016/01/14,240
2016/01/15,472
2016/01/16,-127
2016/01/17,-46
2016/01/18,133
2016/01/19,53
2016/01/20,466
2016/01/21,-35
2016/01/22,105
2016/01/23,386
2016/01/24,678
2016/01/25,727
2016/01/26,905
2016/01/27,462
2016/01/28,533
2016/01/29,552
2016/01/30,280
2016/01/31,564
2016/02/01,444
2016/02/02,393
2016/02/03,398
2016/02/04,360
2016/02/05,369
2016/02/06,221
2016/02/07,496
2016/02/08,634
2016/02/09,637
2016/02/10,1392
2016/02/11,1392
2016/02/12,1532
2016/02/13,1344
2016/02/14,685
2016/02/15,1220
2016/02/16,1316
2016/02/17,1033
2016/02/18,1179
2016/02/19,617
2016/02/20,981
2016/02/21,1867
2016/02/22,1156
2016/02/23,875
2016/02/24,660
2016/02/25,933
2016/02/26,913
2016/02/27,978
2016/02/28,1386
2016/02/29,2023
2016/03/01,2222
2016/03/02,2431
2016/03/03,2807
2016/03/04,2819
2016/03/05,3767
2016/03/06,3315
2016/03/07,2541
2016/03/08,3230
2016/03/09,2619
2016/03/10,2980
2016/03/11,1919
2016/03/12,1724
2016/03/13,1729
2016/03/14,1973
2016/03/15,2211
2016/03/16,1785
2016/03/17,2265
2016/03/18,2661
2016/03/19,1714
2016/03/20,1918
2016/03/21,2564
2016/03/22,1032
2016/03/23,1557
2016/03/24,1458
2016/03/25,1389
2016/03/26,811
2016/03/27,1685
2016/03/28,1704
2016/03/29,2618
2016/03/30,2104
2016/03/31,534
2016/04/01,113
2016/04/02,-464
2016/04/03,-531
2016/04/04,-824
2016/04/05,-384
2016/04/06,449
2016/04/07,-564
2016/04/08,-287
2016/04/09,-515
2016/04/10,212
2016/04/11,-335
2016/04/12,10
2016/04/13,368
2016/04/14,162
2016/04/15,53
2016/04/16,-500
2016/04/17,-267
2016/04/18,597
2016/04/19,334
2016/04/20,-66
2016/04/21,477
2016/04/22,493
2016/04/23,461
2016/04/24,779
2016/04/25,1202
2016/04/26,723
2016/04/27,584
2016/04/28,-898
2016/04/29,1453
2016/04/30,3252
2016/05/01,2396
2016/05/02,3686
2016/05/03,3021
2016/05/04,1939
2016/05/05,1977
2016/05/06,2025
2016/05/07,1843
2016/05/08,2458
2016/05/09,2487
2016/05/10,2157
2016/05/11,3935
2016/05/12,3835
2016/05/13,5031
2016/05/14,4171
2016/05/15,3309
2016/05/16,3162
2016/05/17,3213
2016/05/18,3879
2016/05/19,4273
2016/05/20,3580
2016/05/21,2771
2016/05/22,1839
2016/05/23,4144
2016/05/24,3560
2016/05/25,3089
2016/05/26,10125
2016/05/27,4825
2016/05/28,10809
2016/05/29,1158
2016/05/30,452
2016/05/31,2016
2016/06/01,229
2016/06/02,414
2016/06/03,915
2016/06/04,186
2016/06/05,178
2016/06/06,994
2016/06/07,838
2016/06/08,489
2016/06/09,-37
2016/06/10,-988
2016/06/11,-2018
2016/06/12,-2411
2016/06/13,649
2016/06/14,2114
2016/06/15,1033
2016/06/16,1176
2016/06/17,5119
2016/06/18,3400
2016/06/19,1182
2016/06/20,1265
2016/06/21,2644
2016/06/22,1374
2016/06/23,-146
2016/06/24,-299
2016/06/25,-8095
2016/06/26,-2877
2016/06/27,-8415
2016/06/28,-116
2016/06/29,-199
2016/06/30,-1450
2016/07/01,-597
2016/07/02,85
2016/07/03,34
2016/07/04,1182
2016/07/05,1366
2016/07/06,553
2016/07/07,213
2016/07/08,227
2016/07/09,354
2016/07/10,-264
2016/07/11,982
2016/07/12,-177
2016/07/13,-2202
2016/07/14,-1825
2016/07/15,-616
2016/07/16,-2534
2016/07/17,-7640
2016/07/18,-5214
2016/07/19,7790
2016/07/20,1728
2016/07/21,172
2016/07/22,269
2016/07/23,1211
2016/07/24,6440
2016/07/25,4365
2016/07/26,10240
2016/07/27,6289
2016/07/28,3884
2016/07/29,2061
2016/07/30,1300
2016/07/31,2287
2016/08/01,2582
2016/08/02,4945
2016/08/03,2324
2016/08/04,1672
2016/08/05,674
2016/08/06,444
2016/08/07,539
2016/08/08,1683
2016/08/09,2980
2016/08/10,1541
2016/08/11,3044
2016/08/12,1054
2016/08/13,-183
2016/08/14,532
2016/08/15,1818
2016/08/16,3344
2016/08/17,1384
2016/08/18,-8882
2016/08/19,-2008
2016/08/20,-707
2016/08/21,-1932
2016/08/22,-1472
2016/08/23,-4529
2016/08/24,-2767
2016/08/25,-7456
2016/08/26,-4540
2016/08/27,-2896
2016/08/28,-1402
2016/08/29,989
2016/08/30,-611
2016/08/31,-346
