Date,transactions14std
2016/01/01,10395
2016/01/02,10414
2016/01/03,10487
2016/01/04,10696
2016/01/05,10033
2016/01/06,8873
2016/01/07,10051
2016/01/08,9916
2016/01/09,9841
2016/01/10,8858
2016/01/11,8916
2016/01/12,8942
2016/01/13,7956
2016/01/14,7931
2016/01/15,7722
2016/01/16,7568
2016/01/17,7508
2016/01/18,7286
2016/01/19,7041
2016/01/20,6692
2016/01/21,3957
2016/01/22,4117
2016/01/23,4132
2016/01/24,4100
2016/01/25,4872
2016/01/26,5256
2016/01/27,5569
2016/01/28,5793
2016/01/29,5697
2016/01/30,5463
2016/01/31,4940
2016/02/01,4884
2016/02/02,4857
2016/02/03,4379
2016/02/04,3806
2016/02/05,3759
2016/02/06,8813
2016/02/07,8668
2016/02/08,8715
2016/02/09,8728
2016/02/10,8641
2016/02/11,9047
2016/02/12,9080
2016/02/13,9099
2016/02/14,8964
2016/02/15,8809
2016/02/16,8636
2016/02/17,8497
2016/02/18,8277
2016/02/19,8109
2016/02/20,3789
2016/02/21,3371
2016/02/22,2964
2016/02/23,2669
2016/02/24,2712
2016/02/25,2197
2016/02/26,2670
2016/02/27,2639
2016/02/28,2490
2016/02/29,2549
2016/03/01,2904
2016/03/02,3717
2016/03/03,4462
2016/03/04,4930
2016/03/05,5657
2016/03/06,6177
2016/03/07,5889
2016/03/08,5606
2016/03/09,5440
2016/03/10,5183
2016/03/11,5042
2016/03/12,4900
2016/03/13,4481
2016/03/14,4198
2016/03/15,4197
2016/03/16,4096
2016/03/17,5535
2016/03/18,5940
2016/03/19,7092
2016/03/20,7485
2016/03/21,7280
2016/03/22,7067
2016/03/23,6612
2016/03/24,6875
2016/03/25,6063
2016/03/26,6135
2016/03/27,5834
2016/03/28,5408
2016/03/29,5035
2016/03/30,4259
2016/03/31,4339
2016/04/01,4211
2016/04/02,4776
2016/04/03,5169
2016/04/04,5211
2016/04/05,5958
2016/04/06,5930
2016/04/07,5770
2016/04/08,5506
2016/04/09,5239
2016/04/10,4982
2016/04/11,5191
2016/04/12,5244
2016/04/13,5110
2016/04/14,5172
2016/04/15,5254
2016/04/16,5042
2016/04/17,5694
2016/04/18,5684
2016/04/19,4941
2016/04/20,4886
2016/04/21,5108
2016/04/22,5245
2016/04/23,5253
2016/04/24,5180
2016/04/25,4814
2016/04/26,4889
2016/04/27,4777
2016/04/28,4762
2016/04/29,5050
2016/04/30,7449
2016/05/01,7337
2016/05/02,7994
2016/05/03,7854
2016/05/04,7670
2016/05/05,7750
2016/05/06,7588
2016/05/07,7028
2016/05/08,6850
2016/05/09,6704
2016/05/10,6025
2016/05/11,5431
2016/05/12,5433
2016/05/13,6487
2016/05/14,6482
2016/05/15,6545
2016/05/16,6786
2016/05/17,6599
2016/05/18,6798
2016/05/19,6770
2016/05/20,6957
2016/05/21,6017
2016/05/22,6195
2016/05/23,5772
2016/05/24,5622
2016/05/25,5681
2016/05/26,6865
2016/05/27,7087
2016/05/28,15180
2016/05/29,15100
2016/05/30,14449
2016/05/31,14099
2016/06/01,14292
2016/06/02,14698
2016/06/03,15054
2016/06/04,15571
2016/06/05,15698
2016/06/06,16025
2016/06/07,15993
2016/06/08,16157
2016/06/09,15925
2016/06/10,15774
2016/06/11,5678
2016/06/12,5077
2016/06/13,5722
2016/06/14,7339
2016/06/15,7393
2016/06/16,7388
2016/06/17,14683
2016/06/18,17366
2016/06/19,17058
2016/06/20,16559
2016/06/21,16554
2016/06/22,16156
2016/06/23,15908
2016/06/24,15417
2016/06/25,15462
2016/06/26,15568
2016/06/27,16141
2016/06/28,16217
2016/06/29,16134
2016/06/30,17998
2016/07/01,15624
2016/07/02,13308
2016/07/03,13211
2016/07/04,13335
2016/07/05,13420
2016/07/06,13389
2016/07/07,13437
2016/07/08,13353
2016/07/09,13029
2016/07/10,13134
2016/07/11,13213
2016/07/12,13234
2016/07/13,12917
2016/07/14,3407
2016/07/15,3473
2016/07/16,3584
2016/07/17,4683
2016/07/18,4671
2016/07/19,5307
2016/07/20,7647
2016/07/21,7964
2016/07/22,8853
2016/07/23,9036
2016/07/24,12311
2016/07/25,13454
2016/07/26,16101
2016/07/27,15516
2016/07/28,15367
2016/07/29,14982
2016/07/30,14380
2016/07/31,12071
2016/08/01,10939
2016/08/02,10536
2016/08/03,10530
2016/08/04,10321
2016/08/05,10877
2016/08/06,11436
2016/08/07,10725
2016/08/08,10369
2016/08/09,6527
2016/08/10,5367
2016/08/11,5315
2016/08/12,5298
2016/08/13,5495
2016/08/14,5741
2016/08/15,5866
2016/08/16,5847
2016/08/17,5218
2016/08/18,5379
2016/08/19,5398
2016/08/20,5425
2016/08/21,5460
2016/08/22,5407
2016/08/23,5636
2016/08/24,5689
2016/08/25,6048
2016/08/26,6186
