Date,transactions30var
2016/01/01,25527376
2016/01/02,25034679
2016/01/03,24494176
2016/01/04,23872147
2016/01/05,24361582
2016/01/06,24398213
2016/01/07,26358361
2016/01/08,25356494
2016/01/09,24395389
2016/01/10,23829779
2016/01/11,23189043
2016/01/12,22253855
2016/01/13,22717517
2016/01/14,20840748
2016/01/15,20923961
2016/01/16,20722578
2016/01/17,20548624
2016/01/18,20069358
2016/01/19,19696282
2016/01/20,19883059
2016/01/21,17953751
2016/01/22,14666773
2016/01/23,14716205
2016/01/24,14407341
2016/01/25,14914258
2016/01/26,12615749
2016/01/27,13801669
2016/01/28,14196818
2016/01/29,12006785
2016/01/30,11870753
2016/01/31,11110914
2016/02/01,10566513
2016/02/02,9997230
2016/02/03,9433700
2016/02/04,9197631
2016/02/05,8887926
2016/02/06,16988442
2016/02/07,16684883
2016/02/08,16528583
2016/02/09,16087132
2016/02/10,15934515
2016/02/11,16983265
2016/02/12,17073233
2016/02/13,17067739
2016/02/14,16164701
2016/02/15,15486716
2016/02/16,14411306
2016/02/17,14642154
2016/02/18,14418319
2016/02/19,13472335
2016/02/20,12341942
2016/02/21,12073695
2016/02/22,10984591
2016/02/23,10430704
2016/02/24,10607089
2016/02/25,10742740
2016/02/26,11128338
2016/02/27,11184757
2016/02/28,11212594
2016/02/29,11135716
2016/03/01,11155135
2016/03/02,11569510
2016/03/03,12283498
2016/03/04,12543424
2016/03/05,13794545
2016/03/06,15255299
2016/03/07,11136312
2016/03/08,10739731
2016/03/09,10425592
2016/03/10,10258009
2016/03/11,10035421
2016/03/12,11653955
2016/03/13,12953534
2016/03/14,14447194
2016/03/15,15367943
2016/03/16,15462653
2016/03/17,18508076
2016/03/18,20685177
2016/03/19,23338551
2016/03/20,24517007
2016/03/21,24459383
2016/03/22,24260827
2016/03/23,23631060
2016/03/24,25474298
2016/03/25,27011725
2016/03/26,27800093
2016/03/27,26435793
2016/03/28,24568620
2016/03/29,22376927
2016/03/30,21653782
2016/03/31,19799891
2016/04/01,18779833
2016/04/02,17830569
2016/04/03,16603134
2016/04/04,16801605
2016/04/05,18694434
2016/04/06,16572054
2016/04/07,14720120
2016/04/08,13100663
2016/04/09,11318303
2016/04/10,8451262
2016/04/11,7884336
2016/04/12,7298702
2016/04/13,6954173
2016/04/14,6525786
2016/04/15,5479920
2016/04/16,5779248
2016/04/17,7144415
2016/04/18,7105723
2016/04/19,7092483
2016/04/20,7065001
2016/04/21,7430380
2016/04/22,7445471
2016/04/23,7222729
2016/04/24,6898046
2016/04/25,6695971
2016/04/26,6297729
2016/04/27,6299510
2016/04/28,6313836
2016/04/29,6442131
2016/04/30,11067925
2016/05/01,12003079
2016/05/02,12857741
2016/05/03,12222419
2016/05/04,12420559
2016/05/05,12300559
2016/05/06,13190248
2016/05/07,12776280
2016/05/08,13352209
2016/05/09,13095896
2016/05/10,13314570
2016/05/11,12742353
2016/05/12,14879021
2016/05/13,18614091
2016/05/14,20648960
2016/05/15,21308340
2016/05/16,19413702
2016/05/17,19428475
2016/05/18,20594644
2016/05/19,20427752
2016/05/20,20326150
2016/05/21,20714568
2016/05/22,18579579
2016/05/23,16810906
2016/05/24,15680825
2016/05/25,15838348
2016/05/26,16642315
2016/05/27,16288117
2016/05/28,39248948
2016/05/29,38247796
2016/05/30,38079745
2016/05/31,37595163
2016/06/01,37544794
2016/06/02,36944929
2016/06/03,36156682
2016/06/04,36457570
2016/06/05,37371531
2016/06/06,36086833
2016/06/07,35806556
2016/06/08,35253432
2016/06/09,35456760
2016/06/10,35609526
2016/06/11,37133081
2016/06/12,36579994
2016/06/13,36653095
2016/06/14,38155215
2016/06/15,36802594
2016/06/16,36367387
2016/06/17,52697191
2016/06/18,63573557
2016/06/19,64622608
2016/06/20,64574532
2016/06/21,63076895
2016/06/22,63145958
2016/06/23,63389955
2016/06/24,63400057
2016/06/25,65182075
2016/06/26,65226392
2016/06/27,44623850
2016/06/28,44572284
2016/06/29,45561637
2016/06/30,57880260
2016/07/01,58430294
2016/07/02,58580579
2016/07/03,58607117
2016/07/04,57765236
2016/07/05,57172321
2016/07/06,57639702
2016/07/07,58271920
2016/07/08,57799509
2016/07/09,57621602
2016/07/10,57893185
2016/07/11,57086172
2016/07/12,57469106
2016/07/13,60097845
2016/07/14,59027197
2016/07/15,59326435
2016/07/16,60543617
2016/07/17,45926867
2016/07/18,32291584
2016/07/19,29759295
2016/07/20,31367074
2016/07/21,30703916
2016/07/22,30635335
2016/07/23,30929417
2016/07/24,39066551
2016/07/25,42643931
2016/07/26,53903545
2016/07/27,55979741
2016/07/28,56521968
2016/07/29,55780771
2016/07/30,42600739
2016/07/31,42986191
2016/08/01,42364013
2016/08/02,42442102
2016/08/03,42522228
2016/08/04,41596132
2016/08/05,39992865
2016/08/06,39695679
2016/08/07,39621326
2016/08/08,39009086
2016/08/09,37865245
2016/08/10,36191667
2016/08/11,35478745
2016/08/12,31933360
2016/08/13,32435676
2016/08/14,32629174
2016/08/15,30885451
2016/08/16,25632640
2016/08/17,23748774
2016/08/18,23464302
2016/08/19,23625431
2016/08/20,24532263
2016/08/21,25028394
2016/08/22,25130175
2016/08/23,20661224
2016/08/24,18163027
2016/08/25,10074115
2016/08/26,8305112
2016/08/27,8189551
2016/08/28,8320760
2016/08/29,7954512
2016/08/30,7658969
2016/08/31,7653828
2016/09/01,7347306
2016/09/02,10146559
2016/09/03,10102250
2016/09/04,10161875
2016/09/05,9885546
2016/09/06,10015336
2016/09/07,9989794
2016/09/08,13174795
2016/09/09,15043638
2016/09/10,15377251
2016/09/11,15552349
2016/09/12,14662977
2016/09/13,14001239
2016/09/14,15035038
2016/09/15,15963805
2016/09/16,19285962
2016/09/17,19293307
2016/09/18,21632295
2016/09/19,21976563
2016/09/20,22639705
2016/09/21,22575133
2016/09/22,23372397
2016/09/23,28455156
2016/09/24,28733595
2016/09/25,31042805
2016/09/26,31366445
2016/09/27,30774865
2016/09/28,31261617
2016/09/29,32570986
2016/09/30,36289968
2016/10/01,37758209
2016/10/02,35777228
2016/10/03,35756946
2016/10/04,39094954
2016/10/05,39376908
2016/10/06,42216674
2016/10/07,42197229
2016/10/08,40891062
2016/10/09,38468559
2016/10/10,38296772
2016/10/11,38747924
