Date,transactions14var
2016/01/01,27011993
2016/01/02,27111846
2016/01/03,27493561
2016/01/04,28598734
2016/01/05,25165080
2016/01/06,19682357
2016/01/07,25256286
2016/01/08,24582464
2016/01/09,24213212
2016/01/10,19617800
2016/01/11,19873208
2016/01/12,19990988
2016/01/13,15825700
2016/01/14,15725276
2016/01/15,14906320
2016/01/16,14318427
2016/01/17,14093066
2016/01/18,13269971
2016/01/19,12392495
2016/01/20,11195731
2016/01/21,3914173
2016/01/22,4237962
2016/01/23,4268447
2016/01/24,4201566
2016/01/25,5934856
2016/01/26,6906052
2016/01/27,7753501
2016/01/28,8389710
2016/01/29,8113542
2016/01/30,7459971
2016/01/31,6101963
2016/02/01,5963798
2016/02/02,5897509
2016/02/03,4794009
2016/02/04,3620576
2016/02/05,3532034
2016/02/06,19415996
2016/02/07,18783746
2016/02/08,18988431
2016/02/09,19042563
2016/02/10,18665923
2016/02/11,20462817
2016/02/12,20612635
2016/02/13,20696623
2016/02/14,20090048
2016/02/15,19397861
2016/02/16,18644798
2016/02/17,18051559
2016/02/18,17129110
2016/02/19,16437462
2016/02/20,3588266
2016/02/21,2840125
2016/02/22,2196874
2016/02/23,1780882
2016/02/24,1838225
2016/02/25,1206813
2016/02/26,1782686
2016/02/27,1741437
2016/02/28,1549540
2016/02/29,1623982
2016/03/01,2108872
2016/03/02,3454240
2016/03/03,4977180
2016/03/04,6077154
2016/03/05,8000330
2016/03/06,9539247
2016/03/07,8671407
2016/03/08,7856158
2016/03/09,7397538
2016/03/10,6715643
2016/03/11,6356032
2016/03/12,6002519
2016/03/13,5020185
2016/03/14,4406101
2016/03/15,4402774
2016/03/16,4194529
2016/03/17,7658556
2016/03/18,8820406
2016/03/19,12575453
2016/03/20,14005832
2016/03/21,13250981
2016/03/22,12486551
2016/03/23,10930214
2016/03/24,11814995
2016/03/25,9189819
2016/03/26,9410268
2016/03/27,8508244
2016/03/28,7312413
2016/03/29,6337546
2016/03/30,4534930
2016/03/31,4706559
2016/04/01,4433076
2016/04/02,5702392
2016/04/03,6680301
2016/04/04,6787681
2016/04/05,8875656
2016/04/06,8791891
2016/04/07,8322591
2016/04/08,7577670
2016/04/09,6862304
2016/04/10,6205745
2016/04/11,6736132
2016/04/12,6875218
2016/04/13,6527658
2016/04/14,6687779
2016/04/15,6902095
2016/04/16,6355282
2016/04/17,8104212
2016/04/18,8076630
2016/04/19,6102206
2016/04/20,5969372
2016/04/21,6522724
2016/04/22,6877878
2016/04/23,6899495
2016/04/24,6707141
2016/04/25,5792845
2016/04/26,5975882
2016/04/27,5704430
2016/04/28,5668796
2016/04/29,6375235
2016/04/30,13873486
2016/05/01,13456111
2016/05/02,15976987
2016/05/03,15422949
2016/05/04,14708686
2016/05/05,15016518
2016/05/06,14393609
2016/05/07,12349271
2016/05/08,11731147
2016/05/09,11236926
2016/05/10,9074354
2016/05/11,7372650
2016/05/12,7378143
2016/05/13,10521429
2016/05/14,10504406
2016/05/15,10708846
2016/05/16,11512139
2016/05/17,10888057
2016/05/18,11551783
2016/05/19,11457836
2016/05/20,12098819
2016/05/21,9052178
2016/05/22,9594154
2016/05/23,8327780
2016/05/24,7900776
2016/05/25,8067035
2016/05/26,11783474
2016/05/27,12555769
2016/05/28,57610804
2016/05/29,57001886
2016/05/30,52193640
2016/05/31,49697122
2016/06/01,51067458
2016/06/02,54008892
2016/06/03,56652887
2016/06/04,60613874
2016/06/05,61603888
2016/06/06,64196149
2016/06/07,63947043
