Date,price3smaUSD
2016/01/01,0.938
2016/01/02,0.96
2016/01/03,0.969
2016/01/04,0.973
2016/01/05,0.976
2016/01/06,0.974
2016/01/07,0.981
2016/01/08,0.987
2016/01/09,1.016
2016/01/10,1.046
2016/01/11,1.067
2016/01/12,1.105
2016/01/13,1.12
2016/01/14,1.149
2016/01/15,1.17
2016/01/16,1.207
2016/01/17,1.239
2016/01/18,1.299
2016/01/19,1.343
2016/01/20,1.42
2016/01/21,1.455
2016/01/22,1.503
2016/01/23,1.596
2016/01/24,1.801
2016/01/25,2.061
2016/01/26,2.342
2016/01/27,2.428
2016/01/28,2.491
2016/01/29,2.466
2016/01/30,2.506
2016/01/31,2.472
2016/02/01,2.377
2016/02/02,2.282
2016/02/03,2.296
2016/02/04,2.4
2016/02/05,2.496
2016/02/06,2.523
2016/02/07,2.576
2016/02/08,2.77
2016/02/09,3.098
2016/02/10,3.654
2016/02/11,4.264
2016/02/12,5.069
2016/02/13,5.278
2016/02/14,5.265
2016/02/15,5.118
2016/02/16,5.077
2016/02/17,4.81
2016/02/18,4.332
2016/02/19,4.21
2016/02/20,4.324
2016/02/21,4.456
2016/02/22,4.671
2016/02/23,5.085
2016/02/24,5.546
2016/02/25,5.923
2016/02/26,6.025
2016/02/27,6.161
2016/02/28,6.218
2016/02/29,6.362
2016/03/01,6.538
2016/03/02,7.05
2016/03/03,7.992
2016/03/04,8.829
2016/03/05,9.881
2016/03/06,10.503
2016/03/07,10.86
2016/03/08,10.347
2016/03/09,10.166
2016/03/10,10.6
2016/03/11,11.099
2016/03/12,11.879
2016/03/13,12.777
2016/03/14,13.563
2016/03/15,13.497
2016/03/16,13.132
2016/03/17,12.514
2016/03/18,11.681
2016/03/19,10.793
2016/03/20,10.335
2016/03/21,10.592
2016/03/22,10.937
2016/03/23,11.476
2016/03/24,11.615
2016/03/25,11.341
2016/03/26,11.004
2016/03/27,10.768
2016/03/28,10.903
2016/03/29,11.143
2016/03/30,11.515
2016/03/31,11.703
2016/04/01,11.721
2016/04/02,11.606
2016/04/03,11.519
2016/04/04,11.408
2016/04/05,11.161
2016/04/06,10.859
2016/04/07,10.562
2016/04/08,10.282
2016/04/09,9.955
2016/04/10,9.369
2016/04/11,8.903
2016/04/12,8.325
2016/04/13,8.047
2016/04/14,8.012
2016/04/15,8.162
2016/04/16,8.325
2016/04/17,8.615
2016/04/18,8.862
2016/04/19,9.114
2016/04/20,8.894
2016/04/21,8.694
2016/04/22,8.346
2016/04/23,8.152
2016/04/24,8.058
2016/04/25,7.991
2016/04/26,7.762
2016/04/27,7.569
2016/04/28,7.445
2016/04/29,7.493
2016/04/30,7.712
2016/05/01,8.143
2016/05/02,8.848
2016/05/03,9.305
2016/05/04,9.582
2016/05/05,9.574
2016/05/06,9.591
2016/05/07,9.517
2016/05/08,9.428
2016/05/09,9.345
2016/05/10,9.347
2016/05/11,9.48
2016/05/12,9.712
2016/05/13,10.126
2016/05/14,10.296
2016/05/15,10.298
2016/05/16,10.273
2016/05/17,10.782
2016/05/18,11.729
2016/05/19,12.873
2016/05/20,13.745
2016/05/21,13.959
2016/05/22,14.001
2016/05/23,13.908
2016/05/24,13.703
2016/05/25,13.154
2016/05/26,12.613
2016/05/27,12.048
2016/05/28,11.694
2016/05/29,11.569
2016/05/30,11.947
2016/05/31,12.588
2016/06/01,13.196
2016/06/02,13.655
2016/06/03,13.779
2016/06/04,13.694
2016/06/05,13.663
2016/06/06,13.73
2016/06/07,13.864
2016/06/08,14.112
2016/06/09,14.29
2016/06/10,14.297
2016/06/11,14.075
2016/06/12,14.176
2016/06/13,15.022
2016/06/14,16.475
2016/06/15,17.689
2016/06/16,18.647
2016/06/17,18.369
2016/06/18,16.551
2016/06/19,14.122
