Date,transactionvalue14stdUSD
2016/01/01,22.662
2016/01/02,23.125
2016/01/03,25.694
2016/01/04,25.739
2016/01/05,33.256
2016/01/06,32.217
2016/01/07,31.419
2016/01/08,30.121
2016/01/09,29.455
2016/01/10,27.504
2016/01/11,29.884
2016/01/12,50.601
2016/01/13,48.924
2016/01/14,48.921
2016/01/15,65.434
2016/01/16,66.324
2016/01/17,66.318
2016/01/18,123.118
2016/01/19,127.82
2016/01/20,124.982
2016/01/21,121.347
2016/01/22,117.902
2016/01/23,123.426
2016/01/24,163.718
2016/01/25,182.034
2016/01/26,187.954
2016/01/27,177.527
2016/01/28,166.553
2016/01/29,165.866
2016/01/30,158.301
2016/01/31,144.666
2016/02/01,143.456
2016/02/02,146.361
2016/02/03,143.388
2016/02/04,145.721
2016/02/05,146.373
2016/02/06,162.81
2016/02/07,132.769
2016/02/08,140.636
2016/02/09,174.02
2016/02/10,248.635
2016/02/11,276.557
2016/02/12,372.495
2016/02/13,374.25
2016/02/14,372.988
2016/02/15,363.108
2016/02/16,354.59
2016/02/17,348.597
2016/02/18,326.109
2016/02/19,321.88
2016/02/20,281.852
2016/02/21,289.733
2016/02/22,293.4
2016/02/23,305.133
2016/02/24,332.369
2016/02/25,329.311
2016/02/26,507.881
2016/02/27,540.112
2016/02/28,540.551
2016/02/29,541.274
2016/03/01,541.307
2016/03/02,674.679
2016/03/03,685.019
2016/03/04,653.361
2016/03/05,720.739
2016/03/06,673.015
2016/03/07,635.596
2016/03/08,634.793
2016/03/09,642.601
2016/03/10,627.072
2016/03/11,581.903
2016/03/12,581.698
2016/03/13,573.576
2016/03/14,514.057
2016/03/15,491.827
2016/03/16,420.821
2016/03/17,419.378
2016/03/18,417.588
2016/03/19,380.634
2016/03/20,443.441
2016/03/21,464.655
2016/03/22,461.076
2016/03/23,486.919
2016/03/24,496.049
2016/03/25,524.006
2016/03/26,538.727
2016/03/27,430.927
2016/03/28,376.7
2016/03/29,361.76
2016/03/30,350.095
2016/03/31,316.166
2016/04/01,212.205
2016/04/02,220.972
2016/04/03,235.442
2016/04/04,240.702
2016/04/05,242.356
2016/04/06,243.147
2016/04/07,241.147
2016/04/08,241.395
2016/04/09,242.004
2016/04/10,227.559
2016/04/11,230.361
2016/04/12,202.343
2016/04/13,166
2016/04/14,153.982
2016/04/15,153.003
2016/04/16,156.946
2016/04/17,142.68
2016/04/18,139.175
2016/04/19,148.31
2016/04/20,149.143
2016/04/21,156.687
2016/04/22,155.298
2016/04/23,118.187
2016/04/24,106.704
2016/04/25,107.11
2016/04/26,109.999
2016/04/27,102.699
2016/04/28,97.59
2016/04/29,99.47
2016/04/30,191.308
2016/05/01,216.8
2016/05/02,247.155
2016/05/03,248.171
2016/05/04,246.106
2016/05/05,233.438
2016/05/06,255.267
2016/05/07,261.3
2016/05/08,236.587
2016/05/09,239.037
2016/05/10,245.911
2016/05/11,293.889
2016/05/12,317.381
2016/05/13,744.492
2016/05/14,841.938
2016/05/15,844.847
2016/05/16,846.124
2016/05/17,844.11
2016/05/18,826.875
2016/05/19,809.577
2016/05/20,803.654
2016/05/21,813.177
2016/05/22,824.807
2016/05/23,831.756
2016/05/24,828.511
2016/05/25,834.21
2016/05/26,849.405
2016/05/27,539.273
2016/05/28,319.919
2016/05/29,331.388
2016/05/30,341.29
2016/05/31,347.698
2016/06/01,356.756
2016/06/02,295.826
2016/06/03,236.19
2016/06/04,251.95
2016/06/05,262.447
2016/06/06,269.321
2016/06/07,237.767
