Date,transactions7roc
2016/01/01,-13.528
2016/01/02,-14.563
2016/01/03,-57.662
2016/01/04,-23.399
2016/01/05,44.656
2016/01/06,-21.56
2016/01/07,114.3
2016/01/08,32.625
2016/01/09,28.688
2016/01/10,11.471
2016/01/11,14.978
2016/01/12,-33.889
2016/01/13,3.461
2016/01/14,-51.742
2016/01/15,-9.561
2016/01/16,-9.573
2016/01/17,-5.552
2016/01/18,18.572
2016/01/19,23.55
2016/01/20,-39.938
2016/01/21,0.76
2016/01/22,40.233
2016/01/23,3.385
2016/01/24,31.302
2016/01/25,32.557
2016/01/26,23.033
2016/01/27,76.692
2016/01/28,56.186
2016/01/29,18.393
2016/01/30,32.98
2016/01/31,10.689
2016/02/01,-17.067
2016/02/02,-13.446
2016/02/03,-23.86
2016/02/04,-14.28
2016/02/05,-6.99
2016/02/06,114.296
2016/02/07,0.692
2016/02/08,3.662
2016/02/09,8.579
2016/02/10,20.085
2016/02/11,49.189
2016/02/12,18.755
2016/02/13,-38.484
2016/02/14,16.545
2016/02/15,16.577
2016/02/16,13.095
2016/02/17,16.621
2016/02/18,-20.854
2016/02/19,1.673
2016/02/20,-13.52
2016/02/21,2.978
2016/02/22,6.009
2016/02/23,5.317
2016/02/24,-2.251
2016/02/25,14.933
2016/02/26,14.425
2016/02/27,13.563
2016/02/28,11.356
2016/02/29,11.919
2016/03/01,17.834
2016/03/02,20.583
2016/03/03,27.35
2016/03/04,15.279
2016/03/05,42.853
2016/03/06,45.103
2016/03/07,14.309
2016/03/08,10.685
2016/03/09,4.223
2016/03/10,-0.093
2016/03/11,-4.789
2016/03/12,2.847
2016/03/13,1.685
2016/03/14,22.59
2016/03/15,21.44
2016/03/16,12.375
2016/03/17,35.129
2016/03/18,37.61
2016/03/19,24.714
2016/03/20,15.359
2016/03/21,13.962
2016/03/22,12.356
2016/03/23,15.183
2016/03/24,10.188
2016/03/25,15.527
2016/03/26,5.368
2016/03/27,-7.622
2016/03/28,3.39
2016/03/29,3.116
2016/03/30,15.67
2016/03/31,-12.688
2016/04/01,-9.363
2016/04/02,-19.888
2016/04/03,-1.288
2016/04/04,3.85
2016/04/05,15.503
2016/04/06,-12.753
2016/04/07,-1.135
2016/04/08,2.071
2016/04/09,8.737
2016/04/10,8.953
2016/04/11,-13.121
2016/04/12,-11.488
2016/04/13,12.385
2016/04/14,9.055
2016/04/15,2.79
2016/04/16,-4.511
2016/04/17,24.711
2016/04/18,10.505
2016/04/19,-5.915
2016/04/20,-8.618
2016/04/21,6.9
2016/04/22,-9.385
2016/04/23,4.468
2016/04/24,-15.315
2016/04/25,5.72
2016/04/26,-0.123
2016/04/27,2.741
2016/04/28,-7.633
2016/04/29,17.848
2016/04/30,43.724
2016/05/01,16.249
2016/05/02,17.832
2016/05/03,16.079
2016/05/04,10.745
2016/05/05,12.707
2016/05/06,10.551
2016/05/07,-21.641
2016/05/08,1.225
2016/05/09,-7.636
2016/05/10,7.57
2016/05/11,8.876
2016/05/12,16.263
2016/05/13,15.672
2016/05/14,27.551
2016/05/15,7.513
2016/05/16,-2.946
2016/05/17,-0.922
2016/05/18,12.796
2016/05/19,-1.064
2016/05/20,-5.367
2016/05/21,-4.643
2016/05/22,-9.7
2016/05/23,17.053
2016/05/24,6.455
2016/05/25,0.891
2016/05/26,14.878
2016/05/27,8.476
2016/05/28,60.812
2016/05/29,17.984
2016/05/30,-2.007
2016/05/31,3.437
2016/06/01,-9.091
2016/06/02,-22.447
2016/06/03,-18.716
2016/06/04,-46.007
2016/06/05,-17.42
2016/06/06,-9.248
2016/06/07,3.954
2016/06/08,-4.235
2016/06/09,0.474
2016/06/10,0.781
2016/06/11,-2.572
2016/06/12,12.363
2016/06/13,18.554
2016/06/14,9.09
2016/06/15,6.97
2016/06/16,8.877
2016/06/17,65.794
2016/06/18,70.952
2016/06/19,19.854
2016/06/20,2.02
2016/06/21,-5.984
2016/06/22,12.402
2016/06/23,-3.42
2016/06/24,-31.892
2016/06/25,-41.848
2016/06/26,-18.462
2016/06/27,-15.822
2016/06/28,-8.947
2016/06/29,2.637
2016/06/30,52.601
2016/07/01,-11.573
2016/07/02,7.014
2016/07/03,-4.46
2016/07/04,0.724
2016/07/05,-8.863
2016/07/06,-24.044
2016/07/07,-36.776
2016/07/08,6.04
2016/07/09,2.937
2016/07/10,-1.004
2016/07/11,-3.424
2016/07/12,3.924
2016/07/13,-5.699
2016/07/14,5.876
2016/07/15,-3.284
2016/07/16,-5.81
2016/07/17,-13.832
2016/07/18,1.597
2016/07/19,8.265
2016/07/20,41.665
2016/07/21,4.842
2016/07/22,17.874
2016/07/23,18.244
2016/07/24,71.655
2016/07/25,39.946
2016/07/26,40.164
2016/07/27,4.748
2016/07/28,8.184
2016/07/29,-2.507
2016/07/30,-6.655
2016/07/31,-16.26
2016/08/01,-16.184
2016/08/02,-20.812
2016/08/03,-6.713
2016/08/04,-3.695
2016/08/05,-8.532
2016/08/06,-1.247
2016/08/07,-11.885
2016/08/08,-6.512
2016/08/09,-4.046
2016/08/10,-6.438
2016/08/11,3.015
2016/08/12,2.749
2016/08/13,-0.962
2016/08/14,-5.536
2016/08/15,-1.587
2016/08/16,4.021
2016/08/17,-3.074
2016/08/18,-0.772
2016/08/19,-3.27
2016/08/20,0.56
2016/08/21,4.845
2016/08/22,4.605
2016/08/23,-1.06
2016/08/24,4.355
2016/08/25,4.329
2016/08/26,10.115
2016/08/27,16.022
2016/08/28,0.15
2016/08/29,2.847
2016/08/30,-2.996
2016/08/31,-2.082
2016/09/01,-4.767
2016/09/02,17.172
2016/09/03,-6.563
2016/09/04,12.958
2016/09/05,-6.247
2016/09/06,4.519
2016/09/07,6.227
2016/09/08,17.854
2016/09/09,-2.698
2016/09/10,-4.28
2016/09/11,-9.938
2016/09/12,5.756
2016/09/13,-13.26
2016/09/14,10.591
2016/09/15,-5.982
2016/09/16,6.703
2016/09/17,9.346
2016/09/18,-12.578
2016/09/19,-10.234
2016/09/20,26.945
2016/09/21,-17.286
2016/09/22,0.067
2016/09/23,-38.784
2016/09/24,-7.389
2016/09/25,2.164
2016/09/26,7.429
2016/09/27,-13.409
2016/09/28,-3.933
2016/09/29,-23.247
2016/09/30,1.752
2016/10/01,22.244
2016/10/02,32.01
2016/10/03,9.556
2016/10/04,21.029
2016/10/05,-2.519
2016/10/06,-8.883
2016/10/07,21.967
2016/10/08,-28.989
2016/10/09,-14.02
2016/10/10,-5.731
2016/10/11,-27.548
2016/10/12,-28.086
2016/10/13,-12.442
2016/10/14,-3.894
2016/10/15,-10.687
2016/10/16,-20.369
2016/10/17,-15.14
2016/10/18,26.417
2016/10/19,28.315
2016/10/20,34.717
2016/10/21,37.552
2016/10/22,12.21
2016/10/23,1.069
2016/10/24,37.788
2016/10/25,-8.262
2016/10/26,17.303
2016/10/27,2.106
2016/10/28,-28.138
2016/10/29,5.928
2016/10/30,11.512
2016/10/31,-14.303
2016/11/01,2.972
2016/11/02,-3.629
2016/11/03,-4.525
2016/11/04,-21.555
2016/11/05,-5.801
2016/11/06,-12.791
2016/11/07,-6.862
2016/11/08,-15.209
2016/11/09,-6.898
2016/11/10,-5.153
2016/11/11,26.09
2016/11/12,8.469
2016/11/13,26.99
2016/11/14,4.614
2016/11/15,9.048
2016/11/16,2.88
2016/11/17,1.429
2016/11/18,6.611
2016/11/19,-3.897
2016/11/20,-3.545
2016/11/21,-2.601
2016/11/22,18.211
2016/11/23,54.229
2016/11/24,-9.517
2016/11/25,32.637
2016/11/26,3.856
2016/11/27,5.517
2016/11/28,13.228
2016/11/29,-12.222
2016/11/30,-39.06
2016/12/01,0.705
2016/12/02,-28.296
2016/12/03,1.355
2016/12/04,-10.812
2016/12/05,-14.001
2016/12/06,2.475
2016/12/07,6.583
2016/12/08,6.643
2016/12/09,-0.475
2016/12/10,-1.917
2016/12/11,-1.208
2016/12/12,-6.902
2016/12/13,-7.336
2016/12/14,13.26
2016/12/15,16.457
2016/12/16,6.054
2016/12/17,-2.766
2016/12/18,-6.445
2016/12/19,17.702
2016/12/20,-0.947
2016/12/21,7.398
2016/12/22,19.676
2016/12/23,0.997
2016/12/24,-4.272
2016/12/25,-0.106
2016/12/26,-24.198
2016/12/27,-4.229
2016/12/28,-14.583
2016/12/29,-15.636
2016/12/30,0.383
2016/12/31,9.172
2017/01/01,5.817
2017/01/02,14.717
2017/01/03,8.291
2017/01/04,16.796
2017/01/05,6.553
2017/01/06,-1.699
2017/01/07,5.827
2017/01/08,10.32
2017/01/09,16.483
2017/01/10,5.004
2017/01/11,-10.759
2017/01/12,2.002
2017/01/13,16.046
2017/01/14,-3.617
2017/01/15,-2.291
2017/01/16,-1.76
2017/01/17,-3.13
2017/01/18,-0.502
2017/01/19,-13.76
2017/01/20,-9.95
2017/01/21,2.992
2017/01/22,13.615
2017/01/23,1.545
2017/01/24,8.02
2017/01/25,2.805
2017/01/26,7.399
2017/01/27,1.977
2017/01/28,4.358
2017/01/29,-10.379
2017/01/30,-1.534
2017/01/31,-13.419
2017/02/01,-3.708
2017/02/02,-6.716
2017/02/03,-8.359
2017/02/04,0.489
2017/02/05,9.487
2017/02/06,4.269
2017/02/07,18.825
2017/02/08,14.701
2017/02/09,9.527
2017/02/10,22.077
2017/02/11,2.532
2017/02/12,-2.628
2017/02/13,18.357
2017/02/14,12.401
2017/02/15,8.282
2017/02/16,3.762
2017/02/17,-5.392
2017/02/18,6.095
2017/02/19,6.417
2017/02/20,-10.427
2017/02/21,0.233
2017/02/22,-8.944
2017/02/23,-4.173
2017/02/24,9.462
2017/02/25,7.788
2017/02/26,7.235
2017/02/27,4.965
2017/02/28,3.154
2017/03/01,18.665
2017/03/02,48.692
2017/03/03,18.885
2017/03/04,10.35
2017/03/05,10.277
2017/03/06,8.317
2017/03/07,3.836
2017/03/08,-7.341
2017/03/09,-9.202
2017/03/10,1.294
2017/03/11,10.292
2017/03/12,16.859
2017/03/13,43.315
2017/03/14,23.272
2017/03/15,46.616
2017/03/16,71.086
2017/03/17,63.736
2017/03/18,38.759
2017/03/19,26.938
2017/03/20,-1.779
2017/03/21,9.258
2017/03/22,-2.936
2017/03/23,-25.026
2017/03/24,-17.687
2017/03/25,-6.145
2017/03/26,-5.987
2017/03/27,17.798
2017/03/28,0.059
2017/03/29,18.07
2017/03/30,16.71
2017/03/31,17.462
2017/04/01,-4.529
2017/04/02,11.836
2017/04/03,5.999
2017/04/04,2.289
2017/04/05,-6.074
2017/04/06,-1.073
2017/04/07,-9.947
2017/04/08,-10.46
2017/04/09,-16.179
2017/04/10,-24.679
2017/04/11,-12.04
2017/04/12,-8.081
2017/04/13,-11.613
2017/04/14,-12.592
2017/04/15,3.709
2017/04/16,-5.262
2017/04/17,-3.896
2017/04/18,9.767
2017/04/19,6.705
2017/04/20,1.576
2017/04/21,0.152
2017/04/22,-1.712
2017/04/23,9.116
2017/04/24,11.007
2017/04/25,11.68
2017/04/26,4.558
2017/04/27,22.287
2017/04/28,30.654
2017/04/29,24.199
2017/04/30,23.522
2017/05/01,39.328
2017/05/02,18.618
2017/05/03,8.581
2017/05/04,9.936
2017/05/05,2.186
2017/05/06,4.028
2017/05/07,12.005
2017/05/08,4.73
2017/05/09,2.337
2017/05/10,12.677
2017/05/11,2.013
2017/05/12,-1.173
2017/05/13,6.65
2017/05/14,-4.954
2017/05/15,4.496
2017/05/16,3.018
2017/05/17,27.775
2017/05/18,17.254
2017/05/19,50.659
2017/05/20,29.191
2017/05/21,47.708
2017/05/22,43.539
2017/05/23,60.838
2017/05/24,33.652
2017/05/25,33.186
2017/05/26,5.106
2017/05/27,14.161
2017/05/28,3.722
2017/05/29,-10.047
2017/05/30,3.472
2017/05/31,14.327
2017/06/01,8.825
2017/06/02,14.776
2017/06/03,17.527
2017/06/04,16.014
2017/06/05,20.031
2017/06/06,3.566
2017/06/07,-3.244
2017/06/08,-5.754
2017/06/09,10.733
2017/06/10,21.471
2017/06/11,33.505
2017/06/12,53.932
2017/06/13,39.662
2017/06/14,20.831
2017/06/15,39.38
2017/06/16,14.906
2017/06/17,13.436
2017/06/18,2.273
2017/06/19,-2.298
2017/06/20,10.128
2017/06/21,-11.604
2017/06/22,8.642
2017/06/23,11.294
2017/06/24,3.532
2017/06/25,-6.026
2017/06/26,10.684
2017/06/27,-17.97
2017/06/28,23.929
2017/06/29,-7.189
2017/06/30,-8.463
2017/07/01,-4.033
2017/07/02,7.564
2017/07/03,-4.658
2017/07/04,11.253
2017/07/05,-0.961
2017/07/06,-1.895
2017/07/07,16.915
2017/07/08,3.193
2017/07/09,-9.423
2017/07/10,0.199
2017/07/11,3.628
2017/07/12,4.5
2017/07/13,0.755
2017/07/14,-15.575
2017/07/15,-6.521
2017/07/16,10.635
2017/07/17,-17.896
2017/07/18,-7.07
2017/07/19,-4.829
2017/07/20,-4.096
2017/07/21,-6.745
2017/07/22,-11.376
2017/07/23,4.557
2017/07/24,5.885
2017/07/25,-10.379
2017/07/26,-17.464
2017/07/27,-9.849
2017/07/28,5.992
2017/07/29,-3.308
2017/07/30,-20.679
2017/07/31,-4.944
2017/08/01,-10.02
2017/08/02,3.642
2017/08/03,4.835
2017/08/04,4.327
2017/08/05,31.507
2017/08/06,28.314
2017/08/07,12.429
2017/08/08,45.879
2017/08/09,21.31
2017/08/10,43.119
2017/08/11,38.7
2017/08/12,29.554
2017/08/13,25.602
2017/08/14,45.84
2017/08/15,29.599
2017/08/16,47.561
2017/08/17,26.539
2017/08/18,24.3
2017/08/19,11.446
2017/08/20,-6.931
2017/08/21,-4.19
2017/08/22,-11.741
2017/08/23,-9.408
2017/08/24,-17.65
2017/08/25,-20.465
2017/08/26,-18.852
2017/08/27,4.597
2017/08/28,-7.434
2017/08/29,8.204
2017/08/30,6.808
2017/08/31,9.066
2017/09/01,10.883
2017/09/02,8.336
2017/09/03,-6.678
2017/09/04,21.7
2017/09/05,12.65
2017/09/06,24.026
2017/09/07,16.629
2017/09/08,18.587
2017/09/09,15.629
2017/09/10,7.471
2017/09/11,-17.445
2017/09/12,-8.924
2017/09/13,-26.33
2017/09/14,-15.188
2017/09/15,-4.724
2017/09/16,-2.578
2017/09/17,-10.953
2017/09/18,-0.717
2017/09/19,-16.583
2017/09/20,-11.129
2017/09/21,-16.615
2017/09/22,-38.549
2017/09/23,-30.409
2017/09/24,-2.966
2017/09/25,-15.478
2017/09/26,-9.379
2017/09/27,-4.904
2017/09/28,3.827
2017/09/29,20.272
2017/09/30,13.722
2017/10/01,1.047
2017/10/02,-0.169
2017/10/03,7.133
2017/10/04,-0.562
2017/10/05,-4.374
2017/10/06,-2.028
2017/10/07,-1.591
2017/10/08,4.565
2017/10/09,7.212
2017/10/10,6.617
2017/10/11,12.039
2017/10/12,15.439
2017/10/13,18.524
2017/10/14,14.112
2017/10/15,10.812
2017/10/16,24.416
2017/10/17,44.624
2017/10/18,36.637
2017/10/19,35.985
2017/10/20,44.232
2017/10/21,39.357
2017/10/22,32.4
2017/10/23,14.664
2017/10/24,-2.635
2017/10/25,-2.132
2017/10/26,-5.621
2017/10/27,-100
2017/10/28,-100
2017/10/29,-100
2017/10/30,-100
2017/10/31,-100
2017/11/01,13.463
2017/11/02,14.396
2017/11/03,0
2017/11/04,0
2017/11/05,0
2017/11/06,0
2017/11/07,0
2017/11/08,-8.038
2017/11/09,-12.441
2017/11/10,-6.388
2017/11/11,-1.098
2017/11/12,4.142
2017/11/13,-13.385
2017/11/14,1.183
2017/11/15,12.514
2017/11/16,5.204
2017/11/17,11.185
2017/11/18,16.558
2017/11/19,6.949
2017/11/20,19.623
2017/11/21,10.097
