Date,sentinusd90smaUSD
2016/10/20,32062654
2016/10/21,31724419
2016/10/22,29887324
2016/10/23,28493188
2016/10/24,25614976
2016/10/25,24005708
2016/10/26,23044630
2016/10/27,22409542
2016/10/28,22073046
2016/10/29,21804658
2016/10/30,21391539
2016/10/31,20394483
2016/11/01,19804287
2016/11/02,19886999
2016/11/03,20582759
2016/11/04,20513239
2016/11/05,20365062
2016/11/06,20168961
2016/11/07,19835739
2016/11/08,19264716
2016/11/09,18992097
2016/11/10,18810694
2016/11/11,18986462
2016/11/12,18921095
2016/11/13,18884992
2016/11/14,18828866
2016/11/15,18729081
2016/11/16,18707811
2016/11/17,18941225
2016/11/18,18866535
2016/11/19,18520907
2016/11/20,18310811
2016/11/21,17829893
2016/11/22,17991059
2016/11/23,18141951
2016/11/24,17984481
2016/11/25,18022666
2016/11/26,17993791
2016/11/27,17920357
2016/11/28,17892231
2016/11/29,17874767
2016/11/30,17717657
2016/12/01,17580076
2016/12/02,17707488
2016/12/03,17937026
2016/12/04,17975339
2016/12/05,18143483
2016/12/06,18504802
2016/12/07,18522025
2016/12/08,18668807
2016/12/09,18816406
2016/12/10,18834746
2016/12/11,18889878
2016/12/12,18860765
2016/12/13,18864005
2016/12/14,18879561
2016/12/15,18759209
2016/12/16,18770349
2016/12/17,18811185
2016/12/18,18866986
2016/12/19,18425049
2016/12/20,17922472
2016/12/21,17825756
2016/12/22,17804874
2016/12/23,18120050
2016/12/24,17950327
2016/12/25,17826948
2016/12/26,17729316
2016/12/27,17474609
2016/12/28,17398029
2016/12/29,17677467
2016/12/30,17857379
2016/12/31,18158964
2017/01/01,18235504
2017/01/02,18390973
2017/01/03,18734421
2017/01/04,19513380
2017/01/05,20322606
2017/01/06,21004177
2017/01/07,21131788
2017/01/08,21069988
2017/01/09,21276286
2017/01/10,21461417
2017/01/11,21840872
2017/01/12,21972254
2017/01/13,22085159
2017/01/14,21973163
2017/01/15,21793890
2017/01/16,21483678
2017/01/17,21511891
2017/01/18,21513090
2017/01/19,21543991
2017/01/20,21791959
2017/01/21,21846887
2017/01/22,21877686
2017/01/23,21841049
2017/01/24,21814897
2017/01/25,21807833
2017/01/26,21740038
2017/01/27,21638066
2017/01/28,21421021
2017/01/29,21368314
2017/01/30,21106538
2017/01/31,20735654
2017/02/01,19680153
2017/02/02,19679462
2017/02/03,19768699
2017/02/04,19926329
2017/02/05,19941376
2017/02/06,20031219
2017/02/07,19952568
2017/02/08,19982922
2017/02/09,19713078
2017/02/10,19774430
2017/02/11,19749805
2017/02/12,19842420
2017/02/13,19877805
2017/02/14,20231194
2017/02/15,20471619
2017/02/16,20692738
2017/02/17,20966292
2017/02/18,21234837
2017/02/19,21496363
2017/02/20,21558649
2017/02/21,21822378
2017/02/22,22112377
2017/02/23,22322285
2017/02/24,22990448
2017/02/25,23390543
2017/02/26,23899580
2017/02/27,25266974
2017/02/28,27127108
2017/03/01,29111901
2017/03/02,32298421
2017/03/03,35487010
2017/03/04,37646080
2017/03/05,39270261
2017/03/06,42111403
2017/03/07,44103817
2017/03/08,46107770
2017/03/09,48726338
2017/03/10,51323319
2017/03/11,54643368
2017/03/12,60519682
2017/03/13,66100475
2017/03/14,68488321
2017/03/15,70938823
2017/03/16,84969275
2017/03/17,92918669
2017/03/18,102952790
2017/03/19,105121489
2017/03/20,108185842
2017/03/21,114274593
2017/03/22,119236797
2017/03/23,124101823
2017/03/24,132090883
2017/03/25,138807959
2017/03/26,144130303
2017/03/27,150198651
2017/03/28,156066926
2017/03/29,163360462
2017/03/30,173187116
2017/03/31,180812252
2017/04/01,186033576
2017/04/02,194175871
2017/04/03,202306007
2017/04/04,205474815
2017/04/05,210750447
2017/04/06,218426168
2017/04/07,220404371
2017/04/08,223470346
2017/04/09,226259661
2017/04/10,229875982
2017/04/11,233517364
2017/04/12,236942236
2017/04/13,239847681
2017/04/14,243562272
2017/04/15,245396886
2017/04/16,246281779
2017/04/17,247395318
2017/04/18,251984821
2017/04/19,257298703
2017/04/20,262977307
2017/04/21,267115605
2017/04/22,270770976
2017/04/23,274462416
2017/04/24,279141666
2017/04/25,283409596
2017/04/26,289735668
2017/04/27,299392247
2017/04/28,310027140
2017/04/29,320842208
2017/04/30,333713352
2017/05/01,354977770
2017/05/02,372125012
2017/05/03,391377982
2017/05/04,412832421
2017/05/05,436469261
2017/05/06,452012034
2017/05/07,472295589
2017/05/08,491277427
2017/05/09,509256360
2017/05/10,527094301
2017/05/11,548961406
2017/05/12,566562862
2017/05/13,579175224
2017/05/14,591273944
2017/05/15,607702369
2017/05/16,628418526
2017/05/17,641673230
2017/05/18,650992667
2017/05/19,669292945
2017/05/20,682335485
2017/05/21,701007806
2017/05/22,748042845
2017/05/23,777029953
2017/05/24,809065172
2017/05/25,839815554
2017/05/26,871808272
2017/05/27,891163899
2017/05/28,908123960
2017/05/29,926646396
2017/05/30,952172832
2017/05/31,1006609353
2017/06/01,1044309275
2017/06/02,1082335443
2017/06/03,1118349611
2017/06/04,1151626932
2017/06/05,1196106974
2017/06/06,1251770263
2017/06/07,1300667861
2017/06/08,1342049458
2017/06/09,1386000922
2017/06/10,1417265113
2017/06/11,1457472152
2017/06/12,1561899909
2017/06/13,1650819316
2017/06/14,1691847671
2017/06/15,1758765593
2017/06/16,1819259232
2017/06/17,1857786736
2017/06/18,1892842058
2017/06/19,1930698205
2017/06/20,1983542098
2017/06/21,1999520632
2017/06/22,2021697563
2017/06/23,2051904135
2017/06/24,2086821592
2017/06/25,2094053459
2017/06/26,2118617263
2017/06/27,2142634738
2017/06/28,2166416660
2017/06/29,2196195043
2017/06/30,2223117484
2017/07/01,2241635966
2017/07/02,2253996566
2017/07/03,2326287082
2017/07/04,2381888643
2017/07/05,2394000416
2017/07/06,2416131747
2017/07/07,2438538816
2017/07/08,2455311648
2017/07/09,2460456472
2017/07/10,2483165659
2017/07/11,2507239222
2017/07/12,2533136472
