Date,median_transaction_fee90rocUSD
2016/01/01,38.596
2016/01/02,43.084
2016/01/03,48.484
2016/01/04,56.364
2016/01/05,359.484
2016/01/06,360.138
2016/01/07,330.803
2016/01/08,54.993
2016/01/09,103.102
2016/01/10,71.128
2016/01/11,72.409
2016/01/12,106.777
2016/01/13,486.774
2016/01/14,108.024
2016/01/15,130.428
2016/01/16,132.87
2016/01/17,146.821
2016/01/18,248.111
2016/01/19,271.293
2016/01/20,221.755
2016/01/21,179.172
2016/01/22,233.295
2016/01/23,180.083
2016/01/24,235.015
2016/01/25,213.213
2016/01/26,226.206
2016/01/27,169.179
2016/01/28,159.829
2016/01/29,167.203
2016/01/30,164.745
2016/01/31,125.556
2016/02/01,123.403
2016/02/02,139.665
2016/02/03,160.319
2016/02/04,182.366
2016/02/05,177.423
2016/02/06,647.117
2016/02/07,160.902
2016/02/08,215.447
2016/02/09,312.076
2016/02/10,412.418
2016/02/11,460.396
2016/02/12,562.64
2016/02/13,453.107
2016/02/14,436.282
2016/02/15,475.961
2016/02/16,397.069
2016/02/17,352.333
2016/02/18,336.002
2016/02/19,374.694
2016/02/20,357.724
2016/02/21,363.126
2016/02/22,449.739
2016/02/23,594.051
2016/02/24,571.058
2016/02/25,613.8
2016/02/26,565.101
2016/02/27,601.133
2016/02/28,516.808
2016/02/29,637.274
2016/03/01,698.107
2016/03/02,881.882
2016/03/03,1029
2016/03/04,994.604
2016/03/05,1201
2016/03/06,1270
2016/03/07,1198
2016/03/08,1110
2016/03/09,1195
2016/03/10,444.573
2016/03/11,322.299
2016/03/12,431.806
2016/03/13,34.105
2016/03/14,-1.669
2016/03/15,322.533
2016/03/16,447.778
2016/03/17,314.681
2016/03/18,347.706
2016/03/19,283.828
2016/03/20,276.435
2016/03/21,115.509
2016/03/22,51.557
2016/03/23,353.744
2016/03/24,421.327
2016/03/25,325.128
2016/03/26,41.57
2016/03/27,315.915
2016/03/28,336.834
2016/03/29,63.975
2016/03/30,394.434
2016/03/31,389.964
2016/04/01,380.679
2016/04/02,367.304
2016/04/03,372.786
2016/04/04,55.162
2016/04/05,62.512
2016/04/06,49.947
2016/04/07,319.139
2016/04/08,209.874
2016/04/09,254.678
2016/04/10,227.066
2016/04/11,188.46
2016/04/12,-0.403
2016/04/13,174.349
2016/04/14,169.969
2016/04/15,168.141
2016/04/16,168.032
2016/04/17,116.999
2016/04/18,120.041
2016/04/19,146.663
2016/04/20,125.01
2016/04/21,85.683
2016/04/22,83.537
2016/04/23,49.405
2016/04/24,28.176
2016/04/25,8.779
2016/04/26,1.527
2016/04/27,2.965
2016/04/28,15.389
2016/04/29,18.331
2016/04/30,38.392
2016/05/01,56.78
2016/05/02,71.197
2016/05/03,58.628
2016/05/04,50.544
2016/05/05,51.306
2016/05/06,-45.706
2016/05/07,38.334
2016/05/08,19.602
2016/05/09,7.982
2016/05/10,-14.491
2016/05/11,-21.538
2016/05/12,-31.432
2016/05/13,-15.297
2016/05/14,-16.743
2016/05/15,-25.872
2016/05/16,-13.743
2016/05/17,6.029
2016/05/18,28.67
2016/05/19,23.811
2016/05/20,29.14
2016/05/21,22.96
2016/05/22,9.276
2016/05/23,-7.805
2016/05/24,-10.519
2016/05/25,-20.944
2016/05/26,-16.933
2016/05/27,-27.3
2016/05/28,-17.738
2016/05/29,-24.873
2016/05/30,-26.241
2016/05/31,-33.534
2016/06/01,-39.941
2016/06/02,-40.297
2016/06/03,-51.034
2016/06/04,-50.935
2016/06/05,-46.858
2016/06/06,-42.332
2016/06/07,-44.919
2016/06/08,24.371
2016/06/09,29.508
2016/06/10,8.87
2016/06/11,-3.665
2016/06/12,9.052
2016/06/13,30.555
2016/06/14,37.227
2016/06/15,57.889
2016/06/16,90.669
2016/06/17,88.996
2016/06/18,48.185
2016/06/19,10.915
2016/06/20,1.339
2016/06/21,10.078
2016/06/22,24.518
2016/06/23,20.582
2016/06/24,21.728
2016/06/25,32.599
2016/06/26,24.369
2016/06/27,19.912
2016/06/28,10.915
2016/06/29,8.653
2016/06/30,47.973
2016/07/01,5.858
2016/07/02,4.332
2016/07/03,5.175
2016/07/04,2.535
2016/07/05,-1.232
2016/07/06,1.811
2016/07/07,1.682
2016/07/08,8.538
2016/07/09,26.952
2016/07/10,27.991
2016/07/11,34.056
2016/07/12,34.444
2016/07/13,24.527
2016/07/14,32.839
2016/07/15,43.608
2016/07/16,27.09
2016/07/17,24.341
2016/07/18,25.336
2016/07/19,31.22
2016/07/20,54.257
2016/07/21,55.033
2016/07/22,68.287
2016/07/23,76.297
2016/07/24,72.206
2016/07/25,82.03
2016/07/26,68.815
2016/07/27,75.58
2016/07/28,82.392
2016/07/29,53.533
2016/07/30,45.163
2016/07/31,26.939
2016/08/01,20.215
2016/08/02,6.83
2016/08/03,5.596
2016/08/04,10.593
2016/08/05,17.311
2016/08/06,15.193
2016/08/07,15.621
2016/08/08,17.434
2016/08/09,20.47
2016/08/10,20.207
2016/08/11,12.083
2016/08/12,16.248
2016/08/13,15.105
2016/08/14,9.141
2016/08/15,-4.721
2016/08/16,-13.848
2016/08/17,-21.156
2016/08/18,-21.097
2016/08/19,-21.103
2016/08/20,-21.069
2016/08/21,-20.854
2016/08/22,-13.555
2016/08/23,-0.276
2016/08/24,-11.141
2016/08/25,-1.161
2016/08/26,-14.694
2016/08/27,-6.958
2016/08/28,-11.258
2016/08/29,-15.504
2016/08/30,-19.921
2016/08/31,-17.937
2016/09/01,-10.472
2016/09/02,-3.489
2016/09/03,-13.267
2016/09/04,-2.473
2016/09/05,-19.634
2016/09/06,-20.024
2016/09/07,-12.069
2016/09/08,-11.108
2016/09/09,-10.86
2016/09/10,-20.436
2016/09/11,-28.386
2016/09/12,-34.211
2016/09/13,-34.514
2016/09/14,-34.534
2016/09/15,-35.701
2016/09/16,-14.004
2016/09/17,3.627
2016/09/18,8.661
2016/09/19,-0.806
2016/09/20,-3.55
2016/09/21,6.13
2016/09/22,6.057
2016/09/23,74.518
2016/09/24,64.424
2016/09/25,109.909
2016/09/26,134.469
2016/09/27,112.514
2016/09/28,23.487
2016/09/29,62.405
2016/09/30,64.703
2016/10/01,107.549
2016/10/02,103.277
2016/10/03,105.069
2016/10/04,161.174
2016/10/05,59.955
2016/10/06,49.125
2016/10/07,31.837
2016/10/08,28.805
2016/10/09,44.519
2016/10/10,34.9
2016/10/11,38.232
