Date,hashrate7trx
2016/01/01,-0.009
2016/01/02,-0.069
2016/01/03,-0.07
2016/01/04,-0.055
2016/01/05,-0.012
2016/01/06,0.045
2016/01/07,0.023
2016/01/08,0.042
2016/01/09,0.077
2016/01/10,0.073
2016/01/11,0.12
2016/01/12,0.12
2016/01/13,0.068
2016/01/14,0.068
2016/01/15,0.128
2016/01/16,0.221
2016/01/17,0.293
2016/01/18,0.406
2016/01/19,0.493
2016/01/20,0.556
2016/01/21,0.578
2016/01/22,0.644
2016/01/23,0.702
2016/01/24,0.851
2016/01/25,0.927
2016/01/26,1.076
2016/01/27,1.185
2016/01/28,1.209
2016/01/29,1.22
2016/01/30,1.199
2016/01/31,1.092
2016/02/01,1.032
2016/02/02,0.906
2016/02/03,0.88
2016/02/04,0.877
2016/02/05,0.88
2016/02/06,0.811
2016/02/07,0.757
2016/02/08,0.776
2016/02/09,0.752
2016/02/10,0.746
2016/02/11,0.805
2016/02/12,0.805
2016/02/13,0.871
2016/02/14,0.96
2016/02/15,1.07
2016/02/16,1.14
2016/02/17,1.12
2016/02/18,1.005
2016/02/19,0.949
2016/02/20,0.922
2016/02/21,0.913
2016/02/22,0.974
2016/02/23,1.045
2016/02/24,1.085
2016/02/25,1.106
2016/02/26,1.148
2016/02/27,1.202
2016/02/28,1.268
2016/02/29,1.248
2016/03/01,1.202
2016/03/02,1.206
2016/03/03,1.243
2016/03/04,1.312
2016/03/05,1.445
2016/03/06,1.567
2016/03/07,1.654
2016/03/08,1.704
2016/03/09,1.735
2016/03/10,1.795
2016/03/11,1.868
2016/03/12,2.003
2016/03/13,2.22
2016/03/14,2.317
2016/03/15,2.381
2016/03/16,2.413
2016/03/17,2.45
2016/03/18,2.414
2016/03/19,2.4
2016/03/20,2.394
2016/03/21,2.317
2016/03/22,2.231
2016/03/23,2.018
2016/03/24,1.9
2016/03/25,1.889
2016/03/26,1.943
2016/03/27,2.001
2016/03/28,1.974
2016/03/29,1.953
2016/03/30,1.947
2016/03/31,1.975
2016/04/01,1.995
2016/04/02,1.907
2016/04/03,1.858
2016/04/04,1.882
2016/04/05,1.906
2016/04/06,1.866
2016/04/07,1.697
2016/04/08,1.627
2016/04/09,1.566
2016/04/10,1.561
2016/04/11,1.493
2016/04/12,1.349
2016/04/13,1.26
2016/04/14,1.197
2016/04/15,1.204
2016/04/16,1.24
2016/04/17,1.218
2016/04/18,1.257
2016/04/19,1.292
2016/04/20,1.332
2016/04/21,1.359
2016/04/22,1.299
2016/04/23,1.263
2016/04/24,1.198
2016/04/25,1.196
2016/04/26,1.149
2016/04/27,1.083
2016/04/28,1.041
2016/04/29,1.031
2016/04/30,1.086
2016/05/01,1.125
2016/05/02,1.072
2016/05/03,1.065
2016/05/04,1.04
2016/05/05,0.999
2016/05/06,0.948
2016/05/07,0.877
2016/05/08,0.829
2016/05/09,0.798
2016/05/10,0.803
2016/05/11,0.745
2016/05/12,0.697
2016/05/13,0.759
2016/05/14,0.814
2016/05/15,0.856
2016/05/16,0.867
2016/05/17,0.847
2016/05/18,0.871
2016/05/19,0.935
2016/05/20,1.023
2016/05/21,1.103
2016/05/22,1.142
