Date,transactionvalue30rocUSD
2016/01/01,4.784
2016/01/02,5.892
2016/01/03,96.983
2016/01/04,-11.871
2016/01/05,173.257
2016/01/06,-70.862
2016/01/07,-25.14
2016/01/08,-35.899
2016/01/09,-20.086
2016/01/10,-56.032
2016/01/11,-14.618
2016/01/12,153.588
2016/01/13,37.719
2016/01/14,38.466
2016/01/15,-16.283
2016/01/16,50.5
2016/01/17,91.885
2016/01/18,1018
2016/01/19,562.22
2016/01/20,371.31
2016/01/21,589.137
2016/01/22,1718
2016/01/23,2131
2016/01/24,5005
2016/01/25,2357
2016/01/26,7231
2016/01/27,409.351
2016/01/28,536.045
2016/01/29,1386
2016/01/30,371.63
2016/01/31,359.514
2016/02/01,243.623
2016/02/02,146.807
2016/02/03,567.153
2016/02/04,-5.381
2016/02/05,538.816
2016/02/06,18.416
2016/02/07,849.973
2016/02/08,1537
2016/02/09,2284
2016/02/10,909.286
2016/02/11,285.84
2016/02/12,2435
2016/02/13,837.65
2016/02/14,127.985
2016/02/15,251.133
2016/02/16,666.399
2016/02/17,-38.017
2016/02/18,111.097
2016/02/19,45.615
2016/02/20,349.947
2016/02/21,22.463
2016/02/22,25.849
2016/02/23,48.217
2016/02/24,116.832
2016/02/25,31.318
2016/02/26,631.609
2016/02/27,420.333
2016/02/28,99.501
2016/02/29,31.799
2016/03/01,118.899
2016/03/02,1198
2016/03/03,705.849
2016/03/04,445.917
2016/03/05,1922
2016/03/06,578.696
2016/03/07,3413
2016/03/08,405.32
2016/03/09,55.719
2016/03/10,13.973
2016/03/11,-8.432
2016/03/12,70.846
2016/03/13,47.224
2016/03/14,130.851
2016/03/15,107.691
2016/03/16,128.977
2016/03/17,67.463
2016/03/18,388.945
2016/03/19,-10.149
2016/03/20,45.158
2016/03/21,-4.95
2016/03/22,95.91
2016/03/23,-6.049
2016/03/24,-38.26
2016/03/25,-73.908
2016/03/26,-66.782
2016/03/27,-63.319
2016/03/28,-62.917
2016/03/29,67.211
2016/03/30,95.359
2016/03/31,-18.986
2016/04/01,-89.065
2016/04/02,-81.212
2016/04/03,-85.275
2016/04/04,-87.941
2016/04/05,-70.904
2016/04/06,-70.395
2016/04/07,-72.433
2016/04/08,-67.006
2016/04/09,-2.12
2016/04/10,-30.045
2016/04/11,-75.331
2016/04/12,-75.487
2016/04/13,-68.075
2016/04/14,-59.594
2016/04/15,-73.647
2016/04/16,-80.492
2016/04/17,-74.899
2016/04/18,-28.271
2016/04/19,-35.403
2016/04/20,-41.586
2016/04/21,-55.461
2016/04/22,-10.937
2016/04/23,-13.384
2016/04/24,-44.555
2016/04/25,59.001
2016/04/26,-37.539
2016/04/27,-33.536
2016/04/28,-61.823
2016/04/29,-72.283
2016/04/30,49.318
2016/05/01,191.438
2016/05/02,199.833
2016/05/03,323.271
2016/05/04,97.306
2016/05/05,44.613
2016/05/06,147.076
2016/05/07,67.713
2016/05/08,106.637
2016/05/09,26.151
2016/05/10,50.146
2016/05/11,315.494
2016/05/12,196.943
2016/05/13,631.885
2016/05/14,479.799
2016/05/15,149.866
2016/05/16,255.367
2016/05/17,102.852
2016/05/18,197.204
2016/05/19,635.423
2016/05/20,308.376
2016/05/21,189.186
2016/05/22,27.598
2016/05/23,57.67
2016/05/24,492.583
2016/05/25,192.358
2016/05/26,19.336
2016/05/27,243.776
2016/05/28,112.663
2016/05/29,117.421
2016/05/30,-39.935
2016/05/31,-21.461
2016/06/01,-41.129
2016/06/02,-51.531
2016/06/03,-23.389
2016/06/04,-38.602
2016/06/05,-65.684
2016/06/06,-56.844
2016/06/07,-7.745
2016/06/08,55.171
2016/06/09,-64.84
2016/06/10,-56.753
2016/06/11,-73.184
2016/06/12,-78.932
2016/06/13,-67.809
2016/06/14,44.989
2016/06/15,-7.046
2016/06/16,72.775
2016/06/17,113.373
2016/06/18,26.058
2016/06/19,-39.709
2016/06/20,108.717
2016/06/21,86.004
2016/06/22,49.838
2016/06/23,3.203
2016/06/24,-25.124
2016/06/25,55.771
2016/06/26,-65.491
2016/06/27,-36.251
2016/06/28,79.276
2016/06/29,5.171
2016/06/30,-44.652
2016/07/01,0.411
2016/07/02,-18.768
2016/07/03,-28.512
2016/07/04,101.911
2016/07/05,481.687
2016/07/06,73.574
2016/07/07,-19.564
