Date,hashrate3trx
2016/10/14,1.09
2016/10/15,1.411
2016/10/16,1.697
2016/10/17,0.957
2016/10/18,0.819
2016/10/19,0.709
2016/10/20,1.009
2016/10/21,1.275
2016/10/22,1.252
2016/10/23,0.695
2016/10/24,0.524
2016/10/25,0.592
2016/10/26,0.709
2016/10/27,0.452
2016/10/28,-0.275
2016/10/29,-3.116
2016/10/30,-4.831
2016/10/31,-4.41
2016/11/01,-5.043
2016/11/02,-6.03
2016/11/03,-6.476
2016/11/04,-6.799
2016/11/05,-6.851
2016/11/06,-6.299
2016/11/07,-3.264
2016/11/08,0.608
2016/11/09,2.208
2016/11/10,1.288
2016/11/11,0.043
2016/11/12,-0.394
2016/11/13,0.561
2016/11/14,1.634
2016/11/15,2.039
2016/11/16,1.611
2016/11/17,0.557
2016/11/18,0.791
2016/11/19,1.684
2016/11/20,3.227
2016/11/21,4.381
2016/11/22,3.397
2016/11/23,2.125
2016/11/24,-0.119
2016/11/25,-1.322
2016/11/26,-1.516
2016/11/27,-1.334
2016/11/28,-0.588
2016/11/29,-0.272
2016/11/30,-0.689
2016/12/01,-0.774
2016/12/02,-0.511
2016/12/03,0.366
2016/12/04,0.687
2016/12/05,0.363
2016/12/06,-0.022
2016/12/07,0.08
2016/12/08,0.84
2016/12/09,1.485
2016/12/10,1.873
2016/12/11,2.144
2016/12/12,1.475
2016/12/13,1.266
2016/12/14,0.977
2016/12/15,0.627
2016/12/16,0.765
2016/12/17,0.958
2016/12/18,1.394
2016/12/19,1.438
2016/12/20,1.543
2016/12/21,1.299
2016/12/22,0.546
2016/12/23,-0.82
2016/12/24,-2.167
2016/12/25,-2.09
2016/12/26,-1.196
2016/12/27,-0.895
2016/12/28,-0.79
2016/12/29,-0.707
2016/12/30,-0.568
2016/12/31,-0.284
2017/01/01,-0.075
2017/01/02,0.065
2017/01/03,0.127
2017/01/04,1.432
2017/01/05,2.333
2017/01/06,2.469
2017/01/07,2.593
2017/01/08,2.351
2017/01/09,2.311
2017/01/10,2.009
2017/01/11,1.702
2017/01/12,1.463
2017/01/13,1.403
2017/01/14,1.245
2017/01/15,1.256
2017/01/16,1.108
2017/01/17,0.746
2017/01/18,0.341
2017/01/19,0.942
2017/01/20,0.796
2017/01/21,0.863
2017/01/22,0.875
2017/01/23,0.998
2017/01/24,0.773
