Date,sentbyaddress30var
2016/10/29,3209471
2016/10/30,3144269
2016/10/31,3249545
2016/11/01,3410143
2016/11/02,3411504
2016/11/03,3335018
2016/11/04,3375867
2016/11/05,3361887
2016/11/06,3461471
2016/11/07,3443494
2016/11/08,3338531
2016/11/09,3228389
2016/11/10,3270697
2016/11/11,2897152
2016/11/12,2004003
2016/11/13,1981416
2016/11/14,1822409
2016/11/15,1766938
2016/11/16,1804387
2016/11/17,1608769
2016/11/18,1497192
2016/11/19,1386192
2016/11/20,1072872
2016/11/21,1025676
2016/11/22,6617961
2016/11/23,20852870
2016/11/24,21489963
2016/11/25,27125291
2016/11/26,27703895
2016/11/27,28180144
2016/11/28,28329928
2016/11/29,28522320
2016/11/30,28709450
2016/12/01,28834487
2016/12/02,28951028
2016/12/03,28943620
2016/12/04,28718988
2016/12/05,28776122
2016/12/06,28593364
2016/12/07,28864702
2016/12/08,29071897
2016/12/09,29090527
2016/12/10,29154262
2016/12/11,29235959
2016/12/12,29286361
2016/12/13,29447941
2016/12/14,29361859
2016/12/15,29345316
2016/12/16,29349544
2016/12/17,29362677
2016/12/18,29430558
2016/12/19,29365019
2016/12/20,29302259
2016/12/21,29245669
2016/12/22,23944281
2016/12/23,8622720
2016/12/24,8363343
2016/12/25,1103317
2016/12/26,1028363
2016/12/27,947280
2016/12/28,943715
2016/12/29,931498
2016/12/30,913698
2016/12/31,879249
2017/01/01,936992
2017/01/02,877241
2017/01/03,814296
2017/01/04,1111887
2017/01/05,1179601
2017/01/06,1292189
2017/01/07,1248522
2017/01/08,1245022
2017/01/09,1310568
2017/01/10,1300851
2017/01/11,1316571
2017/01/12,1300173
2017/01/13,1292492
2017/01/14,1206431
2017/01/15,1231278
2017/01/16,1248647
2017/01/17,1221576
2017/01/18,1223847
2017/01/19,1230020
2017/01/20,1250018
2017/01/21,1245198
2017/01/22,1238788
2017/01/23,1187730
2017/01/24,1045785
2017/01/25,927138
2017/01/26,864674
2017/01/27,853909
2017/01/28,875246
2017/01/29,904652
2017/01/30,905112
2017/01/31,768253
2017/02/01,742223
2017/02/02,743418
2017/02/03,570850
2017/02/04,478194
2017/02/05,374993
2017/02/06,388371
2017/02/07,381476
2017/02/08,313679
2017/02/09,321863
2017/02/10,390452
2017/02/11,366017
2017/02/12,375154
2017/02/13,589302
2017/02/14,710535
2017/02/15,848572
2017/02/16,882283
2017/02/17,887116
2017/02/18,995314
2017/02/19,992592
2017/02/20,1034160
2017/02/21,1008799
2017/02/22,1003488
2017/02/23,995045
2017/02/24,1000984
2017/02/25,986949
2017/02/26,941841
2017/02/27,952871
2017/02/28,1327603
2017/03/01,1927409
2017/03/02,6160446
2017/03/03,7075230
2017/03/04,7340637
2017/03/05,7368950
2017/03/06,7479804
2017/03/07,7403212
2017/03/08,7331746
2017/03/09,7504359
2017/03/10,7899516
2017/03/11,7905055
2017/03/12,8555977
2017/03/13,11834079
2017/03/14,12760680
2017/03/15,14204696
2017/03/16,22258019
2017/03/17,28917349
2017/03/18,30850710
2017/03/19,30701699
2017/03/20,30712602
2017/03/21,29912554
2017/03/22,28974202
2017/03/23,27683888
2017/03/24,27424005
2017/03/25,25988834
2017/03/26,24372225
2017/03/27,22714292
2017/03/28,20612053
2017/03/29,18872877
2017/03/30,19134908
2017/03/31,22534550
2017/04/01,22447198
2017/04/02,22346421
2017/04/03,23990892
2017/04/04,22488980
2017/04/05,20981808
2017/04/06,19368693
2017/04/07,16874173
2017/04/08,15860045
2017/04/09,15806884
2017/04/10,14312521
2017/04/11,13793944
2017/04/12,13883583
2017/04/13,13651600
2017/04/14,13696659
2017/04/15,12246395
2017/04/16,11785441
2017/04/17,12212190
2017/04/18,12231572
2017/04/19,12236399
2017/04/20,12229263
2017/04/21,12352545
2017/04/22,12724229
2017/04/23,12879839
2017/04/24,12853038
2017/04/25,12735481
2017/04/26,12702564
2017/04/27,15287280
2017/04/28,16145023
2017/04/29,15693494
2017/04/30,12974918
2017/05/01,14746407
2017/05/02,16120956
2017/05/03,14027751
2017/05/04,16902994
2017/05/05,19313928
2017/05/06,18885870
2017/05/07,20592664
2017/05/08,26805437
2017/05/09,28231476
2017/05/10,28929932
2017/05/11,30411153
2017/05/12,30734104
2017/05/13,30518294
2017/05/14,29899613
2017/05/15,30427103
2017/05/16,28646921
2017/05/17,31561427
2017/05/18,34292971
2017/05/19,47435645
2017/05/20,47721460
2017/05/21,46697999
2017/05/22,50719404
2017/05/23,55984551
2017/05/24,64321430
2017/05/25,69236839
2017/05/26,70235361
2017/05/27,70395493
2017/05/28,68493922
2017/05/29,65281328
2017/05/30,69220778
2017/05/31,99137521
2017/06/01,116648335
2017/06/02,112808706
2017/06/03,113107267
2017/06/04,112238578
2017/06/05,111697444
2017/06/06,112486754
2017/06/07,115990307
2017/06/08,113154516
2017/06/09,114546926
2017/06/10,116078758
2017/06/11,123292500
2017/06/12,178198978
2017/06/13,200464018
2017/06/14,206261796
2017/06/15,211333009
2017/06/16,209772945
2017/06/17,205784417
2017/06/18,211466299
2017/06/19,209458612
