Date,transactions3roc
2016/08/30,-2.001
2016/08/31,7.602
2016/09/01,4.353
2016/09/02,17.953
2016/09/03,-2.299
2016/09/04,1.341
2016/09/05,-23.002
2016/09/06,9.622
2016/09/07,1.191
2016/09/08,31.179
2016/09/09,9.808
2016/09/10,-11.963
2016/09/11,-22.557
2016/09/12,-16.312
2016/09/13,-0.662
2016/09/14,24.257
2016/09/15,16.619
2016/09/16,35.08
2016/09/17,-12.954
2016/09/18,-27.99
2016/09/19,-29.596
2016/09/20,15.326
2016/09/21,17.565
2016/09/22,30.001
2016/09/23,-34.86
2016/09/24,-2.539
2016/09/25,-26.481
2016/09/26,23.553
2016/09/27,7.829
2016/09/28,10.549
2016/09/29,-7.12
2016/09/30,-23.455
2016/10/01,24.018
2016/10/02,26.447
2016/10/03,33.028
2016/10/04,6.756
2016/10/05,-18.366
2016/10/06,-22.751
2016/10/07,-22.862
2016/10/08,-9.657
2016/10/09,19.318
2016/10/10,2.819
2016/10/11,8.923
2016/10/12,-31.721
2016/10/13,-28.251
2016/10/14,2.321
2016/10/15,12.199
2016/10/16,8.516
2016/10/17,-9.213
2016/10/18,54.174
2016/10/19,10.023
2016/10/20,13.903
2016/10/21,11.334
2016/10/22,-1.883
2016/10/23,-18.587
2016/10/24,-9.057
2016/10/25,26.046
2016/10/26,27.695
2016/10/27,-15.594
2016/10/28,-12.787
2016/10/29,-11.398
2016/10/30,-11.088
2016/10/31,8.451
2016/11/01,22.529
2016/11/02,10.356
2016/11/03,-5.963
2016/11/04,-33.56
2016/11/05,-13.394
2016/11/06,-18.786
2016/11/07,28.764
2016/11/08,10.292
2016/11/09,17.813
2016/11/10,-4.237
2016/11/11,-1.2
2016/11/12,0.901
2016/11/13,8.737
2016/11/14,6.832
2016/11/15,10.88
2016/11/16,-4.554
2016/11/17,-7.152
2016/11/18,-3.408
2016/11/19,-5.746
2016/11/20,3.405
2016/11/21,-2.398
2016/11/22,36.387
2016/11/23,52.615
2016/11/24,-13.745
2016/11/25,8.379
2016/11/26,-36.53
2016/11/27,20.585
2016/11/28,-16.68
2016/11/29,15.273
2016/11/30,-11.859
2016/12/01,-23.285
2016/12/02,-11.468
2016/12/03,5.562
2016/12/04,6.794
2016/12/05,-0.07
2016/12/06,16.546
2016/12/07,5.333
2016/12/08,-4.869
2016/12/09,-14.017
2016/12/10,-2.857
2016/12/11,-1.069
2016/12/12,-6.522
2016/12/13,10.107
2016/12/14,20.759
2016/12/15,19.001
2016/12/16,-1.592
2016/12/17,-16.603
2016/12/18,-20.524
2016/12/19,3.745
2016/12/20,12.167
