Date,fee_to_reward30rsiUSD
2016/01/01,48.427
2016/01/02,48.785
2016/01/03,48.768
2016/01/04,49.033
2016/01/05,53.579
2016/01/06,54.357
2016/01/07,54.373
2016/01/08,49.23
2016/01/09,50.847
2016/01/10,49.339
2016/01/11,49.29
2016/01/12,49.459
2016/01/13,53.615
2016/01/14,49.417
2016/01/15,49.006
2016/01/16,48.971
2016/01/17,48.251
2016/01/18,50.092
2016/01/19,50.783
2016/01/20,48.535
2016/01/21,48.762
2016/01/22,50.217
2016/01/23,48.427
2016/01/24,49.149
2016/01/25,51.641
2016/01/26,51.066
2016/01/27,53.701
2016/01/28,51.406
2016/01/29,50.919
2016/01/30,50.557
2016/01/31,50.456
2016/02/01,50.061
2016/02/02,49.762
2016/02/03,49.278
2016/02/04,50.15
2016/02/05,50.97
2016/02/06,61.996
2016/02/07,51.319
2016/02/08,50.071
2016/02/09,51.512
2016/02/10,52.572
2016/02/11,51.044
2016/02/12,49.584
2016/02/13,49.886
2016/02/14,48.975
2016/02/15,49.372
2016/02/16,49.66
2016/02/17,50.712
2016/02/18,49.17
2016/02/19,50.063
2016/02/20,48.791
2016/02/21,48.926
2016/02/22,49.532
2016/02/23,57.145
2016/02/24,51.642
2016/02/25,49.274
2016/02/26,51.428
2016/02/27,48.996
2016/02/28,49.047
2016/02/29,49.68
2016/03/01,49.581
2016/03/02,50.123
2016/03/03,49.832
2016/03/04,49.676
2016/03/05,49.589
2016/03/06,50.313
2016/03/07,49.143
2016/03/08,49.365
2016/03/09,48.591
2016/03/10,47.682
2016/03/11,47.554
2016/03/12,48.37
2016/03/13,48.445
2016/03/14,48.955
2016/03/15,47.734
2016/03/16,47.682
2016/03/17,48.737
2016/03/18,48.262
2016/03/19,50.643
2016/03/20,49.488
2016/03/21,49.037
2016/03/22,48.036
2016/03/23,49.144
2016/03/24,50.384
2016/03/25,50.273
2016/03/26,49.367
2016/03/27,46.921
2016/03/28,48.215
2016/03/29,47.795
2016/03/30,49.73
2016/03/31,48.082
2016/04/01,47.874
2016/04/02,46.935
2016/04/03,46.844
2016/04/04,48.139
2016/04/05,48.899
2016/04/06,47.697
2016/04/07,47.662
2016/04/08,48.316
2016/04/09,47.456
2016/04/10,47.231
2016/04/11,47.186
2016/04/12,48.115
2016/04/13,50.27
2016/04/14,49.991
2016/04/15,48.153
2016/04/16,46.884
2016/04/17,49.722
2016/04/18,47.658
2016/04/19,47.516
2016/04/20,48.56
2016/04/21,50.123
2016/04/22,47.933
2016/04/23,47.678
2016/04/24,48.425
2016/04/25,48.636
2016/04/26,48.288
2016/04/27,47.891
2016/04/28,48.507
2016/04/29,48.741
2016/04/30,51.018
2016/05/01,52.486
2016/05/02,49.683
2016/05/03,49.544
2016/05/04,49.766
2016/05/05,50.716
2016/05/06,51.864
2016/05/07,48.787
2016/05/08,50.058
2016/05/09,49.364
2016/05/10,49.78
2016/05/11,51.062
2016/05/12,52.911
2016/05/13,53.95
2016/05/14,51.737
2016/05/15,50.486
2016/05/16,49.457
2016/05/17,49.518
2016/05/18,51.52
2016/05/19,51.112
2016/05/20,52.514
2016/05/21,51.865
2016/05/22,49.464
2016/05/23,49.759
2016/05/24,49.431
2016/05/25,50.693
2016/05/26,51.788
2016/05/27,52.491
2016/05/28,62.052
2016/05/29,51.686
2016/05/30,49.892
2016/05/31,49.845
2016/06/01,49.702
2016/06/02,48.285
2016/06/03,48.091
2016/06/04,47.888
2016/06/05,47.876
2016/06/06,48.302
2016/06/07,58.893
2016/06/08,49.124
2016/06/09,49.257
2016/06/10,49.489
2016/06/11,48.856
2016/06/12,49.338
2016/06/13,51.188
2016/06/14,51.557
2016/06/15,49.649
2016/06/16,52.133
2016/06/17,73.933
2016/06/18,76.164
2016/06/19,50.594
2016/06/20,50.593
2016/06/21,52.39
2016/06/22,50.322
2016/06/23,48.705
2016/06/24,49.363
2016/06/25,48.403
2016/06/26,48.271
2016/06/27,48.321
2016/06/28,48.772
2016/06/29,51.305
2016/06/30,54.193
2016/07/01,49.886
2016/07/02,48.06
2016/07/03,48.67
2016/07/04,48.293
2016/07/05,48.688
2016/07/06,48.568
2016/07/07,48.302
2016/07/08,49.673
2016/07/09,50.571
2016/07/10,48.435
2016/07/11,48.525
2016/07/12,49.03
2016/07/13,48.112
2016/07/14,49.059
2016/07/15,48.664
2016/07/16,48.021
2016/07/17,47.551
2016/07/18,48.268
2016/07/19,48.816
2016/07/20,54.448
2016/07/21,49.326
2016/07/22,49.844
2016/07/23,49.24
2016/07/24,49.893
2016/07/25,50.076
2016/07/26,51.054
2016/07/27,49.74
2016/07/28,52.825
2016/07/29,50.699
2016/07/30,48.819
2016/07/31,48.797
2016/08/01,48.893
2016/08/02,49.411
2016/08/03,49.229
2016/08/04,48.986
2016/08/05,48.647
2016/08/06,48.249
2016/08/07,48.409
2016/08/08,52.35
2016/08/09,48.971
2016/08/10,49.334
2016/08/11,49.144
2016/08/12,48.831
2016/08/13,48.099
2016/08/14,47.967
2016/08/15,48.428
2016/08/16,49.169
2016/08/17,48.742
2016/08/18,49.876
2016/08/19,48.983
2016/08/20,48.338
2016/08/21,48.702
2016/08/22,48.971
2016/08/23,56.235
2016/08/24,49.032
2016/08/25,49.47
2016/08/26,49.35
2016/08/27,48.79
2016/08/28,48.358
2016/08/29,49.033
2016/08/30,49.573
2016/08/31,49.116
2016/09/01,49.525
2016/09/02,51.88
2016/09/03,48.714
2016/09/04,52.551
2016/09/05,48.902
2016/09/06,49.82
