Date,mediantransactionvalue7wmaUSD
2016/01/01,0.907
2016/01/02,1.049
2016/01/03,1.169
2016/01/04,1.22
2016/01/05,0.949
2016/01/06,0.709
2016/01/07,0.47
2016/01/08,0.547
2016/01/09,0.643
2016/01/10,0.794
2016/01/11,0.931
2016/01/12,1.14
2016/01/13,0.919
2016/01/14,1.013
2016/01/15,1.179
2016/01/16,1.29
2016/01/17,1.385
2016/01/18,1.445
2016/01/19,1.297
2016/01/20,1.571
2016/01/21,1.711
2016/01/22,1.689
2016/01/23,1.889
2016/01/24,2.149
2016/01/25,2.246
2016/01/26,2.424
2016/01/27,2.042
2016/01/28,2.138
2016/01/29,2.252
2016/01/30,2.391
2016/01/31,2.505
2016/02/01,2.531
2016/02/02,2.535
2016/02/03,2.661
2016/02/04,2.705
2016/02/05,2.712
2016/02/06,2.034
2016/02/07,2.242
2016/02/08,2.58
2016/02/09,2.992
2016/02/10,3.782
2016/02/11,4.335
2016/02/12,5.316
2016/02/13,5.657
2016/02/14,5.814
2016/02/15,5.995
2016/02/16,5.916
2016/02/17,5.502
2016/02/18,5.214
2016/02/19,5.041
2016/02/20,4.977
2016/02/21,4.981
2016/02/22,5.14
2016/02/23,5.487
2016/02/24,5.795
2016/02/25,6.161
2016/02/26,6.293
2016/02/27,6.502
2016/02/28,6.794
2016/02/29,6.97
2016/03/01,7.223
2016/03/02,7.711
2016/03/03,8.462
2016/03/04,9.032
2016/03/05,10.386
2016/03/06,11.013
2016/03/07,11.357
2016/03/08,11.308
2016/03/09,11.389
2016/03/10,12.058
2016/03/11,11.981
2016/03/12,12.612
2016/03/13,13.399
2016/03/14,14.004
2016/03/15,14.151
2016/03/16,14.357
2016/03/17,13.965
2016/03/18,13.267
2016/03/19,12.474
2016/03/20,11.776
2016/03/21,11.474
2016/03/22,11.439
2016/03/23,11.547
2016/03/24,11.535
2016/03/25,11.369
2016/03/26,11.257
2016/03/27,11.23
2016/03/28,11.251
2016/03/29,11.381
2016/03/30,11.567
2016/03/31,11.756
2016/04/01,11.851
2016/04/02,11.894
2016/04/03,11.918
2016/04/04,11.826
2016/04/05,11.531
2016/04/06,11.32
2016/04/07,11.083
2016/04/08,10.75
2016/04/09,10.448
2016/04/10,9.971
2016/04/11,9.557
2016/04/12,9.063
2016/04/13,8.624
2016/04/14,8.463
2016/04/15,8.352
2016/04/16,8.325
2016/04/17,8.174
2016/04/18,8.426
2016/04/19,8.647
2016/04/20,8.714
2016/04/21,8.681
2016/04/22,8.572
2016/04/23,8.468
2016/04/24,8.404
2016/04/25,8.225
2016/04/26,7.987
2016/04/27,7.885
2016/04/28,7.765
2016/04/29,7.676
2016/04/30,7.796
2016/05/01,8.041
2016/05/02,8.496
2016/05/03,8.907
2016/05/04,9.192
2016/05/05,9.408
2016/05/06,9.568
2016/05/07,9.593
2016/05/08,9.547
2016/05/09,9.517
2016/05/10,9.476
2016/05/11,9.528
2016/05/12,9.696
2016/05/13,10.008
2016/05/14,10.164
2016/05/15,10.224
2016/05/16,10.361
2016/05/17,10.784
2016/05/18,11.431
2016/05/19,12.172
2016/05/20,12.899
2016/05/21,13.28
2016/05/22,13.666
2016/05/23,13.968
2016/05/24,13.861
2016/05/25,13.504
2016/05/26,11.704
2016/05/27,11.402
2016/05/28,8.614
2016/05/29,7.773
2016/05/30,8.521
2016/05/31,9.523
2016/06/01,10.7
2016/06/02,11.812
2016/06/03,12.62
2016/06/04,12.346
2016/06/05,12.788
2016/06/06,13.021
2016/06/07,11.543
2016/06/08,12.095
2016/06/09,12.604
2016/06/10,12.822
2016/06/11,13.191
2016/06/12,12.776
2016/06/13,13.771
2016/06/14,14.748
2016/06/15,15.728
