Date,size3wma
2016/01/01,1055
2016/01/02,947.869
2016/01/03,942.81
2016/01/04,967.933
2016/01/05,1184
2016/01/06,1405
2016/01/07,1525
2016/01/08,1315
2016/01/09,1223
2016/01/10,1105
2016/01/11,1079
2016/01/12,1074
2016/01/13,1253
2016/01/14,1188
2016/01/15,1094
2016/01/16,996.079
2016/01/17,933.449
2016/01/18,985.092
2016/01/19,1053
2016/01/20,1024
2016/01/21,975.872
2016/01/22,988.023
2016/01/23,952.593
2016/01/24,969.584
2016/01/25,1149
2016/01/26,1225
2016/01/27,1415
2016/01/28,1439
2016/01/29,1389
2016/01/30,1263
2016/01/31,1179
2016/02/01,1115
2016/02/02,1088
2016/02/03,1069
2016/02/04,1076
2016/02/05,1097
2016/02/06,1392
2016/02/07,1258
2016/02/08,1138
2016/02/09,1032
2016/02/10,1070
2016/02/11,1181
2016/02/12,1196
2016/02/13,1214
2016/02/14,1172
2016/02/15,1147
2016/02/16,1130
2016/02/17,1196
2016/02/18,1164
2016/02/19,1159
2016/02/20,1094
2016/02/21,1067
2016/02/22,1070
2016/02/23,1097
2016/02/24,1108
2016/02/25,1113
2016/02/26,1201
2016/02/27,1166
2016/02/28,1128
2016/02/29,1135
2016/03/01,1152
2016/03/02,1181
2016/03/03,1217
2016/03/04,1240
2016/03/05,1282
2016/03/06,1329
2016/03/07,1283
2016/03/08,1255
2016/03/09,1257
2016/03/10,1244
2016/03/11,1226
2016/03/12,1300
2016/03/13,1359
2016/03/14,1445
2016/03/15,1391
2016/03/16,1348
2016/03/17,1369
2016/03/18,1395
2016/03/19,1452
2016/03/20,1455
2016/03/21,1480
2016/03/22,1497
2016/03/23,1519
2016/03/24,1693
2016/03/25,1686
2016/03/26,1620
2016/03/27,1413
2016/03/28,1460
2016/03/29,1427
2016/03/30,1511
2016/03/31,1458
2016/04/01,1477
2016/04/02,1349
2016/04/03,1283
2016/04/04,1372
2016/04/05,1472
2016/04/06,1428
2016/04/07,1402
2016/04/08,1461
2016/04/09,1407
2016/04/10,1337
2016/04/11,1278
2016/04/12,1360
2016/04/13,1433
2016/04/14,1437
2016/04/15,1421
2016/04/16,1313
2016/04/17,1599
2016/04/18,1517
2016/04/19,1428
2016/04/20,1344
2016/04/21,1425
2016/04/22,1373
2016/04/23,1316
2016/04/24,1355
2016/04/25,1389
2016/04/26,1377
2016/04/27,1338
2016/04/28,1366
2016/04/29,1400
2016/04/30,1503
2016/05/01,1607
2016/05/02,1565
2016/05/03,1497
2016/05/04,1478
2016/05/05,1483
2016/05/06,1558
2016/05/07,1477
2016/05/08,1494
2016/05/09,1469
2016/05/10,1482
2016/05/11,1516
2016/05/12,1606
2016/05/13,1657
2016/05/14,1679
2016/05/15,1610
2016/05/16,1539
2016/05/17,1511
2016/05/18,1598
2016/05/19,1604
2016/05/20,1645
2016/05/21,1658
2016/05/22,1584
2016/05/23,1561
2016/05/24,1536
2016/05/25,1606
2016/05/26,1678
2016/05/27,1719
2016/05/28,2082
2016/05/29,1937
2016/05/30,1736
2016/05/31,1591
2016/06/01,1570
2016/06/02,1513
2016/06/03,1459
2016/06/04,1423
2016/06/05,1406
2016/06/06,1413
2016/06/07,1554
2016/06/08,1520
2016/06/09,1499
2016/06/10,1450
2016/06/11,1416
2016/06/12,1431
2016/06/13,1517
2016/06/14,1634
2016/06/15,1599
2016/06/16,1595
2016/06/17,1857
2016/06/18,2002
2016/06/19,1850
2016/06/20,1736
2016/06/21,1655
2016/06/22,1635
2016/06/23,1566
2016/06/24,1592
2016/06/25,1505
2016/06/26,1471
2016/06/27,1425
2016/06/28,1453
2016/06/29,1625
2016/06/30,2028
2016/07/01,1778
2016/07/02,1546
2016/07/03,1393
2016/07/04,1406
2016/07/05,1441
2016/07/06,1430
2016/07/07,1422
2016/07/08,1496
2016/07/09,1471
2016/07/10,1439
2016/07/11,1415
2016/07/12,1491
2016/07/13,1437
2016/07/14,1481
2016/07/15,1467
2016/07/16,1417
2016/07/17,1325
2016/07/18,1345
2016/07/19,1427
2016/07/20,1593
2016/07/21,1584
2016/07/22,1614
2016/07/23,1549
2016/07/24,1671
2016/07/25,1717
2016/07/26,1852
2016/07/27,1791
2016/07/28,1698
2016/07/29,1620
2016/07/30,1531
2016/07/31,1546
2016/08/01,1552
2016/08/02,1628
2016/08/03,1655
2016/08/04,1645
2016/08/05,1580
2016/08/06,1511
2016/08/07,1480
2016/08/08,1487
2016/08/09,1543
2016/08/10,1585
2016/08/11,1611
2016/08/12,1587
2016/08/13,1505
2016/08/14,1440
2016/08/15,1441
2016/08/16,1534
2016/08/17,1551
2016/08/18,1613
2016/08/19,1555
2016/08/20,1500
2016/08/21,1473
2016/08/22,1498
2016/08/23,1767
2016/08/24,1724
2016/08/25,1699
2016/08/26,1624
2016/08/27,1607
2016/08/28,1522
2016/08/29,1534
2016/08/30,1574
2016/08/31,1570
2016/09/01,1573
2016/09/02,1709
2016/09/03,1637
2016/09/04,1672
2016/09/05,1581
2016/09/06,1652
2016/09/07,1672
2016/09/08,1801
2016/09/09,1842
2016/09/10,1689
2016/09/11,1542
2016/09/12,1531
2016/09/13,1520
2016/09/14,1642
2016/09/15,1707
2016/09/16,1884
2016/09/17,1758
2016/09/18,1582
2016/09/19,1413
2016/09/20,1530
2016/09/21,1586
2016/09/22,1752
2016/09/23,1532
2016/09/24,1502
2016/09/25,1415
2016/09/26,1489
2016/09/27,1576
2016/09/28,1592
2016/09/29,1518
2016/09/30,1459
2016/10/01,1624
2016/10/02,1686
2016/10/03,1723
2016/10/04,1950
2016/10/05,1918
2016/10/06,1935
2016/10/07,3006
2016/10/08,4411
2016/10/09,5338
2016/10/10,9162
2016/10/11,6570
2016/10/12,3666
2016/10/13,1529
2016/10/14,1344
2016/10/15,1303
2016/10/16,1294
2016/10/17,1327
2016/10/18,1548
2016/10/19,1631
2016/10/20,1570
2016/10/21,1624
2016/10/22,1498
2016/10/23,1385
2016/10/24,1552
2016/10/25,1650
2016/10/26,1632
2016/10/27,1555
2016/10/28,1500
2016/10/29,1474
2016/10/30,1444
2016/10/31,1486
2016/11/01,1593
2016/11/02,1567
2016/11/03,1516
2016/11/04,1371
2016/11/05,1345
2016/11/06,1308
2016/11/07,1356
2016/11/08,1419
2016/11/09,1467
2016/11/10,1487
2016/11/11,1476
2016/11/12,1449
2016/11/13,1453
2016/11/14,1515
2016/11/15,1559
2016/11/16,1529
2016/11/17,1495
2016/11/18,1496
2016/11/19,1438
2016/11/20,1447
2016/11/21,1489
2016/11/22,1612
2016/11/23,1801
2016/11/24,1646
2016/11/25,1683
2016/11/26,1577
2016/11/27,1646
2016/11/28,1683
2016/11/29,1707
2016/11/30,1957
2016/12/01,1722
2016/12/02,1568
2016/12/03,1424
2016/12/04,1413
2016/12/05,1448
2016/12/06,1539
2016/12/07,1548
2016/12/08,1485
2016/12/09,1477
2016/12/10,1450
2016/12/11,1567
2016/12/12,1537
2016/12/13,1542
2016/12/14,1677
2016/12/15,1659
2016/12/16,1586
2016/12/17,1475
2016/12/18,1396
2016/12/19,1493
2016/12/20,1531
2016/12/21,1666
2016/12/22,1727
2016/12/23,1643
2016/12/24,1481
2016/12/25,1366
2016/12/26,1313
2016/12/27,1430
2016/12/28,1500
2016/12/29,1609
2016/12/30,1626
2016/12/31,1593
2017/01/01,1480
2017/01/02,1450
2017/01/03,1532
2017/01/04,1644
2017/01/05,1681
2017/01/06,1641
2017/01/07,1595
2017/01/08,1567
2017/01/09,1578
2017/01/10,1634
2017/01/11,1624
2017/01/12,1660
2017/01/13,1695
2017/01/14,1609
2017/01/15,1537
2017/01/16,1537
2017/01/17,1596
2017/01/18,1601
2017/01/19,1578
2017/01/20,1586
2017/01/21,1547
2017/01/22,1578
2017/01/23,1596
2017/01/24,1684
2017/01/25,1675
2017/01/26,1677
2017/01/27,1661
2017/01/28,1645
2017/01/29,1580
2017/01/30,1568
2017/01/31,1549
2017/02/01,1580
2017/02/02,1581
2017/02/03,1578
2017/02/04,1566
2017/02/05,1589
2017/02/06,1601
2017/02/07,1718
2017/02/08,1759
2017/02/09,1707
2017/02/10,1705
2017/02/11,1647
2017/02/12,1606
2017/02/13,1701
2017/02/14,1827
2017/02/15,1851
2017/02/16,1755
2017/02/17,1687
2017/02/18,1717
2017/02/19,1685
2017/02/20,1689
2017/02/21,1833
2017/02/22,1841
2017/02/23,1762
2017/02/24,1743
2017/02/25,1751
2017/02/26,1740
2017/02/27,1774
2017/02/28,1859
2017/03/01,2066
2017/03/02,2172
2017/03/03,2151
2017/03/04,1993
2017/03/05,1878
2017/03/06,1821
2017/03/07,1888
2017/03/08,1856
2017/03/09,2129
2017/03/10,2196
2017/03/11,2138
2017/03/12,2058
2017/03/13,2242
2017/03/14,2374
2017/03/15,2448
2017/03/16,2760
2017/03/17,2873
2017/03/18,2728
2017/03/19,2515
2017/03/20,2375
2017/03/21,2425
2017/03/22,2406
2017/03/23,2464
2017/03/24,2511
2017/03/25,2485
2017/03/26,2423
2017/03/27,2644
2017/03/28,2633
2017/03/29,2702
2017/03/30,2765
2017/03/31,2883
2017/04/01,2660
2017/04/02,2627
2017/04/03,2684
2017/04/04,2633
2017/04/05,2583
2017/04/06,2672
2017/04/07,2748
2017/04/08,2516
2017/04/09,2391
2017/04/10,2391
2017/04/11,2402
2017/04/12,2551
2017/04/13,2589
2017/04/14,2538
2017/04/15,2422
2017/04/16,2301
2017/04/17,2286
2017/04/18,2441
2017/04/19,2585
2017/04/20,2613
2017/04/21,2650
2017/04/22,2542
2017/04/23,2455
2017/04/24,2479
2017/04/25,2651
2017/04/26,2722
2017/04/27,2923
2017/04/28,3074
2017/04/29,2971
2017/04/30,2992
2017/05/01,3259
2017/05/02,3423
2017/05/03,3258
2017/05/04,3261
2017/05/05,3207
2017/05/06,3082
2017/05/07,3167
2017/05/08,3301
2017/05/09,3378
2017/05/10,3307
2017/05/11,3314
2017/05/12,3232
2017/05/13,3143
2017/05/14,3118
2017/05/15,3473
2017/05/16,3622
2017/05/17,4006
2017/05/18,4165
2017/05/19,4533
2017/05/20,4397
