Date,sentbyaddress7rsi
2016/01/01,50.831
2016/01/02,56.108
2016/01/03,56.023
2016/01/04,56.857
2016/01/05,57.03
2016/01/06,61.201
2016/01/07,65.529
2016/01/08,54.19
2016/01/09,58.109
2016/01/10,70.395
2016/01/11,72.257
2016/01/12,78.592
2016/01/13,53.042
2016/01/14,49.318
2016/01/15,64.773
2016/01/16,39.874
2016/01/17,35.642
2016/01/18,48.78
2016/01/19,43.51
2016/01/20,62.893
2016/01/21,44.861
2016/01/22,46.817
2016/01/23,56.188
2016/01/24,62.631
2016/01/25,65.513
2016/01/26,68.588
2016/01/27,55.922
2016/01/28,56.271
2016/01/29,52.9
2016/01/30,51.391
2016/01/31,56.753
2016/02/01,54.356
2016/02/02,50.836
2016/02/03,51.953
2016/02/04,49.029
2016/02/05,53.676
2016/02/06,45.198
2016/02/07,59.9
2016/02/08,68.804
2016/02/09,74.781
2016/02/10,87.94
2016/02/11,89.005
2016/02/12,83.116
2016/02/13,68.74
2016/02/14,50.47
2016/02/15,54.27
2016/02/16,53.585
2016/02/17,51.182
2016/02/18,52.545
2016/02/19,48.432
2016/02/20,41.792
2016/02/21,73.346
2016/02/22,56.829
2016/02/23,55.249
2016/02/24,51.651
2016/02/25,62.771
2016/02/26,52.484
2016/02/27,54.723
2016/02/28,63.734
2016/02/29,74.396
2016/03/01,78.176
2016/03/02,80.096
2016/03/03,83.322
2016/03/04,83.59
2016/03/05,89.813
2016/03/06,75.309
2016/03/07,53.284
2016/03/08,65.28
2016/03/09,56.876
2016/03/10,63.462
2016/03/11,58.016
2016/03/12,56.575
2016/03/13,54.738
2016/03/14,54.97
2016/03/15,50.079
2016/03/16,42.401
2016/03/17,54.443
2016/03/18,61.436
2016/03/19,41.593
2016/03/20,44.57
2016/03/21,55.14
2016/03/22,43.98
2016/03/23,45.984
2016/03/24,43.156
2016/03/25,39.83
2016/03/26,36.349
2016/03/27,52.104
2016/03/28,54.231
2016/03/29,72.93
2016/03/30,73.864
2016/03/31,47.928
2016/04/01,44.346
2016/04/02,40.738
2016/04/03,40.15
2016/04/04,52.765
2016/04/05,53.559
2016/04/06,52.647
2016/04/07,49.274
2016/04/08,45.199
2016/04/09,53.54
2016/04/10,63.504
2016/04/11,47.337
2016/04/12,53.275
2016/04/13,60.532
2016/04/14,50.886
2016/04/15,42.274
2016/04/16,40.588
2016/04/17,54.376
2016/04/18,53.01
2016/04/19,49.527
2016/04/20,52.79
2016/04/21,51.2
2016/04/22,54.738
2016/04/23,48.095
2016/04/24,53.562
2016/04/25,61.331
2016/04/26,64.35
2016/04/27,61.933
2016/04/28,50.637
2016/04/29,84.913
2016/04/30,87.188
2016/05/01,63.981
2016/05/02,72.109
2016/05/03,61.175
2016/05/04,54.8
2016/05/05,55.741
2016/05/06,55.874
2016/05/07,50.372
2016/05/08,57.5
2016/05/09,62.001
2016/05/10,63.695
2016/05/11,75.716
2016/05/12,76.972
2016/05/13,85.389
2016/05/14,63.747
2016/05/15,48.85
2016/05/16,46.521
2016/05/17,53.426
2016/05/18,59.372
2016/05/19,61.81
2016/05/20,53.588
2016/05/21,43.498
2016/05/22,35.927
2016/05/23,57.979
2016/05/24,53.57
2016/05/25,51.185
2016/05/26,81.367
2016/05/27,52.838
2016/05/28,67.259
2016/05/29,46.492
2016/05/30,46.1
2016/05/31,47.494
2016/06/01,45.263
2016/06/02,43.609
2016/06/03,43.785
2016/06/04,41.232
2016/06/05,41.245
2016/06/06,44.653
2016/06/07,46.807
2016/06/08,46.624
2016/06/09,43.54
2016/06/10,45.718
2016/06/11,38.563
2016/06/12,50.736
2016/06/13,63.717
2016/06/14,64.791
2016/06/15,51.722
2016/06/16,57.574
2016/06/17,76.871
2016/06/18,65.714
2016/06/19,49.616
2016/06/20,45.969
2016/06/21,49.1
2016/06/22,53.904
2016/06/23,43.078
2016/06/24,41.193
2016/06/25,37.877
2016/06/26,37.2
2016/06/27,39.362
2016/06/28,49.563
2016/06/29,47.409
2016/06/30,40.915
2016/07/01,42.118
2016/07/02,44.215
2016/07/03,44.067
2016/07/04,51.394
2016/07/05,54.009
2016/07/06,48.894
2016/07/07,48.224
2016/07/08,47.988
2016/07/09,42.397
2016/07/10,35.324
2016/07/11,45.249
2016/07/12,45.582
2016/07/13,40.871
2016/07/14,55.148
2016/07/15,52.292
2016/07/16,31.863
2016/07/17,26.127
2016/07/18,46.026
2016/07/19,87.483
2016/07/20,54.679
2016/07/21,51.39
2016/07/22,54.44
2016/07/23,50.51
2016/07/24,64.714
2016/07/25,54.446
2016/07/26,67.221
2016/07/27,55.438
2016/07/28,51.722
2016/07/29,46.026
2016/07/30,41.99
2016/07/31,45.876
2016/08/01,47.597
2016/08/02,55.976
2016/08/03,47.91
2016/08/04,46.203
2016/08/05,41.376
2016/08/06,40.365
2016/08/07,40.885
2016/08/08,46.567
2016/08/09,52.077
2016/08/10,45.549
2016/08/11,54.975
2016/08/12,42.51
2016/08/13,39.299
2016/08/14,43.726
2016/08/15,44.809
2016/08/16,52.267
2016/08/17,45.042
2016/08/18,44.65
2016/08/19,45.033
2016/08/20,48.418
2016/08/21,45.476
2016/08/22,39.72
2016/08/23,59.191
2016/08/24,49.171
2016/08/25,58.202
2016/08/26,50.169
2016/08/27,53.226
2016/08/28,47.292
2016/08/29,55.606
2016/08/30,50.006
2016/08/31,57.144
2016/09/01,65.137
2016/09/02,56.022
2016/09/03,44.438
2016/09/04,42.646
2016/09/05,43.29
2016/09/06,45.049
2016/09/07,47.224
2016/09/08,65.792
2016/09/09,46.348
2016/09/10,43.266
2016/09/11,48.087
2016/09/12,50.203
2016/09/13,50.109
2016/09/14,53.198
2016/09/15,48.88
2016/09/16,61.867
2016/09/17,51.988
2016/09/18,37.18
2016/09/19,32.069
2016/09/20,73.214
2016/09/21,62.841
2016/09/22,42.448
2016/09/23,44.959
2016/09/24,47.143
2016/09/25,45.921
2016/09/26,45.557
2016/09/27,47.269
2016/09/28,46.454
2016/09/29,56.464
2016/09/30,58.182
2016/10/01,42.449
2016/10/02,56.931
2016/10/03,46.936
2016/10/04,35.719
2016/10/05,35.921
2016/10/06,43.46
2016/10/07,54.04
2016/10/08,55.656
2016/10/09,62.348
2016/10/10,61.993
2016/10/11,49.349
2016/10/12,28.423
2016/10/13,23.353
2016/10/14,49.755
2016/10/15,43.344
2016/10/16,48.9
2016/10/17,52.781
2016/10/18,64.931
2016/10/19,45.116
2016/10/20,58.515
2016/10/21,60.458
2016/10/22,52.881
2016/10/23,51.177
2016/10/24,48.58
2016/10/25,48.928
2016/10/26,49.615
2016/10/27,50.822
2016/10/28,52.119
2016/10/29,46.421
2016/10/30,42.397
2016/10/31,59.744
2016/11/01,64.774
2016/11/02,44.622
2016/11/03,52.3
2016/11/04,38.232
2016/11/05,45.914
2016/11/06,41.267
2016/11/07,50.605
2016/11/08,48.979
2016/11/09,51.16
2016/11/10,42.521
2016/11/11,50.759
2016/11/12,48.213
2016/11/13,55.567
2016/11/14,43.88
2016/11/15,48.926
2016/11/16,45.465
2016/11/17,45.256
2016/11/18,47.839
2016/11/19,42.348
2016/11/20,46.029
2016/11/21,48.53
2016/11/22,88.467
2016/11/23,92.51
2016/11/24,41.492
2016/11/25,59.836
2016/11/26,44.171
2016/11/27,44.474
2016/11/28,45.998
2016/11/29,45.412
2016/11/30,45.753
2016/12/01,45.156
2016/12/02,46.443
2016/12/03,50.261
2016/12/04,50.544
2016/12/05,46.461
2016/12/06,51.971
2016/12/07,43.934
2016/12/08,44.611
2016/12/09,50.281
2016/12/10,45.474
2016/12/11,48.025
2016/12/12,48.302
2016/12/13,45.502
2016/12/14,54.068
2016/12/15,58.702
2016/12/16,47.509
2016/12/17,46.982
2016/12/18,45.683
2016/12/19,49.694
2016/12/20,52.991
2016/12/21,55.116
2016/12/22,54.427
2016/12/23,44.816
2016/12/24,40.648
2016/12/25,35.143
2016/12/26,36.573
2016/12/27,45.03
2016/12/28,51.284
2016/12/29,59.558
2016/12/30,51.531
2016/12/31,58.194
2017/01/01,39.08
2017/01/02,50.137
2017/01/03,56.574
2017/01/04,69.728
2017/01/05,63.627
2017/01/06,64.227
2017/01/07,49.732
2017/01/08,43.753
2017/01/09,58.415
2017/01/10,47.261
2017/01/11,52.249
2017/01/12,53.704
2017/01/13,47.675
