Date,size3sma
2016/01/01,1169
2016/01/02,965.165
2016/01/03,931.068
2016/01/04,963.307
2016/01/05,1111
2016/01/06,1310
2016/01/07,1499
2016/01/08,1394
2016/01/09,1280
2016/01/10,1111
2016/01/11,1104
2016/01/12,1065
2016/01/13,1192
2016/01/14,1193
2016/01/15,1164
2016/01/16,1012
2016/01/17,953.39
2016/01/18,970.21
2016/01/19,1017
2016/01/20,1041
2016/01/21,1003
2016/01/22,976.619
2016/01/23,958.889
2016/01/24,975.334
2016/01/25,1078
2016/01/26,1185
2016/01/27,1376
2016/01/28,1406
2016/01/29,1433
2016/01/30,1304
2016/01/31,1207
2016/02/01,1132
2016/02/02,1098
2016/02/03,1073
2016/02/04,1075
2016/02/05,1088
2016/02/06,1294
2016/02/07,1273
2016/02/08,1246
2016/02/09,1031
2016/02/10,1057
2016/02/11,1139
2016/02/12,1186
2016/02/13,1224
2016/02/14,1178
2016/02/15,1163
2016/02/16,1132
2016/02/17,1173
2016/02/18,1168
2016/02/19,1177
2016/02/20,1104
2016/02/21,1085
2016/02/22,1062
2016/02/23,1086
2016/02/24,1105
2016/02/25,1113
2016/02/26,1171
2016/02/27,1168
2016/02/28,1161
2016/02/29,1123
2016/03/01,1141
2016/03/02,1177
2016/03/03,1201
2016/03/04,1232
2016/03/05,1271
2016/03/06,1310
2016/03/07,1299
2016/03/08,1275
2016/03/09,1246
2016/03/10,1248
2016/03/11,1237
2016/03/12,1272
2016/03/13,1329
2016/03/14,1426
2016/03/15,1404
2016/03/16,1378
2016/03/17,1352
2016/03/18,1380
2016/03/19,1439
2016/03/20,1448
2016/03/21,1479
2016/03/22,1486
2016/03/23,1514
2016/03/24,1635
2016/03/25,1671
2016/03/26,1674
2016/03/27,1473
2016/03/28,1455
2016/03/29,1406
2016/03/30,1510
2016/03/31,1456
2016/04/01,1490
2016/04/02,1378
2016/04/03,1324
2016/04/04,1327
2016/04/05,1425
2016/04/06,1456
2016/04/07,1423
2016/04/08,1427
2016/04/09,1421
2016/04/10,1380
2016/04/11,1287
2016/04/12,1331
2016/04/13,1397
2016/04/14,1445
2016/04/15,1432
2016/04/16,1344
2016/04/17,1515
2016/04/18,1495
2016/04/19,1528
2016/04/20,1342
2016/04/21,1394
2016/04/22,1385
2016/04/23,1355
2016/04/24,1331
2016/04/25,1367
2016/04/26,1392
2016/04/27,1352
2016/04/28,1355
2016/04/29,1382
2016/04/30,1473
2016/05/01,1564
2016/05/02,1583
2016/05/03,1536
2016/05/04,1475
2016/05/05,1477
2016/05/06,1536
2016/05/07,1495
2016/05/08,1510
2016/05/09,1455
2016/05/10,1490
2016/05/11,1500
2016/05/12,1573
2016/05/13,1637
2016/05/14,1679
2016/05/15,1632
2016/05/16,1571
2016/05/17,1515
2016/05/18,1565
2016/05/19,1593
2016/05/20,1647
2016/05/21,1642
2016/05/22,1615
2016/05/23,1578
2016/05/24,1530
2016/05/25,1589
2016/05/26,1644
2016/05/27,1710
2016/05/28,1965
2016/05/29,1946
2016/05/30,1885
2016/05/31,1604
2016/06/01,1566
2016/06/02,1536
2016/06/03,1481
2016/06/04,1430
2016/06/05,1411
2016/06/06,1410
2016/06/07,1505
2016/06/08,1518
2016/06/09,1535
2016/06/10,1450
2016/06/11,1432
2016/06/12,1427
2016/06/13,1481
2016/06/14,1592
2016/06/15,1612
2016/06/16,1613
2016/06/17,1755
2016/06/18,1929
2016/06/19,1935
2016/06/20,1792
2016/06/21,1654
2016/06/22,1651
2016/06/23,1585
2016/06/24,1588
2016/06/25,1522
2016/06/26,1502
2016/06/27,1426
2016/06/28,1448
2016/06/29,1561
2016/06/30,1881
2016/07/01,1846
2016/07/02,1710
2016/07/03,1389
2016/07/04,1400
2016/07/05,1430
2016/07/06,1431
2016/07/07,1431
2016/07/08,1468
2016/07/09,1471
2016/07/10,1468
2016/07/11,1415
2016/07/12,1465
2016/07/13,1448
2016/07/14,1486
2016/07/15,1450
2016/07/16,1448
2016/07/17,1357
2016/07/18,1337
2016/07/19,1388
2016/07/20,1539
2016/07/21,1581
2016/07/22,1627
2016/07/23,1553
2016/07/24,1645
2016/07/25,1677
2016/07/26,1827
2016/07/27,1796
2016/07/28,1754
2016/07/29,1638
2016/07/30,1556
2016/07/31,1548
2016/08/01,1535
2016/08/02,1611
2016/08/03,1638
2016/08/04,1656
2016/08/05,1603
2016/08/06,1536
2016/08/07,1488
2016/08/08,1481
2016/08/09,1523
2016/08/10,1567
2016/08/11,1606
2016/08/12,1595
2016/08/13,1537
2016/08/14,1465
2016/08/15,1435
2016/08/16,1498
2016/08/17,1540
2016/08/18,1606
2016/08/19,1562
2016/08/20,1536
2016/08/21,1474
2016/08/22,1486
2016/08/23,1676
2016/08/24,1713
2016/08/25,1759
2016/08/26,1621
2016/08/27,1620
2016/08/28,1549
2016/08/29,1536
2016/08/30,1546
2016/08/31,1575
2016/09/01,1579
2016/09/02,1657
2016/09/03,1649
2016/09/04,1694
2016/09/05,1581
2016/09/06,1651
2016/09/07,1642
2016/09/08,1771
2016/09/09,1815
2016/09/10,1754
2016/09/11,1607
2016/09/12,1518
2016/09/13,1514
2016/09/14,1613
2016/09/15,1666
2016/09/16,1840
2016/09/17,1784
2016/09/18,1680
2016/09/19,1454
2016/09/20,1488
2016/09/21,1543
2016/09/22,1721
2016/09/23,1585
2016/09/24,1561
2016/09/25,1398
2016/09/26,1486
2016/09/27,1531
2016/09/28,1589
2016/09/29,1555
2016/09/30,1480
2016/10/01,1563
2016/10/02,1644
2016/10/03,1738
2016/10/04,1866
2016/10/05,1904
2016/10/06,1977
2016/10/07,2620
2016/10/08,3829
2016/10/09,5077
2016/10/10,7946
2016/10/11,7057
2016/10/12,5578
2016/10/13,1772
2016/10/14,1318
2016/10/15,1314
2016/10/16,1311
2016/10/17,1303
2016/10/18,1473
2016/10/19,1587
2016/10/20,1617
2016/10/21,1609
2016/10/22,1516
2016/10/23,1458
2016/10/24,1480
2016/10/25,1586
2016/10/26,1672
2016/10/27,1581
2016/10/28,1513
2016/10/29,1484
2016/10/30,1452
2016/10/31,1473
2016/11/01,1549
2016/11/02,1574
2016/11/03,1552
2016/11/04,1410
2016/11/05,1364
2016/11/06,1303
2016/11/07,1349
2016/11/08,1388
2016/11/09,1453
2016/11/10,1484
2016/11/11,1479
2016/11/12,1460
2016/11/13,1452
2016/11/14,1490
2016/11/15,1540
2016/11/16,1545
2016/11/17,1512
2016/11/18,1490
2016/11/19,1455
2016/11/20,1454
