Date,transactionfees14rsiUSD
2016/01/01,44.344
2016/01/02,46.095
2016/01/03,46.256
2016/01/04,47.378
2016/01/05,57.807
2016/01/06,59.144
2016/01/07,52.122
2016/01/08,47.862
2016/01/09,55.669
2016/01/10,50.317
2016/01/11,48.415
2016/01/12,50.502
2016/01/13,57.128
2016/01/14,50.462
2016/01/15,50.744
2016/01/16,48.925
2016/01/17,45.846
2016/01/18,53.978
2016/01/19,55.353
2016/01/20,48.65
2016/01/21,50.312
2016/01/22,53.636
2016/01/23,49.218
2016/01/24,56.309
2016/01/25,62.844
2016/01/26,64.946
2016/01/27,69.666
2016/01/28,62.069
2016/01/29,59.515
2016/01/30,61.045
2016/01/31,58.581
2016/02/01,54.748
2016/02/02,51.897
2016/02/03,52.476
2016/02/04,57.977
2016/02/05,61.113
2016/02/06,84.473
2016/02/07,57.642
2016/02/08,53.539
2016/02/09,58.643
2016/02/10,63.461
2016/02/11,55.416
2016/02/12,55.523
2016/02/13,52.872
2016/02/14,50.825
2016/02/15,53.551
2016/02/16,52.46
2016/02/17,50.826
2016/02/18,47.989
2016/02/19,52.135
2016/02/20,48.304
2016/02/21,48.651
2016/02/22,52.639
2016/02/23,74.54
2016/02/24,55.638
2016/02/25,50.234
2016/02/26,54.109
2016/02/27,49.151
2016/02/28,49.752
2016/02/29,50.222
2016/03/01,50.363
2016/03/02,53.325
2016/03/03,53.218
2016/03/04,52.94
2016/03/05,54.163
2016/03/06,55.696
2016/03/07,53.087
2016/03/08,52.758
2016/03/09,49.426
2016/03/10,46.838
2016/03/11,46.368
2016/03/12,49.966
2016/03/13,53.038
2016/03/14,53.12
2016/03/15,48.07
2016/03/16,50.022
2016/03/17,49.072
2016/03/18,45.016
2016/03/19,53.876
2016/03/20,49.807
2016/03/21,49.251
2016/03/22,46.086
2016/03/23,51.754
2016/03/24,52.833
2016/03/25,50.915
2016/03/26,47.959
2016/03/27,41.715
2016/03/28,45.889
2016/03/29,44.757
2016/03/30,52.415
2016/03/31,47.15
2016/04/01,45.986
2016/04/02,43.586
2016/04/03,43.44
2016/04/04,45.934
2016/04/05,45.513
2016/04/06,44.109
2016/04/07,43.708
2016/04/08,44.698
2016/04/09,41.687
2016/04/10,39.854
2016/04/11,39.909
2016/04/12,39.867
2016/04/13,46.732
2016/04/14,48.439
2016/04/15,42.551
2016/04/16,40.298
2016/04/17,47.902
2016/04/18,43.889
2016/04/19,43.518
2016/04/20,46.654
2016/04/21,48.965
2016/04/22,43.917
2016/04/23,43.118
2016/04/24,44.982
2016/04/25,44.501
2016/04/26,43.238
2016/04/27,42.332
2016/04/28,43.737
2016/04/29,42.948
2016/04/30,48.315
2016/05/01,57.137
2016/05/02,49.93
2016/05/03,51.914
2016/05/04,52.369
2016/05/05,55.111
2016/05/06,57.177
2016/05/07,48.834
2016/05/08,50.436
2016/05/09,49.373
2016/05/10,48.978
2016/05/11,53.994
2016/05/12,59.004
2016/05/13,61.463
2016/05/14,53.533
2016/05/15,51.248
2016/05/16,52.762
2016/05/17,54.949
2016/05/18,60.78
2016/05/19,62.34
2016/05/20,67.324
2016/05/21,62.656
2016/05/22,58.963
2016/05/23,54.684
2016/05/24,51.022
2016/05/25,51.337
2016/05/26,50.891
2016/05/27,51.474
2016/05/28,66.492
2016/05/29,54.349
2016/05/30,51.03
2016/05/31,51.282
2016/06/01,54.462
2016/06/02,49.849
2016/06/03,48.545
2016/06/04,49.061
2016/06/05,48.507
2016/06/06,50.879
2016/06/07,75.576
2016/06/08,50.572
2016/06/09,50.989
2016/06/10,50.421
2016/06/11,50.553
2016/06/12,50.276
2016/06/13,56.551
2016/06/14,57.667
2016/06/15,55.262
2016/06/16,64.159
2016/06/17,86.418
2016/06/18,80.721
2016/06/19,47.778
2016/06/20,47.757
2016/06/21,52.07
2016/06/22,48.878
2016/06/23,46.254
2016/06/24,47.521
2016/06/25,46.895
2016/06/26,45.88
2016/06/27,46.223
2016/06/28,46.289
2016/06/29,49.472
2016/06/30,51.904
2016/07/01,49.279
2016/07/02,44.674
2016/07/03,46.152
2016/07/04,45.071
2016/07/05,45.359
2016/07/06,45.615
2016/07/07,44.126
