Date,transactionvalue90rocUSD
2016/01/01,188.28
2016/01/02,-3.394
2016/01/03,127.816
2016/01/04,-67.575
2016/01/05,123.229
2016/01/06,-45.133
2016/01/07,-27.402
2016/01/08,41.586
2016/01/09,19.165
2016/01/10,-43.131
2016/01/11,32.41
2016/01/12,29.752
2016/01/13,-59.184
2016/01/14,22.51
2016/01/15,494.083
2016/01/16,343.9
2016/01/17,20.524
2016/01/18,498.78
2016/01/19,153.708
2016/01/20,75.743
2016/01/21,14.73
2016/01/22,1074
2016/01/23,547.059
2016/01/24,317.272
2016/01/25,26.362
2016/01/26,92.867
2016/01/27,120.297
2016/01/28,-20.906
2016/01/29,275.095
2016/01/30,749.495
2016/01/31,224.965
2016/02/01,17.349
2016/02/02,-9.247
2016/02/03,146.475
2016/02/04,-45.537
2016/02/05,170.736
2016/02/06,-72.896
2016/02/07,33.008
2016/02/08,188.813
2016/02/09,1310
2016/02/10,1865
2016/02/11,695.073
2016/02/12,1856
2016/02/13,1410
2016/02/14,406.317
2016/02/15,51.817
2016/02/16,1264
2016/02/17,411.406
2016/02/18,844.663
2016/02/19,548.059
2016/02/20,803.094
2016/02/21,55.711
2016/02/22,341.735
2016/02/23,1944
2016/02/24,439.38
2016/02/25,230.176
2016/02/26,7053
2016/02/27,2790
2016/02/28,1054
2016/02/29,684.528
2016/03/01,953.987
2016/03/02,4624
2016/03/03,3818
2016/03/04,3110
2016/03/05,5127
2016/03/06,1163
2016/03/07,3014
2016/03/08,2977
2016/03/09,1937
2016/03/10,1094
2016/03/11,689.085
2016/03/12,1572
2016/03/13,5039
2016/03/14,2897
2016/03/15,296.405
2016/03/16,1110
2016/03/17,2363
2016/03/18,3287
2016/03/19,1156
2016/03/20,896.216
2016/03/21,2847
2016/03/22,4262
2016/03/23,2538
2016/03/24,4571
2016/03/25,1290
2016/03/26,3098
2016/03/27,1267
2016/03/28,1127
2016/03/29,4857
2016/03/30,1114
2016/03/31,714.895
2016/04/01,387.848
2016/04/02,273.673
2016/04/03,436.317
2016/04/04,130.668
2016/04/05,1162
2016/04/06,1132
2016/04/07,1223
2016/04/08,740.984
2016/04/09,2559
2016/04/10,546.509
2016/04/11,62.619
2016/04/12,814.7
2016/04/13,591.033
2016/04/14,91.327
2016/04/15,111.88
2016/04/16,150.371
2016/04/17,-23.929
2016/04/18,36.05
2016/04/19,36.539
2016/04/20,149.82
2016/04/21,6.858
2016/04/22,5.304
2016/04/23,-20.738
2016/04/24,-68.631
2016/04/25,-30.642
2016/04/26,67.621
2016/04/27,28.247
2016/04/28,27.355
2016/04/29,-28.635
2016/04/30,164.798
2016/05/01,313.759
2016/05/02,353.956
2016/05/03,240.263
2016/05/04,381.004
2016/05/05,185.578
2016/05/06,2470
2016/05/07,133.624
2016/05/08,6.165
2016/05/09,40.731
2016/05/10,-3.822
2016/05/11,75.117
2016/05/12,7.164
2016/05/13,439.387
2016/05/14,386.571
2016/05/15,50.774
2016/05/16,16.093
2016/05/17,148.96
2016/05/18,91.546
2016/05/19,589.587
2016/05/20,126.739
2016/05/21,152.335
2016/05/22,6.768
2016/05/23,-15.683
2016/05/24,-14.271
2016/05/25,54.414
2016/05/26,-72.659
2016/05/27,-15.27
2016/05/28,35.758
2016/05/29,17.727
2016/05/30,-27.341
2016/05/31,-74.97
2016/06/01,-66.836
2016/06/02,-69.79
2016/06/03,-81.771
2016/06/04,-74.165
2016/06/05,-74.898
2016/06/06,-80.048
2016/06/07,-37.103
2016/06/08,91.601
2016/06/09,-63.07
2016/06/10,-55.672
2016/06/11,-80.48
2016/06/12,-50.774
2016/06/13,-24.584
2016/06/14,-4.529
2016/06/15,-35.56
2016/06/16,-12.027
2016/06/17,354.874
2016/06/18,498.848
2016/06/19,43.822
2016/06/20,168.831
2016/06/21,111.381
2016/06/22,104.629
2016/06/23,239.084
2016/06/24,248.064
2016/06/25,16.11
2016/06/26,-21.151
2016/06/27,-48.242
2016/06/28,8.035
2016/06/29,-5.675
2016/06/30,26.688
2016/07/01,77.242
2016/07/02,66.654
2016/07/03,8.06
2016/07/04,79.277
2016/07/05,393.2
2016/07/06,25.63
2016/07/07,53.337
2016/07/08,-56.965
2016/07/09,-49.204
2016/07/10,5.06
2016/07/11,-10.896
2016/07/12,-9.28
2016/07/13,20.994
2016/07/14,70.444
2016/07/15,859.666
2016/07/16,27.264
2016/07/17,47.067
2016/07/18,630.23
2016/07/19,1314
2016/07/20,3013
2016/07/21,155.233
2016/07/22,231.475
2016/07/23,834.633
2016/07/24,1778
2016/07/25,811.82
2016/07/26,2354
2016/07/27,1666
2016/07/28,1548
2016/07/29,193.347
2016/07/30,191.684
2016/07/31,105.318
2016/08/01,281.656
2016/08/02,654.427
2016/08/03,522.53
2016/08/04,75.604
2016/08/05,168.499
2016/08/06,41.595
2016/08/07,7.363
2016/08/08,14.345
2016/08/09,8.425
2016/08/10,72.532
2016/08/11,-46.807
2016/08/12,-53.671
2016/08/13,61.055
2016/08/14,8.661
2016/08/15,-1.714
2016/08/16,-58.594
2016/08/17,-48.106
2016/08/18,-62.445
2016/08/19,-17.622
2016/08/20,71.289
2016/08/21,130.344
2016/08/22,5.877
2016/08/23,123.449
2016/08/24,-24.235
2016/08/25,-65.659
2016/08/26,30.841
2016/08/27,-14.606
2016/08/28,-26.728
2016/08/29,-5.874
2016/08/30,-21.659
2016/08/31,55.29
2016/09/01,136.688
2016/09/02,128.227
2016/09/03,101.673
2016/09/04,110.857
2016/09/05,-26.777
2016/09/06,-70.406
2016/09/07,25.808
2016/09/08,-0.974
2016/09/09,-24.542
2016/09/10,-51.942
2016/09/11,-45.385
2016/09/12,-52.455
2016/09/13,-30.681
2016/09/14,-74.903
2016/09/15,-87.143
2016/09/16,-54.096
2016/09/17,-50.292
2016/09/18,-18.774
2016/09/19,-35.055
2016/09/20,54.937
2016/09/21,127.281
2016/09/22,37.019
2016/09/23,59.198
2016/09/24,92.902
2016/09/25,265.948
2016/09/26,-9.126
2016/09/27,2.271
2016/09/28,357.462
2016/09/29,163.729
2016/09/30,137.24
2016/10/01,32.801
2016/10/02,37.256
2016/10/03,-82.308
2016/10/04,-44.061
2016/10/05,34.475
2016/10/06,92.412
2016/10/07,69.416
2016/10/08,86.785
2016/10/09,225.538
2016/10/10,204.754
2016/10/11,143.068
2016/10/12,331.203
2016/10/13,-66.601
2016/10/14,209.943
2016/10/15,60.882
2016/10/16,-33.988
2016/10/17,-76.981
2016/10/18,-79.514
2016/10/19,-30.493
2016/10/20,-76.086
2016/10/21,-84.642
2016/10/22,-94.561
2016/10/23,-93.841
2016/10/24,-96.562
2016/10/25,-90.998
2016/10/26,-88.146
2016/10/27,-83.386
2016/10/28,-63.18
2016/10/29,-44.976
2016/10/30,-52.211
2016/10/31,-85.447
2016/11/01,-62.924
2016/11/02,27.733
2016/11/03,141.363
2016/11/04,-13.74
2016/11/05,-52.438
2016/11/06,-69.678
2016/11/07,-78.827
2016/11/08,-86.123
2016/11/09,-44.373
2016/11/10,-56.028
2016/11/11,67.985
2016/11/12,-32.401
2016/11/13,-22.811
2016/11/14,-42.622
2016/11/15,-46.889
2016/11/16,-2.361
2016/11/17,206.375
2016/11/18,-42.545
2016/11/19,-77.255
2016/11/20,-74.323
2016/11/21,-85.551
2016/11/22,101.987
2016/11/23,79.498
2016/11/24,-53.85
2016/11/25,8.779
2016/11/26,-25.195
2016/11/27,-49.381
2016/11/28,-28.686
2016/11/29,-14.895
2016/11/30,-49.879
2016/12/01,-38.041
2016/12/02,90.417
2016/12/03,155.232
2016/12/04,46.647
2016/12/05,177.567
2016/12/06,322.743
2016/12/07,46.001
2016/12/08,260.543
2016/12/09,179.379
2016/12/10,24.417
2016/12/11,67.428
2016/12/12,-15.151
2016/12/13,24.501
2016/12/14,32.294
2016/12/15,-23.988
2016/12/16,17.264
2016/12/17,13.717
2016/12/18,57.275
2016/12/19,-74.932
2016/12/20,-80.903
2016/12/21,-32.768
2016/12/22,-40.573
2016/12/23,156.873
2016/12/24,-45.948
2016/12/25,-51.609
2016/12/26,-45.078
2016/12/27,-69.017
2016/12/28,-30
2016/12/29,138.093
2016/12/30,197.568
2016/12/31,165.934
2017/01/01,127.958
2017/01/02,255.926
2017/01/03,195.503
2017/01/04,397.386
2017/01/05,528.534
2017/01/06,395.285
2017/01/07,37.394
2017/01/08,-13.971
2017/01/09,49.015
2017/01/10,-4.327
2017/01/11,171.439
2017/01/12,14.272
2017/01/13,15.153
2017/01/14,-60.722
2017/01/15,-76.176
2017/01/16,-75.204
2017/01/17,-1.4
2017/01/18,-2.271
2017/01/19,81.702
2017/01/20,286.965
2017/01/21,59.488
2017/01/22,50.238
2017/01/23,-23.43
2017/01/24,-30.097
2017/01/25,-9.885
2017/01/26,-42.591
2017/01/27,-53.831
2017/01/28,-78.741
2017/01/29,-30.374
2017/01/30,-74.471
2017/01/31,-71.289
2017/02/01,-88.179
2017/02/02,-25.833
2017/02/03,62.19
2017/02/04,165.791
2017/02/05,7.608
2017/02/06,84.989
2017/02/07,-47.513
2017/02/08,-1.468
2017/02/09,-67.479
2017/02/10,12.691
2017/02/11,-22.506
2017/02/12,147.678
2017/02/13,5.755
2017/02/14,178.709
2017/02/15,23.392
2017/02/16,155.783
2017/02/17,216.226
2017/02/18,322.197
2017/02/19,318.364
2017/02/20,30.275
2017/02/21,119.215
2017/02/22,213.062
2017/02/23,183.745
2017/02/24,666.634
2017/02/25,448.624
2017/02/26,605.602
2017/02/27,1006
2017/02/28,1057
2017/03/01,1225
2017/03/02,599.061
2017/03/03,450.468
2017/03/04,979.13
2017/03/05,378.152
2017/03/06,490.358
2017/03/07,599.154
2017/03/08,578.658
2017/03/09,684.927
2017/03/10,1207
2017/03/11,1095
2017/03/12,3427
2017/03/13,2914
2017/03/14,1457
2017/03/15,698.615
2017/03/16,4491
2017/03/17,1054
2017/03/18,2118
2017/03/19,940.498
2017/03/20,1391
2017/03/21,2016
2017/03/22,1203
2017/03/23,468.579
2017/03/24,1759
2017/03/25,3383
2017/03/26,3417
2017/03/27,2358
2017/03/28,1255
2017/03/29,833.318
2017/03/30,1463
2017/03/31,479.553
2017/04/01,1457
2017/04/02,1342
2017/04/03,696.068
2017/04/04,162.743
2017/04/05,274.775
2017/04/06,374.291
2017/04/07,141.345
2017/04/08,613.267
2017/04/09,299.955
2017/04/10,399.08
2017/04/11,381.193
2017/04/12,411.65
2017/04/13,621.18
2017/04/14,1874
2017/04/15,1574
2017/04/16,626.261
2017/04/17,379.315
2017/04/18,2465
2017/04/19,2323
2017/04/20,918.739
2017/04/21,1912
2017/04/22,1975
2017/04/23,2065
2017/04/24,3115
2017/04/25,1874
2017/04/26,2604
2017/04/27,3568
2017/04/28,6417
2017/04/29,4926
2017/04/30,7523
2017/05/01,5454
2017/05/02,4558
2017/05/03,5900
2017/05/04,4027
2017/05/05,4429
2017/05/06,8175
2017/05/07,5203
2017/05/08,5146
2017/05/09,5361
2017/05/10,4670
2017/05/11,4794
2017/05/12,6473
2017/05/13,3654
