Date,sentinusd30smaUSD
2016/01/01,278869
2016/01/02,281220
2016/01/03,288757
2016/01/04,289693
2016/01/05,316550
2016/01/06,312847
2016/01/07,319754
2016/01/08,319752
2016/01/09,321321
2016/01/10,317319
2016/01/11,319409
2016/01/12,347766
2016/01/13,353516
2016/01/14,348079
2016/01/15,338444
2016/01/16,347923
2016/01/17,355823
2016/01/18,456253
2016/01/19,506714
2016/01/20,528958
2016/01/21,546982
2016/01/22,589311
2016/01/23,652084
2016/01/24,787254
2016/01/25,947066
2016/01/26,1069241
2016/01/27,1154012
2016/01/28,1222357
2016/01/29,1288086
2016/01/30,1358891
2016/01/31,1435009
2016/02/01,1471106
2016/02/02,1505164
2016/02/03,1550377
2016/02/04,1544570
2016/02/05,1584588
2016/02/06,1592547
2016/02/07,1666517
2016/02/08,1811557
2016/02/09,1988867
2016/02/10,2252787
2016/02/11,2509641
2016/02/12,2907771
2016/02/13,3110065
2016/02/14,3221048
2016/02/15,3330948
2016/02/16,3526477
2016/02/17,3522107
2016/02/18,3616871
2016/02/19,3661634
2016/02/20,3812883
2016/02/21,3836796
2016/02/22,3908283
2016/02/23,4064718
2016/02/24,4306558
2016/02/25,4375133
2016/02/26,5078437
2016/02/27,5452568
2016/02/28,5547820
2016/02/29,5616886
2016/03/01,5822991
2016/03/02,6736073
2016/03/03,7336654
2016/03/04,7752809
2016/03/05,8788340
2016/03/06,9337197
2016/03/07,9826909
2016/03/08,10433484
2016/03/09,10677187
2016/03/10,10827229
2016/03/11,10893499
2016/03/12,11254873
2016/03/13,11787646
2016/03/14,12305088
2016/03/15,12703908
2016/03/16,13062117
2016/03/17,13525832
2016/03/18,14224426
2016/03/19,14351950
2016/03/20,14467370
2016/03/21,14617133
2016/03/22,14811840
2016/03/23,14900337
2016/03/24,14969109
2016/03/25,14762497
2016/03/26,14689960
2016/03/27,14307125
2016/03/28,14152424
2016/03/29,14483078
2016/03/30,14868038
2016/03/31,14926696
2016/04/01,14117239
2016/04/02,13614110
2016/04/03,13231411
2016/04/04,12333094
2016/04/05,11981869
2016/04/06,11680422
2016/04/07,11243974
2016/04/08,11028812
2016/04/09,11114988
2016/04/10,11106373
2016/04/11,10625594
2016/04/12,9964870
2016/04/13,9527964
2016/04/14,9242581
2016/04/15,8915002
2016/04/16,8360105
2016/04/17,7812728
2016/04/18,7726549
2016/04/19,7660121
2016/04/20,7527006
2016/04/21,7395358
2016/04/22,7369912
2016/04/23,7278068
2016/04/24,7181143
2016/04/25,7245862
2016/04/26,7111713
2016/04/27,7013843
2016/04/28,6708313
2016/04/29,6322276
2016/04/30,6715884
2016/05/01,7080394
2016/05/02,7549169
2016/05/03,7918164
2016/05/04,8102858
2016/05/05,8208442
2016/05/06,8661282
2016/05/07,8883284
2016/05/08,9142928
2016/05/09,9362194
2016/05/10,9665836
2016/05/11,10475162
2016/05/12,11291740
2016/05/13,13859808
2016/05/14,15605865
2016/05/15,15947096
2016/05/16,16349372
2016/05/17,16612187
2016/05/18,17206715
2016/05/19,18318917
2016/05/20,19207116
2016/05/21,19526558
2016/05/22,19640435
2016/05/23,19956661
2016/05/24,20618416
2016/05/25,21142905
2016/05/26,21390674
2016/05/27,22178407
2016/05/28,22822273
2016/05/29,23075156
2016/05/30,22749630
2016/05/31,22688533
2016/06/01,22440743
2016/06/02,22218188
2016/06/03,22153177
2016/06/04,22012757
2016/06/05,21560261
2016/06/06,21309216
2016/06/07,21336766
2016/06/08,21736770
2016/06/09,21315269
2016/06/10,20748957
2016/06/11,19888736
2016/06/12,17563309
2016/06/13,16206850
2016/06/14,16557767
2016/06/15,16596531
2016/06/16,17041111
2016/06/17,18682943
2016/06/18,19653948
2016/06/19,19309113
2016/06/20,19877333
2016/06/21,20274991
2016/06/22,20663935
2016/06/23,20669977
2016/06/24,20478958
2016/06/25,20541265
2016/06/26,19844346
2016/06/27,19309413
2016/06/28,19585529
2016/06/29,19678963
2016/06/30,19587523
2016/07/01,19570500
2016/07/02,19525388
2016/07/03,19443799
2016/07/04,19682533
2016/07/05,20729218
2016/07/06,20881778
2016/07/07,20743578
2016/07/08,19945564
2016/07/09,19940168
2016/07/10,19761221
2016/07/11,19802430
2016/07/12,19567761
2016/07/13,19242281
2016/07/14,18728608
2016/07/15,19716146
2016/07/16,19060828
2016/07/17,16918646
2016/07/18,15792222
2016/07/19,18717811
2016/07/20,23355147
2016/07/21,23369344
2016/07/22,23758204
2016/07/23,24252023
2016/07/24,29446287
2016/07/25,33207849
2016/07/26,41813056
2016/07/27,46763791
2016/07/28,49324088
2016/07/29,51068027
2016/07/30,52295006
2016/07/31,53415654
2016/08/01,55330857
2016/08/02,58580186
2016/08/03,60928972
2016/08/04,60988610
2016/08/05,62143366
2016/08/06,62459503
2016/08/07,62982541
2016/08/08,63543231
2016/08/09,64535081
2016/08/10,66208345
2016/08/11,67441886
2016/08/12,68017894
2016/08/13,68451708
2016/08/14,67518387
2016/08/15,67745386
2016/08/16,67805012
2016/08/17,67371142
2016/08/18,64138756
2016/08/19,58847622
2016/08/20,58693802
2016/08/21,58641834
2016/08/22,58212120
2016/08/23,54152797
2016/08/24,50166068
2016/08/25,41616484
2016/08/26,37102065
2016/08/27,34222032
2016/08/28,32270110
2016/08/29,31118810
2016/08/30,29968401
2016/08/31,28281204
2016/09/01,25632286
2016/09/02,23539058
2016/09/03,22720798
2016/09/04,21769040
2016/09/05,21439908
2016/09/06,21050008
2016/09/07,20613709
2016/09/08,19960393
2016/09/09,18270788
2016/09/10,16994198
2016/09/11,16425313
2016/09/12,16013837
2016/09/13,15781675
2016/09/14,15547937
2016/09/15,15448179
2016/09/16,15725855
2016/09/17,15632493
2016/09/18,15932180
2016/09/19,15755372
2016/09/20,16124031
2016/09/21,17150412
2016/09/22,16322317
2016/09/23,16861240
2016/09/24,17098150
2016/09/25,17437211
2016/09/26,17700970
2016/09/27,17888201
2016/09/28,18554696
2016/09/29,19161140
2016/09/30,19148770
2016/10/01,18705407
2016/10/02,18790002
2016/10/03,18563271
2016/10/04,18299040
2016/10/05,18439932
2016/10/06,18466791
2016/10/07,18522246
2016/10/08,18373268
2016/10/09,19157668
2016/10/10,19915572
2016/10/11,20495594
2016/10/12,21166079
2016/10/13,21188932
2016/10/14,21937057
2016/10/15,22148525
2016/10/16,21861170
2016/10/17,22252466
2016/10/18,22773643
2016/10/19,22810830
2016/10/20,21422095
2016/10/21,19810726
2016/10/22,19186857
2016/10/23,18452254
2016/10/24,18130295
2016/10/25,17477848
2016/10/26,17210887
2016/10/27,17070315
2016/10/28,16545633
2016/10/29,16284432
2016/10/30,16744643
2016/10/31,16845756
2016/11/01,17083801
2016/11/02,18376929
2016/11/03,21680198
2016/11/04,21659879
2016/11/05,21578388
2016/11/06,21370928
2016/11/07,21173558
