Date,sentbyaddress90var
2016/01/01,59010
2016/01/02,60122
2016/01/03,61079
2016/01/04,62250
2016/01/05,63131
2016/01/06,64198
2016/01/07,65667
2016/01/08,65455
2016/01/09,65866
2016/01/10,67810
2016/01/11,70042
2016/01/12,74761
2016/01/13,75558
2016/01/14,75762
2016/01/15,78528
2016/01/16,76378
2016/01/17,73955
2016/01/18,72505
2016/01/19,70586
2016/01/20,73065
2016/01/21,71663
2016/01/22,69527
2016/01/23,70016
2016/01/24,74087
2016/01/25,81000
2016/01/26,90124
2016/01/27,94666
2016/01/28,99336
2016/01/29,102558
2016/01/30,104884
2016/01/31,109286
2016/02/01,112708
2016/02/02,115281
2016/02/03,118130
2016/02/04,120192
2016/02/05,122313
2016/02/06,123297
2016/02/07,127261
2016/02/08,133425
2016/02/09,142300
2016/02/10,173276
2016/02/11,207844
2016/02/12,238332
2016/02/13,259566
2016/02/14,269248
2016/02/15,281332
2016/02/16,292492
2016/02/17,301762
2016/02/18,308581
2016/02/19,313603
2016/02/20,314594
2016/02/21,342204
2016/02/22,354449
2016/02/23,364494
2016/02/24,371495
2016/02/25,386602
2016/02/26,392738
2016/02/27,400390
2016/02/28,415444
2016/02/29,452106
2016/03/01,500219
2016/03/02,556014
2016/03/03,626418
2016/03/04,695580
2016/03/05,831653
2016/03/06,932983
2016/03/07,974788
2016/03/08,1064857
2016/03/09,1123010
2016/03/10,1211132
2016/03/11,1286486
2016/03/12,1349000
2016/03/13,1408910
2016/03/14,1465793
2016/03/15,1510374
2016/03/16,1541837
2016/03/17,1588329
2016/03/18,1652106
2016/03/19,1667412
2016/03/20,1687703
2016/03/21,1729245
2016/03/22,1739752
2016/03/23,1751390
2016/03/24,1753602
2016/03/25,1750419
2016/03/26,1738690
2016/03/27,1748723
2016/03/28,1757953
2016/03/29,1825636
2016/03/30,1902730
2016/03/31,1904559
2016/04/01,1898367
2016/04/02,1883042
2016/04/03,1865364
2016/04/04,1863973
2016/04/05,1863156
2016/04/06,1860244
2016/04/07,1847406
2016/04/08,1829165
2016/04/09,1823342
2016/04/10,1832755
2016/04/11,1822818
2016/04/12,1810067
2016/04/13,1805803
2016/04/14,1794793
2016/04/15,1752729
2016/04/16,1701132
2016/04/17,1671830
2016/04/18,1632301
2016/04/19,1608933
2016/04/20,1563491
2016/04/21,1516725
2016/04/22,1483530
2016/04/23,1454269
2016/04/24,1430923
2016/04/25,1416482
2016/04/26,1391545
2016/04/27,1363096
2016/04/28,1323312
2016/04/29,1395648
2016/04/30,1507928
2016/05/01,1530889
2016/05/02,1616731
2016/05/03,1644305
2016/05/04,1636452
2016/05/05,1630041
2016/05/06,1612499
2016/05/07,1585413
2016/05/08,1584830
2016/05/09,1604902
2016/05/10,1660653
2016/05/11,1799629
2016/05/12,1942462
2016/05/13,2228693
2016/05/14,2350540
2016/05/15,2371865
2016/05/16,2372354
2016/05/17,2401629
2016/05/18,2468882
2016/05/19,2543233
2016/05/20,2555694
2016/05/21,2562895
2016/05/22,2511286
2016/05/23,2563501
2016/05/24,2570315
2016/05/25,2579086
2016/05/26,3527387
2016/05/27,3631830
2016/05/28,4633768
2016/05/29,4655124
2016/05/30,4676087
2016/05/31,4725300
2016/06/01,4743099
2016/06/02,4739955
2016/06/03,4757949
2016/06/04,4752225
2016/06/05,4716636
2016/06/06,4719729
2016/06/07,4717381
2016/06/08,4727363
2016/06/09,4717847
2016/06/10,4709657
2016/06/11,4683704
2016/06/12,4678757
2016/06/13,4756058
2016/06/14,4825801
2016/06/15,4833656
2016/06/16,4889601
2016/06/17,5391107
2016/06/18,5674244
2016/06/19,5714335
2016/06/20,5679185
2016/06/21,5670483
2016/06/22,5699174
2016/06/23,5614981
2016/06/24,5505818
2016/06/25,5426072
2016/06/26,5350147
2016/06/27,5328978
2016/06/28,5325351
2016/06/29,5258619
2016/06/30,5165599
2016/07/01,5053298
2016/07/02,4936037
2016/07/03,4856992
2016/07/04,4783045
2016/07/05,4706970
2016/07/06,4615186
2016/07/07,4509511
2016/07/08,4420433
2016/07/09,4354706
2016/07/10,4251162
2016/07/11,4161275
2016/07/12,4091609
2016/07/13,3997950
2016/07/14,3871828
2016/07/15,3735367
2016/07/16,3651688
2016/07/17,3580730
2016/07/18,3473954
2016/07/19,4346483
2016/07/20,4293112
